Player,Nationality,Team,League,Position,General Position,Age,Minutes,Matches,Shouting Index,Creation Index,Passing Index,Possession Index,Defense Index,Global Index
Mateus Lusuardi,BRA,Frosinone,Italian Serie A,CB,Defender,20,219,1,25,25,61,61,35,43
Mateusz Musialowski,POL,Liverpool,UEFA Europa League,LM,Midfielder,20,18,1,35,34,49,96,28,48
Mateusz Wieteska,POL,"Cagliari, Clermont Foot","French Ligue 1, Italian Serie A",CB,Defender,27,1139,1,77,53,49,35,55,53
Mateusz Łęgowski,POL,Salernitana,Italian Serie A,CM,Midfielder,21,1145,1,36,32,31,26,40,34
Matheus Cunha,BRA,Wolves,English Premier League,AM,Forward,24,2440,1,80,71,59,64,58,70
Matheus França,BRA,Crystal Palace,English Premier League,AM,Forward,19,232,1,37,63,61,74,68,57
Matheus Henrique,BRA,Sassuolo,Italian Serie A,DM,Midfielder,26,2501,1,57,57,48,37,40,46
Matheus Nunes,POR,"Manchester City, Wolves","English Premier League, UEFA Champions League",DM,Midfielder,25,1262,1,33,92,72,91,27,58
Matheus Reis,BRA,Sporting CP,UEFA Europa League,CB,Midfielder,29,739,1,42,46,54,60,37,47
Matheus Silva,BRA,Qarabağ,UEFA Europa League,RB,Defender,26,414,1,94,54,27,44,49,50
Mathias Honsak,AUT,Darmstadt 98,German Bundesliga,AM,Forward,27,1021,1,38,40,42,46,61,42
Mathias Jensen,DEN,Brentford,English Premier League,CM,Midfielder,28,2204,1,72,75,62,42,51,57
Mathias Jørgensen,DEN,Brentford,English Premier League,CB,Defender,34,1087,1,76,57,61,30,52,53
Mathias Løvik,NOR,Molde,"UEFA Europa Conference League, UEFA Europa League",RB,Defender,20,779,1,37,70,35,40,54,46
Mathias Olesen,LUX,Köln,German Bundesliga,AM,Forward,22,112,1,31,32,70,47,50,42
Mathias Pereira Lage,POR,Brest,French Ligue 1,LW,Forward,27,1187,1,56,44,45,48,71,50
Mathias Rasmussen,NOR,Union SG,"UEFA Europa Conference League, UEFA Europa League",CM,Midfielder,26,410,1,86,69,54,36,51,56
Mathis Lambourde,FRA,Rennes,"French Ligue 1, UEFA Europa League",RW,Forward,17,18,1,39,63,50,82,84,58
Mathys Tel,FRA,Bayern Munich,"German Bundesliga, UEFA Champions League",LW,Forward,19,1195,1,93,88,62,80,52,81
Mathías Olivera,URU,Napoli,"Italian Serie A, UEFA Champions League",LB,Defender,26,1897,1,68,80,78,77,75,75
Matias Arezo,URU,Granada,Spanish La Liga,AM,Forward,21,369,1,33,29,28,20,59,30
Matias Fernandez-Pardo,BEL,Gent,UEFA Europa Conference League,AM,Defender,18,22,1,37,65,53,53,26,41
Matija Malekinušić,CRO,Zrinjski Mostar,UEFA Europa Conference League,RW,Forward,24,352,1,58,34,25,18,91,40
Matija Nastasić,SRB,Mallorca,Spanish La Liga,CB,Defender,31,2258,1,70,32,35,18,43,39
Matija Špoljarić,CYP,Aris Limassol FC,UEFA Europa League,AM,Forward,26,23,1,23,50,70,49,41,45
Matisse Samoise,BEL,Gent,UEFA Europa Conference League,WB,Midfielder,22,385,1,40,37,45,71,55,52
Mats Hummels,GER,Dortmund,"German Bundesliga, UEFA Champions League",CB,Defender,35,2751,1,74,62,70,62,86,75
Mats Møller Dæhli,NOR,Molde,UEFA Europa Conference League,CM,Midfielder,29,351,1,38,35,50,57,75,56
Mats Wieffer,NED,Feyenoord,"UEFA Champions League, UEFA Europa League",DM,Midfielder,24,678,1,70,74,70,58,59,64
Matt Doherty,IRL,Wolves,English Premier League,WB,Midfielder,32,1150,1,64,35,41,42,59,49
Matt O'Riley,DEN,Celtic,UEFA Champions League,RM,Midfielder,23,486,1,45,84,56,54,68,62
Matt Ritchie,SCO,Newcastle Utd,English Premier League,RW,Forward,34,128,1,87,35,67,89,74,68
Matt Targett,ENG,Newcastle Utd,"English Premier League, UEFA Champions League",LB,Defender,28,100,1,37,56,78,77,28,51
Matteo Cancellieri,ITA,Empoli,Italian Serie A,AM,Forward,22,1788,1,45,54,29,43,66,46
Matteo Darmian,ITA,Inter,"Italian Serie A, UEFA Champions League",WB,Midfielder,34,2811,1,60,44,45,40,34,42
