Player,Nationality,Team,League,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total),Matches,% Saves,% Long Passes,% Crosses Stopped,PSxG/Save
Dmytro Riznyk,UKR,Shakhtar,UEFA Europa Conference League,GK,Goalkeeper,26,180,2.5,1.0,1.5,1.0,0.0,0.5,1.5,6.5,27.5,2.0,770.3,3.0,62.1,9.5,1.5,2.5,52.5,1,60.0,23.08,15.79,24.0
Dominik Greif,SVK,Lyon,"French Ligue 1, UEFA Europa League",GK,Goalkeeper,28,1350,3.6,1.0,2.53,1.08,0.08,0.53,3.2,8.4,35.27,3.47,938.49,3.0,122.81,10.73,0.8,1.87,33.77,1,70.28,38.1,7.46,21.08
Dominik Kotarski,CRO,FC Copenhagen,UEFA Champions League,GK,Goalkeeper,25,450,5.0,2.8,2.4,1.94,-0.86,0.0,5.0,13.2,24.8,3.0,892.48,4.4,220.78,9.2,0.0,2.0,35.02,1,48.0,37.88,0.0,18.62
Dominik Takáč,SVK,Slovan Bratislava,UEFA Europa Conference League,GK,Goalkeeper,26,360,6.75,1.75,5.0,1.88,0.12,0.0,4.75,13.75,27.25,3.0,927.35,7.5,262.42,15.75,0.5,1.75,29.2,1,74.07,34.55,3.17,20.63
Donovan Léon,GUF,Auxerre,French Ligue 1,GK,Goalkeeper,33,1124,4.64,1.36,3.36,1.41,0.05,0.24,5.52,17.94,26.98,4.08,1107.7,5.69,329.21,11.37,0.4,1.12,21.35,1,72.41,30.77,3.52,22.01
Dénes Dibusz,HUN,Ferencváros,UEFA Europa League,GK,Goalkeeper,35,450,3.6,1.0,2.6,0.72,-0.28,0.2,7.6,16.8,24.8,3.4,913.94,6.8,347.82,18.0,0.6,0.6,8.72,1,72.22,45.24,3.33,14.44
Ed McGinty,IRL,"Shamrock Rov, Shamrock Rovers",UEFA Europa Conference League,GK,Goalkeeper,26,360,6.5,2.25,4.25,2.4,0.15,0.0,5.0,17.5,16.5,2.0,750.08,9.75,536.65,16.25,0.25,0.0,0.0,1,65.38,28.57,1.54,24.14
Ederson,BRA,Fenerbahçe,UEFA Europa League,GK,Goalkeeper,32,450,3.0,1.0,2.0,0.94,-0.06,0.4,7.0,17.8,36.4,4.0,1312.38,6.8,316.82,14.8,1.4,1.8,44.46,1,66.67,39.33,9.46,20.89
Edoardo Corvi,ITA,Parma,Italian Serie A,GK,Goalkeeper,24,180,3.5,1.5,2.0,1.65,0.15,0.0,5.5,13.5,37.5,5.5,1261.05,4.0,174.05,14.5,2.0,3.5,68.2,1,57.14,40.74,13.79,26.94
Elia Caprile,ITA,Cagliari,Italian Serie A,GK,Goalkeeper,24,1260,4.79,1.36,3.43,1.51,0.16,0.21,4.93,14.29,27.21,4.79,993.82,6.14,234.07,13.86,1.64,1.21,24.61,1,71.61,34.5,11.83,22.57
Elías Rafn Ólafsson,ISL,Midtjylland,UEFA Europa League,GK,Goalkeeper,25,450,5.0,1.0,4.0,1.2,0.2,0.4,5.0,14.8,35.4,7.6,1182.14,6.2,275.16,13.4,1.0,1.6,28.6,1,80.0,33.78,7.46,19.2
Emil Audero,IDN,Cremonese,Italian Serie A,GK,Goalkeeper,28,900,4.9,1.0,3.9,1.12,0.12,0.4,5.1,21.4,39.3,4.9,1440.47,6.1,314.04,17.4,1.5,0.7,10.71,1,79.59,23.83,8.62,18.19
Emiliano Martínez,ARG,Aston Villa,"English Premier League, UEFA Europa League",GK,Goalkeeper,33,1350,3.27,0.8,2.4,0.89,0.09,0.33,4.2,11.73,36.67,4.0,1102.04,3.4,162.67,12.4,1.0,0.93,16.71,1,73.39,35.81,8.06,19.98
Etrit Berisha,ALB,Häcken,UEFA Europa Conference League,GK,Goalkeeper,36,360,4.25,1.5,2.75,1.4,-0.1,0.25,5.25,13.0,33.5,4.75,1022.88,3.75,202.1,8.75,0.5,2.0,40.75,1,64.71,40.38,5.71,21.31
Fabiano,CYP,AC Omonia,UEFA Europa Conference League,GK,Goalkeeper,37,90,2.0,1.0,1.0,0.3,-0.7,0.0,0.0,0.0,12.0,4.0,266.4,4.0,89.2,14.0,0.0,0.0,0.0,1,50.0,,0.0,7.5
Faton Maloku,KVX,KF Drita,UEFA Europa Conference League,GK,Goalkeeper,34,360,3.25,0.5,2.75,0.55,0.05,0.5,2.5,8.5,23.75,6.25,720.35,8.0,262.7,17.0,1.5,0.75,10.72,1,84.62,29.41,8.82,14.32
Federico Ravaglia,ITA,Bologna,"Italian Serie A, UEFA Europa League",GK,Goalkeeper,26,450,4.8,1.0,3.8,1.44,0.44,0.4,3.8,11.4,41.6,5.2,1274.78,4.6,176.38,13.8,0.2,1.6,31.36,1,79.17,33.33,1.45,23.75
