Player,Nationality,Team,League,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total),Matches,% Saves,% Long Passes,% Crosses Stopped,PSxG/Save
Matheus,BRA,Red Star,UEFA Europa League,GK,Goalkeeper,33,270,58,33,58,80,82,17,50,45,76,23,50,63,37,58,74,80,72,1,43,56,71,91
Mathew Ryan,AUS,Levante,Spanish La Liga,GK,Goalkeeper,33,810,69,33,68,62,43,48,73,62,26,47,34,90,86,74,28,55,53,1,49,72,23,54
Mathias Dyngeland,NOR,Brann,UEFA Europa League,GK,Goalkeeper,30,270,9,88,13,18,76,92,72,75,96,11,95,11,14,83,47,88,80,1,69,44,38,91
Matteo Bignetti,AUT,Sturm Graz,UEFA Europa League,GK,Goalkeeper,21,90,86,19,84,92,93,17,22,73,27,7,32,99,94,90,8,47,27,1,51,4,8,93
Mattia Perin,ITA,Juventus,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,32,180,56,42,58,22,13,17,9,5,3,23,3,54,45,7,8,22,51,1,51,76,8,6
Matz Sels,BEL,Nott'ham Forest,"English Premier League, UEFA Europa League",GK,Goalkeeper,33,1170,63,26,58,68,34,35,41,48,17,40,30,52,31,54,17,37,40,1,34,29,17,55
Matías Dituro,ARG,Elche,Spanish La Liga,GK,Goalkeeper,38,450,24,72,30,16,40,45,92,84,99,40,98,35,44,46,92,91,86,1,58,78,93,28
Melker Ellborg,SWE,Malmö,UEFA Europa League,GK,Goalkeeper,22,90,69,72,84,90,99,17,22,96,32,78,78,94,96,100,74,6,6,1,85,1,23,98
Michael Zetterer,GER,Eint Frankfurt,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,30,630,83,30,87,67,44,40,44,37,83,97,76,31,25,52,54,66,59,1,64,51,52,40
Michele Di Gregorio,ITA,Juventus,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,28,990,33,59,40,39,45,55,26,18,36,47,23,18,22,41,55,28,36,1,45,71,58,57
Mike Maignan,FRA,Milan,Italian Serie A,GK,Goalkeeper,30,775,22,82,31,31,80,70,13,26,74,73,70,29,29,86,88,36,50,1,62,9,77,85
Mike Penders,BEL,Strasbourg,"French Ligue 1, UEFA Europa Conference League",GK,Goalkeeper,20,1080,39,42,42,55,48,64,18,14,92,17,55,7,12,56,81,53,48,1,33,64,76,71
Mile Svilar,SRB,Roma,"Italian Serie A, UEFA Europa League",GK,Goalkeeper,26,1170,24,86,45,20,76,72,55,59,64,92,65,81,74,20,62,27,29,1,83,41,78,64
Mio Backhaus,GER,Werder Bremen,German Bundesliga,GK,Goalkeeper,21,630,60,25,58,62,28,57,11,7,62,93,22,36,27,83,91,56,51,1,40,63,85,57
Mirko Salvi,SUI,Basel,UEFA Europa League,GK,Goalkeeper,31,90,69,19,58,70,26,17,2,2,6,53,4,4,4,50,8,80,95,1,29,47,8,48
Miłosz Piekutowski,POL,Jagiellonia,UEFA Europa Conference League,GK,Goalkeeper,19,90,86,72,93,88,98,17,77,68,71,2,60,44,59,99,97,6,6,1,90,67,80,96
Moritz Nicolas,GER,Gladbach,German Bundesliga,GK,Goalkeeper,28,810,75,19,68,73,32,64,62,35,43,53,28,25,39,64,58,67,68,1,35,85,55,54
Mory Diaw,SEN,Le Havre,French Ligue 1,GK,Goalkeeper,32,990,33,47,28,36,28,71,62,53,66,86,58,79,61,84,97,58,50,1,27,62,92,35
Nauzet García,ESP,Red Imps,UEFA Europa Conference League,GK,Goalkeeper,31,90,98,1,93,99,6,17,62,56,45,7,62,25,18,85,74,80,69,1,13,59,59,50
Neofytos Michael,CYP,Pafos FC,UEFA Champions League,GK,Goalkeeper,31,270,90,33,93,77,79,92,22,84,56,85,68,97,99,98,21,47,47,1,77,2,16,60
Nick Pope,ENG,Newcastle Utd,"English Premier League, UEFA Champions League",GK,Goalkeeper,33,1170,50,72,70,26,57,89,16,26,14,98,12,66,68,33,93,91,89,1,82,11,96,28
Nicola Leali,ITA,Genoa,Italian Serie A,GK,Goalkeeper,32,810,34,48,37,47,40,48,28,38,11,11,18,38,33,30,28,55,62,1,39,18,36,66
