Player,Game Week,Team,League,Nationality,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total)
Matt Turner,J2,Nott'ham Forest,English Premier League,USA,GK,Goalkeeper,29,90,3.0,1.0,2.0,1.5,0.5,0,8.0,16.0,25.0,4.0,897.5,6.0,316.2,17.0,0.0,2.0,37.4
Wes Foderingham,J2,Sheffield Utd,English Premier League,ENG,GK,Goalkeeper,32,90,4.0,2.0,2.0,2.1,0.1,0,5.0,16.0,26.0,5.0,795.6,9.0,441.0,16.0,1.0,4.0,68.4
José Sá,J2,Wolves,English Premier League,POR,GK,Goalkeeper,30,90,8.0,4.0,4.0,3.3,-0.7,0,0.0,11.0,40.0,11.0,1256.0,4.0,166.0,6.0,2.0,1.0,12.3
Jason Steele,J2,Brighton,English Premier League,ENG,GK,Goalkeeper,33,90,5.0,1.0,4.0,1.8,0.8,0,1.0,6.0,42.0,3.0,1062.6,2.0,12.0,13.0,1.0,2.0,27.8
Bernd Leno,J2,Fulham,English Premier League,GER,GK,Goalkeeper,31,90,8.0,3.0,5.0,3.4,0.4,0,6.0,19.0,51.0,4.0,1718.7,4.0,220.0,11.0,2.0,1.0,13.0
Mark Flekken,J2,Brentford,English Premier League,NED,GK,Goalkeeper,30,90,2.0,0.0,2.0,0.2,0.2,1,5.0,13.0,48.0,4.0,1440.0,5.0,199.0,14.0,0.0,0.0,0.0
Alisson,J2,Liverpool,English Premier League,BRA,GK,Goalkeeper,30,90,5.0,1.0,4.0,1.3,0.3,0,4.0,12.0,46.0,6.0,1159.2,5.0,321.0,6.0,1.0,2.0,44.0
Neto,J2,Bournemouth,English Premier League,BRA,GK,Goalkeeper,34,90,10.0,3.0,6.0,3.8,0.8,0,4.0,10.0,15.0,4.0,420.0,10.0,455.0,14.0,1.0,1.0,9.3
Guglielmo Vicario,J2,Tottenham,English Premier League,ITA,GK,Goalkeeper,26,90,6.0,0.0,6.0,1.5,1.5,1,2.0,5.0,41.0,12.0,865.1,8.0,154.4,13.0,0.0,0.0,0.0
André Onana,J2,Manchester Utd,English Premier League,CMR,GK,Goalkeeper,27,90,6.0,2.0,5.0,1.8,-0.2,0,2.0,8.0,31.0,6.0,1026.1,3.0,96.9,12.0,1.0,2.0,50.6
Ederson,J2,Manchester City,English Premier League,BRA,GK,Goalkeeper,30,90,1.0,0.0,1.0,0.1,0.1,1,7.0,15.0,46.0,3.0,1439.8,4.0,221.2,1.0,1.0,3.0,60.3
Nick Pope,J2,Newcastle Utd,English Premier League,ENG,GK,Goalkeeper,31,90,4.0,1.0,3.0,1.3,0.3,0,2.0,4.0,21.0,7.0,472.5,7.0,252.7,3.0,0.0,2.0,44.0
Emiliano Martínez,J2,Aston Villa,English Premier League,ARG,GK,Goalkeeper,30,90,2.0,0.0,2.0,0.2,0.2,1,5.0,6.0,40.0,5.0,908.0,6.0,232.8,14.0,3.0,1.0,10.3
Jordan Pickford,J2,Everton,English Premier League,ENG,GK,Goalkeeper,29,90,7.0,4.0,3.0,3.1,-0.9,0,4.0,10.0,20.0,4.0,686.0,6.0,273.0,8.0,0.0,0.0,0.0
Łukasz Skorupski,J11,Bologna,Italian Serie A,POL,GK,Goalkeeper,32,90,1.0,0.0,1.0,0.0,0.0,1,9.0,12.0,43.0,6.0,1148.1,5.0,195.0,16.0,1.0,0.0,0.0
Ivan Provedel,J11,Lazio,Italian Serie A,ITA,GK,Goalkeeper,29,90,2.0,1.0,1.0,0.7,-0.3,0,0.0,1.0,22.0,3.0,514.8,3.0,54.0,7.0,0.0,0.0,0.0
Alphonse Areola,J2,West Ham,English Premier League,FRA,GK,Goalkeeper,30,90,4.0,1.0,2.0,1.5,0.5,0,8.0,20.0,21.0,7.0,945.0,10.0,490.0,23.0,3.0,0.0,0.0
Robert Sánchez,J2,Chelsea,English Premier League,ESP,GK,Goalkeeper,25,90,6.0,3.0,3.0,2.7,-0.3,0,1.0,2.0,22.0,5.0,490.6,4.0,78.0,8.0,0.0,0.0,0.0
Sam Johnstone,J2,Crystal Palace,English Premier League,ENG,GK,Goalkeeper,30,90,3.0,1.0,2.0,1.1,0.1,0,4.0,11.0,21.0,5.0,701.4,6.0,262.2,17.0,3.0,2.0,25.6
Aaron Ramsdale,J2,Arsenal,English Premier League,ENG,GK,Goalkeeper,25,90,2.0,0.0,2.0,0.2,0.2,1,4.0,13.0,24.0,5.0,849.6,3.0,219.0,15.0,1.0,3.0,64.2
Robert Sánchez,J3,Chelsea,English Premier League,ESP,GK,Goalkeeper,25,90,1.0,0.0,1.0,0.1,0.1,1,5.0,8.0,31.0,2.0,747.1,10.0,350.0,17.0,0.0,0.0,0.0
Thomas Kaminski,J3,Luton Town,English Premier League,BEL,GK,Goalkeeper,30,90,8.0,3.0,5.0,2.7,-0.3,0,5.0,20.0,26.0,4.0,1136.2,8.0,268.8,11.0,0.0,1.0,28.0
Neto,J3,Bournemouth,English Premier League,BRA,GK,Goalkeeper,34,90,6.0,2.0,4.0,2.8,0.8,0,7.0,18.0,31.0,4.0,1060.2,9.0,417.6,5.0,0.0,0.0,0.0
Guglielmo Vicario,J3,Tottenham,English Premier League,ITA,GK,Goalkeeper,26,90,3.0,0.0,3.0,0.3,0.3,1,4.0,13.0,33.0,4.0,1023.0,4.0,149.2,16.0,0.0,0.0,0.0
Jordan Pickford,J3,Everton,English Premier League,ENG,GK,Goalkeeper,29,90,2.0,1.0,1.0,1.1,0.1,0,8.0,19.0,32.0,3.0,1148.8,7.0,231.7,11.0,0.0,4.0,117.2
José Sá,J3,Wolves,English Premier League,POR,GK,Goalkeeper,30,90,7.0,0.0,7.0,1.5,1.5,1,4.0,11.0,40.0,10.0,1272.0,10.0,191.0,25.0,5.0,2.0,23.8
André Onana,J3,Manchester Utd,English Premier League,CMR,GK,Goalkeeper,27,90,4.0,2.0,2.0,2.0,0.0,0,1.0,6.0,20.0,3.0,578.0,3.0,108.9,10.0,0.0,0.0,0.0
Matt Turner,J3,Nott'ham Forest,English Premier League,USA,GK,Goalkeeper,29,90,9.0,3.0,6.0,3.9,0.9,0,11.0,23.0,30.0,9.0,1173.0,9.0,394.2,17.0,1.0,0.0,0.0
Mark Flekken,J3,Brentford,English Premier League,NED,GK,Goalkeeper,30,90,5.0,1.0,4.0,0.6,-0.4,0,8.0,10.0,41.0,5.0,1234.1,7.0,126.7,14.0,1.0,0.0,0.0
Sam Johnstone,J3,Crystal Palace,English Premier League,ENG,GK,Goalkeeper,30,90,1.0,1.0,0.0,0.6,-0.4,0,4.0,16.0,17.0,2.0,681.7,6.0,348.0,19.0,1.0,1.0,13.0
Aaron Ramsdale,J3,Arsenal,English Premier League,ENG,GK,Goalkeeper,25,90,3.0,2.0,1.0,0.4,-1.6,0,2.0,3.0,30.0,6.0,633.0,4.0,110.0,8.0,0.0,2.0,46.0
Bernd Leno,J3,Fulham,English Premier League,GER,GK,Goalkeeper,31,90,10.0,2.0,8.0,2.0,0.0,0,10.0,19.0,37.0,7.0,1250.6,6.0,331.8,27.0,0.0,1.0,12.5
Bart Verbruggen,J3,Brighton,English Premier League,NED,GK,Goalkeeper,21,90,7.0,3.0,4.0,2.9,-0.1,0,1.0,1.0,26.0,6.0,499.2,5.0,78.0,8.0,1.0,1.0,10.0
Alphonse Areola,J3,West Ham,English Premier League,FRA,GK,Goalkeeper,30,90,10.0,1.0,9.0,1.9,0.9,0,7.0,24.0,20.0,6.0,938.0,12.0,627.6,32.0,1.0,0.0,0.0
Wes Foderingham,J3,Sheffield Utd,English Premier League,ENG,GK,Goalkeeper,32,90,9.0,2.0,7.0,2.5,0.5,0,12.0,22.0,21.0,4.0,802.2,14.0,705.6,24.0,0.0,0.0,0.0
Ederson,J3,Manchester City,English Premier League,BRA,GK,Goalkeeper,30,90,1.0,1.0,0.0,0.4,-0.6,0,2.0,7.0,27.0,3.0,769.5,6.0,235.8,2.0,0.0,1.0,23.0
Guillermo Ochoa,J11,Salernitana,Italian Serie A,MEX,GK,Goalkeeper,38,90,8.0,2.0,6.0,1.7,-0.3,0,3.0,18.0,35.0,4.0,1214.5,6.0,193.2,9.0,0.0,1.0,25.0
Alex Meret,J11,Napoli,Italian Serie A,ITA,GK,Goalkeeper,26,90,3.0,0.0,3.0,0.7,0.7,1,1.0,5.0,18.0,4.0,552.6,5.0,109.0,19.0,0.0,0.0,0.0
James Trafford,J3,Burnley,English Premier League,ENG,GK,Goalkeeper,20,90,6.0,3.0,3.0,3.8,0.8,0,2.0,4.0,23.0,7.0,561.2,4.0,49.2,9.0,0.0,4.0,143.2
Robin Olsen,J3,Aston Villa,English Premier League,SWE,GK,Goalkeeper,33,90,2.0,1.0,1.0,0.5,-0.5,0,5.0,12.0,37.0,3.0,1036.0,2.0,70.0,11.0,0.0,1.0,23.0
Nick Pope,J3,Newcastle Utd,English Premier League,ENG,GK,Goalkeeper,31,90,4.0,2.0,2.0,1.8,-0.2,0,4.0,10.0,25.0,7.0,697.5,6.0,175.8,13.0,1.0,10.0,268.0
Alisson,J3,Liverpool,English Premier League,BRA,GK,Goalkeeper,30,90,8.0,1.0,7.0,1.3,0.3,0,1.0,14.0,35.0,6.0,1001.0,13.0,523.9,11.0,0.0,0.0,0.0
Thomas Kaminski,J4,Luton Town,English Premier League,BEL,GK,Goalkeeper,30,90,3.0,2.0,1.0,1.3,-0.7,0,8.0,30.0,36.0,1.0,1753.2,3.0,159.9,12.0,1.0,1.0,18.5
Alphonse Areola,J4,West Ham,English Premier League,FRA,GK,Goalkeeper,30,90,1.0,1.0,0.0,0.8,-0.2,0,3.0,11.0,13.0,5.0,348.4,11.0,613.8,26.0,3.0,1.0,9.6
Wes Foderingham,J4,Sheffield Utd,English Premier League,ENG,GK,Goalkeeper,32,90,6.0,2.0,4.0,2.8,0.8,0,4.0,10.0,30.0,9.0,888.0,7.0,195.3,20.0,1.0,2.0,48.6
Jordan Pickford,J4,Everton,English Premier League,ENG,GK,Goalkeeper,29,90,7.0,2.0,6.0,1.9,-0.1,0,7.0,22.0,34.0,7.0,1451.8,2.0,132.0,11.0,2.0,4.0,87.6
Mark Flekken,J4,Brentford,English Premier League,NED,GK,Goalkeeper,30,90,5.0,2.0,3.0,2.0,0.0,0,11.0,22.0,48.0,3.0,1473.6,8.0,378.4,9.0,0.0,0.0,0.0
Neto,J4,Bournemouth,English Premier League,BRA,GK,Goalkeeper,34,90,7.0,2.0,5.0,1.5,-0.5,0,9.0,28.0,20.0,3.0,1008.0,14.0,831.6,18.0,2.0,0.0,0.0
Ederson,J4,Manchester City,English Premier League,BRA,GK,Goalkeeper,30,90,4.0,1.0,3.0,1.7,0.7,0,3.0,8.0,41.0,2.0,1148.0,4.0,95.2,8.0,0.0,1.0,33.0
Bernd Leno,J4,Fulham,English Premier League,GER,GK,Goalkeeper,31,90,5.0,5.0,0.0,3.4,-1.6,0,6.0,14.0,40.0,4.0,1304.0,1.0,17.0,6.0,0.0,0.0,0.0
Robert Sánchez,J4,Chelsea,English Premier League,ESP,GK,Goalkeeper,25,90,3.0,1.0,2.0,0.9,-0.1,0,1.0,2.0,29.0,8.0,574.2,4.0,59.2,2.0,1.0,2.0,30.0
Matt Turner,J4,Nott'ham Forest,English Premier League,USA,GK,Goalkeeper,29,90,2.0,0.0,2.0,0.2,0.2,1,10.0,26.0,24.0,5.0,1010.4,13.0,772.2,30.0,2.0,1.0,10.5
James Trafford,J4,Burnley,English Premier League,ENG,GK,Goalkeeper,20,90,11.0,5.0,6.0,4.5,-0.5,0,8.0,24.0,59.0,12.0,1811.3,7.0,308.0,6.0,0.0,3.0,59.4
Guglielmo Vicario,J4,Tottenham,English Premier League,ITA,GK,Goalkeeper,26,90,4.0,2.0,2.0,2.3,0.3,0,2.0,13.0,47.0,4.0,1301.9,6.0,115.2,8.0,0.0,1.0,31.0
Bart Verbruggen,J4,Brighton,English Premier League,NED,GK,Goalkeeper,21,90,2.0,1.0,1.0,0.4,-0.6,0,4.0,10.0,58.0,4.0,1571.8,3.0,23.1,8.0,1.0,0.0,0.0
Nick Pope,J4,Newcastle Utd,English Premier League,ENG,GK,Goalkeeper,31,90,6.0,3.0,3.0,1.5,-1.5,0,2.0,6.0,24.0,6.0,669.6,5.0,237.0,6.0,0.0,4.0,98.0
Sam Johnstone,J4,Crystal Palace,English Premier League,ENG,GK,Goalkeeper,30,90,4.0,2.0,2.0,0.7,-1.3,0,5.0,16.0,23.0,4.0,749.8,13.0,487.5,21.0,1.0,1.0,15.0
José Sá,J4,Wolves,English Premier League,POR,GK,Goalkeeper,30,90,10.0,3.0,7.0,3.9,0.9,0,1.0,8.0,29.0,9.0,867.1,6.0,105.0,14.0,2.0,0.0,0.0
Juan Musso,J11,Atalanta,Italian Serie A,ARG,GK,Goalkeeper,29,90,4.0,2.0,2.0,2.1,0.1,0,2.0,8.0,22.0,8.0,677.6,6.0,289.2,9.0,1.0,0.0,0.0
Yann Sommer,J11,Inter,Italian Serie A,SUI,GK,Goalkeeper,34,90,4.0,1.0,3.0,0.6,-0.4,0,6.0,17.0,28.0,5.0,1078.0,8.0,410.4,19.0,0.0,0.0,0.0
Alisson,J4,Liverpool,English Premier League,BRA,GK,Goalkeeper,30,90,3.0,0.0,3.0,0.2,0.2,1,3.0,4.0,29.0,3.0,635.1,6.0,136.8,9.0,1.0,2.0,30.4
Emiliano Martínez,J4,Aston Villa,English Premier League,ARG,GK,Goalkeeper,31,90,4.0,3.0,2.0,1.0,-2.0,0,4.0,10.0,34.0,7.0,948.6,6.0,235.8,8.0,1.0,1.0,14.3
Aaron Ramsdale,J4,Arsenal,English Premier League,ENG,GK,Goalkeeper,25,90,2.0,1.0,1.0,0.6,-0.4,0,2.0,5.0,27.0,6.0,693.9,0.0,0.0,2.0,0.0,0.0,0.0
André Onana,J4,Manchester Utd,English Premier League,CMR,GK,Goalkeeper,27,90,5.0,3.0,2.0,1.6,-1.4,0,4.0,11.0,51.0,1.0,1320.9,2.0,77.0,20.0,1.0,0.0,0.0
José Sá,J5,Wolves,English Premier League,POR,GK,Goalkeeper,30,90,5.0,3.0,3.0,2.3,-0.7,0,2.0,14.0,19.0,8.0,653.6,7.0,420.0,13.0,3.0,0.0,0.0
Alisson,J5,Liverpool,English Premier League,BRA,GK,Goalkeeper,30,90,2.0,1.0,1.0,0.1,-0.9,0,2.0,4.0,33.0,5.0,788.7,7.0,174.3,11.0,0.0,2.0,51.4
Guglielmo Vicario,J5,Tottenham,English Premier League,ITA,GK,Goalkeeper,26,90,5.0,1.0,4.0,1.4,0.4,0,1.0,5.0,27.0,6.0,731.7,1.0,32.0,4.0,1.0,4.0,100.0
Wes Foderingham,J5,Sheffield Utd,English Premier League,ENG,GK,Goalkeeper,32,90,10.0,2.0,8.0,2.0,0.0,0,19.0,32.0,35.0,6.0,1561.0,13.0,594.1,26.0,1.0,1.0,15.2
Alphonse Areola,J5,West Ham,English Premier League,FRA,GK,Goalkeeper,30,90,13.0,3.0,10.0,4.3,1.3,0,4.0,5.0,15.0,7.0,378.0,6.0,196.2,15.0,0.0,0.0,0.0
Ederson,J5,Manchester City,English Premier League,BRA,GK,Goalkeeper,30,90,3.0,1.0,2.0,1.3,0.3,0,2.0,5.0,29.0,5.0,762.7,2.0,30.0,8.0,0.0,0.0,0.0
Emiliano Martínez,J5,Aston Villa,English Premier League,ARG,GK,Goalkeeper,31,90,3.0,1.0,2.0,0.7,-0.3,0,1.0,4.0,31.0,8.0,713.0,6.0,186.0,10.0,0.0,3.0,89.1
Sam Johnstone,J5,Crystal Palace,English Premier League,ENG,GK,Goalkeeper,30,90,5.0,3.0,2.0,2.5,-0.5,0,6.0,15.0,20.0,3.0,940.0,2.0,136.0,19.0,2.0,2.0,27.6
Bernd Leno,J5,Fulham,English Premier League,GER,GK,Goalkeeper,31,90,2.0,0.0,2.0,0.9,0.9,1,3.0,8.0,19.0,2.0,505.4,5.0,337.0,10.0,0.0,0.0,0.0
Thomas Kaminski,J5,Luton Town,English Premier League,BEL,GK,Goalkeeper,30,90,2.0,1.0,1.0,1.0,0.0,0,5.0,17.0,19.0,7.0,653.6,10.0,660.0,22.0,2.0,0.0,0.0
André Onana,J5,Manchester Utd,English Premier League,CMR,GK,Goalkeeper,27,90,8.0,3.0,5.0,2.5,-0.5,0,1.0,11.0,38.0,5.0,1121.0,3.0,54.0,4.0,0.0,0.0,0.0
Jason Steele,J5,Brighton,English Premier League,ENG,GK,Goalkeeper,33,90,4.0,1.0,3.0,0.7,-0.3,0,8.0,12.0,52.0,2.0,1424.8,3.0,38.1,15.0,0.0,3.0,65.4
Nick Pope,J5,Newcastle Utd,English Premier League,ENG,GK,Goalkeeper,31,90,2.0,0.0,2.0,0.6,0.6,1,5.0,13.0,19.0,6.0,663.1,9.0,504.0,9.0,1.0,1.0,15.3
Mark Flekken,J5,Brentford,English Premier League,NED,GK,Goalkeeper,30,90,2.0,1.0,1.0,1.0,0.0,0,5.0,26.0,36.0,3.0,1544.4,7.0,422.1,21.0,0.0,2.0,19.4
Neto,J5,Bournemouth,English Premier League,BRA,GK,Goalkeeper,34,90,6.0,0.0,6.0,1.5,1.5,1,3.0,7.0,22.0,6.0,660.0,7.0,177.1,10.0,1.0,0.0,0.0
Robert Sánchez,J5,Chelsea,English Premier League,ESP,GK,Goalkeeper,25,90,4.0,0.0,4.0,0.9,0.9,1,5.0,9.0,41.0,9.0,906.1,12.0,360.0,11.0,3.0,4.0,67.6
Mike Maignan,J11,Milan,Italian Serie A,FRA,GK,Goalkeeper,28,90,2.0,1.0,1.0,1.1,0.1,0,2.0,4.0,25.0,4.0,655.0,6.0,205.2,9.0,0.0,3.0,96.9
Marco Silvestri,J11,Udinese,Italian Serie A,ITA,GK,Goalkeeper,32,90,4.0,0.0,4.0,1.1,1.1,1,7.0,14.0,16.0,4.0,644.8,7.0,391.3,27.0,0.0,0.0,0.0
Jordan Pickford,J5,Everton,English Premier League,ENG,GK,Goalkeeper,29,90,4.0,1.0,3.0,0.8,-0.2,0,9.0,32.0,36.0,3.0,1746.0,9.0,500.4,14.0,0.0,0.0,0.0
David Raya,J5,Arsenal,English Premier League,ESP,GK,Goalkeeper,28,90,1.0,0.0,1.0,0.1,0.1,1,5.0,7.0,35.0,7.0,920.5,4.0,133.2,4.0,2.0,3.0,53.1
Matt Turner,J5,Nott'ham Forest,English Premier League,USA,GK,Goalkeeper,29,90,3.0,1.0,2.0,0.6,-0.4,0,6.0,14.0,32.0,9.0,1008.0,8.0,286.4,14.0,2.0,2.0,33.6
James Trafford,J5,Burnley,English Premier League,ENG,GK,Goalkeeper,20,90,4.0,1.0,3.0,1.0,0.0,0,2.0,8.0,47.0,2.0,940.0,6.0,241.8,15.0,1.0,2.0,32.0
Thomas Kaminski,J6,Luton Town,English Premier League,BEL,GK,Goalkeeper,30,90,3.0,1.0,2.0,0.8,-0.2,0,3.0,15.0,29.0,5.0,1104.9,2.0,105.0,5.0,0.0,1.0,24.0
José Sá,J6,Wolves,English Premier League,POR,GK,Goalkeeper,30,90,4.0,1.0,3.0,2.0,1.0,0,6.0,28.0,30.0,6.0,1320.0,14.0,908.6,34.0,1.0,2.0,28.4
Ederson,J6,Manchester City,English Premier League,BRA,GK,Goalkeeper,30,90,3.0,0.0,3.0,0.4,0.4,1,7.0,19.0,30.0,3.0,1137.0,8.0,575.2,13.0,3.0,1.0,11.0
Matt Turner,J6,Nott'ham Forest,English Premier League,USA,GK,Goalkeeper,29,90,4.0,2.0,2.0,1.0,-1.0,0,2.0,5.0,9.0,2.0,303.3,3.0,105.0,7.0,1.0,0.0,0.0
Sam Johnstone,J6,Crystal Palace,English Premier League,ENG,GK,Goalkeeper,30,90,5.0,0.0,5.0,0.5,0.5,1,4.0,14.0,26.0,6.0,868.4,6.0,373.2,14.0,0.0,0.0,0.0
Bernd Leno,J6,Fulham,English Premier League,GER,GK,Goalkeeper,31,90,3.0,0.0,3.0,0.7,0.7,1,1.0,3.0,42.0,6.0,856.8,2.0,29.0,11.0,1.0,2.0,31.2
Mark Flekken,J6,Brentford,English Premier League,NED,GK,Goalkeeper,30,90,6.0,3.0,3.0,1.5,-1.5,0,0.0,7.0,49.0,7.0,1225.0,12.0,224.4,15.0,0.0,0.0,0.0
Jordan Pickford,J6,Everton,English Premier League,ENG,GK,Goalkeeper,29,90,2.0,1.0,1.0,0.9,-0.1,0,7.0,20.0,31.0,5.0,1230.7,4.0,253.2,9.0,1.0,0.0,0.0
James Trafford,J6,Burnley,English Premier League,ENG,GK,Goalkeeper,20,90,4.0,1.0,3.0,0.8,-0.2,0,2.0,7.0,78.0,6.0,1489.8,3.0,65.1,9.0,1.0,0.0,0.0
André Onana,J6,Manchester Utd,English Premier League,CMR,GK,Goalkeeper,27,90,4.0,0.0,4.0,0.6,0.6,1,4.0,17.0,38.0,3.0,1311.0,4.0,162.0,17.0,1.0,0.0,0.0
Robert Sánchez,J6,Chelsea,English Premier League,ESP,GK,Goalkeeper,25,90,7.0,1.0,6.0,1.7,0.7,0,4.0,8.0,25.0,7.0,772.5,4.0,135.2,16.0,2.0,5.0,105.0
Emiliano Martínez,J6,Aston Villa,English Premier League,ARG,GK,Goalkeeper,31,90,4.0,0.0,4.0,1.6,1.6,1,5.0,15.0,45.0,5.0,1291.5,6.0,196.8,10.0,0.0,3.0,72.0
David Raya,J6,Arsenal,English Premier League,ESP,GK,Goalkeeper,28,90,5.0,2.0,3.0,2.6,0.6,0,6.0,15.0,35.0,7.0,1225.0,1.0,18.0,8.0,0.0,4.0,108.8
Guglielmo Vicario,J6,Tottenham,English Premier League,ITA,GK,Goalkeeper,26,90,5.0,2.0,4.0,1.8,-0.2,0,3.0,12.0,39.0,6.0,1127.1,9.0,207.9,17.0,2.0,2.0,27.0
Alisson,J6,Liverpool,English Premier League,BRA,GK,Goalkeeper,30,90,4.0,1.0,3.0,1.4,0.4,0,2.0,4.0,36.0,7.0,860.4,0.0,0.0,14.0,1.0,2.0,34.4
Alphonse Areola,J6,West Ham,English Premier League,FRA,GK,Goalkeeper,30,90,7.0,3.0,4.0,3.4,0.4,0,4.0,14.0,22.0,5.0,682.0,11.0,430.1,18.0,0.0,0.0,0.0
Lorenzo Montipò,J11,Hellas Verona,Italian Serie A,ITA,GK,Goalkeeper,27,90,6.0,3.0,3.0,1.3,-1.7,0,5.0,6.0,14.0,5.0,449.4,5.0,197.0,11.0,0.0,0.0,0.0
Michele Di Gregorio,J11,Monza,Italian Serie A,ITA,GK,Goalkeeper,26,90,5.0,1.0,4.0,1.3,0.3,0,4.0,10.0,30.0,11.0,807.0,11.0,467.5,18.0,1.0,0.0,0.0
Bart Verbruggen,J6,Brighton,English Premier League,NED,GK,Goalkeeper,21,90,3.0,1.0,2.0,0.6,-0.4,0,4.0,18.0,52.0,3.0,1794.0,0.0,0.0,7.0,1.0,1.0,16.5
Neto,J6,Bournemouth,English Premier League,BRA,GK,Goalkeeper,34,90,4.0,3.0,2.0,2.3,-0.7,0,4.0,21.0,24.0,1.0,1096.8,5.0,264.0,10.0,0.0,0.0,0.0
Wes Foderingham,J6,Sheffield Utd,English Premier League,ENG,GK,Goalkeeper,32,90,15.0,8.0,7.0,6.8,-1.2,0,3.0,17.0,28.0,4.0,1019.2,6.0,301.8,13.0,0.0,0.0,0.0
Nick Pope,J6,Newcastle Utd,English Premier League,ENG,GK,Goalkeeper,31,90,1.0,0.0,1.0,0.2,0.2,1,4.0,6.0,21.0,6.0,569.1,6.0,205.2,5.0,0.0,4.0,92.8
Emiliano Martínez,J7,Aston Villa,English Premier League,ARG,GK,Goalkeeper,31,90,3.0,1.0,2.0,1.1,0.1,0,6.0,25.0,33.0,0.0,1419.0,8.0,388.8,10.0,0.0,0.0,0.0
Jason Steele,J7,Brighton,English Premier League,ENG,GK,Goalkeeper,33,90,9.0,6.0,4.0,3.1,-2.9,0,1.0,1.0,29.0,4.0,698.9,0.0,0.0,3.0,1.0,0.0,0.0
André Onana,J7,Manchester Utd,English Premier League,CMR,GK,Goalkeeper,27,90,2.0,1.0,1.0,0.4,-0.6,0,2.0,3.0,30.0,3.0,618.0,6.0,106.2,9.0,0.0,3.0,99.9
Sam Johnstone,J7,Crystal Palace,English Premier League,ENG,GK,Goalkeeper,30,90,3.0,0.0,3.0,0.3,0.3,1,6.0,20.0,13.0,0.0,642.2,11.0,665.5,24.0,2.0,0.0,0.0
