Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 26_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 33_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
23,Rafael Ferrario,ar ARG,GK,Barracas Central,23,2000,8,8,720,8.0,8,1.00,28,21,71.4,2,3,3,2,25.0,0,0,0,0,,Matches,23,Rafael Ferrario,ar ARG,GK,Barracas Central,23,2000,8.0,8,0,0,0,1,7.6,0.28,+0.6,+0.08,66,169,39.1,147,23,70.1,49.9,74,89.2,63.9,149,10,6.7,6,0.75,11.4,Matches
24,Cristopher Fiermarin,uy URU,GK,Defensa y Just,26,1998,10,10,900,10.0,17,1.70,42,26,64.3,0,5,5,1,10.0,3,2,1,0,33.3,Matches,24,Cristopher Fiermarin,uy URU,GK,Defensa y Just,26,1998,10.0,17,2,1,0,2,15.8,0.31,+0.8,+0.08,45,111,40.5,280,45,28.6,31.1,102,30.4,33.3,171,10,5.8,4,0.40,11.4,Matches
25,Hernán Galíndez,ec ECU,GK,Huracán,36,1987,24,24,2160,24.0,14,0.58,67,53,80.6,10,10,4,13,54.2,1,1,0,0,0.0,Matches,25,Hernán Galíndez,ec ECU,GK,Huracán,36,1987,24.0,14,1,0,3,0,18.6,0.27,+4.6,+0.19,111,392,28.3,612,76,45.8,40.4,184,60.9,49.8,359,23,6.4,8,0.33,10.2,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
26,Lautaro Garzón,ar ARG,GK,Vélez Sarsfield,20,2003,1,0,39,0.4,1,2.31,2,1,50.0,0,0,0,0,,0,0,0,0,,Matches,26,Lautaro Garzón,ar ARG,GK,Vélez Sarsfield,20,2003,0.4,1,0,0,0,0,0.6,0.30,-0.4,-0.92,0,1,0.0,7,2,0.0,27.1,2,50.0,41.0,6,1,16.7,0,0.00,8.0,Matches
27,Orlando Gil,py PAR,GK,San Lorenzo,23,2000,1,1,90,1.0,1,1.00,3,2,66.7,0,0,1,0,0.0,0,0,0,0,,Matches,27,Orlando Gil,py PAR,GK,San Lorenzo,23,2000,1.0,1,0,0,0,0,1.1,0.36,+0.1,+0.09,3,11,27.3,15,4,20.0,29.2,13,61.5,50.3,14,1,7.1,0,0.00,4.5,Matches
28,Gastón Gómez,ar ARG,GK,San Lorenzo,27,1996,16,16,1440,16.0,13,0.81,51,39,78.4,6,5,5,5,31.3,2,2,0,0,0.0,Matches,28,Gastón Gómez,ar ARG,GK,San Lorenzo,27,1996,16.0,13,2,0,1,1,13.6,0.25,+1.6,+0.10,93,242,38.4,288,39,51.7,41.5,142,65.5,51.5,229,6,2.6,6,0.38,11.3,Matches
29,Guido Herrera,ar ARG,GK,Talleres,31,1992,26,26,2340,26.0,26,1.00,90,65,75.6,12,9,5,11,42.3,4,4,0,0,0.0,Matches,29,Guido Herrera,ar ARG,GK,Talleres,31,1992,26.0,26,4,0,4,1,21.9,0.22,-3.1,-0.12,177,396,44.7,622,72,50.5,41.1,178,46.1,40.4,401,29,7.2,18,0.69,11.9,Matches
30,Lucas Hoyos,ar ARG,GK,Newell's OB,34,1989,11,11,976,10.8,10,0.92,34,25,73.5,3,2,6,4,36.4,2,1,0,1,0.0,Matches,30,Lucas Hoyos,ar ARG,GK,Newell's OB,34,1989,10.8,10,1,0,0,1,11.7,0.31,+2.7,+0.25,62,157,39.5,271,24,43.9,36.4,72,52.8,41.8,154,12,7.8,9,0.83,13.0,Matches
31,Fabricio Iacovich,ar ARG,GK,Estudiantes–LP,22,2002,1,1,90,1.0,2,2.00,4,3,50.0,0,1,0,0,0.0,0,0,0,0,,Matches,31,Fabricio Iacovich,ar ARG,GK,Estudiantes–LP,22,2002,1.0,2,0,0,0,1,0.8,0.20,-0.2,-0.18,2,11,18.2,26,10,23.1,29.3,10,50.0,41.2,26,4,15.4,0,0.00,8.0,Matches
