Player,Nationality,Team,League,Position,General Position,Age,Minutes,Matches,Shouting Index,Creation Index,Passing Index,Possession Index,Defense Index,Global Index
Adam Markhiev,FIN,FK Rīgas FS,UEFA Europa League,CM,Midfielder,22,636,1,76,45,37,47,77,59
Adam Marušić,MNE,Lazio,"Italian Serie A, UEFA Europa League",RB,Defender,32,3336,1,89,55,56,51,35,51
Adam Masina,MAR,Torino,Italian Serie A,CB,Defender,31,1919,1,69,57,54,52,55,56
Adam Obert,SVK,Cagliari,Italian Serie A,LB,Defender,22,1077,1,78,61,56,43,78,65
Adam Sevinsky,CZE,Sparta Prague,UEFA Champions League,CB,Defender,20,90,1,39,43,40,7,25,27
Adam Smith,ENG,Bournemouth,English Premier League,RB,Defender,34,1590,1,23,56,41,36,27,33
Adam Ståhl,FIN,Djurgården,UEFA Europa Conference League,RB,Defender,30,989,1,34,71,39,56,53,49
Adam Sørensen,DEN,Bodø/Glimt,UEFA Europa League,LB,Defender,23,10,1,39,55,71,60,20,43
Adam Webster,ENG,Brighton,English Premier League,CB,Defender,30,887,1,40,47,75,64,49,56
Adam Wharton,ENG,Crystal Palace,English Premier League,CM,Midfielder,20,1318,1,42,69,74,55,57,60
Adam Wilson,KEN,The New Saints,UEFA Europa Conference League,AM,Forward,24,168,1,19,65,32,44,70,42
Adama Boiro,ESP,Athletic Club,"Spanish La Liga, UEFA Europa League",LB,Defender,22,1176,1,76,66,53,53,40,52
Adama Traoré,MLI,Ferencváros,UEFA Europa League,LW,Forward,29,2464,2,42,78,60,67,52,61
Adamo Nagalo,BFA,PSV Eindhoven,UEFA Champions League,CB,Defender,22,146,1,26,48,60,52,72,58
Ademola Lookman,NGA,Atalanta,"Italian Serie A, UEFA Champions League",AM,Forward,27,2726,1,89,84,66,86,42,80
Adil Taoui,FRA,LASK,UEFA Europa Conference League,CM,Midfielder,23,107,1,26,58,23,84,35,44
Adnan Januzaj,BEL,Las Palmas,Spanish La Liga,AM,Forward,30,598,1,73,82,84,86,60,79
Ado Onaiwu,JPN,Auxerre,French Ligue 1,AM,Forward,29,957,1,67,48,57,51,60,56
Adri Embarba,ESP,Rayo Vallecano,Spanish La Liga,RW,Forward,33,1607,1,42,54,52,66,71,53
Adrian Baquerin,ESP,Valladolid,Spanish La Liga,AM,Forward,18,49,1,22,28,27,18,54,26
Adrian Beck,GER,Heidenheim,"German Bundesliga, UEFA Europa Conference League",AM,Forward,27,2078,1,60,55,74,60,75,62
Adrian Benedyczak,POL,Parma,Italian Serie A,LW,Forward,24,214,1,19,15,34,26,28,22
Adrian Bernabe,ESP,Parma,Italian Serie A,DM,Midfielder,23,1453,1,58,69,79,81,38,62
Adrian Cieślewicz,POL,The New Saints,UEFA Europa Conference League,LM,Midfielder,34,50,1,34,59,51,35,17,35
Adrian Niño,ESP,Atlético Madrid,Spanish La Liga,AM,Forward,20,12,1,22,28,14,8,8,19
Adrian Skogmar,SWE,Malmö,UEFA Europa League,RB,Defender,19,99,1,50,61,38,42,42,44
Adrian Șut,ROU,FCSB,UEFA Europa League,DM,Midfielder,25,879,1,84,38,35,20,47,43
Adriano Bregou,GRE,Panathinaikos,UEFA Europa Conference League,LM,Midfielder,18,2,1,34,27,32,62,22,34
Adrien Rabiot,FRA,Marseille,French Ligue 1,AM,Forward,30,2485,1,66,56,76,79,74,68
Adrien Tameze,CMR,Torino,Italian Serie A,CM,Midfielder,31,649,1,40,37,41,56,35,41
Adrien Thomasson,FRA,Lens,French Ligue 1,CM,Midfielder,31,2615,1,46,81,69,68,65,66
Adrien Truffert,FRA,Rennes,French Ligue 1,WB,Midfielder,23,2752,1,53,62,51,72,52,57
Adrià Altimira,ESP,Leganés,Spanish La Liga,RB,Defender,24,1630,1,42,59,36,40,50,45
Adrià Pedrosa,ESP,Sevilla,Spanish La Liga,LB,Defender,27,2298,1,82,73,48,55,52,57
Adrián Diéguez,ESP,Jagiellonia,UEFA Europa Conference League,CB,Defender,28,449,1,44,22,55,61,45,49
Adrián Marín,ESP,Braga,UEFA Europa League,LB,Defender,28,174,1,26,36,61,63,48,50
Adryelson,BRA,"Anderlecht, Lyon","French Ligue 1, UEFA Europa League",CB,Defender,26,181,1,46,31,40,56,61,52
Adu Ares,ESP,Athletic Club,Spanish La Liga,RW,Forward,22,19,1,31,46,45,87,22,47
Afimico Pululu,NAN,Jagiellonia,UEFA Europa Conference League,AM,Forward,26,996,1,78,51,37,25,37,51
Afonso Bastardo,POR,Sporting CP,UEFA Champions League,AM,Forward,19,35,1,40,33,66,69,8,46
Aguibou Camara,GUI,Ludogorets,UEFA Europa League,AM,Forward,23,266,1,28,16,60,57,85,39
Agustín Doffo,ARG,Olimpija,UEFA Europa Conference League,CM,Midfielder,29,629,1,36,63,65,59,84,66
Ahmed Qasem,SWE,Elfsborg,UEFA Europa League,LW,Forward,21,663,1,46,36,33,21,67,38
Ahmet Muhamedbegovic,AUT,Olimpija,UEFA Europa Conference League,CB,Defender,26,630,1,43,34,73,66,49,55
Ahmetcan Kaplan,TUR,Ajax,UEFA Europa League,CB,Defender,22,197,1,39,23,22,33,39,33
Aihen Muñoz,ESP,Real Sociedad,"Spanish La Liga, UEFA Europa League",LB,Defender,27,1726,1,36,49,48,59,53,51
Aimar Oroz,ESP,Osasuna,Spanish La Liga,LM,Midfielder,23,2966,1,79,77,52,58,29,52
Aimen Moueffek,FRA,Saint-Étienne,French Ligue 1,RM,Midfielder,24,1039,1,27,62,46,46,46,46
Aingeru Olabarrieta,ESP,Athletic Club,"Spanish La Liga, UEFA Europa League",RW,Forward,19,83,1,32,20,22,49,54,31
Ainsley Maitland-Niles,ENG,Lyon,"French Ligue 1, UEFA Europa League",RB,Defender,27,2944,1,50,89,68,70,67,67
Aitor Paredes,ESP,Athletic Club,"Spanish La Liga, UEFA Europa League",CB,Defender,25,2627,1,79,31,47,28,38,43
Aitor Ruibal,ESP,Betis,"Spanish La Liga, UEFA Europa Conference League",RB,Defender,29,2138,1,72,87,61,61,68,67
Akor Adams,NGA,"Montpellier, Sevilla","French Ligue 1, Spanish La Liga",AM,Forward,25,1209,1,44,35,29,10,31,32
Alaa Ghram,TUN,Shakhtar,UEFA Champions League,CB,Defender,23,135,1,39,30,20,28,74,46
Alan Forrest,SCO,Hearts,UEFA Europa Conference League,LM,Midfielder,28,420,1,87,43,25,62,47,50
Alan Matturro,URU,Genoa,Italian Serie A,CB,Defender,20,900,1,49,42,26,31,35,35
Alan Minda,ECU,Cercle Brugge,UEFA Europa Conference League,AM,Forward,21,317,1,72,49,47,37,29,52
Alan Varela,ARG,Porto,UEFA Europa League,CM,Midfielder,23,735,1,36,38,66,59,60,55
Alan Virginius,FRA,Young Boys,UEFA Champions League,LM,Midfielder,22,298,1,30,71,28,29,14,30
Alassane Pléa,FRA,Gladbach,German Bundesliga,AM,Forward,32,1902,1,72,70,72,61,30,67
Albert Grønbaek,DEN,"Rennes, Southampton","English Premier League, French Ligue 1",AM,Forward,23,956,1,64,58,53,51,62,58
Albert Guðmundsson,ISL,Fiorentina,"Italian Serie A, UEFA Europa Conference League",AM,Forward,27,1733,1,72,55,66,60,38,62
Albert Sambi Lokonga,BEL,Sevilla,Spanish La Liga,DM,Midfielder,25,1471,1,34,51,72,54,37,49
Albert Vallci,AUT,St. Gallen,UEFA Europa Conference League,CB,Defender,29,425,1,61,49,63,44,41,49
Alberto Cerri,ITA,Como,Italian Serie A,AM,Forward,28,87,1,33,28,20,29,34,29
Alberto Dossena,ITA,Como,Italian Serie A,CB,Defender,26,1825,1,38,41,36,28,51,41
Alberto Grassi,ITA,Empoli,Italian Serie A,CM,Midfielder,30,2203,1,50,28,33,18,49,37
Alberto Manzoni,ITA,Atalanta,Italian Serie A,CM,Midfielder,19,6,1,25,35,52,56,16,35
Alberto Marí,ESP,Valencia,Spanish La Liga,AM,Forward,23,7,1,31,35,47,34,8,34
Alberto Moleiro,ESP,Las Palmas,Spanish La Liga,LW,Forward,21,2714,1,61,66,68,71,50,65
Alberto Moreno,ESP,Como,Italian Serie A,LB,Defender,32,1727,1,54,64,65,65,27,48
Alberto Risco,ESP,Getafe,Spanish La Liga,AM,Midfielder,19,69,1,44,72,50,91,71,67
Alberto costa,POR,"Juventus, Vitória","Italian Serie A, UEFA Europa Conference League",RB,Defender,21,717,1,79,78,49,68,84,73
Albian Hajdari,SUI,Lugano,UEFA Europa Conference League,CB,Defender,21,629,1,91,43,55,49,46,54
Albion Rrahmani,KVX,Sparta Prague,UEFA Champions League,AM,Forward,24,325,1,59,28,40,16,48,38
Alec Van Hoorenbeeck,BEL,Twente,UEFA Europa League,CB,Defender,26,231,1,44,17,36,36,50,41
Aleix García,ESP,Leverkusen,"German Bundesliga, UEFA Champions League",CM,Midfielder,27,1819,1,81,64,83,82,26,61
Alejandro Balde,ESP,Barcelona,"Spanish La Liga, UEFA Champions League",LB,Defender,21,3087,1,38,90,55,81,24,48
Alejandro Blanco,ESP,Olimpija,UEFA Europa Conference League,RM,Midfielder,26,418,1,60,66,20,37,18,34
Alejandro Francés,ESP,Girona,"Spanish La Liga, UEFA Champions League",RB,Defender,22,1608,1,38,64,71,66,56,59
Alejandro Garnacho,ARG,Manchester Utd,"English Premier League, UEFA Europa League",AM,Forward,20,3170,1,51,70,55,83,51,63
Alejandro Jiménez,ESP,Milan,Italian Serie A,RB,Defender,20,1266,1,44,89,43,62,49,52
Alejandro Rodriguez,POR,Lyon,French Ligue 1,AM,Forward,17,20,1,31,28,15,26,21,26
Alejo Véliz,ARG,Espanyol,Spanish La Liga,AM,Forward,21,1127,1,31,18,23,7,39,22
Aleks Pihler,SVN,Borac Banja Luka,UEFA Europa Conference League,CM,Midfielder,30,10,1,34,11,13,3,44,24
Aleksa Amanović,MKD,Astana FK,UEFA Europa Conference League,CM,Midfielder,28,315,1,38,22,23,25,34,29
Aleksa Pejić,SRB,TSC,UEFA Europa Conference League,CM,Midfielder,25,247,1,34,35,41,43,82,53
Aleksa Terzić,SRB,RB Salzburg,UEFA Champions League,LB,Defender,25,400,1,39,43,45,73,49,51
Aleksandar Katai,SRB,Red Star,UEFA Champions League,AM,Forward,33,26,1,31,23,19,21,8,23
Aleksandar Miljković,SRB,FC Noah,UEFA Europa Conference League,RB,Defender,34,223,1,44,45,55,60,66,58
Aleksandar Pavlovic,GER,Bayern Munich,"German Bundesliga, UEFA Champions League",DM,Midfielder,21,1743,1,59,54,75,83,48,63
Aleksandar Pešić,SRB,Ferencváros,UEFA Europa League,AM,Forward,32,45,1,37,20,20,50,30,31
Aleksandar Sedlar,SRB,Alavés,Spanish La Liga,CB,Defender,33,594,1,41,19,24,14,58,38
Aleksandar Stančić,SRB,TSC,UEFA Europa Conference League,CM,Midfielder,18,11,1,25,51,51,62,44,47
Aleksandar Subić,BIH,Borac Banja Luka,UEFA Europa Conference League,LB,Defender,31,24,1,39,16,15,28,48,34
Aleksandar Ćirković,SRB,TSC,UEFA Europa Conference League,LM,Forward,23,479,1,37,75,63,72,38,59
Aleksandr Golovin,RUS,Monaco,"French Ligue 1, UEFA Champions League",LW,Forward,28,1727,1,53,71,83,78,79,70
Aleksandr Marochkin,KAZ,Astana FK,UEFA Europa Conference League,CB,Defender,34,271,1,39,25,14,5,23,20
Aleksandr Selyava,BLR,Dinamo Minsk,UEFA Europa Conference League,DM,Midfielder,32,257,1,25,21,50,18,58,39
Aleksei Isayev,AZE,Qarabağ,UEFA Europa League,CM,Midfielder,28,7,1,34,11,30,18,5,17
Alen Mustafić,BIH,Slovan Bratislava,UEFA Champions League,CM,Midfielder,25,35,1,34,59,72,46,76,61
Alessandro Bastoni,ITA,Inter,"Italian Serie A, UEFA Champions League",CB,Defender,26,3476,1,60,82,78,88,42,63
Alessandro Bianco,ITA,"Fiorentina, Monza",Italian Serie A,CM,Midfielder,22,2618,1,49,36,60,57,41,48
Alessandro Buongiorno,ITA,Napoli,Italian Serie A,CB,Defender,25,1924,1,72,36,58,54,62,59
Alessandro Circati,AUS,Parma,Italian Serie A,CB,Defender,21,540,1,23,21,25,11,32,24
Alessandro Deiola,ITA,Cagliari,Italian Serie A,CM,Midfielder,29,1432,1,73,41,31,20,54,43
Alessandro Florenzi,ITA,Milan,Italian Serie A,LW,Forward,34,5,1,31,12,34,61,8,30
Alessandro Gabrielloni,ITA,Como,Italian Serie A,AM,Forward,30,142,1,91,51,66,60,34,66
Alessandro Marcandalli,ITA,"Genoa, Venezia",Italian Serie A,CB,Defender,22,400,1,39,22,27,26,59,41
Alessandro Vogliacco,ITA,"Genoa, Parma",Italian Serie A,CB,Defender,26,1487,1,78,32,49,40,29,42
Alessandro Zanoli,ITA,Genoa,Italian Serie A,RW,Midfielder,24,1711,1,62,53,28,50,36,43
Alessio Cacciamani,ITA,Torino,Italian Serie A,RB,Defender,17,31,1,39,67,26,74,33,43
Alessio Castro-Montes,BEL,Union SG,UEFA Europa League,WB,Midfielder,27,180,1,57,69,50,76,66,64
Alessio Iovine,ITA,Como,Italian Serie A,RB,Defender,34,387,1,42,52,38,61,31,41
Alessio Romagnoli,ITA,Lazio,"Italian Serie A, UEFA Europa League",CB,Defender,30,3533,1,85,48,58,42,47,53
Alessio Zerbin,ITA,"Napoli, Venezia",Italian Serie A,LB,Defender,26,1520,1,56,86,43,56,60,57
Alex Baena,ESP,Villarreal,Spanish La Liga,LM,Midfielder,23,2595,1,71,91,64,75,30,59
Alex Iwobi,NGA,Fulham,English Premier League,LW,Forward,29,2981,1,70,77,80,87,57,76
Alex Král,CZE,Espanyol,Spanish La Liga,CM,Midfielder,27,2714,1,29,50,29,31,49,39
Alex Matthias Tamm,EST,Olimpija,UEFA Europa Conference League,AM,Forward,23,179,1,30,42,49,10,36,34
Alex Scott,ENG,Bournemouth,English Premier League,DM,Midfielder,21,755,1,44,68,68,60,75,66
Alex Sola,ESP,Getafe,Spanish La Liga,LM,Midfielder,25,1029,1,31,61,26,46,43,41
Alex Tóth,HUN,Ferencváros,UEFA Europa League,AM,Midfielder,19,133,1,34,46,44,30,36,37
Alexander Bah,DEN,Benfica,UEFA Champions League,RB,Defender,27,498,1,83,76,58,71,71,70
Alexander Bernhardsson,SWE,Holstein Kiel,German Bundesliga,AM,Forward,26,1263,1,79,57,45,37,68,58
Alexander Djiku,GHA,Fenerbahçe,UEFA Europa League,CB,Defender,30,648,1,79,27,62,52,70,63
Alexander Isak,SWE,Newcastle Utd,English Premier League,AM,Forward,25,2756,1,85,69,51,46,27,64
Alexander Jeremejeff,SWE,Panathinaikos,UEFA Europa Conference League,AM,Forward,31,306,1,50,40,34,17,40,38
Alexander Prass,AUT,Hoffenheim,"German Bundesliga, UEFA Europa League",WB,Midfielder,23,1866,1,32,67,50,74,55,56
Alexander Sørloth,NOR,Atlético Madrid,"Spanish La Liga, UEFA Champions League",AM,Forward,29,1859,1,88,46,38,34,40,54
Alexandr Sojka,CZE,Viktoria Plzeň,UEFA Europa League,AM,Forward,21,127,1,31,34,63,45,81,43
Alexandre Brito,POR,Sporting CP,UEFA Champions League,CM,Midfielder,19,45,1,47,26,32,45,42,39
Alexandre Lacazette,FRA,Lyon,"French Ligue 1, UEFA Europa League",AM,Forward,33,2606,1,68,62,52,29,35,55
Alexandre Penetra,POR,AZ Alkmaar,UEFA Europa League,CB,Defender,23,983,1,32,20,37,29,46,37
Alexandru Băluță,ROU,FCSB,UEFA Europa League,AM,Forward,31,368,1,56,27,52,23,62,41
Alexandru Musi,ROU,FCSB,UEFA Europa League,LW,Forward,20,133,1,35,39,35,65,73,44
Alexandru Pantea,ROU,FCSB,UEFA Europa League,RB,Defender,21,45,1,39,26,40,77,36,45
Alexis Claude-Maurice,FRA,Augsburg,German Bundesliga,AM,Forward,26,2109,1,79,56,54,59,62,63
Alexis Mac Allister,ARG,Liverpool,"English Premier League, UEFA Champions League",DM,Midfielder,26,3273,1,82,79,72,65,64,70
Alexis Saelemaekers,BEL,"Milan, Roma","Italian Serie A, UEFA Europa League",LB,Defender,25,1734,1,98,95,61,80,51,68
Alexis Sánchez,CHI,Udinese,Italian Serie A,AM,Forward,36,437,1,19,47,60,43,44,40
Alexsandro Ribeiro,BRA,Lille,"French Ligue 1, UEFA Champions League",CB,Defender,25,3600,1,51,63,74,65,47,58
Alfie Dorrington,ENG,Tottenham,English Premier League,CB,Defender,19,14,1,39,16,33,45,20,30
Alfie Pond,ENG,Wolves,English Premier League,CB,Defender,20,1,1,39,16,33,45,3,23
Alfon,ESP,Celta Vigo,Spanish La Liga,LW,Forward,26,1371,1,75,72,42,67,30,64
Alfonso Espino,URU,Rayo Vallecano,Spanish La Liga,LB,Defender,33,833,1,45,66,59,63,82,68
Alfonso Pedraza,ESP,Villarreal,Spanish La Liga,LB,Defender,29,460,1,42,97,38,65,28,44
Alfred Duncan,GHA,Venezia,Italian Serie A,CM,Midfielder,32,957,1,38,68,60,50,36,48
Algassime Bah,GUI,APOEL,UEFA Europa Conference League,AM,Forward,22,62,1,24,34,34,55,61,36
Ali Abdi,TUN,Nice,"French Ligue 1, UEFA Europa League",WB,Midfielder,31,1529,1,86,66,43,62,69,64
Ali Al Hamadi,IRQ,Ipswich Town,English Premier League,AM,Forward,22,134,1,21,60,39,51,30,41
Ali Dembélé,FRA,Torino,Italian Serie A,RB,Defender,21,388,1,96,54,36,45,43,50
Ali Jasim,IRQ,Como,Italian Serie A,LB,Defender,20,10,1,39,39,69,74,54,58
Ali Maamar,MAR,Anderlecht,UEFA Europa League,LM,Midfielder,19,157,1,22,70,63,92,51,60
Alidu Seidu,GHA,Rennes,French Ligue 1,CB,Defender,24,803,1,35,65,65,73,75,67
Alieu Atlee Manneh,SWE,Djurgården,UEFA Europa Conference League,LB,Defender,18,27,1,39,16,31,10,31,27
Alieu Fadera,GAM,Como,Italian Serie A,LW,Forward,23,1644,1,38,63,48,70,80,55
Aliou Badara Baldé,GUI,Bochum,German Bundesliga,AM,Forward,21,91,1,38,62,40,68,40,51
Alistair Johnston,CAN,Celtic,UEFA Champions League,RB,Defender,26,836,1,42,71,60,67,70,64
Aljoscha Kemlein,GER,Union Berlin,German Bundesliga,CM,Midfielder,20,922,1,68,43,50,30,41,44
Aljoša Matko,SVN,NK Celje,UEFA Europa Conference League,AM,Midfielder,25,827,1,57,70,23,31,24,36
Allan Nyom,CMR,Getafe,Spanish La Liga,RB,Defender,37,887,1,90,61,37,32,37,45
Allan Saint-Maximin,FRA,Fenerbahçe,UEFA Europa League,LW,Forward,27,382,1,30,78,66,81,44,60
Almoatasem Al Musrati,LBY,"Beşiktaş, Monaco","French Ligue 1, UEFA Champions League, UEFA Europa League",CM,Midfielder,29,784,1,79,57,73,54,77,69
Almugera Kabar,GER,Dortmund,German Bundesliga,LB,Defender,18,137,1,39,66,76,83,52,62
Alois Confais,FRA,Le Havre,French Ligue 1,CM,Midfielder,28,3,1,34,11,19,27,22,23
Alpha Diounkou,SEN,AC Omonia,UEFA Europa Conference League,RB,Defender,23,695,1,41,59,66,73,57,60
Alphadjo Cissè,ITA,Hellas Verona,Italian Serie A,AM,Forward,18,9,1,63,35,71,62,19,53
Alphonso Davies,CAN,Bayern Munich,"German Bundesliga, UEFA Champions League",LB,Defender,24,2261,1,77,92,84,94,49,72
Alyaksandr Sachywka,BLR,Dinamo Minsk,UEFA Europa Conference League,CB,Defender,38,90,1,39,16,62,51,36,43
Alyaksey Hawrylovich,BLR,Dinamo Minsk,UEFA Europa Conference League,CB,Defender,34,410,1,65,20,40,19,42,39
Amad Diallo,CIV,Manchester Utd,"English Premier League, UEFA Europa League",RW,Forward,22,2497,1,76,84,67,88,71,79
Amadou Haidara,MLI,RB Leipzig,"German Bundesliga, UEFA Champions League",CM,Midfielder,27,1908,1,30,53,58,45,74,56
Amadou Koné,MLI,Reims,French Ligue 1,CM,Midfielder,20,1293,1,39,45,52,46,80,57
Amadou Onana,BEL,Aston Villa,"English Premier League, UEFA Champions League",DM,Midfielder,23,1888,1,79,44,50,49,64,58
Amady Camara,MLI,Sturm Graz,UEFA Champions League,AM,Forward,19,132,1,34,36,34,40,54,37
Amar Dedić,BIH,"Marseille, RB Salzburg","French Ligue 1, UEFA Champions League",RB,Defender,22,944,1,43,93,64,86,55,64
Amar Memić,BIH,Viktoria Plzeň,UEFA Europa League,WB,Midfielder,24,272,1,31,54,35,49,72,52
Amara Nallo,ENG,Liverpool,UEFA Champions League,CB,Defender,18,4,1,39,16,14,7,3,12
Amath,SEN,Valladolid,Spanish La Liga,RM,Forward,28,375,1,26,64,53,55,39,48
Ameen Al-Dakhil,BEL,Stuttgart,"German Bundesliga, UEFA Champions League",CB,Defender,23,527,1,29,36,57,47,57,50
Amidou Doumbouya,FRA,Nice,French Ligue 1,LB,Defender,17,46,1,39,30,22,48,74,51
Amin Chiakha,ALG,FC Copenhagen,UEFA Europa Conference League,AM,Forward,19,397,1,86,53,29,27,34,53
Amin Sarr,SWE,Hellas Verona,Italian Serie A,AM,Forward,24,1907,1,49,38,43,26,44,40
Amin-Elias Gröller,AUT,Rapid Wien,UEFA Europa Conference League,CB,Defender,20,46,1,39,30,70,91,60,63
Amine Adli,MAR,Leverkusen,"German Bundesliga, UEFA Champions League",AM,Forward,25,976,1,43,57,58,78,57,57
Amine El Ouazzani,MAR,Braga,UEFA Europa League,AM,Forward,23,408,1,37,21,38,19,42,30
Amine Gouiri,ALG,"Marseille, Rennes",French Ligue 1,AM,Forward,25,2085,1,85,69,58,47,34,66
Amine Harit,MAR,Marseille,French Ligue 1,AM,Forward,27,519,1,71,83,83,77,61,77
Amine Khammas,MAR,AC Omonia,UEFA Europa Conference League,LB,Defender,25,706,1,41,72,73,73,42,56
Amine Salama,FRA,Reims,French Ligue 1,AM,Forward,24,373,1,31,42,45,48,34,40
Amir Richardson,MAR,Fiorentina,"Italian Serie A, UEFA Europa Conference League",DM,Midfielder,23,1613,1,75,47,58,73,56,61
Amir Rrahmani,KVX,Napoli,Italian Serie A,CB,Defender,31,3406,1,44,53,72,62,40,52
Amos Pieper,GER,Werder Bremen,German Bundesliga,CB,Defender,27,1498,1,38,42,50,46,62,52
Anan Khalaili,ISR,Union SG,UEFA Europa League,WB,Midfielder,20,661,1,37,56,41,73,69,58
