Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 26_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 33_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
23,Pedro Gallese,pe PER,GK,Orlando City,35-246,1990,32,32,2880,32.0,49,1.53,154,106,70.1,13,10,9,8,25.0,3,3,0,0,0.0,Matches,23,Pedro Gallese,pe PER,GK,Orlando City,35-246,1990,32.0,49,3,2,3,1,51.8,0.32,+3.8,+0.12,126,310,40.6,598,83,39.5,34.2,178,41.6,34.2,454,21,4.6,39,1.22,15.0,Matches
24,Luka Gavran,ca CAN,GK,Toronto FC,25-171,2000,3,3,270,3.0,3,1.00,9,6,66.7,0,3,0,0,0.0,0,0,0,0,,Matches,24,Luka Gavran,ca CAN,GK,Toronto FC,25-171,2000,3.0,3,0,0,0,0,2.1,0.23,-0.9,-0.31,10,42,23.8,87,11,43.7,37.9,20,20.0,24.3,46,3,6.5,3,1.00,11.2,Matches
25,Thomas Gillier,cl CHI,GK,CF Montréal,21-152,2004,8,8,720,8.0,12,1.50,38,26,68.4,2,4,2,0,0.0,0,0,0,0,,Matches,25,Thomas Gillier,cl CHI,GK,CF Montréal,21-152,2004,8.0,12,0,0,3,0,12.8,0.36,+0.8,+0.11,10,52,19.2,257,32,18.3,26.7,18,27.8,31.4,93,6,6.5,10,1.25,14.3,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
26,Blake Gillingham,us USA,GK,Houston Dynamo,23-016,2002,4,3,294,3.3,4,1.22,15,11,73.3,1,1,1,2,66.7,0,0,0,0,,Matches,26,Blake Gillingham,us USA,GK,Houston Dynamo,23-016,2002,3.3,4,0,1,0,0,6.1,0.41,+2.1,+0.64,8,39,20.5,83,18,32.5,33.3,17,70.6,54.5,44,2,4.5,4,1.22,13.3,Matches
27,Brad Guzan,us USA,GK,Atlanta Utd,41-048,1984,26,26,2340,26.0,49,1.88,134,85,67.9,4,10,12,2,7.7,6,6,0,0,0.0,Matches,27,Brad Guzan,us USA,GK,Atlanta Utd,41-048,1984,26.0,49,6,2,5,0,43.6,0.29,-5.4,-0.21,107,254,42.1,664,123,27.0,30.7,182,41.2,36.9,292,8,2.7,33,1.27,15.4,Matches
28,Nicholas Hagen,gt GUA,GK,Columbus Crew,29-086,1996,3,3,270,3.0,10,3.33,23,13,56.5,0,1,2,0,0.0,0,0,0,0,,Matches,28,Nicholas Hagen,gt GUA,GK,Columbus Crew,29-086,1996,3.0,10,0,0,1,0,9.3,0.43,-0.7,-0.24,0,2,0.0,52,13,3.8,18.7,16,0.0,21.3,23,2,8.7,4,1.33,18.3,Matches
29,Nicholas Hansen,dk DEN,GK,Colorado Rapids,24-109,2001,10,10,900,10.0,14,1.40,46,33,73.9,3,2,5,3,30.0,3,2,1,0,33.3,Matches,29,Nicholas Hansen,dk DEN,GK,Colorado Rapids,24-109,2001,10.0,14,2,0,0,2,14.2,0.26,+2.2,+0.22,48,182,26.4,249,35,53.0,40.9,72,69.4,52.6,127,16,12.6,23,2.30,15.0,Matches
30,Thomas Hasal,ca CAN,GK,LAFC,26-110,1999,2,1,135,1.5,5,3.33,10,5,50.0,0,0,1,1,100.0,0,0,0,0,,Matches,30,Thomas Hasal,ca CAN,GK,LAFC,26-110,1999,1.5,5,0,0,1,0,3.1,0.31,-1.9,-1.30,1,16,6.3,38,13,23.7,28.9,10,70.0,50.5,16,3,18.8,0,0.00,7.1,Matches
31,Jayden Hibbert,ca CAN,GK,Atlanta Utd,21-083,2004,8,8,720,8.0,14,1.75,45,31,68.9,1,3,4,2,25.0,0,0,0,0,,Matches,31,Jayden Hibbert,ca CAN,GK,Atlanta Utd,21-083,2004,8.0,14,0,0,1,0,14.0,0.31,0.0,0.00,21,74,28.4,217,36,26.3,30.2,42,40.5,41.0,100,7,7.0,9,1.13,12.9,Matches
