Game Week,Home Team,Away Team,Score,Attendance,Venue,Referee,Date,URL
J4,Lille,Juventus,1–1,"48,312",Decathlon Arena - Stade Pierre-Mauroy,Irfan Peljto,2024-11-05,https://fbref.com/en/matches/f222cf32/Lille-Juventus-November-5-2024-Champions-League
J4,Dortmund,Sturm Graz,1–0,"81,365",Signal Iduna Park,Erik Lambrechts,2024-11-05,https://fbref.com/en/matches/fcac354a/Dortmund-Sturm-Graz-November-5-2024-Champions-League
J4,Club Brugge,Aston Villa,1–0,"23,466",Jan Breydelstadion,Tobias Stieler,2024-11-06,https://fbref.com/en/matches/b11407d0/Club-Brugge-Aston-Villa-November-6-2024-Champions-League
J4,Shakhtar,Young Boys,2–1,"17,420",Veltins-Arena,Orel Grinfeeld,2024-11-06,https://fbref.com/en/matches/a4b98ad4/Shakhtar-Donetsk-Young-Boys-November-6-2024-Champions-League
J4,Paris S-G,Atlético Madrid,1–2,"47,369",Parc des Princes,Szymon Marciniak,2024-11-06,https://fbref.com/en/matches/c32806c8/Paris-Saint-Germain-Atletico-Madrid-November-6-2024-Champions-League
J4,Bayern Munich,Benfica,1–0,"75,000",Allianz Arena,Davide Massa,2024-11-06,https://fbref.com/en/matches/07796431/Bayern-Munich-Benfica-November-6-2024-Champions-League
J4,Red Star,Barcelona,2–5,"48,886",Stadion Rajko Mitić,Espen Eskås,2024-11-06,https://fbref.com/en/matches/9a70feac/Red-Star-Barcelona-November-6-2024-Champions-League
J4,Sparta Prague,Brest,1–2,"18,033",epet Arena,Mykola Balakin,2024-11-06,https://fbref.com/en/matches/9cef455e/Sparta-Prague-Brest-November-6-2024-Champions-League
J4,Feyenoord,RB Salzburg,1–3,"42,774",Stadion Feijenoord,Donatas Rumšas,2024-11-06,https://fbref.com/en/matches/164e2c72/Feyenoord-Red-Bull-Salzburg-November-6-2024-Champions-League
J4,Stuttgart,Atalanta,0–2,"60,000",MHPArena,Rade Obrenović,2024-11-06,https://fbref.com/en/matches/506c92bc/Stuttgart-Atalanta-November-6-2024-Champions-League
J4,Inter,Arsenal,1–0,"75,222",Stadio Giuseppe Meazza,István Kovács,2024-11-06,https://fbref.com/en/matches/16d01a57/Internazionale-Arsenal-November-6-2024-Champions-League
J5,Slovan Bratislava,Milan,2–3,"22,500",Štadión Tehelné pole,Jose Maria Sánchez,2024-11-26,https://fbref.com/en/matches/28984772/Slovan-Bratislava-Milan-November-26-2024-Champions-League
J5,Sparta Prague,Atlético Madrid,0–6,"18,110",epet Arena,Danny Makkelie,2024-11-26,https://fbref.com/en/matches/7832fcc1/Sparta-Prague-Atletico-Madrid-November-26-2024-Champions-League
J5,Manchester City,Feyenoord,3–3,"47,011",Etihad Stadium,Radu Petrescu,2024-11-26,https://fbref.com/en/matches/552c5c03/Manchester-City-Feyenoord-November-26-2024-Champions-League
J5,Sporting CP,Arsenal,1–5,"47,386",Estádio José Alvalade,Szymon Marciniak,2024-11-26,https://fbref.com/en/matches/160ca071/Sporting-CP-Arsenal-November-26-2024-Champions-League
J5,Barcelona,Brest,3–0,"46,317",Estadi Olímpic Lluís Companys,Irfan Peljto,2024-11-26,https://fbref.com/en/matches/d22fed87/Barcelona-Brest-November-26-2024-Champions-League
J5,Leverkusen,RB Salzburg,5–0,"29,211",BayArena,Mykola Balakin,2024-11-26,https://fbref.com/en/matches/3a843132/Bayer-Leverkusen-Red-Bull-Salzburg-November-26-2024-Champions-League
J5,Inter,RB Leipzig,1–0,"63,174",Stadio Giuseppe Meazza,João Pinheiro,2024-11-26,https://fbref.com/en/matches/36f27dd4/Internazionale-RB-Leipzig-November-26-2024-Champions-League
J5,Bayern Munich,Paris S-G,1–0,"75,000",Allianz Arena,István Kovács,2024-11-26,https://fbref.com/en/matches/93b1eab0/Bayern-Munich-Paris-Saint-Germain-November-26-2024-Champions-League
J5,Young Boys,Atalanta,1–6,"31,500",Stadion Wankdorf,Manfredas Lukjančukas,2024-11-26,https://fbref.com/en/matches/cd869829/Young-Boys-Atalanta-November-26-2024-Champions-League
J5,Red Star,Stuttgart,5–1,"41,372",Stadion Rajko Mitić,Erik Lambrechts,2024-11-27,https://fbref.com/en/matches/8bd536f4/Red-Star-Stuttgart-November-27-2024-Champions-League
J5,Sturm Graz,Girona,1–0,"21,502",Merkur Arena,Rohit Saggi,2024-11-27,https://fbref.com/en/matches/dcfcf574/Sturm-Graz-Girona-November-27-2024-Champions-League
J5,Aston Villa,Juventus,0–0,"42,589",Villa Park,Jesús Gil,2024-11-27,https://fbref.com/en/matches/c862f866/Aston-Villa-Juventus-November-27-2024-Champions-League
J5,Liverpool,Real Madrid,2–0,"59,546",Anfield,François Letexier,2024-11-27,https://fbref.com/en/matches/fe779356/Liverpool-Real-Madrid-November-27-2024-Champions-League
J5,Celtic,Club Brugge,1–1,"57,456",Celtic Park,Georgi Kabakov,2024-11-27,https://fbref.com/en/matches/c9fbb00d/Celtic-Club-Brugge-November-27-2024-Champions-League
