Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Defensive Actions Outside Penalty Area,Penalties Winner,Efficiency,Matches,% Saves,% Long Passes,% Crosses Stopped,PSxG/Save
Federico Lanzillota,ARG,Goalkeeper,bo Bolívar,32.0,1992,3,3,270,2.33,4.0,1.67,0.33,0.0,0.0,0.0,0.0,1.7,0.33,3.0,43.67,7.33,10.0,8.33,1.0,3.33,0.0,-2.33,0.33,41.75,0.0,100.0,0.0
Felipe Zenobio,ARG,Goalkeeper,Tigre,25.0,2000,19,19,1710,0.79,3.42,2.63,0.42,0.16,0.11,0.0,0.05,0.99,4.26,11.68,17.47,3.53,6.47,14.68,1.11,0.42,0.05,-0.79,0.05,76.9,0.0,111.0,0.0
Fernando Miguel,BRA,Goalkeeper,Ceará,40.0,1985,8,7,657,0.96,4.52,3.56,0.41,0.27,0.27,0.0,0.0,1.19,5.21,15.89,23.01,3.42,8.08,20.27,1.23,1.23,0.0,-0.96,0.14,78.76,0.0,123.0,0.0
Fernando Muslera,URU,Goalkeeper,Estudiantes–LP,39.0,1986,3,3,270,0.67,5.33,4.67,0.33,0.0,0.0,0.0,0.0,1.5,6.67,14.33,22.0,5.0,12.67,20.67,1.33,0.67,0.0,-0.67,0.33,87.62,0.0,133.0,0.0
Fernando de Paul,CHI,Goalkeeper,cl Colo-Colo,34.0,1991,1,1,90,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.2,3.0,6.0,21.0,9.0,4.0,9.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0
Franco Armani,ARG,Goalkeeper,ar River Plate,38.0,1986,25,25,2250,0.68,2.76,2.12,0.52,0.0,0.0,0.0,0.0,0.76,3.0,7.0,16.88,4.72,6.44,9.76,0.4,1.04,0.0,-0.68,0.08,76.81,0.0,40.0,0.0
Franco Petroli,ARG,Goalkeeper,Godoy Cruz,27.0,1998,19,19,1710,1.0,3.58,2.58,0.47,0.11,0.05,0.05,0.0,1.03,7.74,19.0,29.37,3.84,5.68,15.05,1.53,1.05,0.05,-1.0,0.05,72.07,0.0,153.0,0.0
Fábio,BRA,Goalkeeper,Fluminense,44.0,1980,15,15,1350,1.33,3.87,2.47,0.2,0.07,0.0,0.07,0.0,1.23,1.8,5.33,15.4,3.87,6.0,13.33,0.87,0.6,0.07,-1.33,0.07,63.82,0.0,87.0,0.0
Gabriel,BRA,Goalkeeper,Sport Recife,32.0,1992,4,4,360,1.75,4.25,2.5,0.0,0.0,0.0,0.0,0.0,1.23,4.0,13.25,23.25,3.5,5.5,11.75,0.0,0.5,0.0,-1.75,0.5,58.82,0.0,0.0,0.0
Gabriel Arias,CHI,Goalkeeper,ar Racing Club,37.0,1987,20,20,1734,0.67,3.17,2.44,0.47,0.1,0.05,0.05,0.0,0.77,4.15,12.35,21.59,3.11,7.89,11.68,0.47,1.35,0.05,-0.67,0.1,76.97,0.0,47.0,0.0
Gabriel Brazão,BRA,Goalkeeper,Santos,24.0,2000,16,16,1440,1.31,5.0,3.75,0.25,0.19,0.19,0.0,0.0,1.35,3.5,9.62,17.69,3.31,7.81,15.31,0.25,0.94,0.0,-1.31,0.06,75.0,0.0,25.0,0.0
Gabriel Castellón,CHI,Goalkeeper,cl U de Chile,31.0,1993,6,6,540,1.0,3.83,2.83,0.33,0.17,0.17,0.0,0.0,1.02,3.67,9.17,17.67,3.17,6.0,13.83,0.33,1.0,0.0,-1.0,0.17,73.89,0.0,33.0,0.0
Gabriel Delfim,BRA,Goalkeeper,Atlético Mineiro,23.0,2002,1,1,90,2.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.9,2.0,10.0,27.0,4.0,6.0,12.0,3.0,4.0,0.0,-2.0,1.0,60.0,0.0,300.0,0.0
Gastón Olveira,URU,Goalkeeper,py Olimpia,32.0,1993,3,3,270,1.33,4.33,3.0,0.33,0.0,0.0,0.0,0.0,0.93,5.0,13.0,21.33,1.67,6.67,11.67,0.0,0.33,0.0,-1.33,0.33,69.28,0.0,0.0,0.0
Gatito Fernández,PAR,Goalkeeper,py Cerro Porteño,37.0,1988,3,3,270,1.67,5.0,3.33,0.0,0.0,0.0,0.0,0.0,1.77,4.33,10.33,18.67,3.67,9.0,13.0,0.33,1.67,0.0,-1.67,0.33,66.6,0.0,33.0,0.0
Gonzalo Valle,ECU,Goalkeeper,ec LDU de Quito,29.0,1996,6,6,526,0.68,4.79,4.11,0.51,0.0,0.0,0.0,0.0,1.28,4.96,13.69,28.23,3.94,10.61,18.99,0.86,0.34,0.0,-0.68,0.17,85.8,0.0,86.0,0.0
Guido Herrera,ARG,Goalkeeper,ar Talleres,33.0,1992,21,21,1845,1.12,3.27,2.24,0.29,0.05,0.05,0.0,0.0,1.12,5.46,13.66,26.88,3.22,5.37,13.17,0.93,0.68,0.0,-1.12,0.1,68.5,0.0,93.0,0.0
Guido Villar,ARG,Goalkeeper,ec Independiente,27.0,1998,6,6,540,1.83,4.83,3.0,0.17,0.33,0.17,0.17,0.0,1.47,3.17,7.67,18.33,3.0,6.5,14.17,0.33,0.83,0.17,-1.83,0.17,62.11,0.0,33.0,0.0
