Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Defensive Actions Outside Penalty Area,Penalties Winner,Efficiency,Matches,% Saves,% Long Passes,% Crosses Stopped,PSxG/Save
Aljaž Ivačič,SVN,Goalkeeper,NE Revolution,31.0,1993,24,24,2160,36,51,41,57,66,77,39,46,56,39,54,21,11,81,36,23,30,36,36,3,28,50,23,50
Andre Blake,JAM,Goalkeeper,Philadelphia Union,34.0,1990,15,15,1350,73,16,16,57,55,68,39,46,34,75,52,48,25,24,16,28,83,36,73,31,50,50,28,50
Andrew Rick,USA,Goalkeeper,Philadelphia Union,19.0,2006,10,10,900,66,6,4,71,49,59,39,46,22,85,78,12,17,56,13,15,39,36,66,43,11,50,15,50
Andrew Tarbell,USA,Goalkeeper,Houston Dynamo,31.0,1993,4,4,306,12,58,23,47,19,22,39,46,81,42,36,63,66,4,10,14,74,36,12,69,8,50,14,50
Andrew Thomas,RUS,Goalkeeper,Seattle Sounders,26.0,1998,6,6,540,6,90,78,11,97,98,39,46,89,5,15,24,85,27,60,90,16,36,6,56,17,50,90,50
Anthoni,BRA,Goalkeeper,br Internacional,23.0,2002,18,17,1575,34,38,28,38,44,53,39,46,36,19,21,9,17,69,24,36,70,36,34,46,26,50,36,50
Axel Werner,ARG,Goalkeeper,Rosario Central,29.0,1996,2,2,180,97,3,5,97,19,22,39,46,11,29,33,3,37,70,69,31,6,36,97,84,98,50,31,50
Benjamin Lundt,GER,Goalkeeper,St. Louis,29.0,1995,9,9,810,31,79,71,38,79,62,93,46,71,83,64,57,74,86,54,52,45,91,31,46,39,50,52,50
Blake Gillingham,USA,Goalkeeper,Houston Dynamo,22.0,2002,4,3,294,50,63,69,92,19,22,39,46,86,16,59,70,88,18,50,42,75,36,50,70,67,50,42,50
Brad Guzan,USA,Goalkeeper,Atlanta Utd,40.0,1984,23,23,2070,16,84,74,22,79,86,39,46,77,59,42,67,69,60,22,15,75,36,16,3,26,50,15,50
Brad Stuver,USA,Goalkeeper,Austin,34.0,1991,23,23,2070,55,62,74,63,55,57,79,46,48,86,79,89,66,66,66,79,60,74,55,3,73,50,79,50
Brayan Cortés,CHI,Goalkeeper,cl Colo-Colo,30.0,1995,5,5,450,4,93,70,11,19,22,39,46,85,29,55,5,14,43,25,79,27,36,4,64,8,50,79,50
Brenno,BRA,Goalkeeper,Fortaleza,26.0,1999,1,1,90,66,13,11,11,19,22,39,46,90,29,27,36,80,93,5,5,6,36,66,94,35,50,5,50
Bruno Ferreira,BRA,Goalkeeper,Ceará,31.0,1994,9,9,783,60,11,9,38,19,22,39,46,41,77,85,32,15,85,80,86,55,36,60,46,28,50,86,50
C.J. dos Santos,USA,Goalkeeper,San Diego FC,24.0,2000,21,21,1890,38,54,49,57,81,82,82,46,59,7,4,84,63,8,8,36,82,79,38,13,41,50,36,50
Carlos Coronel,PAR,Goalkeeper,NY Red Bulls,28.0,1996,24,24,2160,36,68,72,47,47,55,39,46,72,23,61,74,75,23,33,61,92,36,36,3,57,50,61,50
Carlos Lampe,BOL,Goalkeeper,bo Bolívar,38.0,1987,1,1,90,97,13,55,97,19,22,39,46,5,5,2,99,98,15,1,5,98,36,97,94,98,50,5,50
Caíque França,BRA,Goalkeeper,Sport Recife,30.0,1995,12,12,1080,27,71,67,30,90,88,39,99,67,47,25,25,63,80,51,67,61,87,27,36,41,50,67,50
Chris Brady,USA,Goalkeeper,Chicago Fire,21.0,2004,18,18,1565,21,77,64,30,92,86,86,97,83,11,11,79,67,19,47,55,59,93,21,24,27,50,55,50
Cleiton Schwengber,BRA,Goalkeeper,RB Bragantino,27.0,1997,14,14,1260,55,44,50,65,19,22,39,46,35,34,20,63,89,50,83,47,53,36,55,31,64,50,47,50
Cássio,BRA,Goalkeeper,Cruzeiro,38.0,1987,16,16,1440,82,42,62,85,44,22,86,46,16,22,18,2,14,67,76,16,41,83,82,24,86,50,16,50
Daniel,BRA,Goalkeeper,SJ Earthquakes,31.0,1994,21,21,1775,29,85,86,23,41,49,39,46,77,50,49,67,70,32,42,57,93,36,29,13,54,50,57,50
Daniel Fuzato,BRA,Goalkeeper,Vasco da Gama,28.0,1997,1,0,2,0,100,100,11,19,22,39,46,100,100,100,100,0,100,100,5,6,36,0,100,5,50,5,50
David Bingham,USA,Goalkeeper,Charlotte,35.0,1989,2,2,180,66,85,95,85,19,22,39,46,47,8,27,61,53,56,91,97,33,36,66,84,88,50,97,50
David Ochoa,USA,Goalkeeper,LAFC,24.0,2001,1,1,90,66,1,0,11,19,22,39,46,18,1,1,19,95,15,46,5,6,36,66,94,0,50,5,50
David Ospina,COL,Goalkeeper,co Nacional,36.0,1988,5,5,450,52,57,63,36,96,97,39,46,61,73,52,95,83,1,42,40,39,36,52,64,62,50,40,50
Dayne St. Clair,CAN,Goalkeeper,Minnesota Utd,28.0,1997,21,21,1890,74,33,46,69,57,59,39,95,25,77,91,80,24,32,91,43,22,79,74,13,79,50,43,50
Diego Enriquez,PER,Goalkeeper,pe Sporting Cristal,23.0,2002,6,6,540,5,96,95,11,90,93,39,46,92,35,32,41,21,77,58,52,66,36,5,56,22,50,52,50
Diego Matías Rodríguez,ARG,Goalkeeper,Arg Juniors,36.0,1989,19,19,1710,90,11,24,90,41,22,82,46,10,88,64,80,5,22,19,16,14,79,90,13,84,50,16,50
Drake Callender,USA,Goalkeeper,Inter Miami,27.0,1997,3,2,185,8,92,85,11,19,22,39,46,93,69,22,83,77,10,2,5,81,36,8,81,19,50,5,50
Earl Edwards Jr.,USA,Goalkeeper,SJ Earthquakes,33.0,1992,6,4,475,11,56,14,69,72,82,39,46,73,56,60,51,90,21,25,11,73,36,11,62,3,50,11,50
Enrique Bologna,ARG,Goalkeeper,Defensa y Just,43.0,1982,19,19,1710,47,63,66,67,41,49,39,46,65,94,76,60,39,66,75,46,38,36,47,13,61,50,46,50
Evan Bush,USA,Goalkeeper,Columbus Crew,39.0,1986,5,5,450,89,2,1,71,19,22,39,46,4,7,5,86,47,43,3,40,96,36,89,64,12,50,40,50
Ezequiel Centurión,ARG,Goalkeeper,Ind. Rivadavia,28.0,1997,19,19,1710,66,47,60,74,77,72,82,46,35,83,89,33,43,83,87,75,35,79,66,13,72,50,75,50
Facundo Cambeses,ARG,Goalkeeper,Racing Club,28.0,1997,7,5,513,37,82,84,63,19,22,39,46,36,61,73,25,31,92,73,22,48,36,37,61,65,50,22,50
Facundo Sanguinetti,ARG,Goalkeeper,Banfield,24.0,2001,19,19,1710,51,53,55,44,83,72,93,46,50,82,77,23,24,67,71,46,47,91,51,13,51,50,46,50
Federico Lanzillota,ARG,Goalkeeper,bo Bolívar,32.0,1992,3,3,270,9,44,7,57,19,22,39,46,76,2,3,98,97,93,7,79,99,36,9,75,2,50,79,50
Felipe Zenobio,ARG,Goalkeeper,Tigre,25.0,2000,19,19,1710,77,24,36,74,61,62,39,95,23,58,58,15,39,44,64,86,28,79,77,13,76,50,86,50
Fernando Miguel,BRA,Goalkeeper,Ceará,40.0,1985,8,7,657,72,60,76,72,84,90,39,46,46,76,81,55,34,79,97,88,76,36,72,50,80,50,88,50
Fernando Muslera,URU,Goalkeeper,Estudiantes–LP,39.0,1986,3,3,270,86,83,96,57,19,22,39,46,67,92,75,43,80,98,98,90,45,36,86,75,94,50,90,50
Fernando de Paul,CHI,Goalkeeper,cl Colo-Colo,34.0,1991,1,1,90,97,44,88,97,19,22,39,46,2,29,8,36,99,6,9,5,6,36,97,94,98,50,5,50
Franco Armani,ARG,Goalkeeper,ar River Plate,38.0,1986,25,25,2250,83,9,16,88,19,22,39,46,11,29,13,13,72,44,13,25,68,36,83,36,75,50,25,50
Franco Petroli,ARG,Goalkeeper,Godoy Cruz,27.0,1998,19,19,1710,66,29,34,82,51,49,82,46,28,97,94,88,48,28,70,93,69,79,66,13,60,50,93,50
Fábio,BRA,Goalkeeper,Fluminense,44.0,1980,15,15,1350,42,40,29,36,45,22,88,46,48,10,7,7,49,35,49,71,39,85,42,31,25,50,71,50
Gabriel,BRA,Goalkeeper,Sport Recife,32.0,1992,4,4,360,22,52,30,11,19,22,39,46,48,53,68,56,37,25,30,5,33,36,22,84,14,50,5,50
Gabriel Arias,CHI,Goalkeeper,ar Racing Club,37.0,1987,20,20,1734,86,17,27,82,49,49,82,46,12,55,63,40,26,75,29,28,79,79,86,43,77,50,28,50
Gabriel Brazão,BRA,Goalkeeper,Santos,24.0,2000,16,16,1440,45,74,80,41,72,82,39,46,61,41,35,18,30,73,72,13,61,36,45,24,70,50,13,50
Gabriel Castellón,CHI,Goalkeeper,cl U de Chile,31.0,1993,6,6,540,66,38,45,57,66,77,39,46,26,47,30,17,27,35,52,19,66,36,66,56,67,50,19,50
Gabriel Delfim,BRA,Goalkeeper,Atlético Mineiro,23.0,2002,1,1,90,14,74,55,11,19,22,39,46,18,12,38,78,53,35,33,100,100,36,14,94,17,50,100,50
Gastón Olveira,URU,Goalkeeper,py Olimpia,32.0,1993,3,3,270,42,55,55,57,19,22,39,46,20,73,66,38,4,48,29,5,22,36,42,75,47,50,5,50
Gatito Fernández,PAR,Goalkeeper,py Cerro Porteño,37.0,1988,3,3,270,27,74,67,11,19,22,39,46,80,60,43,26,44,86,46,19,85,36,27,75,33,50,19,50
Gonzalo Valle,ECU,Goalkeeper,ec LDU de Quito,29.0,1996,6,6,526,83,67,91,87,19,22,39,46,52,71,72,85,51,95,92,70,23,36,83,56,93,50,70,50
Guido Herrera,ARG,Goalkeeper,ar Talleres,33.0,1992,21,21,1845,56,20,19,47,41,49,39,46,39,80,70,76,28,23,47,73,47,36,56,43,44,50,73,50
Guido Villar,ARG,Goalkeeper,ec Independiente,27.0,1998,6,6,540,19,68,55,30,90,77,96,46,66,35,19,22,21,45,58,19,58,95,19,56,20,50,19,50
Guillermo Vizcarra,BOL,Goalkeeper,pe Alianza Lima,32.0,1993,6,6,540,19,68,55,11,90,93,39,46,41,88,76,29,87,90,63,67,33,36,19,56,20,50,67,50
Guillermo de Amores,URU,Goalkeeper,uy Peñarol,30.0,1994,3,3,270,86,21,39,93,19,22,39,46,5,47,69,55,94,48,12,19,6,36,86,75,83,50,19,50
Gustavo,BRA,Goalkeeper,Juventude,32.0,1993,10,10,855,10,89,73,23,87,85,93,46,86,23,23,58,77,60,72,69,14,91,10,46,15,50,69,50
Harlen Castillo,COL,Goalkeeper,co Nacional,31.0,1993,1,1,90,97,5,11,97,19,22,39,46,1,53,66,92,7,0,5,5,6,36,97,94,98,50,5,50
Hernán Galíndez,ECU,Goalkeeper,Huracán,38.0,1987,16,16,1440,79,8,11,85,72,65,86,46,20,63,70,39,16,50,56,65,25,83,79,24,62,50,65,50
Hugo Lloris,FRA,Goalkeeper,LAFC,38.0,1986,20,20,1800,57,19,16,71,58,70,39,46,30,66,48,51,32,18,27,25,69,36,57,13,42,50,25,50
Hugo Souza,BRA,Goalkeeper,Corinthians,26.0,1999,12,12,1080,53,27,22,74,66,77,39,46,51,38,15,27,31,45,26,19,16,36,53,36,32,50,19,50
Ignacio Arce,ARG,Goalkeeper,Deportivo Riestra,33.0,1992,19,19,1710,92,24,55,95,61,72,39,46,17,98,98,68,2,83,99,99,85,36,92,13,95,50,99,50
Ignacio De Arruabarrena,URU,Goalkeeper,ec Barcelona,28.0,1997,2,1,144,17,86,80,11,19,22,39,46,56,33,23,4,26,97,32,43,88,36,17,88,37,50,43,50
James Pantemis,CAN,Goalkeeper,Portland Timbers,28.0,1997,12,12,1080,42,83,83,41,93,77,99,46,66,73,55,91,57,69,72,37,76,99,42,36,59,50,37,50
Javier Burrai,ECU,Goalkeeper,ar Talleres,34.0,1990,5,4,405,86,15,18,93,79,22,98,46,10,70,41,66,91,73,77,86,60,98,86,80,55,50,86,50
Javier Otero,VEN,Goalkeeper,Orlando City,22.0,2002,2,2,180,66,27,30,11,95,95,39,46,53,18,5,10,80,25,95,97,33,36,66,84,56,50,97,50
Jayden Hibbert,JAM,Goalkeeper,Atlanta Utd,20.0,2004,1,1,90,66,74,88,11,19,22,39,46,13,1,13,98,53,15,21,79,90,36,66,94,82,50,79,50
Jeffrey Gal,USA,Goalkeeper,Chicago Fire,32.0,1993,7,6,591,39,10,8,28,58,70,39,46,21,24,20,50,57,39,23,85,30,36,39,51,14,50,85,50
Jesús Camargo,VEN,Goalkeeper,ve Dep Táchira,27.0,1997,6,6,540,19,92,94,11,19,22,39,46,84,47,46,50,80,90,88,52,97,36,19,56,49,50,52,50
Jimmy Maurer,USA,Goalkeeper,Houston Dynamo,36.0,1988,2,1,120,79,36,55,11,19,22,39,46,5,63,77,78,21,11,33,61,51,36,79,89,82,50,61,50
Joe Willis,USA,Goalkeeper,Nashville SC,36.0,1988,25,25,2250,60,32,33,65,61,55,88,46,42,36,24,85,85,20,38,83,36,87,60,3,50,50,83,50
John,BRA,Goalkeeper,br Botafogo (RJ),29.0,1996,21,21,1890,88,26,42,88,41,49,39,46,14,55,41,86,36,19,60,62,52,36,88,43,85,50,62,50
John McCarthy,USA,Goalkeeper,LA Galaxy,33.0,1992,11,11,990,8,78,44,11,92,90,90,46,83,16,51,47,59,13,38,59,56,88,8,39,10,50,59,50
John Pulskamp,USA,Goalkeeper,Sporting KC,24.0,2001,24,24,2160,17,82,75,24,86,88,39,93,78,65,88,39,34,84,48,52,53,74,17,3,30,50,52,50
Jonathan Bond,ENG,Goalkeeper,Houston Dynamo,32.0,1993,16,16,1440,24,49,25,51,54,53,86,46,59,43,33,76,65,5,27,26,82,83,24,24,13,50,26,50
Jonathan Sirois,CAN,Goalkeeper,CF Montréal,24.0,2001,22,22,1980,25,72,64,33,19,22,39,46,68,44,37,94,58,8,10,55,74,36,25,13,29,50,55,50
Jorge Broun,ARG,Goalkeeper,Rosario Central,39.0,1986,17,17,1530,92,17,40,89,19,22,39,46,9,80,52,20,61,91,82,38,13,36,92,24,92,50,38,50
Jorge Carranza,ARG,Goalkeeper,Aldosivi,44.0,1981,15,15,1350,35,55,47,45,75,84,39,46,41,73,62,31,61,41,75,64,49,36,35,31,31,50,64,50
Josue Reinatti,ARG,Goalkeeper,Newell's OB,22.0,2003,2,2,180,14,95,97,11,95,95,39,46,94,41,7,82,100,2,80,92,33,36,14,84,56,50,92,50
José Contreras Verna,VEN,Goalkeeper,ec Barcelona,30.0,1994,5,5,396,73,66,77,80,80,22,98,46,61,44,75,16,33,93,55,94,6,98,73,68,74,50,94,50
João Ricardo Riedi,BRA,Goalkeeper,br Fortaleza,36.0,1988,18,18,1620,46,79,83,78,51,53,86,46,69,63,57,30,69,51,41,74,70,83,46,46,70,50,74,50
Juan Cozzani,ARG,Goalkeeper,Platense,26.0,1998,19,19,1710,80,34,60,74,51,62,39,46,32,79,96,30,3,42,68,46,66,36,80,13,89,50,46,50
Juan Espínola,PAR,Goalkeeper,Belgrano,30.0,1994,12,12,1080,33,41,27,57,47,55,39,46,28,90,94,71,42,48,78,88,51,36,33,56,19,50,88,50
Juan González,URU,Goalkeeper,Atlé Tucumán,32.0,1993,6,6,540,75,33,55,57,66,77,39,46,14,91,79,52,18,56,62,92,66,36,75,56,87,50,92,50
Juan Zozaya,ARG,Goalkeeper,Cen. Córdoba–SdE,24.0,2001,2,2,180,33,44,30,11,19,22,39,46,89,29,13,3,21,35,62,5,6,36,33,84,22,50,5,50
Keylor Navas,CRC,Goalkeeper,Newell's OB,38.0,1986,14,14,1260,77,62,84,76,45,22,39,98,46,96,80,16,36,91,94,57,17,85,77,31,90,50,57,50
Kim Joonhong,KOR,Goalkeeper,D.C. United,22.0,2003,7,7,630,8,86,61,27,86,91,39,46,92,95,89,65,44,61,17,57,87,36,8,50,10,50,57,50
Kristijan Kahlina,CRO,Goalkeeper,Charlotte,33.0,1992,23,23,2070,29,80,76,44,83,89,39,46,72,21,16,75,86,25,58,48,42,36,29,3,45,50,48,50
Lautaro Morales,ARG,Goalkeeper,Lanús,25.0,1999,1,1,90,66,5,3,11,19,22,39,46,25,29,8,10,7,35,1,5,6,36,66,94,5,50,5,50
Leandro Brey,ARG,Goalkeeper,Boca Juniors,22.0,2002,2,2,180,93,5,5,85,19,22,39,46,3,29,38,43,80,77,96,5,66,36,93,84,70,50,5,50
Lucas Acosta,ARG,Goalkeeper,Sarmiento,30.0,1995,19,19,1710,51,70,81,44,51,49,39,95,69,85,80,42,9,70,84,60,62,79,51,13,78,50,60,50
Lucas Arcanjo,BRA,Goalkeeper,Vitória,26.0,1998,16,16,1440,66,81,92,41,19,22,39,46,59,51,60,45,67,89,93,72,25,36,66,24,86,50,72,50
Lucas Bruera,ARG,Goalkeeper,ve Carabobo,27.0,1997,6,6,540,11,94,94,11,95,95,39,46,86,10,27,1,21,93,74,31,45,36,11,56,34,50,31,50
Lucas Verza,PAR,Goalkeeper,py Olimpia,24.0,2001,1,1,90,97,13,11,97,99,22,100,46,53,53,66,36,95,86,21,79,6,100,97,94,35,50,79,50
Lucão,BRA,Goalkeeper,RB Bragantino,24.0,2001,3,3,270,42,90,96,57,19,22,39,46,88,5,9,69,71,86,86,52,45,36,42,75,79,50,52,50
Luis Barraza,USA,Goalkeeper,D.C. United,28.0,1996,18,18,1620,21,77,67,30,51,62,39,46,72,70,85,82,75,64,37,72,66,36,21,24,29,50,72,50
Luis Ingolotti,ARG,Goalkeeper,Gimnasia–LP,25.0,2000,3,3,270,9,64,22,11,97,98,39,46,95,47,43,22,53,56,88,19,6,36,9,75,4,50,19,50
Luis Mejía,PAN,Goalkeeper,uy Nacional,34.0,1991,6,6,540,27,80,75,30,66,77,39,46,80,15,27,4,7,30,58,79,33,36,27,56,43,50,79,50
Léo Aragão,BRA,Goalkeeper,Cruzeiro,23.0,2002,1,1,90,97,1,3,97,19,22,39,46,2,5,2,0,21,15,9,5,6,36,97,94,98,50,5,50
Léo Jardim,BRA,Goalkeeper,Vasco da Gama,30.0,1995,15,15,1345,47,34,36,25,19,22,39,46,39,11,17,53,45,52,79,79,55,36,47,31,53,50,79,50
Maarten Paes,IDN,Goalkeeper,FC Dallas,27.0,1998,22,22,1980,16,66,44,27,87,92,39,46,84,82,65,64,56,46,83,66,80,36,16,13,16,50,66,50
Magrão,BRA,Goalkeeper,Fortaleza,25.0,2000,3,3,270,42,44,39,11,97,98,39,46,63,29,32,5,53,77,14,19,22,36,42,75,38,50,19,50
Manuel Roffo,ARG,Goalkeeper,Instituto,25.0,2000,19,19,1710,47,47,43,67,51,62,39,46,43,81,72,28,29,62,54,84,41,36,47,13,46,50,84,50
Manuel Vicentini,ARG,Goalkeeper,Belgrano,35.0,1990,5,5,450,66,30,26,71,75,22,97,46,79,67,93,49,42,80,98,40,97,97,66,64,35,50,40,50
Marcelo Lomba,BRA,Goalkeeper,br Palmeiras,38.0,1986,1,1,90,97,1,3,97,19,22,39,46,0,5,1,61,98,15,5,97,6,36,97,94,98,50,97,50
Marcos Felipe,BRA,Goalkeeper,br Bahia,29.0,1996,15,14,1332,61,36,42,61,57,69,39,46,32,50,35,90,82,74,76,35,88,36,61,50,65,50,35,50
Marcos Ignacio Ledesma,ARG,Goalkeeper,Barracas Central,28.0,1996,19,19,1710,54,48,60,52,19,22,39,46,32,89,88,14,39,51,90,95,28,36,54,13,68,50,95,50
Marcão,BRA,Goalkeeper,Juventude,33.0,1992,6,5,495,20,97,99,33,70,80,39,46,91,13,40,58,83,9,59,59,49,36,20,61,80,50,59,50
Marino Arzamendia,PAR,Goalkeeper,py Olimpia,27.0,1998,2,2,180,2,90,30,11,99,99,39,46,97,91,66,36,37,56,11,31,90,36,2,84,1,50,31,50
Martín Campaña,URU,Goalkeeper,uy Peñarol,36.0,1989,3,3,270,86,55,78,93,19,22,39,46,7,86,87,1,2,72,89,90,6,36,86,75,91,50,90,50
Martín Silva,URU,Goalkeeper,py Libertad,42.0,1983,1,1,90,14,44,11,11,19,22,39,46,91,29,13,19,7,96,14,5,90,36,14,94,5,50,5,50
Matheus Donelli,BRA,Goalkeeper,Corinthians,23.0,2002,5,5,450,52,37,35,36,75,84,39,46,42,20,10,27,47,56,17,40,27,36,52,64,44,50,40,50
Matt Freese,USA,Goalkeeper,NYCFC,26.0,1998,21,21,1890,45,57,63,47,41,49,39,46,56,9,10,73,93,11,39,62,78,36,45,13,68,50,62,50
Matías Borgogno,ARG,Goalkeeper,San Martín de San Juan,26.0,1998,19,19,1710,54,35,34,37,41,49,39,46,45,95,95,45,5,79,61,87,53,36,54,13,47,50,87,50
Matías Mansilla,ARG,Goalkeeper,ar Estudiantes–LP,29.0,1996,24,24,2160,58,21,17,69,66,65,79,46,30,65,61,19,55,76,66,63,63,74,58,49,31,50,63,50
Matías Tagliamonte,ARG,Goalkeeper,Unión,27.0,1998,5,5,450,95,7,11,91,75,22,97,46,7,67,74,7,47,56,65,79,27,97,95,64,76,50,79,50
Maxime Crépeau,CAN,Goalkeeper,Portland Timbers,31.0,1994,12,12,1080,42,74,78,41,19,22,39,46,57,66,63,87,75,38,21,31,58,36,42,36,66,50,31,50
Michael Collodi,USA,Goalkeeper,FC Dallas,24.0,2001,2,2,180,66,13,11,85,19,22,39,46,50,18,27,88,87,6,51,31,98,36,66,84,35,50,31,50
Nahuel Losada,ARG,Goalkeeper,Lanús,32.0,1993,18,18,1620,86,31,48,78,79,62,86,97,23,60,54,62,84,12,67,95,77,91,86,24,83,50,95,50
Nelson Insfrán,ARG,Goalkeeper,Gimnasia–LP,30.0,1995,16,16,1440,79,38,51,85,72,53,94,46,44,89,86,42,19,63,85,79,19,93,79,24,77,50,79,50
Nicholas Hagen,GUA,Goalkeeper,Columbus Crew,28.0,1996,3,3,270,2,97,94,11,19,22,39,46,99,1,0,14,63,22,4,52,78,36,2,75,11,50,52,50
Nicholas Hansen,DEN,Goalkeeper,Colorado Rapids,24.0,2001,10,10,900,37,64,65,50,86,84,91,46,64,67,92,66,37,64,43,94,95,89,37,43,58,50,94,50
Novak Mićović,SRB,Goalkeeper,LA Galaxy,23.0,2001,13,13,1170,24,44,21,28,19,22,39,46,74,14,47,64,41,29,31,79,19,36,24,36,13,50,79,50
Orlando Gil,PAR,Goalkeeper,San Lorenzo,25.0,2000,19,19,1710,90,10,24,90,19,22,39,46,8,76,84,17,11,83,64,46,17,36,90,13,88,50,46,50
Pablo Sisniega,MEX,Goalkeeper,San Diego FC,30.0,1995,4,4,360,79,19,41,41,82,88,39,46,19,2,3,91,95,1,2,92,90,36,79,69,91,50,92,50
Patrick Schulte,USA,Goalkeeper,Columbus Crew,24.0,2001,17,17,1530,40,29,19,24,44,53,39,46,52,14,19,94,70,26,7,11,86,36,40,24,24,50,11,50
Pedro Gallese,PER,Goalkeeper,Orlando City,35.0,1990,23,23,2070,40,52,50,63,55,68,39,46,65,62,48,29,12,31,66,48,72,36,40,3,46,50,48,50
Rafael Cabral,BRA,Goalkeeper,Real Salt Lake,35.0,1990,24,24,2160,48,49,43,41,77,65,88,46,62,49,39,97,34,68,19,10,84,87,48,3,43,50,10,50
Rafael Pires,BRA,Goalkeeper,br São Paulo,36.0,1989,23,23,2070,66,27,33,63,66,68,39,93,38,19,34,11,10,52,70,22,50,74,66,39,63,50,22,50
Randall Rodríguez,URU,Goalkeeper,Vélez Sarsfield,21.0,2003,1,1,90,1,98,88,11,99,99,39,46,99,53,82,55,80,56,14,79,6,36,1,94,5,50,79,50
Rocco Ríos Novo,ARG,Goalkeeper,Inter Miami,23.0,2002,6,3,430,59,8,7,74,19,22,39,46,32,57,14,96,60,10,35,26,41,36,59,67,18,50,26,50
Rodrigo Morínigo,PAR,Goalkeeper,py Libertad,26.0,1998,5,5,450,89,30,55,91,19,22,39,46,13,97,95,33,7,86,85,12,39,36,89,64,89,50,12,50
Rodrigo Rey,ARG,Goalkeeper,Independiente,34.0,1991,19,19,1710,75,14,22,67,61,72,39,46,23,69,53,54,56,38,35,37,20,36,75,13,73,50,37,50
Rodrigo Saracho,ARG,Goalkeeper,bo San Antonio Bulo Bulo,31.0,1994,6,6,540,6,97,98,11,66,77,39,46,95,93,98,36,10,99,95,67,58,36,6,56,40,50,67,50
Roman Bürki,SUI,Goalkeeper,St. Louis,34.0,1990,15,15,1350,23,87,88,36,75,84,39,46,82,79,71,92,80,47,30,40,72,36,23,31,52,50,40,50
Roman Celentano,USA,Goalkeeper,FC Cincinnati,24.0,2000,25,25,2250,49,48,47,65,75,65,79,93,56,39,39,60,72,59,69,64,29,87,49,3,52,50,64,50
Ronaldo,BRA,Goalkeeper,br Bahia,28.0,1996,7,7,558,76,40,49,52,61,22,95,46,28,42,50,89,49,30,50,89,94,94,76,70,69,50,89,50
Rubén Cordano,BOL,Goalkeeper,bo Bolívar,26.0,1998,2,2,180,14,90,88,11,19,22,39,46,53,29,44,97,94,35,11,31,6,36,14,84,35,50,31,50
Sean Johnson,USA,Goalkeeper,Toronto FC,36.0,1989,24,24,2160,42,65,70,41,66,77,39,46,75,37,45,52,44,65,41,31,53,36,42,3,58,50,31,50
Sebastian Breza,CAN,Goalkeeper,CF Montréal,27.0,1998,3,3,270,4,94,78,11,19,22,39,46,97,29,27,78,63,3,16,97,45,36,4,75,9,50,97,50
