Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Line Index,Passes Index
Gonzalo Valle,ECU,Goalkeeper,ec LDU de Quito,29.0,1996,6,6,526,81,66
Guido Herrera,ARG,Goalkeeper,ar Talleres,33.0,1992,21,21,1845,51,63
Guido Villar,ARG,Goalkeeper,ec Independiente,27.0,1998,6,6,540,27,33
Guillermo Vizcarra,BOL,Goalkeeper,pe Alianza Lima,32.0,1993,6,6,540,27,68
Guillermo de Amores,URU,Goalkeeper,uy Peñarol,30.0,1994,3,3,270,72,59
Gustavo,BRA,Goalkeeper,Juventude,32.0,1993,10,10,855,24,46
Harlen Castillo,COL,Goalkeeper,co Nacional,31.0,1993,1,1,90,78,51
Hernán Galíndez,ECU,Goalkeeper,Huracán,38.0,1987,16,16,1440,68,46
Hugo Lloris,FRA,Goalkeeper,LAFC,38.0,1986,20,20,1800,49,53
Hugo Souza,BRA,Goalkeeper,Corinthians,26.0,1999,12,12,1080,43,37
Ignacio Arce,ARG,Goalkeeper,Deportivo Riestra,33.0,1992,19,19,1710,88,63
Ignacio De Arruabarrena,URU,Goalkeeper,ec Barcelona,28.0,1997,2,1,144,31,29
James Pantemis,CAN,Goalkeeper,Portland Timbers,28.0,1997,12,12,1080,52,69
Javier Burrai,ECU,Goalkeeper,ar Talleres,34.0,1990,5,4,405,75,69
Javier Otero,VEN,Goalkeeper,Orlando City,22.0,2002,2,2,180,59,35
Jayden Hibbert,JAM,Goalkeeper,Atlanta Utd,20.0,2004,1,1,90,69,41
Jeffrey Gal,USA,Goalkeeper,Chicago Fire,32.0,1993,7,6,591,34,41
Jesús Camargo,VEN,Goalkeeper,ve Dep Táchira,27.0,1997,6,6,540,36,55
Jimmy Maurer,USA,Goalkeeper,Houston Dynamo,36.0,1988,2,1,120,71,55
Joe Willis,USA,Goalkeeper,Nashville SC,36.0,1988,25,25,2250,58,58
John,BRA,Goalkeeper,br Botafogo (RJ),29.0,1996,21,21,1890,78,56
John McCarthy,USA,Goalkeeper,LA Galaxy,33.0,1992,11,11,990,20,38
John Pulskamp,USA,Goalkeeper,Sporting KC,24.0,2001,24,24,2160,30,51
Jonathan Bond,ENG,Goalkeeper,Houston Dynamo,32.0,1993,16,16,1440,28,55
Jonathan Sirois,CAN,Goalkeeper,CF Montréal,24.0,2001,22,22,1980,34,58
Jorge Broun,ARG,Goalkeeper,Rosario Central,39.0,1986,17,17,1530,79,58
Jorge Carranza,ARG,Goalkeeper,Aldosivi,44.0,1981,15,15,1350,38,58
Josue Reinatti,ARG,Goalkeeper,Newell's OB,22.0,2003,2,2,180,36,63
José Contreras Verna,VEN,Goalkeeper,ec Barcelona,30.0,1994,5,5,396,74,37
João Ricardo Riedi,BRA,Goalkeeper,br Fortaleza,36.0,1988,18,18,1620,59,55
Juan Cozzani,ARG,Goalkeeper,Platense,26.0,1998,19,19,1710,75,48
Juan Espínola,PAR,Goalkeeper,Belgrano,30.0,1994,12,12,1080,36,69
Juan González,URU,Goalkeeper,Atlé Tucumán,32.0,1993,6,6,540,75,60
Juan Zozaya,ARG,Goalkeeper,Cen. Córdoba–SdE,24.0,2001,2,2,180,27,26
Keylor Navas,CRC,Goalkeeper,Newell's OB,38.0,1986,14,14,1260,76,59
Kim Joonhong,KOR,Goalkeeper,D.C. United,22.0,2003,7,7,630,21,70
Kristijan Kahlina,CRO,Goalkeeper,Charlotte,33.0,1992,23,23,2070,38,51
Lautaro Morales,ARG,Goalkeeper,Lanús,25.0,1999,1,1,90,39,25
Leandro Brey,ARG,Goalkeeper,Boca Juniors,22.0,2002,2,2,180,72,46
Lucas Acosta,ARG,Goalkeeper,Sarmiento,30.0,1995,19,19,1710,60,54
Lucas Arcanjo,BRA,Goalkeeper,Vitória,26.0,1998,16,16,1440,69,53
Lucas Bruera,ARG,Goalkeeper,ve Carabobo,27.0,1997,6,6,540,26,18
Lucas Verza,PAR,Goalkeeper,py Olimpia,24.0,2001,1,1,90,74,57
Lucão,BRA,Goalkeeper,RB Bragantino,24.0,2001,3,3,270,54,40
Luis Barraza,USA,Goalkeeper,D.C. United,28.0,1996,18,18,1620,33,69
Luis Ingolotti,ARG,Goalkeeper,Gimnasia–LP,25.0,2000,3,3,270,11,44
Luis Mejía,PAN,Goalkeeper,uy Nacional,34.0,1991,6,6,540,38,18
Léo Aragão,BRA,Goalkeeper,Cruzeiro,23.0,2002,1,1,90,77,16
Léo Jardim,BRA,Goalkeeper,Vasco da Gama,30.0,1995,15,15,1345,49,34
Maarten Paes,IDN,Goalkeeper,FC Dallas,27.0,1998,22,22,1980,26,67
Magrão,BRA,Goalkeeper,Fortaleza,25.0,2000,3,3,270,37,33
Manuel Roffo,ARG,Goalkeeper,Instituto,25.0,2000,19,19,1710,49,54
Manuel Vicentini,ARG,Goalkeeper,Belgrano,35.0,1990,5,5,450,58,55
Marcelo Lomba,BRA,Goalkeeper,br Palmeiras,38.0,1986,1,1,90,84,44
Marcos Felipe,BRA,Goalkeeper,br Bahia,29.0,1996,15,14,1332,58,64
Marcos Ignacio Ledesma,ARG,Goalkeeper,Barracas Central,28.0,1996,19,19,1710,59,56
Marcão,BRA,Goalkeeper,Juventude,33.0,1992,6,5,495,43,43
Marino Arzamendia,PAR,Goalkeeper,py Olimpia,27.0,1998,2,2,180,11,61
Martín Campaña,URU,Goalkeeper,uy Peñarol,36.0,1989,3,3,270,82,45
Martín Silva,URU,Goalkeeper,py Libertad,42.0,1983,1,1,90,15,27
Matheus Donelli,BRA,Goalkeeper,Corinthians,23.0,2002,5,5,450,46,33
Matt Freese,USA,Goalkeeper,NYCFC,26.0,1998,21,21,1890,53,47
Matías Borgogno,ARG,Goalkeeper,San Martín de San Juan,26.0,1998,19,19,1710,52,58
Matías Mansilla,ARG,Goalkeeper,ar Estudiantes–LP,29.0,1996,24,24,2160,51,51
Matías Tagliamonte,ARG,Goalkeeper,Unión,27.0,1998,5,5,450,81,48
Maxime Crépeau,CAN,Goalkeeper,Portland Timbers,31.0,1994,12,12,1080,49,69
Michael Collodi,USA,Goalkeeper,FC Dallas,24.0,2001,2,2,180,54,52
Nahuel Losada,ARG,Goalkeeper,Lanús,32.0,1993,18,18,1620,83,63
Nelson Insfrán,ARG,Goalkeeper,Gimnasia–LP,30.0,1995,16,16,1440,75,58
Nicholas Hagen,GUA,Goalkeeper,Columbus Crew,28.0,1996,3,3,270,19,26
Nicholas Hansen,DEN,Goalkeeper,Colorado Rapids,24.0,2001,10,10,900,52,57
Novak Mićović,SRB,Goalkeeper,LA Galaxy,23.0,2001,13,13,1170,26,37
Orlando Gil,PAR,Goalkeeper,San Lorenzo,25.0,2000,19,19,1710,76,46
Pablo Sisniega,MEX,Goalkeeper,San Diego FC,30.0,1995,4,4,360,77,48
Patrick Schulte,USA,Goalkeeper,Columbus Crew,24.0,2001,17,17,1530,34,48
Pedro Gallese,PER,Goalkeeper,Orlando City,35.0,1990,23,23,2070,44,43
Rafael Cabral,BRA,Goalkeeper,Real Salt Lake,35.0,1990,24,24,2160,46,56
Rafael Pires,BRA,Goalkeeper,br São Paulo,36.0,1989,23,23,2070,59,22
Randall Rodríguez,URU,Goalkeeper,Vélez Sarsfield,21.0,2003,1,1,90,16,58
Rocco Ríos Novo,ARG,Goalkeeper,Inter Miami,23.0,2002,6,3,430,44,64
Rodrigo Morínigo,PAR,Goalkeeper,py Libertad,26.0,1998,5,5,450,77,57
Rodrigo Rey,ARG,Goalkeeper,Independiente,34.0,1991,19,19,1710,64,60
Rodrigo Saracho,ARG,Goalkeeper,bo San Antonio Bulo Bulo,31.0,1994,6,6,540,28,56
Roman Bürki,SUI,Goalkeeper,St. Louis,34.0,1990,15,15,1350,38,76
Roman Celentano,USA,Goalkeeper,FC Cincinnati,24.0,2000,25,25,2250,52,52
Ronaldo,BRA,Goalkeeper,br Bahia,28.0,1996,7,7,558,74,54
Rubén Cordano,BOL,Goalkeeper,bo Bolívar,26.0,1998,2,2,180,25,60
Sean Johnson,USA,Goalkeeper,Toronto FC,36.0,1989,24,24,2160,47,44
Sebastian Breza,CAN,Goalkeeper,CF Montréal,27.0,1998,3,3,270,21,50
Sebastián Britos,URU,Goalkeeper,pe Universitario,37.0,1988,6,6,540,80,53
Sebastián Meza,ARG,Goalkeeper,Huracán,25.0,2000,3,3,270,26,37
Sergio Rochet,URU,Goalkeeper,Internacional,32.0,1993,5,5,405,81,46
Stefan Frei,SUI,Goalkeeper,Seattle Sounders,39.0,1986,18,18,1620,52,42
Thiago Cardozo,URU,Goalkeeper,Unión,28.0,1996,17,17,1526,57,45
Thomas Hasal,CAN,Goalkeeper,LAFC,26.0,1999,1,1,90,17,47
Tiago Volpi,BRA,Goalkeeper,Grêmio,34.0,1990,16,16,1440,44,62
Tomas Romero,SLV,Goalkeeper,NYCFC,24.0,2000,3,3,270,78,38
Tomás Durso,ARG,Goalkeeper,Atlé Tucumán,26.0,1999,11,11,990,37,66
Tomás Marchiori,ARG,Goalkeeper,ar Vélez Sarsfield,30.0,1995,24,24,2160,65,31
Walter,BRA,Goalkeeper,Mirassol,37.0,1987,9,9,810,87,61
Wessel Speel,NED,Goalkeeper,Minnesota Utd,23.0,2001,3,3,199,8,53
Williams Barlasina,ARG,Goalkeeper,Aldosivi,27.0,1998,6,6,540,27,48
Wéverton,BRA,Goalkeeper,br Palmeiras,37.0,1987,20,20,1800,69,42
Yohei Takaoka,JPN,Goalkeeper,Vancouver W'caps,29.0,1996,24,24,2160,52,50
Zack Steffen,USA,Goalkeeper,Colorado Rapids,30.0,1995,14,14,1260,46,70
Éverson,BRA,Goalkeeper,Atlético Mineiro,35.0,1990,14,14,1260,65,71
Óscar Ustari,ARG,Goalkeeper,Inter Miami,39.0,1986,17,17,1362,39,70
