Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Defensive Actions Outside Penalty Area,Penalties Winner,Efficiency,Matches
Carlos Coronel,PAR,Goalkeeper,NY Red Bulls,28.0,1996,24,24,2160,35,116,83,7,2,2,0,0,38.9,69,292,617,115,131,288,18,49,0,-35.0,1
Carlos Lampe,BOL,Goalkeeper,bo Bolívar,38.0,1987,1,1,90,0,3,3,1,0,0,0,0,0.6,1,2,48,8,5,5,0,3,0,0.0,1
Caíque França,BRA,Goalkeeper,Sport Recife,30.0,1995,12,12,1080,20,59,40,2,4,3,0,1,17.7,44,106,223,52,98,164,10,11,1,-20.0,1
Chris Brady,USA,Goalkeeper,Chicago Fire,21.0,2004,18,18,1565,31,88,57,3,6,4,1,1,31.6,34,115,471,77,91,227,12,15,2,-31.0,1
Cleiton Schwengber,BRA,Goalkeeper,RB Bragantino,27.0,1997,14,14,1260,16,56,41,5,0,0,0,0,15.0,44,113,343,78,94,238,9,11,0,-16.0,1
Cássio,BRA,Goalkeeper,Cruzeiro,38.0,1987,16,16,1440,11,63,51,8,1,0,1,0,14.1,45,121,216,42,117,257,5,10,1,-11.0,1
Daniel,BRA,Goalkeeper,SJ Earthquakes,31.0,1994,21,21,1775,32,108,77,2,1,1,0,0,34.3,75,219,498,92,118,248,14,41,0,-32.0,1
Daniel Fuzato,BRA,Goalkeeper,Vasco da Gama,28.0,1997,1,0,2,1,2,1,0,0,0,0,0,0.9,2,6,3,0,3,4,0,0,0,-1.0,1
David Bingham,USA,Goalkeeper,Charlotte,35.0,1989,2,2,180,2,11,9,1,0,0,0,0,2.4,3,18,48,8,14,37,4,1,0,-2.0,1
David Ochoa,USA,Goalkeeper,LAFC,24.0,2001,1,1,90,1,1,0,0,0,0,0,0,0.9,0,1,18,7,5,13,0,0,0,-1.0,1
David Ospina,COL,Goalkeeper,co Nacional,36.0,1988,5,5,450,6,22,16,1,3,3,0,0,6.7,25,56,179,26,13,63,3,3,0,-6.0,1
Dayne St. Clair,CAN,Goalkeeper,Minnesota Utd,28.0,1997,21,21,1890,19,77,60,8,3,2,0,1,20.9,111,381,573,64,125,389,13,7,1,-19.0,1
Diego Enriquez,PER,Goalkeeper,pe Sporting Cristal,23.0,2002,6,6,540,16,43,27,0,2,2,0,0,12.9,19,56,131,18,48,85,4,6,0,-16.0,1
Diego Matías Rodríguez,ARG,Goalkeeper,Arg Juniors,36.0,1989,19,19,1710,11,56,45,11,1,0,1,0,13.8,111,240,519,37,101,205,6,3,1,-11.0,1
Drake Callender,USA,Goalkeeper,Inter Miami,27.0,1997,3,2,185,5,13,8,0,0,0,0,0,4.7,10,17,57,10,9,15,0,3,0,-5.0,1
Earl Edwards Jr.,USA,Goalkeeper,SJ Earthquakes,33.0,1992,6,4,475,12,23,11,2,1,1,0,0,8.7,22,64,120,30,28,60,1,6,0,-12.0,1
Enrique Bologna,ARG,Goalkeeper,Defensa y Just,43.0,1982,19,19,1710,24,87,63,7,1,1,0,0,27.3,138,279,454,67,138,304,12,11,0,-24.0,1
Evan Bush,USA,Goalkeeper,Columbus Crew,39.0,1986,5,5,450,3,7,4,2,0,0,0,0,2.7,6,22,142,19,32,38,3,12,0,-3.0,1
Ezequiel Centurión,ARG,Goalkeeper,Ind. Rivadavia,28.0,1997,19,19,1710,19,77,58,8,4,3,1,0,20.4,106,324,397,69,161,337,18,10,1,-19.0,1
Facundo Cambeses,ARG,Goalkeeper,Racing Club,28.0,1997,7,5,513,8,30,22,2,0,0,0,0,6.2,25,79,106,19,55,89,2,4,0,-8.0,1
Facundo Sanguinetti,ARG,Goalkeeper,Banfield,24.0,2001,19,19,1710,23,81,57,5,5,3,2,0,23.7,105,288,350,58,139,289,12,13,2,-23.0,1
Federico Lanzillota,ARG,Goalkeeper,bo Bolívar,32.0,1992,3,3,270,7,12,5,1,0,0,0,0,5.1,1,9,131,22,30,25,3,10,0,-7.0,1
Felipe Zenobio,ARG,Goalkeeper,Tigre,25.0,2000,19,19,1710,15,65,50,8,3,2,0,1,18.8,81,222,332,67,123,279,21,8,1,-15.0,1
Fernando Miguel,BRA,Goalkeeper,Ceará,40.0,1985,8,7,657,7,33,26,3,2,2,0,0,8.7,38,116,168,25,59,148,9,9,0,-7.0,1
Fernando Muslera,URU,Goalkeeper,Estudiantes–LP,39.0,1986,3,3,270,2,16,14,1,0,0,0,0,4.5,20,43,66,15,38,62,4,2,0,-2.0,1
Fernando de Paul,CHI,Goalkeeper,cl Colo-Colo,34.0,1991,1,1,90,0,4,4,1,0,0,0,0,0.2,3,6,21,9,4,9,0,0,0,0.0,1
Franco Armani,ARG,Goalkeeper,ar River Plate,38.0,1986,25,25,2250,17,69,53,13,0,0,0,0,19.1,75,175,422,118,161,244,10,26,0,-17.0,2
Franco Petroli,ARG,Goalkeeper,Godoy Cruz,27.0,1998,19,19,1710,19,68,49,9,2,1,1,0,19.5,147,361,558,73,108,286,29,20,1,-19.0,1
Fábio,BRA,Goalkeeper,Fluminense,44.0,1980,15,15,1350,20,58,37,3,1,0,1,0,18.5,27,80,231,58,90,200,13,9,1,-20.0,1
Gabriel,BRA,Goalkeeper,Sport Recife,32.0,1992,4,4,360,7,17,10,0,0,0,0,0,4.9,16,53,93,14,22,47,0,2,0,-7.0,2
Gabriel Arias,CHI,Goalkeeper,ar Racing Club,37.0,1987,20,20,1734,13,61,47,9,2,1,1,0,14.799999999999999,80,238,416,60,152,225,9,26,1,-13.0,2
Gabriel Brazão,BRA,Goalkeeper,Santos,24.0,2000,16,16,1440,21,80,60,4,3,3,0,0,21.6,56,154,283,53,125,245,4,15,0,-21.0,1
Gabriel Castellón,CHI,Goalkeeper,cl U de Chile,31.0,1993,6,6,540,6,23,17,2,1,1,0,0,6.1,22,55,106,19,36,83,2,6,0,-6.0,1
Gabriel Delfim,BRA,Goalkeeper,Atlético Mineiro,23.0,2002,1,1,90,2,5,3,0,0,0,0,0,0.9,2,10,27,4,6,12,3,4,0,-2.0,1
Gastón Olveira,URU,Goalkeeper,py Olimpia,32.0,1993,3,3,270,4,13,9,1,0,0,0,0,2.8,15,39,64,5,20,35,0,1,0,-4.0,1
Gatito Fernández,PAR,Goalkeeper,py Cerro Porteño,37.0,1988,3,3,270,5,15,10,0,0,0,0,0,5.3,13,31,56,11,27,39,1,5,0,-5.0,1
Gonzalo Valle,ECU,Goalkeeper,ec LDU de Quito,29.0,1996,6,6,526,4,28,24,3,0,0,0,0,7.5,29,80,165,23,62,111,5,2,0,-4.0,1
Guido Herrera,ARG,Goalkeeper,ar Talleres,33.0,1992,21,21,1845,23,67,46,6,1,1,0,0,23.0,112,280,551,66,110,270,19,14,0,-23.0,2
Guido Villar,ARG,Goalkeeper,ec Independiente,27.0,1998,6,6,540,11,29,18,1,2,1,1,0,8.8,19,46,110,18,39,85,2,5,1,-11.0,1
Guillermo Vizcarra,BOL,Goalkeeper,pe Alianza Lima,32.0,1993,6,6,540,11,29,18,0,2,2,0,0,6.8,36,87,118,33,55,88,5,3,0,-11.0,1
Guillermo de Amores,URU,Goalkeeper,uy Peñarol,30.0,1994,3,3,270,2,10,8,2,0,0,0,0,1.8,11,40,69,19,20,29,1,0,0,-2.0,1
Gustavo,BRA,Goalkeeper,Juventude,32.0,1993,10,10,855,22,56,33,1,3,2,1,0,18.0,27,81,224,47,67,148,8,1,1,-22.0,1
Harlen Castillo,COL,Goalkeeper,co Nacional,31.0,1993,1,1,90,0,2,2,1,0,0,0,0,0.1,4,13,32,2,0,8,0,0,0,0.0,1
Hernán Galíndez,ECU,Goalkeeper,Huracán,38.0,1987,16,16,1440,12,44,32,8,3,2,1,0,14.9,71,217,345,43,109,226,13,6,1,-12.0,1
Hugo Lloris,FRA,Goalkeeper,LAFC,38.0,1986,20,20,1800,22,65,44,8,3,3,0,0,20.9,92,221,454,68,104,232,8,21,0,-22.0,1
Hugo Souza,BRA,Goalkeeper,Corinthians,26.0,1999,12,12,1080,14,42,28,5,2,2,0,0,15.3,40,88,234,40,78,137,4,2,0,-14.0,1
Ignacio Arce,ARG,Goalkeeper,Deportivo Riestra,33.0,1992,19,19,1710,10,65,57,14,3,3,0,0,17.0,211,527,480,14,161,419,39,31,0,-10.0,1
Ignacio De Arruabarrena,URU,Goalkeeper,ec Barcelona,28.0,1997,2,1,144,3,9,6,0,0,0,0,0,2.1,5,14,23,5,20,19,1,3,0,-3.0,1
James Pantemis,CAN,Goalkeeper,Portland Timbers,28.0,1997,12,12,1080,16,64,46,3,5,2,3,0,17.4,60,139,380,49,89,187,7,15,3,-16.0,1
Javier Burrai,ECU,Goalkeeper,ar Talleres,34.0,1990,5,4,405,3,14,10,3,1,0,1,0,3.3,22,46,112,26,35,73,5,4,1,-3.0,2
Javier Otero,VEN,Goalkeeper,Orlando City,22.0,2002,2,2,180,2,7,5,0,1,1,0,0,2.6,5,9,32,10,11,39,4,1,0,-2.0,1
Jayden Hibbert,JAM,Goalkeeper,Atlanta Utd,20.0,2004,1,1,90,1,5,4,0,0,0,0,0,0.8,0,7,43,4,5,11,1,2,0,-1.0,1
Jeffrey Gal,USA,Goalkeeper,Chicago Fire,32.0,1993,7,6,591,9,19,11,1,1,1,0,0,6.2,19,52,149,27,41,73,7,3,0,-9.0,1
Jesús Camargo,VEN,Goalkeeper,ve Dep Táchira,27.0,1997,6,6,540,11,37,26,0,0,0,0,0,11.1,22,65,136,30,55,108,4,15,0,-11.0,1
Jimmy Maurer,USA,Goalkeeper,Houston Dynamo,36.0,1988,2,1,120,1,5,4,0,0,0,0,0,0.8,6,20,36,4,6,16,1,1,0,-1.0,1
Joe Willis,USA,Goalkeeper,Nashville SC,36.0,1988,25,25,2250,26,91,64,9,4,2,2,0,28.4,80,220,704,133,132,307,26,14,2,-26.0,1
John,BRA,Goalkeeper,br Botafogo (RJ),29.0,1996,21,21,1890,13,72,58,11,1,1,0,0,17.7,86,215,599,72,110,300,16,16,0,-13.0,2
John McCarthy,USA,Goalkeeper,LA Galaxy,33.0,1992,11,11,990,26,56,31,0,4,3,1,0,20.0,27,123,245,46,54,135,8,9,1,-26.0,1
John Pulskamp,USA,Goalkeeper,Sporting KC,24.0,2001,24,24,2160,45,127,84,3,7,6,0,1,42.0,109,402,517,82,204,319,16,19,1,-45.0,1
Jonathan Bond,ENG,Goalkeeper,Houston Dynamo,32.0,1993,16,16,1440,27,66,38,5,2,1,1,0,21.3,57,151,426,70,62,183,7,24,1,-27.0,1
Jonathan Sirois,CAN,Goalkeeper,CF Montréal,24.0,2001,22,22,1980,37,109,72,4,0,0,0,0,33.5,80,217,773,91,90,208,15,26,0,-37.0,1
Jorge Broun,ARG,Goalkeeper,Rosario Central,39.0,1986,17,17,1530,9,54,46,9,0,0,0,0,12.3,92,192,310,73,161,287,10,1,0,-9.0,1
Jorge Carranza,ARG,Goalkeeper,Aldosivi,44.0,1981,15,15,1350,22,65,43,4,3,3,0,0,16.9,75,184,301,63,95,238,12,11,0,-22.0,1
Josue Reinatti,ARG,Goalkeeper,Newell's OB,22.0,2003,2,2,180,4,14,10,0,1,1,0,0,4.6,7,11,55,20,6,33,3,1,0,-4.0,1
José Contreras Verna,VEN,Goalkeeper,ec Barcelona,30.0,1994,5,5,396,4,21,16,2,1,0,1,0,5.9,16,63,77,15,44,62,7,0,1,-4.0,1
João Ricardo Riedi,BRA,Goalkeeper,br Fortaleza,36.0,1988,18,18,1620,23,92,69,8,2,1,1,0,27.9,81,210,356,82,123,223,17,19,1,-23.0,2
Juan Cozzani,ARG,Goalkeeper,Platense,26.0,1998,19,19,1710,14,70,58,8,2,2,0,0,19.9,101,381,377,27,121,284,12,19,0,-14.0,1
Juan Espínola,PAR,Goalkeeper,Belgrano,30.0,1994,12,12,1080,18,47,29,4,1,1,0,0,12.4,76,225,305,43,80,195,15,9,0,-18.0,2
Juan González,URU,Goalkeeper,Atlé Tucumán,32.0,1993,6,6,540,5,22,18,2,1,1,0,0,5.0,39,92,137,17,42,87,9,6,0,-5.0,1
Juan Zozaya,ARG,Goalkeeper,Cen. Córdoba–SdE,24.0,2001,2,2,180,3,8,5,0,0,0,0,0,3.9,6,14,28,6,12,29,0,0,0,-3.0,1
Keylor Navas,CRC,Goalkeeper,Newell's OB,38.0,1986,14,14,1260,11,64,54,6,1,0,0,1,16.7,106,222,247,48,132,272,10,3,1,-11.0,1
Kim Joonhong,KOR,Goalkeeper,D.C. United,22.0,2003,7,7,630,17,39,22,1,2,2,0,0,15.6,51,118,174,26,50,75,5,13,0,-17.0,1
Kristijan Kahlina,CRO,Goalkeeper,Charlotte,33.0,1992,23,23,2070,37,118,81,6,6,6,0,0,37.3,62,170,605,125,126,326,15,15,0,-37.0,1
Lautaro Morales,ARG,Goalkeeper,Lanús,25.0,1999,1,1,90,1,2,1,0,0,0,0,0,1.0,3,6,16,2,6,7,0,0,0,-1.0,1
Leandro Brey,ARG,Goalkeeper,Boca Juniors,22.0,2002,2,2,180,1,4,3,1,0,0,0,0,1.0,6,20,44,10,16,40,0,2,0,-1.0,1
Lucas Acosta,ARG,Goalkeeper,Sarmiento,30.0,1995,19,19,1710,23,93,72,5,2,1,0,1,29.1,107,301,417,41,144,327,14,18,1,-23.0,1
Lucas Arcanjo,BRA,Goalkeeper,Vitória,26.0,1998,16,16,1440,16,84,68,4,0,0,0,0,21.3,62,193,354,71,145,309,14,6,0,-16.0,1
Lucas Bruera,ARG,Goalkeeper,ve Carabobo,27.0,1997,6,6,540,13,39,26,0,3,3,0,0,11.2,11,54,67,18,60,95,3,4,0,-13.0,1
Lucas Verza,PAR,Goalkeeper,py Olimpia,24.0,2001,1,1,90,0,3,2,1,1,0,1,0,1.3,4,13,21,7,9,11,1,0,1,0.0,1
Lucão,BRA,Goalkeeper,RB Bragantino,24.0,2001,3,3,270,4,18,14,1,0,0,0,0,5.8,3,19,76,14,27,53,2,2,0,-4.0,1
Luis Barraza,USA,Goalkeeper,D.C. United,28.0,1996,18,18,1620,32,91,60,3,2,2,0,0,28.5,89,295,496,87,130,220,16,18,0,-32.0,1
Luis Ingolotti,ARG,Goalkeeper,Gimnasia–LP,25.0,2000,3,3,270,7,14,7,0,2,2,0,0,7.1,11,31,55,12,21,54,1,0,0,-7.0,1
Luis Mejía,PAN,Goalkeeper,uy Nacional,34.0,1991,6,6,540,10,31,21,1,1,1,0,0,10.7,14,54,85,12,35,85,6,3,0,-10.0,1
Léo Aragão,BRA,Goalkeeper,Cruzeiro,23.0,2002,1,1,90,0,1,1,1,0,0,0,0,0.2,1,2,11,3,5,9,0,0,0,0.0,1
Léo Jardim,BRA,Goalkeeper,Vasco da Gama,30.0,1995,15,15,1345,19,55,39,2,0,0,0,0,16.8,29,112,342,56,103,246,15,12,0,-19.0,1
Maarten Paes,IDN,Goalkeeper,FC Dallas,27.0,1998,22,22,1980,43,105,62,3,7,7,0,0,40.6,121,280,546,89,144,372,18,31,0,-43.0,1
Magrão,BRA,Goalkeeper,Fortaleza,25.0,2000,3,3,270,4,12,8,0,2,2,0,0,4.2,9,28,44,12,24,30,1,1,0,-4.0,1
Manuel Roffo,ARG,Goalkeeper,Instituto,25.0,2000,19,19,1710,24,77,53,7,2,2,0,0,21.8,104,260,373,62,136,266,20,12,0,-24.0,1
Manuel Vicentini,ARG,Goalkeeper,Belgrano,35.0,1990,5,5,450,5,18,12,2,1,0,1,0,8.8,24,93,113,18,41,107,3,14,1,-5.0,1
Marcelo Lomba,BRA,Goalkeeper,br Palmeiras,38.0,1986,1,1,90,0,1,1,1,0,0,0,0,0.0,1,1,24,8,5,8,2,0,0,0.0,1
Marcos Felipe,BRA,Goalkeeper,br Bahia,29.0,1996,15,14,1332,15,56,41,5,2,2,0,0,15.6,57,143,454,75,116,239,8,29,0,-15.0,2
Marcos Ignacio Ledesma,ARG,Goalkeeper,Barracas Central,28.0,1996,19,19,1710,22,78,58,6,0,0,0,0,19.9,117,320,324,67,130,351,31,8,0,-22.0,1
Marcão,BRA,Goalkeeper,Juventude,33.0,1992,6,5,495,10,41,32,1,1,1,0,0,11.5,12,56,130,29,24,78,4,4,0,-10.0,1
Marino Arzamendia,PAR,Goalkeeper,py Olimpia,27.0,1998,2,2,180,7,12,5,0,2,2,0,0,5.0,13,26,42,7,14,19,1,4,0,-7.0,1
Martín Campaña,URU,Goalkeeper,uy Peñarol,36.0,1989,3,3,270,2,13,11,2,0,0,0,0,2.0,17,50,40,4,23,55,4,0,0,-2.0,1
Martín Silva,URU,Goalkeeper,py Libertad,42.0,1983,1,1,90,2,4,2,0,0,0,0,0,2.1,3,7,18,2,12,10,0,2,0,-2.0,1
Matheus Donelli,BRA,Goalkeeper,Corinthians,23.0,2002,5,5,450,6,19,13,1,1,1,0,0,5.7,13,33,97,19,35,53,3,2,0,-6.0,1
Matt Freese,USA,Goalkeeper,NYCFC,26.0,1998,21,21,1890,27,92,68,6,1,1,0,0,27.5,35,138,538,128,95,258,16,28,0,-27.0,1
Matías Borgogno,ARG,Goalkeeper,San Martín de San Juan,26.0,1998,19,19,1710,22,71,49,4,1,1,0,0,22.2,139,371,421,33,155,273,22,15,0,-22.0,1
Matías Mansilla,ARG,Goalkeeper,ar Estudiantes–LP,29.0,1996,24,24,2160,26,80,53,9,4,3,1,0,24.9,109,294,428,97,191,357,19,23,1,-26.0,3
Matías Tagliamonte,ARG,Goalkeeper,Unión,27.0,1998,5,5,450,2,13,10,3,1,0,1,0,3.1,24,71,76,19,35,74,5,2,1,-2.0,1
Maxime Crépeau,CAN,Goalkeeper,Portland Timbers,31.0,1994,12,12,1080,16,60,44,3,0,0,0,0,15.8,56,151,352,58,73,132,6,10,0,-16.0,1
Michael Collodi,USA,Goalkeeper,FC Dallas,24.0,2001,2,2,180,2,6,4,1,0,0,0,0,2.5,5,18,59,11,8,27,1,6,0,-2.0,1
Nahuel Losada,ARG,Goalkeeper,Lanús,32.0,1993,18,18,1620,12,65,52,8,4,2,1,1,17.9,78,207,438,95,84,269,29,23,2,-12.0,1
Nelson Insfrán,ARG,Goalkeeper,Gimnasia–LP,30.0,1995,16,16,1440,12,61,47,8,3,1,2,0,18.6,97,264,350,46,115,279,16,5,2,-12.0,1
Nicholas Hagen,GUA,Goalkeeper,Columbus Crew,28.0,1996,3,3,270,10,23,13,0,0,0,0,0,9.3,0,2,52,13,16,23,2,4,0,-10.0,1
Nicholas Hansen,DEN,Goalkeeper,Colorado Rapids,24.0,2001,10,10,900,14,46,33,3,3,2,1,0,14.2,48,182,249,35,72,127,16,23,1,-14.0,1
Novak Mićović,SRB,Goalkeeper,LA Galaxy,23.0,2001,13,13,1170,22,52,30,2,0,0,0,0,21.6,30,142,322,46,74,154,13,4,0,-22.0,1
Orlando Gil,PAR,Goalkeeper,San Lorenzo,25.0,2000,19,19,1710,11,55,45,11,0,0,0,0,13.1,97,306,336,45,161,280,12,4,0,-11.0,1
Pablo Sisniega,MEX,Goalkeeper,San Diego FC,30.0,1995,4,4,360,3,13,11,1,1,1,0,0,3.7,3,12,127,28,10,30,6,8,0,-3.0,1
Patrick Schulte,USA,Goalkeeper,Columbus Crew,24.0,2001,17,17,1530,23,61,39,2,1,1,0,0,21.7,39,131,554,79,95,142,3,29,0,-23.0,1
Pedro Gallese,PER,Goalkeeper,Orlando City,35.0,1990,23,23,2070,31,97,67,8,3,3,0,0,33.2,102,254,454,56,136,343,15,26,0,-31.0,1
Rafael Cabral,BRA,Goalkeeper,Real Salt Lake,35.0,1990,24,24,2160,30,99,67,6,5,3,2,0,33.3,90,241,895,82,176,262,4,39,2,-30.0,1
Rafael Pires,BRA,Goalkeeper,br São Paulo,36.0,1989,23,23,2070,23,81,59,8,4,3,0,1,25.5,58,220,383,50,158,348,8,17,1,-23.0,2
Randall Rodríguez,URU,Goalkeeper,Vélez Sarsfield,21.0,2003,1,1,90,4,8,4,0,1,1,0,0,3.1,4,16,23,5,7,10,1,0,0,-4.0,1
Rocco Ríos Novo,ARG,Goalkeeper,Inter Miami,23.0,2002,6,3,430,5,13,8,2,0,0,0,0,5.0,20,34,172,20,21,58,2,3,0,-5.0,1
Rodrigo Morínigo,PAR,Goalkeeper,py Libertad,26.0,1998,5,5,450,3,18,15,3,0,0,0,0,3.9,41,97,104,10,45,87,1,3,0,-3.0,1
Rodrigo Rey,ARG,Goalkeeper,Independiente,34.0,1991,19,19,1710,17,58,44,7,3,3,0,0,18.9,92,216,435,77,116,229,11,6,0,-17.0,1
Rodrigo Saracho,ARG,Goalkeeper,bo San Antonio Bulo Bulo,31.0,1994,6,6,540,15,46,31,0,1,1,0,0,14.4,43,135,126,14,79,117,5,5,0,-15.0,1
Roman Bürki,SUI,Goalkeeper,St. Louis,34.0,1990,15,15,1350,26,85,60,3,3,3,0,0,27.0,80,205,482,75,99,176,9,17,0,-26.0,1
Roman Celentano,USA,Goalkeeper,FC Cincinnati,24.0,2000,25,25,2250,31,102,72,9,5,3,1,1,32.8,87,253,598,118,176,374,20,11,2,-31.0,1
Ronaldo,BRA,Goalkeeper,br Bahia,28.0,1996,7,7,558,5,24,18,2,1,0,1,0,6.4,22,69,183,24,36,83,8,13,1,-5.0,2
Rubén Cordano,BOL,Goalkeeper,bo Bolívar,26.0,1998,2,2,180,4,12,8,0,0,0,0,0,2.6,6,21,82,13,12,19,1,0,0,-4.0,1
Sean Johnson,USA,Goalkeeper,Toronto FC,36.0,1989,24,24,2160,32,113,81,6,4,4,0,0,40.4,78,258,548,89,174,299,12,19,0,-32.0,1
Sebastian Breza,CAN,Goalkeeper,CF Montréal,27.0,1998,3,3,270,9,20,11,0,0,0,0,0,8.1,9,27,81,13,10,31,6,2,0,-9.0,1
Sebastián Britos,URU,Goalkeeper,pe Universitario,37.0,1988,6,6,540,4,27,23,2,0,0,0,0,6.6,42,108,93,18,61,105,3,11,0,-4.0,1
Sebastián Meza,ARG,Goalkeeper,Huracán,25.0,2000,3,3,270,5,10,5,1,1,1,0,0,3.5,8,35,57,14,12,37,2,2,0,-5.0,1
Sergio Rochet,URU,Goalkeeper,Internacional,32.0,1993,5,5,405,2,20,18,2,0,0,0,0,4.4,11,53,105,26,23,73,1,0,0,-2.0,1
Stefan Frei,SUI,Goalkeeper,Seattle Sounders,39.0,1986,18,18,1620,20,64,46,6,3,3,0,0,18.5,55,175,399,70,119,200,10,10,0,-20.0,1
Thiago Cardozo,URU,Goalkeeper,Unión,28.0,1996,17,17,1526,17,58,41,5,3,2,0,1,17.8,62,197,310,74,119,236,11,6,1,-17.0,2
Thomas Hasal,CAN,Goalkeeper,LAFC,26.0,1999,1,1,90,5,9,4,0,0,0,0,0,2.9,1,7,26,8,6,11,2,0,0,-5.0,1
