Player,Nation,Team,General Position,Age,Born,Matches Played,Starts,Minutes Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes Received,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Ball Losses,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels Won,Efficiency,Matches,% Efficiency,% Aerial Duels,% Passes (Total),% Passes (Short),% Passes (Medium),% Passes (Long),% Tackles/Duels,% Take-Ons
Adrián Guillermo Sánchez,ARG,Atlé Tucumán,Midfielder,26.0,1999,19,19,1660,0.05,0.01,0.49,0.05,0.0,0.0,1.95,0.05,42.34,53.08,17.46,19.9,18.38,21.8,5.2,8.08,0.0,0.07,1.14,5.64,0.7,0.22,7.54,1.19,2.22,3.42,2.17,1.41,1.9,0.11,1.3,2.44,1.14,1.36,0.98,1.84,0.05,63.76,1.52,12.42,42.4,9.49,0.16,63.76,0.81,0.38,29.66,0.98,0.0,1.36,0.49,37.84,0.16,0.0,0.0,1.08,1.41,0.0,0.0,0.05,0.0,6.29,1.63,1.25,1.84,10.95,0.0,0.92,2.17,0.05,0.05,4.0,0.0,79.77,87.74,84.31,64.36,63.45,46.91
Adrián Martínez,ARG,Racing Club,Forward,33.0,3984,20,20,1702,0.69,0.56,3.23,1.43,0.05,0.05,2.01,0.42,9.94,14.65,4.81,6.35,4.12,6.03,0.74,1.06,0.16,0.08,1.16,0.74,0.37,0.0,1.59,0.95,5.76,0.21,0.16,0.05,0.05,0.11,0.11,0.42,0.32,0.32,0.21,0.42,0.0,24.48,0.53,1.0,7.93,15.71,6.82,24.43,0.69,0.32,12.27,0.26,0.48,2.7,1.27,16.92,0.42,0.0,0.0,1.9,1.11,1.06,0.0,0.05,0.0,2.38,1.53,2.59,3.97,8.3,0.0,0.85,0.16,0.69,0.11,0.23,0.0,67.85,75.75,68.33,69.81,76.19,46.38
Adrián Sporle,ARG,Independiente,Defender,30.0,1995,10,9,722,0.12,0.04,0.75,0.37,0.0,0.0,1.62,0.37,33.66,47.49,18.32,22.31,11.34,15.21,2.87,6.61,0.12,0.06,0.62,2.74,1.25,0.62,4.49,1.99,6.73,1.99,0.75,1.0,0.87,0.12,1.12,1.87,0.75,1.25,1.87,2.49,0.0,59.09,2.87,14.58,28.67,16.45,0.75,59.09,2.12,0.87,27.67,2.62,0.0,1.0,1.75,32.53,0.12,0.0,0.0,0.87,0.5,0.0,0.0,0.0,0.12,3.86,1.25,1.12,2.74,13.21,0.0,1.87,0.75,0.12,0.12,2.0,0.0,70.88,82.12,74.56,43.42,37.69,41.04
Adson,BRA,Vasco da Gama,Forward,24.0,2000,10,0,210,0.0,0.04,1.29,0.86,0.0,0.0,4.29,0.0,52.29,62.57,34.29,38.57,10.71,13.71,1.71,2.57,0.0,0.13,1.71,5.57,1.71,0.43,5.14,2.57,7.29,2.57,1.71,1.71,0.43,0.43,0.0,0.0,0.0,0.86,0.0,2.14,0.0,77.57,1.29,9.0,34.29,35.14,2.14,77.57,6.43,1.29,54.86,3.86,0.43,0.43,0.43,63.86,0.0,0.0,0.0,0.86,1.29,0.0,0.0,0.0,0.0,3.0,0.43,1.71,0.86,15.0,0.0,2.57,1.71,0.0,0.43,-1.0,0.0,83.57,88.9,78.12,66.54,66.54,20.06
Agustin Bravo,ARG,Rosario Central,Forward,24.0,2001,3,2,198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.09,30.45,6.36,7.27,14.55,16.36,2.73,5.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.91,0.0,9.09,1.36,44.55,11.82,35.91,8.64,0.0,0.0,44.55,0.45,0.0,19.55,0.0,0.0,0.45,0.0,24.09,0.45,0.0,0.0,1.82,2.73,0.0,0.0,0.0,0.0,3.18,3.64,1.36,0.45,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,79.11,87.48,88.94,50.09,0.0,0.0
Agustin Hausch,ARG,Defensa y Just,Forward,22.0,2003,2,0,47,0.0,0.19,1.91,0.0,0.0,0.0,0.0,0.0,24.89,32.55,15.32,15.32,7.66,13.4,0.0,1.91,0.0,0.0,0.0,1.91,0.0,0.0,1.91,5.74,5.74,7.66,7.66,5.74,1.91,0.0,3.83,5.74,1.91,1.91,0.0,0.0,0.0,53.62,0.0,9.57,26.81,17.23,3.83,53.62,1.91,0.0,30.64,0.0,1.91,1.91,1.91,36.38,0.0,0.0,0.0,0.0,3.83,0.0,0.0,0.0,0.0,5.74,0.0,1.91,3.83,13.4,0.0,1.91,7.66,0.0,1.91,-1.0,0.0,76.47,100.0,57.16,0.0,100.0,0.0
Agustin Ojeda,ARG,NYCFC,Forward,21.0,2004,24,10,990,0.0,0.08,1.09,0.09,0.0,0.0,2.64,0.36,31.0,39.36,18.09,21.18,10.09,12.36,1.64,3.09,0.09,0.11,1.27,2.64,0.82,0.09,3.64,4.45,9.55,1.82,1.36,0.73,0.82,0.27,1.0,1.73,0.73,0.64,0.73,0.91,0.09,50.0,1.55,6.91,19.45,24.55,4.55,50.0,3.27,1.18,32.73,2.55,1.82,1.82,1.18,37.18,0.0,0.0,0.0,1.0,1.0,0.55,0.09,0.0,0.0,5.18,0.64,1.18,3.0,17.64,0.0,2.73,1.36,0.0,0.09,-1.0,0.0,78.76,85.41,81.63,53.07,74.73,36.09
Agustín Alaniz,URU,Banfield,Forward,23.0,2002,16,11,1031,0.17,0.16,2.18,0.61,0.0,0.0,1.83,0.26,15.19,22.52,8.73,11.17,4.71,6.46,0.61,2.36,0.17,0.16,0.7,1.13,0.44,0.09,2.01,3.06,5.76,1.48,1.05,0.26,0.87,0.35,0.26,1.22,0.96,1.31,0.52,0.44,0.0,37.01,0.35,3.49,14.75,19.12,2.88,37.01,3.67,1.13,20.16,2.1,1.31,3.4,1.75,23.05,0.09,0.0,0.0,1.4,1.31,0.35,0.0,0.0,0.0,3.4,0.17,1.57,5.15,10.82,0.0,1.83,1.05,0.17,0.09,0.06,0.0,67.45,78.16,72.91,25.85,70.95,30.79
Agustín Almendra,ARG,Racing Club,Midfielder,25.0,4000,19,18,1244,0.07,0.06,1.3,0.29,0.0,0.0,2.53,0.07,29.45,39.86,11.43,13.89,12.08,15.41,5.06,8.68,0.0,0.07,0.94,6.66,1.09,0.07,6.22,0.51,1.09,1.74,1.23,0.58,1.01,0.14,0.65,1.52,0.87,1.16,1.45,1.09,0.0,48.62,1.09,6.37,31.18,11.43,0.51,48.62,0.58,0.29,22.72,0.65,0.0,0.94,0.22,27.06,0.22,0.0,0.0,1.23,0.87,0.0,0.0,0.0,0.0,4.92,0.43,0.65,1.16,7.81,0.0,1.16,1.23,0.07,0.14,0.17,0.0,73.88,82.29,78.39,58.29,70.69,50.0
Agustín Auzmendi,ARG,Godoy Cruz,Forward,28.0,1997,10,5,509,0.18,0.41,3.71,0.88,0.0,0.0,2.65,0.0,10.08,17.68,5.83,9.37,2.65,4.77,0.71,0.88,0.0,0.04,0.53,0.71,0.35,0.0,1.94,0.0,5.3,0.53,0.53,0.18,0.35,0.0,0.0,0.53,0.53,0.71,0.0,1.06,0.0,27.58,0.35,1.59,11.49,14.85,5.66,27.58,0.53,0.18,10.79,0.35,0.0,2.48,0.53,19.63,0.0,0.0,0.0,0.53,1.59,0.88,0.0,0.0,0.0,1.41,5.13,4.77,3.01,7.25,0.0,0.35,0.53,0.18,0.18,-0.56,0.0,57.01,62.22,55.56,80.68,100.0,33.96
Agustín Bouzat,ARG,Vélez Sarsfield,Midfielder,31.0,3988,24,23,2009,0.0,0.04,0.63,0.22,0.0,0.0,2.69,0.22,37.09,51.2,17.34,20.56,15.37,20.11,3.18,7.26,0.09,0.08,1.25,5.29,0.58,0.09,6.18,2.2,2.15,3.36,1.88,1.3,1.66,0.4,1.3,2.82,1.52,1.84,1.21,1.93,0.04,63.66,2.02,13.08,37.27,13.93,0.9,63.66,1.88,0.9,30.87,1.48,0.27,1.03,0.94,36.11,0.36,0.0,0.0,1.66,2.02,0.0,0.0,0.0,0.0,5.87,0.81,1.79,1.97,10.53,0.0,0.94,1.88,0.0,0.09,-1.0,0.0,72.44,84.34,76.43,43.8,55.95,47.87
Agustín Canobbio,URU,Fluminense,Forward,26.0,1998,10,10,621,0.14,0.16,1.74,0.43,0.0,0.0,1.59,0.29,20.14,24.78,13.62,15.65,4.64,5.51,0.72,1.45,0.14,0.03,0.87,1.01,0.29,0.0,1.88,2.17,6.67,2.75,1.3,1.16,1.59,0.0,1.01,3.04,2.03,0.72,0.72,0.87,0.0,37.39,0.43,6.96,14.49,16.81,2.9,37.39,2.46,0.87,24.78,1.16,0.72,3.04,1.88,27.1,0.29,0.0,0.0,1.45,1.88,0.29,0.0,0.0,0.0,3.33,0.43,0.72,4.93,10.72,0.0,1.01,1.3,0.14,0.14,-0.12,0.0,81.28,87.03,84.21,49.66,47.27,35.37
