Player,Game Week,Position,General Position,Team,League,Minutes,Rating,Age,Nationality
Đorđe Petrović,J6,GK,Goalkeeper,Bournemouth,English Premier League,90,6.52,25,SRB
Dean Henderson,J6,GK,Goalkeeper,Crystal Palace,English Premier League,90,6.88,28,ENG
Alisson,J6,GK,Goalkeeper,Liverpool,English Premier League,90,6.61,32,BRA
Robert Sánchez,J6,GK,Goalkeeper,Chelsea,English Premier League,90,5.6,27,ESP
Bart Verbruggen,J6,GK,Goalkeeper,Brighton,English Premier League,90,6.72,23,NED
Gianluigi Donnarumma,J6,GK,Goalkeeper,Manchester City,English Premier League,90,5.98,26,ITA
Martin Dúbravka,J6,GK,Goalkeeper,Burnley,English Premier League,90,6.03,36,SVK
Matz Sels,J6,GK,Goalkeeper,Nott'ham Forest,English Premier League,90,6.53,33,BEL
Robin Roefs,J6,GK,Goalkeeper,Sunderland,English Premier League,90,7.34,22,NED
Guglielmo Vicario,J6,GK,Goalkeeper,Tottenham,English Premier League,90,6.54,28,ITA
Sam Johnstone,J6,GK,Goalkeeper,Wolves,English Premier League,90,6.81,32,ENG
Emiliano Martínez,J6,GK,Goalkeeper,Aston Villa,English Premier League,90,6.46,33,ARG
Bernd Leno,J6,GK,Goalkeeper,Fulham,English Premier League,90,5.55,33,GER
Nick Pope,J6,GK,Goalkeeper,Newcastle Utd,English Premier League,90,7.03,33,ENG
David Raya,J6,GK,Goalkeeper,Arsenal,English Premier League,90,6.52,30,ESP
Jordan Pickford,J6,GK,Goalkeeper,Everton,English Premier League,90,6.81,31,ENG
Alphonse Areola,J6,GK,Goalkeeper,West Ham,English Premier League,90,6.37,32,FRA
Đorđe Petrović,J7,GK,Goalkeeper,Bournemouth,English Premier League,90,6.56,25,SRB
Bernd Leno,J7,GK,Goalkeeper,Fulham,English Premier League,90,5.77,33,GER
Karl Darlow,J7,GK,Goalkeeper,Leeds United,English Premier League,90,5.89,34,WAL
Guglielmo Vicario,J7,GK,Goalkeeper,Tottenham,English Premier League,90,6.53,28,ITA
David Raya,J7,GK,Goalkeeper,Arsenal,English Premier League,90,6.5,30,ESP
Alphonse Areola,J7,GK,Goalkeeper,West Ham,English Premier League,90,6.49,32,FRA
Senne Lammens,J7,GK,Goalkeeper,Manchester Utd,English Premier League,90,7.35,23,BEL
Robin Roefs,J7,GK,Goalkeeper,Sunderland,English Premier League,90,6.52,22,NED
Robert Sánchez,J7,GK,Goalkeeper,Chelsea,English Premier League,90,6.51,27,ESP
Giorgi Mamardashvili,J7,GK,Goalkeeper,Liverpool,English Premier League,90,6.44,25,GEO
Nick Pope,J7,GK,Goalkeeper,Newcastle Utd,English Premier League,90,6.94,33,ENG
Matz Sels,J7,GK,Goalkeeper,Nott'ham Forest,English Premier League,90,6.84,33,BEL
Jordan Pickford,J7,GK,Goalkeeper,Everton,English Premier League,90,6.99,31,ENG
Dean Henderson,J7,GK,Goalkeeper,Crystal Palace,English Premier League,90,6.6,28,ENG
Sam Johnstone,J7,GK,Goalkeeper,Wolves,English Premier League,90,7.1,32,ENG
Bart Verbruggen,J7,GK,Goalkeeper,Brighton,English Premier League,90,6.27,23,NED
Emiliano Martínez,J7,GK,Goalkeeper,Aston Villa,English Premier League,90,6.3,33,ARG
Martin Dúbravka,J7,GK,Goalkeeper,Burnley,English Premier League,90,6.42,36,SVK
Caoimhín Kelleher,J7,GK,Goalkeeper,Brentford,English Premier League,90,6.36,26,IRL
Gianluigi Donnarumma,J7,GK,Goalkeeper,Manchester City,English Premier League,90,6.94,26,ITA
Matz Sels,J8,GK,Goalkeeper,Nott'ham Forest,English Premier League,90,5.82,33,BEL
Robert Sánchez,J8,GK,Goalkeeper,Chelsea,English Premier League,90,7.23,27,ESP
Robin Roefs,J8,GK,Goalkeeper,Sunderland,English Premier League,90,7.06,22,NED
Sam Johnstone,J8,GK,Goalkeeper,Wolves,English Premier League,90,5.91,32,ENG
Martin Dúbravka,J8,GK,Goalkeeper,Burnley,English Premier League,90,7.35,36,SVK
Karl Darlow,J8,GK,Goalkeeper,Leeds United,English Premier League,90,5.84,35,WAL
Bart Verbruggen,J8,GK,Goalkeeper,Brighton,English Premier League,90,6.44,23,NED
