Player,Game Week,Position,General Position,Team,League,Minutes,Rating,Age,Nationality
Oliver Sonne,J3,RB,Defender,Burnley,English Premier League,9.0,6.09,24,PER
Quilindschy Hartman,J3,LB,Defender,Burnley,English Premier League,90.0,6.49,23,NED
Maxime Estève,J3,CB,Defender,Burnley,English Premier League,90.0,6.01,23,FRA
Hjalmar Ekdal,J3,CB,Defender,Burnley,English Premier League,82.0,6.87,26,SWE
Joe Worrall,J3,CB,Defender,Burnley,English Premier League,8.0,6.13,28,ENG
Kyle Walker,J3,RB,Defender,Burnley,English Premier League,90.0,7.09,35,ENG
Gabriel Gudmundsson,J3,LB,Defender,Leeds United,English Premier League,79.0,6.75,26,SWE
James Justin,J3,LB,Defender,Leeds United,English Premier League,11.0,5.39,27,ENG
Pascal Struijk,J3,CB,Defender,Leeds United,English Premier League,90.0,6.26,26,NED
Joe Rodon,J3,CB,Defender,Leeds United,English Premier League,90.0,6.34,27,WAL
Jayden Bogle,J3,RB,Defender,Leeds United,English Premier League,90.0,6.88,25,ENG
Valentino Livramento,J3,LB,Defender,Newcastle Utd,English Premier League,90.0,6.3,22,ENG
Dan Burn,J3,CB,Defender,Newcastle Utd,English Premier League,90.0,6.13,33,ENG
Sven Botman,J3,CB,Defender,Newcastle Utd,English Premier League,67.0,6.96,25,NED
Fabian Schär,J3,CB,Defender,Newcastle Utd,English Premier League,90.0,6.9,33,SUI
Kieran Trippier,J3,RB,Defender,Newcastle Utd,English Premier League,60.0,6.8,34,ENG
Lewis Hall,J3,LB,Defender,Newcastle Utd,English Premier League,30.0,6.21,20,ENG
Diego Coppola,J3,CB,Defender,Brighton,English Premier League,1.0,5.04,21,ITA
Maxim De Cuyper,J3,LB,Defender,Brighton,English Premier League,90.0,7.0,24,BEL
Lewis Dunk,J3,CB,Defender,Brighton,English Premier League,90.0,6.18,33,ENG
Jan Paul van Hecke,J3,CB,Defender,Brighton,English Premier League,90.0,6.17,25,NED
Joël Veltman,J3,RB,Defender,Brighton,English Premier League,90.0,6.26,33,NED
Rayan Aït-Nouri,J3,LB,Defender,Manchester City,English Premier League,90.0,7.08,24,ALG
Abdukodir Khusanov,J3,CB,Defender,Manchester City,English Premier League,84.0,6.84,21,UZB
Rúben Dias,J3,CB,Defender,Manchester City,English Premier League,6.0,6.13,28,POR
John Stones,J3,CB,Defender,Manchester City,English Premier League,90.0,6.78,31,ENG
Matheus Nunes,J3,RB,Defender,Manchester City,English Premier League,84.0,7.07,27,POR
Rico Lewis,J3,RB,Defender,Manchester City,English Premier League,6.0,6.47,20,ENG
Neco Williams,J3,LB,Defender,Nott'ham Forest,English Premier League,90.0,7.05,24,WAL
Murillo,J3,CB,Defender,Nott'ham Forest,English Premier League,90.0,6.62,23,BRA
Nikola Milenković,J3,CB,Defender,Nott'ham Forest,English Premier League,90.0,6.15,27,SRB
Ola Aina,J3,RB,Defender,Nott'ham Forest,English Premier League,90.0,6.9,28,NGA
El Hadji Diouf,J3,LB,Defender,West Ham,English Premier League,90.0,6.84,20,SEN
Max Kilman,J3,CB,Defender,West Ham,English Premier League,90.0,6.95,28,ENG
Konstantinos Mavropanos,J3,CB,Defender,West Ham,English Premier League,90.0,6.31,27,GRE
Kyle Walker-Peters,J3,RB,Defender,West Ham,English Premier League,90.0,6.97,28,ENG
Milos Kerkez,J3,LB,Defender,Liverpool,English Premier League,90.0,7.05,21,HUN
Virgil van Dijk,J3,CB,Defender,Liverpool,English Premier League,90.0,6.84,34,NED
Ibrahima Konaté,J3,CB,Defender,Liverpool,English Premier League,78.0,6.38,26,FRA
Joe Gomez,J3,CB,Defender,Liverpool,English Premier League,12.0,6.34,28,ENG
Dominik Szoboszlai,J3,RB,Defender,Liverpool,English Premier League,90.0,7.47,24,HUN
Riccardo Calafiori,J3,LB,Defender,Arsenal,English Premier League,90.0,7.2,23,ITA
Gabriel Magalhães,J3,CB,Defender,Arsenal,English Premier League,90.0,6.13,27,BRA
William Saliba,J3,CB,Defender,Arsenal,English Premier League,4.0,5.43,24,FRA
Cristhian Mosquera,J3,CB,Defender,Arsenal,English Premier League,86.0,6.48,21,ESP
Jurriën Timber,J3,RB,Defender,Arsenal,English Premier League,90.0,6.51,24,NED
Pau Torres,J3,CB,Defender,Aston Villa,English Premier League,17.0,6.48,28,ESP
Ian Maatsen,J3,LB,Defender,Aston Villa,English Premier League,83.0,7.15,23,NED
Tyrone Mings,J3,CB,Defender,Aston Villa,English Premier League,90.0,6.47,32,ENG
Ezri Konsa,J3,CB,Defender,Aston Villa,English Premier League,90.0,6.68,27,ENG
Matty Cash,J3,RB,Defender,Aston Villa,English Premier League,73.0,6.7,28,POL
Marc Guéhi,J3,CB,Defender,Crystal Palace,English Premier League,90.0,7.01,25,ENG
Maxence Lacroix,J3,CB,Defender,Crystal Palace,English Premier League,90.0,6.46,25,FRA
Chris Richards,J3,CB,Defender,Crystal Palace,English Premier League,90.0,6.47,25,USA
Riccardo Calafiori,J4,LB,Defender,Arsenal,English Premier League,67.0,6.03,23,ITA
Myles Lewis-Skelly,J4,LB,Defender,Arsenal,English Premier League,23.0,6.05,18,ENG
