Player,Team,League,Position,General Position,Nationality,Age,Rating,Minutes,Matches,Average Rating
Mike Maignan,Milan,Italian Serie A,GK,Goalkeeper,FRA,30,36.63,685,8,4.58
Mike Penders,Strasbourg,"French Ligue 1, UEFA Europa Conference League",GK,Goalkeeper,BEL,20,50.85,990,11,4.62
Mile Svilar,Roma,"Italian Serie A, UEFA Europa League",GK,Goalkeeper,SRB,26,70.0,1080,12,5.83
Mio Backhaus,Werder Bremen,German Bundesliga,GK,Goalkeeper,GER,21,23.2,540,6,3.87
Mirko Salvi,Basel,UEFA Europa League,GK,Goalkeeper,SUI,31,3.11,90,1,3.11
Miłosz Piekutowski,Jagiellonia,UEFA Europa Conference League,GK,Goalkeeper,POL,19,6.62,90,1,6.62
Moritz Nicolas,Gladbach,German Bundesliga,GK,Goalkeeper,GER,28,34.06,720,8,4.26
Mory Diaw,Le Havre,French Ligue 1,GK,Goalkeeper,SEN,32,49.54,900,10,4.95
Nauzet García,Red Imps,UEFA Europa Conference League,GK,Goalkeeper,ESP,31,2.61,90,1,2.61
Neofytos Michael,Pafos FC,UEFA Champions League,GK,Goalkeeper,CYP,31,25.63,270,3,8.54
Nick Pope,Newcastle Utd,"English Premier League, UEFA Champions League",GK,Goalkeeper,ENG,33,84.81,1080,12,7.07
Nicola Leali,Genoa,Italian Serie A,GK,Goalkeeper,ITA,32,39.13,810,9,4.35
Nikita Haikin,Bodø/Glimt,UEFA Champions League,GK,Goalkeeper,RUS,30,22.14,270,3,7.38
Niklas Hedl,Rapid Wien,UEFA Europa Conference League,GK,Goalkeeper,AUT,24,5.01,180,2,2.5
Nikola Vasilj,St. Pauli,German Bundesliga,GK,Goalkeeper,BIH,29,37.13,720,8,4.64
Noah Atubolu,Freiburg,"German Bundesliga, UEFA Europa League",GK,Goalkeeper,GER,23,58.76,990,11,5.34
Nordin Jackers,Club Brugge,UEFA Champions League,GK,Goalkeeper,BEL,28,12.42,252,3,4.14
Obed Nkambadio,Paris FC,French Ligue 1,GK,Goalkeeper,FRA,22,29.08,810,9,3.23
Odysseas Vlachodimos,Sevilla,Spanish La Liga,GK,Goalkeeper,GRE,31,35.31,540,6,5.89
Okan Kocuk,Samsunspor,UEFA Europa Conference League,GK,Goalkeeper,TUR,30,11.92,180,2,5.96
Oliver Baumann,Hoffenheim,German Bundesliga,GK,Goalkeeper,GER,35,36.86,720,8,4.61
Oliver Christensen,Sturm Graz,UEFA Europa League,GK,Goalkeeper,DEN,26,9.88,180,2,4.94
Pablo Cuñat,Levante,Spanish La Liga,GK,Goalkeeper,ESP,23,10.04,180,2,5.02
Pape Mamadou Sy,Metz,French Ligue 1,GK,Goalkeeper,SEN,28,2.76,76,1,2.76
Pau López,Betis,"Spanish La Liga, UEFA Europa League",GK,Goalkeeper,ESP,30,42.99,720,8,5.37
Paulo Gazzaniga,Girona,Spanish La Liga,GK,Goalkeeper,ARG,33,46.53,762,9,5.17
Pavlo Isenko,CS U Craiova,UEFA Europa Conference League,GK,Goalkeeper,UKR,22,7.92,180,2,3.96
Peter Vindahl Jensen,Sparta Prague,UEFA Europa Conference League,GK,Goalkeeper,DEN,27,2.04,90,1,2.04
Philipp Köhn,Monaco,"French Ligue 1, UEFA Champions League",GK,Goalkeeper,SUI,27,59.36,912,11,5.4
Pietro Terracciano,Milan,Italian Serie A,GK,Goalkeeper,ITA,35,13.0,125,2,6.5
Péter Gulácsi,RB Leipzig,German Bundesliga,GK,Goalkeeper,HUN,35,44.42,720,8,5.55
Radosław Majecki,Brest,French Ligue 1,GK,Goalkeeper,POL,25,33.61,684,8,4.2
Razvan Sava,Udinese,Italian Serie A,GK,Goalkeeper,ROU,23,21.49,540,6,3.58
Remko Pasveer,Ajax,UEFA Champions League,GK,Goalkeeper,NED,41,3.92,90,1,3.92
Robert Sánchez,Chelsea,"English Premier League, UEFA Champions League",GK,Goalkeeper,ESP,27,64.32,904,11,5.85
Robin Olsen,Malmö,UEFA Europa League,GK,Goalkeeper,SWE,35,7.79,180,2,3.9
Robin Risser,Lens,French Ligue 1,GK,Goalkeeper,FRA,20,52.78,900,10,5.28
Robin Roefs,Sunderland,English Premier League,GK,Goalkeeper,NED,22,63.92,810,9,7.1
Robin Zentner,Mainz 05,"German Bundesliga, UEFA Europa Conference League",GK,Goalkeeper,GER,30,38.22,696,8,4.78
Roei Mashpati,Maccabi Tel Aviv,UEFA Europa League,GK,Goalkeeper,ISR,32,9.53,270,3,3.18
Rome-Jayden Owusu-Oduro,AZ Alkmaar,UEFA Europa Conference League,GK,Goalkeeper,NED,21,10.58,180,2,5.29
Rui Silva,Sporting CP,UEFA Champions League,GK,Goalkeeper,POR,31,8.44,180,2,4.22
Ruslan Neshcheret,Dynamo Kyiv,UEFA Europa Conference League,GK,Goalkeeper,UKR,23,4.59,180,2,2.3
Rémy Descamps,Lyon,French Ligue 1,GK,Goalkeeper,FRA,29,22.62,360,4,5.66
Sam Johnstone,Wolves,English Premier League,GK,Goalkeeper,ENG,32,29.91,450,5,5.98
Senne Lammens,Manchester Utd,English Premier League,GK,Goalkeeper,BEL,23,23.71,270,3,7.9
Sergio Herrera,Osasuna,Spanish La Liga,GK,Goalkeeper,ESP,32,68.42,900,10,6.84
Sergio Padt,Ludogorets,UEFA Europa League,GK,Goalkeeper,NED,35,6.61,180,2,3.3
Sherhan Kalmurza,Qaırat Almaty,UEFA Champions League,GK,Goalkeeper,KAZ,18,11.83,180,2,5.92
Simon Mignolet,Club Brugge,UEFA Champions League,GK,Goalkeeper,BEL,37,6.74,18,1,6.74
Stefan Târnovanu,FCSB,UEFA Europa League,GK,Goalkeeper,ROU,25,21.07,270,3,7.02
Stefano Turati,Sassuolo,Italian Serie A,GK,Goalkeeper,ITA,23,1.61,90,1,1.61
Sławomir Abramowicz,Jagiellonia,UEFA Europa Conference League,GK,Goalkeeper,POL,21,6.42,90,1,6.42
Temirlan Anarbekov,Qaırat Almaty,UEFA Champions League,GK,Goalkeeper,KAZ,22,10.62,90,1,10.62
Thibaut Courtois,Real Madrid,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,BEL,33,78.76,1170,13,6.06
Thomas Strakosha,AEK Athens,UEFA Europa Conference League,GK,Goalkeeper,ALB,30,11.26,180,2,5.63
Théo De Percin,Auxerre,French Ligue 1,GK,Goalkeeper,MTQ,24,12.14,226,3,4.05
Timon Wellenreuther,Feyenoord,UEFA Europa League,GK,Goalkeeper,GER,29,12.73,270,3,4.24
Timothy Fayulu,FC Noah,UEFA Europa Conference League,GK,Goalkeeper,NAN,26,7.65,180,2,3.82
Unai Simón,Athletic Club,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,ESP,28,74.41,1170,13,5.72
Uğurcan Çakır,Galatasaray,UEFA Champions League,GK,Goalkeeper,TUR,29,20.91,270,3,6.97
Vanja Milinković-Savić,Napoli,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,SRB,28,51.5,720,8,6.44
Vasilios Barkas,Utrecht,UEFA Europa League,GK,Goalkeeper,GRE,31,14.64,270,3,4.88
Vitezslav Jaros,Ajax,UEFA Champions League,GK,Goalkeeper,CZE,24,6.07,180,2,3.03
Wessel Speel,Shelbourne FC,UEFA Europa Conference League,GK,Goalkeeper,NED,24,11.7,270,3,3.9
Wladimiro Falcone,Lecce,Italian Serie A,GK,Goalkeeper,ITA,30,45.84,810,9,5.09
Wojciech Szczęsny,Barcelona,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,POL,35,29.52,540,6,4.92
Yann Sommer,Inter,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,SUI,36,56.28,900,10,5.63
Yehvann Diouf,Nice,"French Ligue 1, UEFA Europa League",GK,Goalkeeper,SEN,25,62.45,1170,13,4.8
Yvon Mvogo,Lorient,French Ligue 1,GK,Goalkeeper,SUI,31,20.88,630,7,2.98
Zion Suzuki,Parma,Italian Serie A,GK,Goalkeeper,JPN,23,55.61,810,9,6.18
Zlatan Alomerović,AÉK Lárnaka,UEFA Europa Conference League,GK,Goalkeeper,GER,34,11.58,180,2,5.79
Álex Remiro,Real Sociedad,Spanish La Liga,GK,Goalkeeper,ESP,30,48.88,900,10,4.89
Álvaro Vallés,Betis,"Spanish La Liga, UEFA Europa League",GK,Goalkeeper,ESP,28,20.37,450,5,4.07
Ørjan Nyland,Sevilla,Spanish La Liga,GK,Goalkeeper,NOR,35,16.09,360,4,4.02
Đorđe Petrović,Bournemouth,English Premier League,GK,Goalkeeper,SRB,26,59.56,810,9,6.62
Łukasz Skorupski,Bologna,"Italian Serie A, UEFA Europa League",GK,Goalkeeper,POL,34,56.31,990,11,5.12
Žan Leban,NK Celje,UEFA Europa Conference League,GK,Goalkeeper,SVN,23,11.54,180,2,5.77
