Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Penalties Winner,Efficiency,% Saves,% Long Passes,% Crosses Stopped
Chris Brady,USA,Goalkeeper,Chicago Fire,21.0,2004,18,18,1565,21,79,70,32,91,87,89,97,84,8,7,58,66,25,41,48,50,95,57,30,25,52
Cleiton Schwengber,BRA,Goalkeeper,RB Bragantino,27.0,1997,14,14,1260,60,44,55,71,18,21,38,45,30,25,14,44,91,54,83,42,45,35,40,69,69,30
Cláudio Ramos,POR,Goalkeeper,Porto,0.0,1991,2,2,180,35,44,35,11,94,95,38,45,75,9,4,30,20,7,3,73,59,35,74,22,74,96
Colin Coosemans,BEL,Goalkeeper,Anderlecht,0.0,1992,28,28,2520,79,64,80,86,45,21,91,45,58,79,62,98,41,5,48,55,71,88,93,85,77,55
Conor Hazard,NIR,Goalkeeper,Plymouth Argyle,0.0,1998,25,25,2250,32,72,74,22,38,45,38,45,84,87,96,60,41,90,91,61,34,35,84,54,19,40
Cássio,BRA,Goalkeeper,Cruzeiro,38.0,1987,16,16,1440,85,41,67,86,43,21,89,45,15,17,12,1,13,64,76,15,32,86,79,89,63,14
César,BRA,Goalkeeper,Boavista,0.0,1992,16,16,1440,17,73,67,26,74,82,38,45,82,57,58,5,41,72,44,83,32,35,36,29,48,82
Daniel,BRA,Goalkeeper,SJ Earthquakes,31.0,1994,21,21,1775,28,86,87,24,40,48,38,45,79,38,37,49,72,38,34,50,92,35,69,60,48,56
Daniel Azevedo,POR,Goalkeeper,Casa Pia,0.0,1998,1,1,90,13,44,15,11,18,21,38,45,91,3,27,14,2,85,95,73,59,35,66,6,1,47
Daniel Bachmann,AUT,Goalkeeper,Watford,0.0,1994,22,22,1902,46,49,47,47,40,21,87,45,48,47,62,53,74,52,63,25,40,83,45,45,28,21
Daniel Bielica,POL,Goalkeeper,NAC Breda,0.0,1999,32,32,2880,28,80,78,30,74,82,38,45,74,77,51,59,69,79,76,51,46,35,53,50,88,39
Daniel Figueira,POR,Goalkeeper,Estoril,0.0,1998,1,1,90,0,96,59,11,98,98,38,45,96,9,6,14,94,21,75,73,6,35,0,3,43,65
Daniel Fuzato,BRA,Goalkeeper,Vasco da Gama,28.0,1997,1,0,2,0,100,100,11,18,21,38,45,100,100,100,100,0,100,100,5,6,35,0,6,43,5
Daniel Grimshaw,ENG,Goalkeeper,Plymouth Argyle,0.0,1998,21,21,1890,8,92,79,22,61,71,38,45,93,52,92,97,67,66,67,14,70,35,40,18,7,14
Daniel Schmidt,JPN,Goalkeeper,Gent,0.0,1992,1,1,90,97,76,96,97,18,21,38,45,91,9,35,92,81,1,3,73,6,35,100,98,4,96
David Bingham,USA,Goalkeeper,Charlotte,35.0,1989,2,2,180,70,87,94,86,18,21,38,45,42,6,19,42,52,59,90,96,25,35,80,90,3,92
David Cornell,WAL,Goalkeeper,Preston,0.0,1991,10,9,811,21,44,22,24,89,92,38,45,65,85,83,68,75,80,50,64,65,35,15,11,56,66
David Ochoa,USA,Goalkeeper,LAFC,24.0,2001,1,1,90,70,1,0,11,18,21,38,45,17,0,0,10,96,21,40,5,6,35,34,0,0,5
David Ospina,COL,Goalkeeper,co Nacional,36.0,1988,5,5,450,56,56,68,38,96,96,38,45,54,62,38,90,85,2,35,38,30,35,72,68,88,44
Davor Matijas,CRO,Goalkeeper,Beerschot,0.0,1999,10,9,852,9,68,24,41,97,96,94,45,91,15,25,78,49,15,43,25,82,93,23,4,17,24
Davy Roef,BEL,Goalkeeper,Gent,0.0,1994,26,26,2340,60,87,94,78,38,45,38,45,80,42,29,55,94,80,81,83,27,35,95,85,70,71
Dayne St. Clair,CAN,Goalkeeper,Minnesota Utd,28.0,1997,21,21,1890,78,31,51,74,61,61,38,96,23,67,85,59,23,38,91,40,18,83,64,83,23,26
Demba Thiam,SEN,Goalkeeper,Juve Stabia,0.0,1998,38,38,3420,63,39,47,61,72,69,80,92,44,78,88,83,42,23,65,93,40,83,74,64,29,92
Diant Ramaj,GER,Goalkeeper,Ajax,0.0,2001,1,1,90,97,5,15,97,18,21,38,45,2,3,27,98,20,21,1,5,59,35,80,98,1,5
Diego Enriquez,PER,Goalkeeper,pe Sporting Cristal,23.0,2002,6,6,540,5,96,94,11,89,92,38,45,92,26,21,29,20,76,54,45,59,35,6,23,47,44
Diego Matías Rodríguez,ARG,Goalkeeper,Arg Juniors,36.0,1989,19,19,1710,90,12,28,91,40,21,87,45,10,79,50,60,5,27,16,16,13,83,74,88,91,22
Diogo Costa,POR,Goalkeeper,Porto,0.0,1999,32,32,2880,80,9,9,86,79,74,89,45,18,45,23,86,64,15,12,36,83,86,62,42,85,62
Drake Callender,USA,Goalkeeper,Inter Miami,27.0,1997,3,2,185,7,94,87,11,18,21,38,45,94,59,15,62,78,12,4,5,78,35,26,20,98,5
Earl Edwards Jr.,USA,Goalkeeper,SJ Earthquakes,33.0,1992,6,4,475,10,55,19,74,74,82,38,45,75,46,45,35,92,27,22,12,68,35,5,4,50,12
Edoardo Motta,ITA,Goalkeeper,Reggiana,0.0,2005,2,2,180,35,26,15,11,18,21,38,45,49,94,88,5,12,96,98,73,6,35,21,13,82,39
Eduardo García,MEX,Goalkeeper,Guadalajara,0.0,2002,2,2,180,35,60,59,86,18,21,38,45,23,53,35,37,35,91,86,73,25,35,8,39,78,57
Egil Selvik,NOR,Goalkeeper,Watford,0.0,1997,16,16,1440,57,58,69,74,18,21,38,45,68,60,76,79,41,45,59,58,59,35,89,69,30,55
Elhan Kastrati,ALB,Goalkeeper,Cittadella,0.0,1997,29,29,2565,41,50,52,55,72,71,84,45,56,25,34,12,38,73,69,53,30,79,43,50,24,45
Emil Audero,IDN,Goalkeeper,Palermo,0.0,1997,14,14,1260,40,64,66,41,45,54,38,45,70,82,80,74,76,68,91,94,45,35,69,49,52,87
Enrique Bologna,ARG,Goalkeeper,Defensa y Just,43.0,1982,19,19,1710,50,65,71,73,40,48,38,45,62,90,65,40,36,64,75,41,29,35,76,67,94,33
Esteban Andrada,ARG,Goalkeeper,Monterrey,0.0,1991,24,24,2160,54,48,52,65,68,77,38,45,38,59,47,84,93,44,33,86,66,35,43,58,71,89
Ethan Horvath,USA,Goalkeeper,Cardiff City,0.0,1995,17,17,1530,27,41,32,34,18,21,38,45,47,46,71,43,14,49,17,24,54,35,11,22,15,31
Etienne Vaessen,SUR,Goalkeeper,Groningen,0.0,1995,32,32,2880,32,56,50,43,74,74,80,45,72,92,94,86,27,42,52,87,72,74,53,30,44,86
Evan Bush,USA,Goalkeeper,Columbus Crew,39.0,1986,5,5,450,89,2,1,75,18,21,38,45,6,5,4,66,45,49,5,38,95,35,41,13,18,79
Ezequiel Centurión,ARG,Goalkeeper,Ind. Rivadavia,28.0,1997,19,19,1710,70,47,63,78,78,74,87,45,30,75,79,22,38,81,88,68,27,83,62,77,40,53
Ezequiel Unsain,ARG,Goalkeeper,Necaxa,0.0,1995,34,34,3060,28,71,68,52,63,73,38,45,68,80,75,49,31,81,71,68,49,35,36,41,60,64
Fabian de Keijzer,NED,Goalkeeper,Heracles Almelo,0.0,2000,34,34,3060,18,85,82,34,72,81,38,45,78,93,92,76,11,65,64,21,38,35,28,47,62,17
Facundo Cambeses,ARG,Goalkeeper,Racing Club,28.0,1997,7,5,513,41,83,86,70,18,21,38,45,31,51,60,14,29,93,70,21,39,35,14,71,36,16
Facundo Sanguinetti,ARG,Goalkeeper,Banfield,24.0,2001,19,19,1710,54,53,59,52,84,74,94,45,45,74,68,12,23,65,67,41,38,93,59,57,58,35
Federico Lanzillota,ARG,Goalkeeper,bo Bolívar,32.0,1992,3,3,270,8,44,7,65,18,21,38,45,77,1,3,97,97,94,7,73,98,35,5,2,2,94
Felipe Zenobio,ARG,Goalkeeper,Tigre,25.0,2000,19,19,1710,82,24,40,78,65,64,38,96,22,48,43,8,36,50,60,82,22,83,80,81,58,76
Fernando Miguel,BRA,Goalkeeper,Ceará,40.0,1985,8,7,657,76,61,79,77,84,89,38,45,41,66,73,38,32,77,96,85,70,35,82,84,40,61
Fernando Muslera,URU,Goalkeeper,Estudiantes–LP,39.0,1986,3,3,270,87,84,95,65,18,21,38,45,66,87,64,30,81,98,96,88,36,35,98,94,91,67
Fernando Tapia,MEX,Goalkeeper,UANL,0.0,2001,3,3,270,87,89,96,65,18,21,38,45,23,42,42,34,73,97,85,45,85,35,88,94,49,32
Fernando de Paul,CHI,Goalkeeper,cl Colo-Colo,34.0,1991,1,1,90,97,44,89,97,18,21,38,45,2,21,6,23,99,9,9,5,6,35,80,98,95,5
Francesco Bardi,ITA,Goalkeeper,Reggiana,0.0,1992,36,36,3240,43,37,40,43,43,51,38,45,45,39,43,12,26,62,82,45,12,35,31,44,41,33
Francesco Corriere,ITA,Goalkeeper,Salernitana,0.0,2006,1,0,47,16,3,0,11,18,21,38,45,68,99,99,82,5,92,85,5,6,35,11,0,97,5
Francisco Meixedo,POR,Goalkeeper,Estrela,0.0,2001,1,0,45,97,93,99,99,18,21,38,45,4,94,84,63,98,99,29,5,6,35,90,98,88,5
Franco Armani,ARG,Goalkeeper,ar River Plate,38.0,1986,25,25,2250,86,10,20,89,18,21,38,45,11,21,9,7,73,49,13,23,63,35,63,81,84,35
Franco Israel,URU,Goalkeeper,Sporting CP,0.0,2000,11,11,990,81,7,5,93,18,21,38,45,8,5,3,15,57,15,9,12,20,35,24,27,70,15
Franco Petroli,ARG,Goalkeeper,Godoy Cruz,27.0,1998,19,19,1710,70,29,39,83,55,48,87,45,25,93,88,70,46,34,66,91,63,83,57,66,78,90
Freddie Woodman,ENG,Goalkeeper,Preston,0.0,1997,37,37,3329,59,27,26,61,55,56,80,45,27,88,79,85,91,45,59,63,84,74,28,36,71,61
Fábio,BRA,Goalkeeper,Fluminense,44.0,1980,15,15,1350,45,38,32,38,45,21,91,45,44,7,5,4,47,40,45,63,30,88,34,26,46,68
Gabriel,BRA,Goalkeeper,Sport Recife,32.0,1992,4,4,360,22,52,35,11,18,21,38,45,44,42,55,38,35,31,25,5,25,35,6,15,30,5
Gabriel Arias,CHI,Goalkeeper,ar Racing Club,37.0,1987,20,20,1734,87,17,30,83,52,48,87,45,11,45,48,26,24,73,24,27,75,83,64,81,45,34
Gabriel Batista,BRA,Goalkeeper,Santa Clara,0.0,1998,34,34,3060,77,21,28,61,72,67,80,92,15,58,70,27,34,80,45,83,45,86,36,59,35,83
Gabriel Brazão,BRA,Goalkeeper,Santos,24.0,2000,16,16,1440,47,76,83,49,74,82,38,45,55,31,23,10,28,72,68,14,54,35,59,75,58,12
Gabriel Castellón,CHI,Goalkeeper,cl U de Chile,31.0,1993,6,6,540,70,37,50,65,68,77,38,45,24,35,20,9,25,40,50,18,59,35,55,72,75,17
Gabriel Delfim,BRA,Goalkeeper,Atlético Mineiro,23.0,2002,1,1,90,13,76,59,11,18,21,38,45,17,9,27,57,52,40,29,99,99,35,1,17,5,99
Gastón Olveira,URU,Goalkeeper,py Olimpia,32.0,1993,3,3,270,45,54,59,65,18,21,38,45,20,62,53,25,3,53,24,5,18,35,10,52,66,5
Gatito Fernández,PAR,Goalkeeper,py Cerro Porteño,37.0,1988,3,3,270,25,76,72,11,18,21,38,45,81,50,31,14,39,85,40,18,85,35,66,38,81,19
Gavin Bazunu,IRL,Goalkeeper,Standard Liège,0.0,2002,6,6,540,13,50,20,32,18,21,38,45,87,46,70,72,59,16,38,5,96,35,38,9,18,5
George Evans,ENG,Goalkeeper,Millwall,0.0,2005,4,4,360,13,68,45,49,18,21,38,45,34,97,94,19,7,71,86,73,80,35,2,14,80,57
George Long,ENG,Goalkeeper,Norwich City,0.0,1993,9,8,765,10,82,49,26,91,87,96,45,82,11,15,78,91,16,66,27,69,95,9,10,11,24
Giacomo Drago,ITA,Goalkeeper,Südtirol,0.0,2001,5,5,450,13,82,68,11,76,84,38,45,79,17,16,25,95,33,38,73,83,35,18,19,39,78
Giacomo Poluzzi,ITA,Goalkeeper,Südtirol,0.0,1988,18,18,1620,29,41,26,43,79,64,89,97,60,92,82,37,43,80,88,67,65,93,21,16,86,51
Giacomo Satalino,ITA,Goalkeeper,Sassuolo,0.0,1999,10,10,900,70,39,53,75,18,21,38,45,37,55,44,21,38,25,84,73,14,35,72,72,69,59
Gil Alcalá,MEX,Goalkeeper,UNAM,0.0,1992,4,4,360,91,3,4,95,18,21,38,45,5,57,27,81,97,13,16,14,80,35,43,62,92,17
Gonzalo Valle,ECU,Goalkeeper,ec LDU de Quito,29.0,1996,6,6,526,86,69,91,89,18,21,38,45,48,60,58,65,49,96,92,62,19,35,95,93,57,40
Guido Herrera,ARG,Goalkeeper,ar Talleres,33.0,1992,21,21,1845,61,19,22,56,40,48,38,45,34,72,57,56,27,28,43,66,38,35,50,48,72,73
Guido Villar,ARG,Goalkeeper,ec Independiente,27.0,1998,6,6,540,19,70,59,32,89,77,97,45,64,26,12,12,20,51,54,18,48,97,12,21,79,17
Guillaume Dietsch,FRA,Goalkeeper,Dender,0.0,2001,1,0,49,18,31,10,11,18,21,38,45,64,0,1,0,39,0,0,5,6,35,12,8,0,5
Guillermo Allison,MEX,Goalkeeper,Querétaro,0.0,1990,25,25,2250,24,83,77,38,85,84,92,45,72,79,79,15,30,95,80,66,63,90,36,36,49,55
Guillermo Ochoa,MEX,Goalkeeper,AVS Futebol,0.0,1985,23,23,2070,15,81,68,52,38,45,38,45,78,74,51,24,49,92,79,21,39,35,19,23,86,15
Guillermo Vizcarra,BOL,Goalkeeper,pe Alianza Lima,32.0,1993,6,6,540,19,70,59,11,89,92,38,45,35,81,64,16,89,88,60,59,25,35,3,21,79,56
Guillermo de Amores,URU,Goalkeeper,uy Peñarol,30.0,1994,3,3,270,87,21,42,94,18,21,38,45,7,35,55,37,94,53,12,18,6,35,40,88,19,26
Gustavo,BRA,Goalkeeper,Juventude,32.0,1993,10,10,855,9,91,76,24,88,85,94,45,86,18,15,40,78,60,70,61,12,93,10,15,41,54
Harlen Castillo,COL,Goalkeeper,co Nacional,31.0,1993,1,1,90,97,5,15,97,18,21,38,45,2,42,53,80,7,0,6,5,6,35,66,98,32,5
Hendrik Van Crombrugge,BEL,Goalkeeper,Genk,0.0,1993,19,19,1710,50,34,32,78,40,21,38,96,43,71,49,89,29,11,45,16,23,83,45,34,86,17
Hernán Galíndez,ECU,Goalkeeper,Huracán,38.0,1987,16,16,1440,83,10,15,86,74,67,89,45,20,52,57,26,14,56,54,58,20,86,77,68,40,58
Hidde Jurjus,NED,Goalkeeper,Groningen,0.0,1994,2,2,180,35,26,15,11,18,21,38,45,32,88,90,92,7,51,9,5,99,35,10,13,55,5
Horaţiu Moldovan,ROU,Goalkeeper,Sassuolo,0.0,1998,27,27,2430,70,40,56,77,38,45,38,45,25,33,39,26,43,36,60,80,16,35,57,77,36,75
Hugo González Durán,MEX,Goalkeeper,Mazatlán,0.0,1990,34,34,3015,44,57,64,54,81,81,38,97,47,75,61,45,71,83,56,58,52,86,40,55,75,56
Hugo Lloris,FRA,Goalkeeper,LAFC,38.0,1986,20,20,1800,62,19,21,75,63,73,38,45,27,55,36,34,31,25,23,23,63,35,41,45,80,27
Hugo Souza,BRA,Goalkeeper,Corinthians,26.0,1999,12,12,1080,58,26,26,78,68,77,38,45,47,28,11,16,29,51,22,18,13,35,68,37,89,21
Héctor Holguín,MEX,Goalkeeper,Santos,0.0,2001,1,1,90,70,76,89,11,98,98,38,45,73,9,9,91,81,94,97,5,6,35,95,86,21,5
