Player,Nationality,Team,League,Position,General Position,Age,Minutes,Goals,Assists,Shots Total,Shots on Target,Expected Goals (xG),Non-Penalty Expected Goals (npxG),Penalty Kicks Made,Penalty Kicks Attempted,Shot-Creating Actions (SCA),Goal-Creating Actions (GCA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Crosses,Expected Assists (xA),Expected Assisted Goals (xAG),Passes Completed,Passes Attempted,Progressive Passes,Through Balls,Switches,Passes Blocked,Passes Offside,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Passing Distance (Total),Progressive Passing Distance (Total),Progressive Runs,Carries,Progressive Carries,Carrying Distance (Total),Progressive Carrying Distance (Total),Carries into Final Third,Carries into Penalty Area,Take-Ons Attempted,Successful Take-Ons,Times Tackled During Take-On,Tackles,Tackles Won,Tackles in Defensive Third,Tackles in Middle Third,Tackles in Attacking Third,Dribblers Tackled,Dribbles Challenged,Challenges Lost,Interceptions,Blocks,Shots Blocked,Clearances,Errors Leading to Shot,Ball Recoveries,Miscontrols,Dispossessed,Ball Losses,Passes Received,Progressive Passes Received,Touches,Touches in Defensive Penalty Area,Touches in Defensive Third,Touches in Middle Third,Touches in Attacking Third,Touches in Attacking Penalty Area,Live-Ball Touches,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalties Kicks Conceded,Penalties Kicks Won,Own Goals,Aerials Won,Aerials Lost,Total Aerials,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels Won,Efficiency,Matches,% Efficiency,% Aerial Duels,% Passes (Total),% Passes (Short),% Passes (Medium),% Passes (Long),% Tackles/Duels,% Take-Ons
Abbas Huseynov,AZE,Qarabağ,UEFA Europa League,RB,Defender,29,239,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,1.13,0.0,1.13,2.26,1.13,0.75,2.26,0.08,0.11,32.01,39.16,1.51,0.38,0.0,0.38,0.38,35.02,3.77,0.38,19.96,21.46,11.3,15.06,0.75,1.88,467.7,160.79,2.26,29.37,2.26,134.06,68.54,1.88,0.0,0.75,0.0,0.75,1.88,1.88,1.13,0.75,0.0,0.38,1.13,0.75,1.51,0.75,0.38,2.64,0.0,3.77,0.38,0.75,1.13,27.49,5.27,47.45,4.52,16.95,16.57,14.31,1.13,47.45,0.38,0.0,0.0,0.75,1.13,0.0,0.0,0.0,0.0,0.75,1.13,1.88,11.3,1.13,3.01,3.01,0.0,1,0.0,39.89,0.0,93.01,75.03,39.89,133.19,0.0
Abdallah Sima,SEN,Brest,"French Ligue 1, UEFA Champions League",LW,Forward,23,1746,0.52,0.1,2.73,1.13,0.42,0.42,0.0,0.0,2.06,0.26,0.82,0.67,0.46,0.1,1.19,0.07,0.08,15.82,23.66,1.49,0.05,0.05,1.13,0.0,23.2,0.46,0.1,9.85,13.09,4.95,7.32,0.46,0.88,216.8,42.94,2.53,21.24,2.53,138.92,49.28,1.24,1.39,1.7,0.36,1.03,1.13,0.72,0.21,0.41,0.52,0.31,0.67,0.36,0.21,0.67,0.1,0.57,0.0,4.43,3.45,1.6,5.05,26.49,6.49,36.34,0.77,4.33,13.71,18.81,4.79,36.34,0.15,0.0,0.0,1.29,1.65,0.31,0.0,0.0,0.0,3.2,3.25,6.44,13.04,2.32,6.75,1.39,0.09,1,0.52,49.69,0.0,75.25,67.62,52.27,96.53,21.18
Abde Ezzalzouli,MAR,Betis,"Spanish La Liga, UEFA Europa Conference League",LW,Forward,23,2653,0.2,0.07,3.09,1.26,0.38,0.35,0.0,0.03,3.05,0.24,1.09,1.87,0.85,0.07,2.1,0.09,0.08,24.73,33.86,2.85,0.07,0.17,1.46,0.07,32.94,0.85,0.27,16.89,20.46,6.17,8.58,0.51,1.42,305.89,88.85,5.46,31.85,5.46,238.48,138.04,3.22,3.02,4.78,2.31,1.76,1.46,0.98,0.64,0.61,0.2,0.64,1.39,0.75,0.34,0.95,0.1,0.81,0.0,4.41,3.12,2.1,5.22,36.5,9.5,48.61,0.54,5.02,18.25,26.7,7.09,48.58,0.1,0.0,0.0,1.36,1.87,0.17,0.0,0.07,0.0,1.15,1.56,2.71,23.27,3.29,11.03,2.37,-0.18,1,0.2,42.44,0.0,82.55,71.91,35.92,112.86,48.33
Abdel Abqar,MAR,Alavés,Spanish La Liga,CB,Defender,26,2463,0.0,0.04,0.44,0.04,0.04,0.04,0.0,0.0,0.91,0.11,0.29,2.45,0.37,0.07,0.18,0.01,0.01,26.27,34.31,2.89,0.04,0.62,0.22,0.11,32.45,1.75,1.46,6.58,7.09,15.38,16.81,4.17,9.43,586.08,210.88,0.58,23.09,0.58,129.03,73.56,0.26,0.0,0.15,0.11,0.04,1.32,0.84,0.88,0.4,0.04,0.73,1.24,0.51,1.43,1.02,0.66,5.33,0.04,3.18,0.66,0.11,0.77,23.75,0.15,45.71,5.85,24.08,19.91,2.12,0.91,45.71,0.48,0.0,0.0,1.72,1.13,0.07,0.07,0.04,0.0,1.46,1.28,2.74,4.2,1.02,1.35,2.08,-0.04,1,0.0,53.28,0.0,92.81,91.49,44.22,101.46,73.33
Abdellah Zoubir,FRA,Qarabağ,UEFA Europa League,LW,Forward,33,689,0.13,0.13,1.04,0.39,0.09,0.09,0.0,0.0,3.13,0.13,1.18,4.57,2.61,0.0,1.44,0.2,0.09,46.63,56.82,7.45,0.39,0.26,2.09,0.39,55.38,1.04,0.26,29.26,32.66,14.37,17.63,1.96,2.35,666.71,155.83,4.31,48.2,4.31,250.41,126.97,2.74,2.09,3.0,1.83,0.78,1.44,0.65,0.52,0.39,0.52,0.52,1.31,0.78,0.52,0.52,0.0,0.39,0.0,4.96,1.96,1.83,3.79,54.08,8.88,67.66,0.52,7.84,27.69,32.66,5.62,67.66,0.13,0.0,0.0,0.52,1.31,0.13,0.0,0.0,0.0,0.52,1.04,1.57,24.95,3.27,10.32,1.96,0.04,1,0.13,33.12,0.0,89.59,81.51,83.4,100.0,61.0
Abderrahman Rebbach,ALG,Alavés,Spanish La Liga,LW,Forward,26,385,0.0,0.0,1.4,0.23,0.02,0.02,0.0,0.0,2.34,0.0,1.4,0.47,1.17,0.7,3.97,0.09,0.07,17.3,27.58,1.17,0.0,0.23,1.4,0.0,25.25,2.34,0.23,9.58,13.56,5.61,8.18,1.87,3.97,288.47,59.61,3.74,24.08,3.74,157.56,90.94,1.4,1.64,3.27,0.7,2.1,0.7,0.47,0.7,0.0,0.0,0.0,1.4,1.4,0.0,0.94,0.0,1.4,0.0,3.74,2.1,1.17,3.27,25.01,7.95,40.44,0.94,6.31,14.49,19.87,4.21,40.44,0.23,0.0,0.0,1.17,1.4,0.47,0.0,0.0,0.0,0.23,2.57,2.81,16.6,2.34,7.71,1.87,-0.02,1,0.0,8.19,0.0,70.65,68.58,47.1,267.14,21.41
Abdou Harroui,NED,Hellas Verona,Italian Serie A,AM,Forward,26,463,0.19,0.39,2.92,0.78,0.43,0.43,0.0,0.0,2.92,0.58,0.78,3.11,0.58,0.39,1.75,0.12,0.1,31.1,39.27,4.08,0.19,0.0,1.17,0.19,38.29,0.78,0.19,18.66,20.6,10.5,13.41,1.17,2.92,451.75,112.74,4.47,34.02,4.47,241.23,122.66,3.89,0.78,3.89,1.17,2.53,1.75,1.17,1.17,0.58,0.0,0.78,0.78,0.0,0.39,0.97,0.0,0.97,0.0,4.28,2.33,1.94,4.28,39.46,6.61,55.01,0.97,7.97,27.99,20.41,3.3,55.01,0.19,0.0,0.0,1.94,0.58,0.0,0.0,0.0,0.0,1.56,1.36,2.92,19.63,3.5,5.05,1.94,-0.23,1,0.19,53.42,0.0,90.58,78.3,40.07,76.68,30.08
Abdoul Koné,FRA,Reims,French Ligue 1,RB,Defender,19,133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,29.77,43.98,2.03,0.0,0.0,4.06,0.0,31.8,12.18,0.68,11.5,13.53,14.21,18.27,4.06,7.44,596.17,118.42,0.0,26.39,0.0,101.5,16.92,0.0,0.0,1.35,0.68,0.68,3.38,2.03,2.71,0.68,0.0,2.03,3.38,1.35,0.68,1.35,0.68,3.38,0.0,4.74,3.38,0.68,4.06,28.42,0.68,58.2,7.44,25.71,26.39,6.09,0.68,58.2,0.0,0.0,0.0,2.03,2.03,0.0,0.0,0.0,0.0,1.35,0.0,1.35,2.71,0.68,0.68,5.41,0.0,1,0.0,100.0,0.0,85.0,77.78,54.57,100.0,50.37
Abdoulaye Bamba,CIV,Angers,French Ligue 1,CB,Defender,35,1510,0.0,0.0,0.06,0.0,0.01,0.01,0.0,0.0,0.6,0.0,0.36,1.13,0.24,0.18,0.3,0.01,0.01,30.87,34.87,0.95,0.06,0.06,0.24,0.0,32.84,2.03,0.77,7.51,8.28,20.32,21.7,2.62,4.05,623.38,198.48,0.06,24.32,0.06,91.31,38.21,0.12,0.0,0.12,0.12,0.0,1.31,0.72,1.01,0.24,0.06,0.83,1.13,0.3,1.13,0.83,0.48,4.71,0.0,2.8,0.18,0.24,0.42,27.89,0.18,44.28,5.36,24.5,18.36,1.55,0.18,44.28,0.12,0.0,0.0,0.6,0.42,0.0,0.0,0.0,0.0,0.66,1.01,1.67,1.25,0.6,0.6,1.85,-0.01,1,0.0,39.52,0.0,90.7,93.64,64.69,86.45,100.0
Abdoulaye Diaby,MLI,St. Gallen,UEFA Europa Conference League,CB,Defender,24,360,0.0,0.0,0.75,0.25,0.05,0.05,0.0,0.0,0.5,0.0,0.5,2.25,0.25,0.0,0.25,0.02,0.02,31.5,44.75,2.75,0.0,0.5,0.25,0.5,43.0,1.25,1.0,12.25,14.75,15.25,18.75,3.5,10.0,596.25,216.25,0.5,29.25,0.5,150.0,91.75,0.0,0.0,0.5,0.25,0.25,2.0,2.0,1.25,0.75,0.0,1.0,1.5,0.5,1.0,2.0,1.0,6.25,0.0,4.5,0.75,0.5,1.25,33.0,0.0,60.0,8.5,29.25,29.0,1.75,1.25,60.0,0.25,0.0,0.0,1.25,0.0,0.25,0.25,0.0,0.25,2.25,1.75,4.0,3.75,0.5,1.5,3.5,-0.05,1,0.0,56.25,0.0,83.05,81.33,35.0,116.67,50.0
Abdoulaye Doucouré,MLI,Everton,English Premier League,AM,Forward,32,2422,0.07,0.04,0.97,0.26,0.11,0.11,0.0,0.0,1.9,0.07,0.97,1.49,0.48,0.0,0.82,0.03,0.08,25.57,31.81,2.82,0.0,0.07,0.97,0.19,31.1,0.52,0.19,13.27,15.42,9.4,11.33,1.64,2.19,388.02,78.03,1.45,21.18,1.45,101.82,47.56,0.93,0.3,1.49,0.82,0.67,1.75,1.0,0.78,0.71,0.26,0.52,1.56,1.04,0.37,1.11,0.22,0.71,0.04,5.17,1.34,1.34,2.68,26.68,3.46,40.76,1.19,8.1,18.8,14.34,2.19,40.76,0.19,0.04,0.04,1.71,0.19,0.37,0.0,0.0,0.0,1.04,1.64,2.68,9.18,1.97,2.97,2.56,-0.03,1,0.07,38.81,0.0,86.06,82.97,74.89,112.78,55.03
Abdoulaye Keita,ESP,Getafe,Spanish La Liga,CM,Midfielder,22,95,0.0,0.0,1.89,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,2.84,0.95,0.95,0.95,0.09,0.0,14.21,25.58,1.89,0.0,0.95,0.95,0.0,24.63,0.95,0.0,7.58,10.42,5.68,5.68,0.95,5.68,243.47,62.53,0.95,20.84,0.95,79.58,22.74,0.0,0.0,2.84,0.95,1.89,1.89,1.89,0.0,0.95,0.95,1.89,3.79,1.89,0.0,0.95,0.0,2.84,0.0,5.68,2.84,2.84,5.68,23.68,3.79,38.84,2.84,9.47,18.0,11.37,0.95,38.84,0.0,0.0,0.0,5.68,0.0,0.0,0.0,0.0,0.0,2.84,2.84,5.68,7.58,0.95,2.84,5.68,0.0,1,0.0,50.0,0.0,72.74,100.0,16.73,150.26,33.45
Abdoulaye Niakhate Ndiaye,SEN,Brest,"French Ligue 1, UEFA Champions League",CB,Defender,23,1887,0.05,0.0,0.52,0.1,0.05,0.05,0.0,0.0,0.52,0.0,0.05,2.1,0.1,0.0,0.1,0.0,0.0,41.3,47.74,2.15,0.0,0.38,0.24,0.1,45.5,2.15,1.91,13.35,14.98,21.99,24.23,5.68,7.63,825.26,308.06,0.29,30.48,0.29,162.73,81.75,0.14,0.0,0.38,0.1,0.29,2.53,1.62,1.86,0.62,0.05,1.24,1.86,0.62,0.67,1.53,0.91,7.44,0.14,3.72,0.76,0.33,1.1,37.77,0.19,61.96,9.68,36.96,23.51,1.67,1.0,61.96,0.24,0.05,0.0,1.0,1.05,0.0,0.1,0.0,0.0,2.48,1.86,4.34,2.91,0.52,1.1,3.48,0.0,1,0.05,57.14,0.0,89.12,90.76,74.44,92.31,26.32
Abdoulaye Touré,GUI,Le Havre,French Ligue 1,DM,Midfielder,31,2324,0.39,0.04,1.47,0.23,0.36,0.08,0.31,0.35,1.9,0.19,0.27,3.49,0.39,0.19,0.43,0.03,0.02,33.61,41.01,4.22,0.12,0.46,0.31,0.23,40.28,0.5,0.46,13.4,15.68,15.18,17.89,4.1,5.34,626.2,167.1,0.66,27.65,0.66,135.77,58.9,0.54,0.0,1.28,0.66,0.46,2.36,1.32,1.2,0.81,0.35,1.28,2.28,1.01,1.32,1.39,0.74,1.63,0.19,6.2,1.12,1.16,2.28,32.22,1.08,52.44,3.02,14.64,30.36,7.98,1.08,52.09,0.19,0.0,0.0,1.16,1.74,0.04,0.0,0.04,0.0,1.16,0.74,1.9,6.62,2.09,1.67,3.6,0.02,1,0.39,61.05,0.0,85.46,84.85,76.78,98.9,51.56
Abdoulie Ceesay,GAM,St. Pauli,German Bundesliga,AM,Forward,21,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,12.0,21.0,0.0,1.5,0.0,0.0,0.0,21.0,0.0,0.0,10.5,15.0,0.0,1.5,0.0,1.5,105.0,3.0,0.0,18.0,0.0,48.0,4.5,0.0,0.0,0.0,0.0,0.0,4.5,4.5,1.5,1.5,1.5,3.0,4.5,1.5,0.0,3.0,0.0,1.5,0.0,6.0,6.0,4.5,10.5,27.0,12.0,39.0,0.0,3.0,19.5,16.5,3.0,39.0,1.5,0.0,0.0,3.0,4.5,0.0,0.0,0.0,0.0,0.0,9.0,9.0,12.0,1.5,3.0,9.0,0.0,1,0.0,0.0,0.0,70.0,0.0,0.0,120.0,0.0
Abdu Conté,POR,Young Boys,UEFA Champions League,LB,Defender,26,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.21,0.0,0.0,0.0,0.0,0.0,16.07,25.71,3.21,0.0,0.0,0.0,0.0,22.5,3.21,0.0,6.43,16.07,9.64,9.64,0.0,0.0,292.5,83.57,3.21,16.07,3.21,93.21,57.86,3.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.21,3.21,0.0,0.0,3.21,0.0,0.0,0.0,12.86,0.0,28.93,3.21,6.43,16.07,6.43,0.0,28.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.64,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,40.01,100.0,0.0,0.0,0.0
Abdukodir Khusanov,UZB,"Lens, Manchester City","English Premier League, French Ligue 1, UEFA Champions League",CB,Defender,21,1568,0.0,0.0,0.46,0.29,0.01,0.01,0.0,0.0,1.15,0.0,0.29,3.9,0.29,0.11,0.46,0.01,0.02,51.77,57.8,4.19,0.0,0.23,0.4,0.06,55.39,2.35,1.09,20.95,22.39,27.09,28.76,2.93,5.11,918.94,344.5,0.23,37.37,0.23,159.16,65.32,0.29,0.0,0.23,0.11,0.11,1.21,0.92,0.8,0.34,0.06,0.57,0.98,0.4,1.72,1.26,0.86,5.11,0.06,4.76,0.46,0.11,0.57,44.6,0.8,68.88,7.86,32.09,32.49,4.94,0.34,68.88,0.17,0.06,0.0,0.98,0.34,0.0,0.06,0.0,0.06,1.89,0.92,2.81,5.45,1.15,0.75,1.89,-0.01,1,0.0,67.26,0.0,93.57,94.19,57.34,106.18,47.83
Abdul Fatawu Issahaku,GHA,Leicester City,English Premier League,RW,Forward,20,489,0.0,0.37,2.02,0.74,0.06,0.06,0.0,0.0,2.58,0.55,0.74,1.29,1.29,0.37,4.23,0.18,0.26,19.33,30.55,3.13,0.37,0.18,2.39,0.0,28.71,1.84,0.18,9.75,13.25,6.81,9.2,2.21,4.6,324.66,92.94,6.81,33.5,6.81,288.4,169.69,4.05,1.66,10.49,4.42,4.05,3.31,2.58,2.02,0.18,1.1,1.66,2.94,1.29,0.55,1.1,0.0,2.02,0.0,6.07,2.76,2.02,4.79,33.5,9.2,50.8,2.76,11.41,17.48,24.48,2.76,50.8,0.0,0.0,0.0,1.66,3.5,0.37,0.0,0.0,0.0,2.02,1.47,3.5,25.95,3.13,6.07,5.52,-0.06,1,0.0,57.71,0.0,73.58,74.02,48.04,111.07,42.14
