Player,Nationality,Team,League,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total),Matches
Emiliano Martínez,ARG,Aston Villa,"English Premier League, UEFA Champions League",GK,Goalkeeper,32,3914,192.0,54.0,137.0,59.9,5.2,11,195.0,512.0,1506.0,160.0,45905.0,195.0,9109.0,574.0,65.0,39.0,761.1,1
Enrico Del Prato,ITA,Parma,Italian Serie A,GK,Goalkeeper,24,13,2.0,2.0,0.0,0.3,-1.7,0,0.0,12.0,12.0,1.0,548.4,3.0,150.0,8.0,1.0,0.0,0.0,1
Ersin Destanoğlu,TUR,Beşiktaş,UEFA Europa League,GK,Goalkeeper,23,270,17.0,5.0,12.0,4.7,-0.3,1,7.0,35.0,80.0,20.0,2690.3,26.0,850.2,39.0,4.0,1.0,15.3,1
Fabian Bredlow,GER,Stuttgart,UEFA Champions League,GK,Goalkeeper,29,90,6.0,4.0,2.0,3.3,-0.7,0,4.0,14.0,31.0,5.0,1181.1,2.0,25.0,8.0,0.0,2.0,47.4,1
Fabiano,BRA,AC Omonia,UEFA Europa Conference League,GK,Goalkeeper,36,540,31.0,9.0,21.0,11.0,2.0,1,21.0,61.0,93.0,20.0,3133.8,50.0,2169.0,94.0,4.0,0.0,0.0,1
Fabijan Buntić,CRO,Qarabağ,UEFA Europa League,GK,Goalkeeper,27,180,10.0,5.0,5.0,4.4,-0.6,0,1.0,6.0,31.0,7.0,817.9,6.0,213.0,17.0,1.0,2.0,34.5,1
Fabrice Ondoa,CMR,FK Rīgas FS,UEFA Europa League,GK,Goalkeeper,29,630,35.0,11.0,24.0,9.3,-1.7,1,29.0,101.0,161.0,25.0,6595.9,35.0,1673.3,122.0,5.0,4.0,62.6,1
Federico Ravaglia,ITA,Bologna,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,25,1146,29.0,15.0,14.0,12.4,-2.6,5,53.0,154.0,471.0,51.0,14602.1,49.0,1945.7,104.0,11.0,9.0,144.8,1
Fernando Muslera,URU,Galatasaray,UEFA Europa League,GK,Goalkeeper,38,540,29.0,14.0,15.0,13.8,-0.2,0,25.0,61.0,168.0,25.0,5306.3,25.0,942.1,63.0,5.0,6.0,156.3,1
Filip Jørgensen,DEN,Chelsea,"English Premier League, UEFA Europa Conference League",GK,Goalkeeper,23,1530,74.0,18.0,56.0,23.0,5.0,5,19.0,76.0,569.0,88.0,12764.8,54.0,1252.9,150.0,14.0,13.0,225.7,1
