Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Penalties Winner,Efficiency
Carlos Lampe,BOL,Goalkeeper,bo Bolívar,38.0,1987,1,1,90,0,3,3,1,0,0,0,0,0.6,1,2,48,8,5,5,0,3,0,0.6
Carlos Moreno,MEX,Goalkeeper,Pachuca,,1998,32,32,2880,48,142,93,6,5,4,1,0,38.4,180,373,646,177,276,405,27,42,1,-9.600000000000001
Caíque França,BRA,Goalkeeper,Sport Recife,30.0,1995,12,12,1080,20,59,40,2,4,3,0,1,17.7,44,106,223,52,98,164,10,11,1,-2.3000000000000007
Cesar López,MEX,Goalkeeper,Atlético,,2000,5,4,436,7,22,15,2,0,0,0,0,5.4,17,64,152,21,46,61,1,14,0,-1.5999999999999996
Cezary Miszta,POL,Goalkeeper,Rio Ave,,2001,26,26,2325,42,126,89,3,3,3,0,0,40.8,105,349,696,124,225,406,19,24,0,-1.2000000000000028
Chris Brady,USA,Goalkeeper,Chicago Fire,21.0,2004,18,18,1565,31,88,57,3,6,4,1,1,31.6,34,115,471,77,91,227,12,15,2,0.6000000000000014
Cleiton Schwengber,BRA,Goalkeeper,RB Bragantino,27.0,1997,14,14,1260,16,56,41,5,0,0,0,0,15.0,44,113,343,78,94,238,9,11,0,-1.0
Cláudio Ramos,POR,Goalkeeper,Porto,,1991,2,2,180,3,8,5,0,1,1,0,0,3.3,4,10,44,6,7,14,2,2,0,0.2999999999999998
Colin Coosemans,BEL,Goalkeeper,Anderlecht,,1992,28,28,2520,25,128,101,14,2,0,2,0,39.0,161,396,1227,105,93,383,21,35,2,14.0
Conor Hazard,NIR,Goalkeeper,Plymouth Argyle,,1998,25,25,2250,39,122,85,2,1,1,0,0,45.5,168,615,683,93,237,466,21,16,0,6.5
Cássio,BRA,Goalkeeper,Cruzeiro,38.0,1987,16,16,1440,11,63,51,8,1,0,1,0,14.1,45,121,216,42,117,257,5,10,1,3.0999999999999996
César,BRA,Goalkeeper,Boavista,,1992,16,16,1440,30,79,51,2,3,3,0,0,28.6,75,219,251,60,125,213,18,10,0,-1.3999999999999986
Daniel,BRA,Goalkeeper,SJ Earthquakes,31.0,1994,21,21,1775,32,108,77,2,1,1,0,0,34.3,75,219,498,92,118,248,14,41,0,2.299999999999997
Daniel Azevedo,POR,Goalkeeper,Casa Pia,,1998,1,1,90,2,4,2,0,0,0,0,0,2.1,1,10,19,1,9,20,1,1,0,0.10000000000000009
Daniel Bachmann,AUT,Goalkeeper,Watford,,1994,22,22,1902,28,87,59,5,1,0,1,0,27.1,89,296,549,100,139,315,9,15,1,-0.8999999999999986
Daniel Bielica,POL,Goalkeeper,NAC Breda,,1999,32,32,2880,52,163,112,5,6,6,0,0,52.2,182,406,874,145,263,513,23,26,0,0.20000000000000284
Daniel Figueira,POR,Goalkeeper,Estoril,,1998,1,1,90,4,7,3,0,1,1,0,0,2.4,2,6,19,6,5,16,1,0,0,-1.6
Daniel Fuzato,BRA,Goalkeeper,Vasco da Gama,28.0,1997,1,0,2,1,2,1,0,0,0,0,0,0.9,2,6,3,0,3,4,0,0,0,-0.09999999999999998
Daniel Grimshaw,ENG,Goalkeeper,Plymouth Argyle,,1998,21,21,1890,49,124,75,1,3,3,0,0,47.5,94,444,911,94,155,319,6,26,0,-1.5
Daniel Schmidt,JPN,Goalkeeper,Gent,,1992,1,1,90,0,5,5,1,0,0,0,0,2.1,2,11,37,5,2,7,1,0,0,2.1
David Bingham,USA,Goalkeeper,Charlotte,35.0,1989,2,2,180,2,11,9,1,0,0,0,0,2.4,3,18,48,8,14,37,4,1,0,0.3999999999999999
David Cornell,WAL,Goalkeeper,Preston,,1991,10,9,811,16,36,20,1,3,3,0,0,13.3,58,161,261,43,75,125,8,10,0,-2.6999999999999993
David Ochoa,USA,Goalkeeper,LAFC,24.0,2001,1,1,90,1,1,0,0,0,0,0,0,0.9,0,1,18,7,5,13,0,0,0,-0.09999999999999998
David Ospina,COL,Goalkeeper,co Nacional,36.0,1988,5,5,450,6,22,16,1,3,3,0,0,6.7,25,56,179,26,13,63,3,3,0,0.7000000000000002
Davor Matijas,CRO,Goalkeeper,Beerschot,,1999,10,9,852,22,45,22,2,7,6,1,0,20.2,25,93,297,37,43,125,4,15,1,-1.8000000000000007
Davy Roef,BEL,Goalkeeper,Gent,,1994,26,26,2340,30,143,114,11,1,1,0,0,45.7,104,265,692,166,215,431,29,14,0,15.700000000000003
Dayne St. Clair,CAN,Goalkeeper,Minnesota Utd,28.0,1997,21,21,1890,19,77,60,8,3,2,0,1,20.9,111,381,573,64,125,389,13,7,1,1.8999999999999986
Demba Thiam,SEN,Goalkeeper,Juve Stabia,,1998,38,38,3420,41,148,106,12,7,5,1,1,46.7,218,723,1242,143,195,571,63,27,2,5.700000000000003
Diant Ramaj,GER,Goalkeeper,Ajax,,2001,1,1,90,0,2,2,1,0,0,0,0,0.2,1,10,47,3,5,5,0,1,0,0.2
Diego Enriquez,PER,Goalkeeper,pe Sporting Cristal,23.0,2002,6,6,540,16,43,27,0,2,2,0,0,12.9,19,56,131,18,48,85,4,6,0,-3.0999999999999996
Diego Matías Rodríguez,ARG,Goalkeeper,Arg Juniors,36.0,1989,19,19,1710,11,56,45,11,1,0,1,0,13.8,111,240,519,37,101,205,6,3,1,2.8000000000000007
Diogo Costa,POR,Goalkeeper,Porto,,1999,32,32,2880,27,85,57,16,7,5,2,0,29.2,132,305,1072,139,146,310,19,51,2,2.1999999999999993
Drake Callender,USA,Goalkeeper,Inter Miami,27.0,1997,3,2,185,5,13,8,0,0,0,0,0,4.7,10,17,57,10,9,15,0,3,0,-0.2999999999999998
Earl Edwards Jr.,USA,Goalkeeper,SJ Earthquakes,33.0,1992,6,4,475,12,23,11,2,1,1,0,0,8.7,22,64,120,30,28,60,1,6,0,-3.3000000000000007
Edoardo Motta,ITA,Goalkeeper,Reggiana,,2005,2,2,180,3,7,4,0,0,0,0,0,2.6,16,38,32,5,22,45,2,0,0,-0.3999999999999999
Eduardo García,MEX,Goalkeeper,Guadalajara,,2002,2,2,180,3,9,6,1,0,0,0,0,2.0,9,22,46,7,19,35,2,1,0,-1.0
Egil Selvik,NOR,Goalkeeper,Watford,,1997,16,16,1440,19,71,52,6,0,0,0,0,24.4,79,261,505,60,100,233,13,16,0,5.399999999999999
Elhan Kastrati,ALB,Goalkeeper,Cittadella,,1997,29,29,2565,40,119,82,8,5,4,1,0,38.7,90,308,523,104,225,439,21,17,1,-1.2999999999999972
Emil Audero,IDN,Goalkeeper,Palermo,,1997,14,14,1260,20,64,44,3,1,1,0,0,21.7,86,243,422,67,106,263,25,11,0,1.6999999999999993
Enrique Bologna,ARG,Goalkeeper,Defensa y Just,43.0,1982,19,19,1710,24,87,63,7,1,1,0,0,27.3,138,279,454,67,138,304,12,11,0,3.3000000000000007
Esteban Andrada,ARG,Goalkeeper,Monterrey,,1991,24,24,2160,29,98,69,8,4,4,0,0,27.7,117,296,794,138,148,297,30,27,0,-1.3000000000000007
Ethan Horvath,USA,Goalkeeper,Cardiff City,,1995,17,17,1530,28,67,42,3,0,0,0,0,21.6,71,268,411,45,109,184,7,16,0,-6.399999999999999
Etienne Vaessen,SUR,Goalkeeper,Groningen,,1995,32,32,2880,50,140,91,7,6,5,1,0,50.4,240,717,1073,103,196,448,41,41,1,0.3999999999999986
Evan Bush,USA,Goalkeeper,Columbus Crew,39.0,1986,5,5,450,3,7,4,2,0,0,0,0,2.7,6,22,142,19,32,38,3,12,0,-0.2999999999999998
Ezequiel Centurión,ARG,Goalkeeper,Ind. Rivadavia,28.0,1997,19,19,1710,19,77,58,8,4,3,1,0,20.4,106,324,397,69,161,337,18,10,1,1.3999999999999986
