Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Defensive Actions Outside Penalty Area,Penalties Winner,Efficiency,% Saves,% Long Passes,% Crosses Stopped
Ronaldo,BRA,Goalkeeper,br Bahia,28.0,1996,7,7,558,0.81,3.87,2.9,0.32,0.16,0.0,0.16,0.0,1.03,3.55,11.13,29.52,3.87,5.81,13.39,1.29,2.1,0.16,0.23,74.94,31.9,9.63
Roy Kortsmit,NED,Goalkeeper,NAC Breda,0.0,1992,1,1,90,3.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,2.9,12.0,25.0,27.0,1.0,3.0,12.0,2.0,2.0,0.0,-0.1,25.0,48.0,16.67
Rubén Cordano,BOL,Goalkeeper,bo Bolívar,26.0,1998,2,2,180,2.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,1.3,3.0,10.5,41.0,6.5,6.0,9.5,0.5,0.0,0.0,-0.7,66.67,28.57,5.26
Rui Encarnação,POR,Goalkeeper,Nacional,0.0,1998,2,1,135,2.67,4.67,2.0,0.0,1.33,1.33,0.0,0.0,1.87,3.33,9.33,20.0,1.33,4.67,12.67,0.0,1.33,0.0,-0.8,42.83,35.69,0.0
Rui Silva,POR,Goalkeeper,Sporting CP,0.0,1994,17,17,1530,0.76,1.88,1.24,0.35,0.24,0.24,0.0,0.0,0.79,2.59,7.12,17.29,3.0,5.35,10.88,0.71,1.65,0.0,0.03,65.96,36.38,6.53
Salvatore Sirigu,ITA,Goalkeeper,Palermo,0.0,1987,3,3,270,0.67,2.33,1.67,0.67,0.0,0.0,0.0,0.0,0.33,4.0,10.0,27.0,2.0,4.33,13.0,0.33,0.33,0.0,-0.33,71.67,40.0,2.54
Samuel Soares,POR,Goalkeeper,Benfica,0.0,2002,2,2,180,0.0,2.5,2.0,1.0,0.5,0.0,0.5,0.0,0.5,1.0,3.0,14.0,5.5,5.0,6.5,1.0,0.5,0.5,0.5,80.0,33.33,15.38
Samuele Perisan,ITA,Goalkeeper,Sampdoria,0.0,1997,1,1,57,0.0,1.58,1.58,0.0,0.0,0.0,0.0,0.0,0.32,3.16,11.05,14.21,4.74,9.47,22.11,1.58,0.0,0.0,0.32,100.0,28.6,7.15
Sean Johnson,USA,Goalkeeper,Toronto FC,36.0,1989,24,24,2160,1.33,4.71,3.38,0.25,0.17,0.17,0.0,0.0,1.68,3.25,10.75,22.83,3.71,7.25,12.46,0.5,0.79,0.0,0.35,71.76,30.23,4.01
Sebastian Breza,CAN,Goalkeeper,CF Montréal,27.0,1998,3,3,270,3.0,6.67,3.67,0.0,0.0,0.0,0.0,0.0,2.7,3.0,9.0,27.0,4.33,3.33,10.33,2.0,0.67,0.0,-0.3,55.02,33.33,19.36
