Player,Nationality,Team,League,Position,General Position,Age,Minutes,Matches,Line Index,Passes Index
André Onana,CMR,Manchester Utd,"English Premier League, UEFA Champions League",GK,Goalkeeper,28,3960,1,60,45
Anthony Lopes,POR,Lyon,French Ligue 1,GK,Goalkeeper,33,2790,1,40,54
Anthony Moris,LUX,Union SG,"UEFA Europa Conference League, UEFA Europa League",GK,Goalkeeper,33,720,1,78,58
Anthony Racioppi,SUI,Young Boys,UEFA Champions League,GK,Goalkeeper,24,450,1,79,74
Anton Ari Einarsson,ISL,Breiðablik,UEFA Europa Conference League,GK,Goalkeeper,29,540,1,13,68
Anton Zhylkin,UKR,Zorya Luhansk,UEFA Europa Conference League,GK,Goalkeeper,20,1,1,28,1
Antonio Adán,ESP,Sporting CP,UEFA Europa League,GK,Goalkeeper,36,540,1,33,42
Antonio Mirante,ITA,Milan,Italian Serie A,GK,Goalkeeper,40,177,1,68,27
Antonio Sivera,ESP,Alavés,Spanish La Liga,GK,Goalkeeper,27,3060,1,66,61
Arijanet Muric,KVX,Burnley,English Premier League,GK,Goalkeeper,25,900,1,80,76
Arnau Tenas,ESP,Paris S-G,French Ligue 1,GK,Goalkeeper,22,529,1,31,25
Arthur Desmas,FRA,Le Havre,French Ligue 1,GK,Goalkeeper,30,2970,1,70,42
Augusto Batalla,ARG,Granada,Spanish La Liga,GK,Goalkeeper,28,1530,1,31,68
Bart Verbruggen,NED,Brighton,"English Premier League, UEFA Europa League",GK,Goalkeeper,21,2160,1,45,57
Benjamin Lecomte,FRA,Montpellier,French Ligue 1,GK,Goalkeeper,33,2700,1,53,51
Benoît Costil,FRA,Salernitana,Italian Serie A,GK,Goalkeeper,36,1170,1,34,42
Bernd Leno,GER,Fulham,English Premier League,GK,Goalkeeper,32,3420,1,49,47
Boris Radunović,SRB,Cagliari,Italian Serie A,GK,Goalkeeper,27,630,1,51,66
Brice Samba,FRA,Lens,"French Ligue 1, UEFA Champions League, UEFA Europa League",GK,Goalkeeper,30,3690,1,78,70
Caoimhín Kelleher,IRL,Liverpool,"English Premier League, UEFA Europa League",GK,Goalkeeper,25,1620,1,59,49
Carljohan Eriksson,FIN,Nordsjælland,UEFA Europa Conference League,GK,Goalkeeper,28,90,1,28,24
Carlo Pinsoglio,ITA,Juventus,Italian Serie A,GK,Goalkeeper,34,45,1,56,56
Christos Mandas,GRE,Lazio,Italian Serie A,GK,Goalkeeper,22,721,1,55,46
Cican Stankovic,AUT,AEK Athens,UEFA Europa League,GK,Goalkeeper,31,326,1,86,72
Claudio Bravo,CHI,Betis,"Spanish La Liga, UEFA Europa League",GK,Goalkeeper,40,810,1,74,65
Cristian,ESP,Valencia,Spanish La Liga,GK,Goalkeeper,26,57,1,13,52
Dani Cárdenas,ESP,Rayo Vallecano,Spanish La Liga,GK,Goalkeeper,27,90,1,22,30
Daniel Batz,GER,Mainz 05,German Bundesliga,GK,Goalkeeper,32,360,1,35,43
Daniel Bentley,ENG,Wolves,English Premier League,GK,Goalkeeper,30,383,1,34,18
Daniel Fuzato,BRA,Getafe,Spanish La Liga,GK,Goalkeeper,26,7,1,6,73
Daniel Peretz,ISR,Bayern Munich,German Bundesliga,GK,Goalkeeper,23,17,1,28,34
Daniele Sommariva,ITA,Genoa,Italian Serie A,GK,Goalkeeper,26,5,1,33,15
Danijel Zagorac,CRO,Dinamo Zagreb,UEFA Europa Conference League,GK,Goalkeeper,36,270,1,90,69
David Gil,ESP,Cádiz,Spanish La Liga,GK,Goalkeeper,30,372,1,25,64
David Raya,ESP,Arsenal,"English Premier League, UEFA Champions League",GK,Goalkeeper,28,3690,1,43,59
David Soria,ESP,Getafe,Spanish La Liga,GK,Goalkeeper,31,3413,1,63,60
David von Ballmoos,SUI,Young Boys,"UEFA Champions League, UEFA Europa League",GK,Goalkeeper,29,270,1,73,84
Davy Roef,BEL,Gent,UEFA Europa Conference League,GK,Goalkeeper,30,561,1,45,69
Dean Henderson,ENG,Crystal Palace,English Premier League,GK,Goalkeeper,27,1620,1,48,16
Denis Petrić,SRB,Nantes,French Ligue 1,GK,Goalkeeper,35,24,1,2,67
Denis Pintol,SVN,Olimpija,UEFA Europa Conference League,GK,Goalkeeper,23,360,1,30,20
Diant Ramaj,GER,Ajax,"UEFA Europa Conference League, UEFA Europa League",GK,Goalkeeper,22,720,1,47,47
Diego Mariño,ESP,Almería,Spanish La Liga,GK,Goalkeeper,33,90,1,69,23
Dimitry Bertaud,COD,Montpellier,French Ligue 1,GK,Goalkeeper,25,360,1,59,50
Diogo Costa,POR,Porto,UEFA Champions League,GK,Goalkeeper,24,720,1,26,57
Dmytro Riznyk,UKR,Shakhtar,"UEFA Champions League, UEFA Europa League",GK,Goalkeeper,25,720,1,27,50
Dominik Greif,SVK,Mallorca,Spanish La Liga,GK,Goalkeeper,26,90,1,57,70
Dominik Hładun,POL,Legia Warsaw,UEFA Europa Conference League,GK,Goalkeeper,28,180,1,87,39
Dominik Kotarski,CRO,PAOK,UEFA Europa Conference League,GK,Goalkeeper,24,900,1,54,26
Dominik Livaković,CRO,Fenerbahçe,UEFA Europa Conference League,GK,Goalkeeper,29,540,1,28,26
Dominik Takáč,SVK,Spartak Trnava,UEFA Europa Conference League,GK,Goalkeeper,24,540,1,77,22
Dénes Dibusz,HUN,Ferencváros,UEFA Europa Conference League,GK,Goalkeeper,33,720,1,43,61
Ederson,BRA,Manchester City,"English Premier League, UEFA Champions League",GK,Goalkeeper,30,3415,1,66,64
Elia Caprile,ITA,Empoli,Italian Serie A,GK,Goalkeeper,22,2070,1,51,58
Emil Audero,IDN,Inter,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,27,427,1,49,40
Emiliano Martínez,ARG,Aston Villa,"English Premier League, UEFA Europa Conference League",GK,Goalkeeper,31,3825,1,78,61
Enea Koliçi,ALB,KF Ballkani Therandë,UEFA Europa Conference League,GK,Goalkeeper,37,540,1,64,44
Ersin Destanoğlu,TUR,Beşiktaş,UEFA Europa Conference League,GK,Goalkeeper,22,270,1,50,62
Etrit Berisha,ALB,Empoli,Italian Serie A,GK,Goalkeeper,34,1260,1,31,34
Fabian Bredlow,GER,Stuttgart,German Bundesliga,GK,Goalkeeper,29,360,1,62,62
Federico Ravaglia,ITA,Bologna,Italian Serie A,GK,Goalkeeper,24,535,1,75,26
Fernando,ESP,Almería,Spanish La Liga,GK,Goalkeeper,33,360,1,39,63
Fernando Muslera,URU,Galatasaray,"UEFA Champions League, UEFA Europa League",GK,Goalkeeper,37,720,1,57,72
Filip Jørgensen,DEN,Villarreal,"Spanish La Liga, UEFA Europa League",GK,Goalkeeper,22,3330,1,50,59
Filip Marshall,ENG,Aston Villa,UEFA Europa Conference League,GK,Goalkeeper,20,90,1,14,23
Filip Samurović,SRB,Čukarički,UEFA Europa Conference League,GK,Goalkeeper,20,90,1,13,37
Finn Dahmen,GER,Augsburg,German Bundesliga,GK,Goalkeeper,26,2790,1,51,60
Fran Vieites,ESP,Betis,Spanish La Liga,GK,Goalkeeper,25,315,1,61,33
Francesco Rossi,ITA,Atalanta,"Italian Serie A, UEFA Europa League",GK,Goalkeeper,33,12,1,92,76
Franco Israel,URU,Sporting CP,UEFA Europa League,GK,Goalkeeper,23,360,1,78,50
Frederik Rønnow,DEN,Union Berlin,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,31,3510,1,51,69
Gauthier Gallon,FRA,Rennes,UEFA Europa League,GK,Goalkeeper,30,90,1,55,60
Gianluigi Donnarumma,ITA,Paris S-G,"French Ligue 1, UEFA Champions League",GK,Goalkeeper,25,3249,1,73,42
Giorgi Mamardashvili,GEO,Valencia,Spanish La Liga,GK,Goalkeeper,23,3284,1,80,37
Giorgos Athanasiadis,GRE,AEK Athens,UEFA Europa League,GK,Goalkeeper,30,212,1,83,63
Gregor Kobel,SUI,Dortmund,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,26,3445,1,75,64
Grégoire Coudert,FRA,Brest,French Ligue 1,GK,Goalkeeper,24,181,1,40,63
Guglielmo Vicario,ITA,Tottenham,English Premier League,GK,Goalkeeper,27,3420,1,66,31
Guillaume Dietsch,FRA,Metz,French Ligue 1,GK,Goalkeeper,22,73,1,31,58
Guillaume Restes,FRA,Toulouse,"French Ligue 1, UEFA Europa League",GK,Goalkeeper,19,3780,1,54,23
Guillermo Ochoa,MEX,Salernitana,Italian Serie A,GK,Goalkeeper,38,1890,1,34,27
Heinz Lindner,AUT,Union SG,UEFA Europa Conference League,GK,Goalkeeper,33,180,1,76,14
Hendrik Van Crombrugge,BEL,Genk,UEFA Europa Conference League,GK,Goalkeeper,30,180,1,93,28
Ionuț Radu,ROU,Bournemouth,English Premier League,GK,Goalkeeper,26,180,1,8,38
Itamar Nitzan,ISR,Maccabi Haifa,UEFA Europa League,GK,Goalkeeper,36,90,1,39,50
Ivan Nevistić,CRO,Dinamo Zagreb,UEFA Europa Conference League,GK,Goalkeeper,25,630,1,65,59
Ivan Provedel,ITA,Lazio,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,30,3419,1,46,45
Ivo Grbić,CRO,Sheffield Utd,English Premier League,GK,Goalkeeper,28,771,1,18,46
Iván Cuéllar,ESP,Mallorca,Spanish La Liga,GK,Goalkeeper,39,90,1,52,29
Iván Villar,ESP,Celta Vigo,Spanish La Liga,GK,Goalkeeper,26,1014,1,47,26
Iñaki Peña,ESP,Barcelona,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,24,1080,1,36,51
Jack Butland,ENG,Rangers,UEFA Europa League,GK,Goalkeeper,31,720,1,69,38
Jacob Karlstrom,NOR,Molde,UEFA Europa League,GK,Goalkeeper,26,130,1,35,64
James Shea,ENG,Luton Town,English Premier League,GK,Goalkeeper,32,15,1,52,93
James Trafford,ENG,Burnley,English Premier League,GK,Goalkeeper,21,2520,1,46,54
Jan Oblak,SVN,Atlético Madrid,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,31,4320,1,44,33
Janis Blaswich,GER,RB Leipzig,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,33,2340,1,44,58
Jason Steele,ENG,Brighton,"English Premier League, UEFA Europa League",GK,Goalkeeper,33,1980,1,31,43
Jaume Doménech,ESP,Valencia,Spanish La Liga,GK,Goalkeeper,33,79,1,18,30
Jay Gorter,NED,Ajax,UEFA Europa League,GK,Goalkeeper,23,180,1,77,60
Jean Butez,FRA,Antwerp,UEFA Champions League,GK,Goalkeeper,28,450,1,23,84
Jean-Louis Leca,FRA,Lens,French Ligue 1,GK,Goalkeeper,38,90,1,4,15
Jens Grahl,GER,Eint Frankfurt,"German Bundesliga, UEFA Europa Conference League",GK,Goalkeeper,35,315,1,44,30
Jeremías Ledesma,ARG,Cádiz,Spanish La Liga,GK,Goalkeeper,31,3048,1,60,66
Jesse Öst,FIN,HJK,UEFA Europa Conference League,GK,Goalkeeper,33,258,1,55,33
Jesús Owono,EQG,Alavés,Spanish La Liga,GK,Goalkeeper,23,360,1,30,66
Jindřich Staněk,CZE,"Slavia Prague, Viktoria Plzeň","UEFA Europa Conference League, UEFA Europa League",GK,Goalkeeper,27,450,1,34,59
Jiří Pavlenka,CZE,Werder Bremen,German Bundesliga,GK,Goalkeeper,31,630,1,27,53
Joe Hart,ENG,Celtic,UEFA Champions League,GK,Goalkeeper,36,540,1,30,48
Jonas Omlin,SUI,Gladbach,German Bundesliga,GK,Goalkeeper,30,630,1,23,61
Jordan Pickford,ENG,Everton,English Premier League,GK,Goalkeeper,30,3420,1,70,73
Josep Martinez,ESP,Genoa,Italian Serie A,GK,Goalkeeper,25,3239,1,46,64
Josip Condric,CRO,Astana FK,UEFA Europa Conference League,GK,Goalkeeper,30,540,1,23,22
José Sá,POR,Wolves,English Premier League,GK,Goalkeeper,31,3037,1,80,27
Juan Musso,ARG,Atalanta,"Italian Serie A, UEFA Europa League",GK,Goalkeeper,30,2070,1,66,59
Julen Agirrezabala,ESP,Athletic Club,Spanish La Liga,GK,Goalkeeper,23,238,1,22,72
Julian Faye-Lund,NOR,Bodø/Glimt,UEFA Europa Conference League,GK,Goalkeeper,24,180,1,10,37
Justin Bijlow,NED,Feyenoord,UEFA Champions League,GK,Goalkeeper,25,360,1,69,26
Jérémy Frick,SUI,Servette FC,"UEFA Europa Conference League, UEFA Europa League",GK,Goalkeeper,31,900,1,79,70
Kacper Tobiasz,POL,Legia Warsaw,UEFA Europa Conference League,GK,Goalkeeper,21,540,1,51,22
Kamil Grabara,POL,FC Copenhagen,UEFA Champions League,GK,Goalkeeper,25,720,1,49,61
Kelle Roos,NED,Aberdeen,UEFA Europa Conference League,GK,Goalkeeper,31,540,1,74,46
Kepa Arrizabalaga,ESP,Real Madrid,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,29,1558,1,57,44
Kevin Müller,GER,Heidenheim,German Bundesliga,GK,Goalkeeper,33,3060,1,55,79
Kevin Trapp,GER,Eint Frankfurt,"German Bundesliga, UEFA Europa Conference League",GK,Goalkeeper,33,3464,1,59,28
Keylor Navas,CRC,Paris S-G,French Ligue 1,GK,Goalkeeper,37,360,1,30,34
Kjell Scherpen,NED,Sturm Graz,UEFA Europa League,GK,Goalkeeper,23,540,1,85,33
Kjetil Haug,NOR,Bodø/Glimt,UEFA Europa Conference League,GK,Goalkeeper,25,180,1,23,32
Koen Casteels,BEL,Wolfsburg,German Bundesliga,GK,Goalkeeper,31,2250,1,55,75
Kostas Tzolakis,GRE,Olympiacos,UEFA Europa Conference League,GK,Goalkeeper,21,540,1,75,46
Lapo Nava,ITA,Milan,Italian Serie A,GK,Goalkeeper,20,3,1,39,76
Lorenzo Montipò,ITA,Hellas Verona,Italian Serie A,GK,Goalkeeper,28,3330,1,34,65
Loris Karius,GER,Newcastle Utd,English Premier League,GK,Goalkeeper,30,90,1,19,27
Luca Gemello,ITA,Torino,Italian Serie A,GK,Goalkeeper,23,180,1,18,59
Lucas Chevalier,FRA,Lille,"French Ligue 1, UEFA Europa Conference League",GK,Goalkeeper,22,3599,1,67,32
Luka Gugeshashvili,GEO,Qarabağ,UEFA Europa League,GK,Goalkeeper,24,6,1,21,11
Lukáš Hrádecký,FIN,Leverkusen,German Bundesliga,GK,Goalkeeper,34,2970,1,62,34
Luís Maximiano,POR,Almería,Spanish La Liga,GK,Goalkeeper,25,2970,1,53,46
Maarten Vandevoordt,BEL,Genk,UEFA Europa Conference League,GK,Goalkeeper,21,360,1,55,47
Maduka Okoye,NGA,Udinese,Italian Serie A,GK,Goalkeeper,24,1890,1,45,41
Maksym Koval,UKR,Sheriff Tiraspol,UEFA Europa League,GK,Goalkeeper,31,540,1,52,60
Manuel Neuer,GER,Bayern Munich,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,38,2863,1,56,63
Manuel Riemann,GER,Bochum,German Bundesliga,GK,Goalkeeper,35,2970,1,40,76
Marc Martínez,ESP,Granada,Spanish La Liga,GK,Goalkeeper,34,270,1,77,60
Marc-André ter Stegen,GER,Barcelona,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,32,3240,1,58,60
Marcel Schuhen,GER,Darmstadt 98,German Bundesliga,GK,Goalkeeper,31,2790,1,48,82
Marcin Bułka,POL,Nice,French Ligue 1,GK,Goalkeeper,24,3060,1,59,48
Marco Bizot,NED,Brest,French Ligue 1,GK,Goalkeeper,33,2877,1,59,76
Marco Carnesecchi,ITA,Atalanta,"Italian Serie A, UEFA Europa League",GK,Goalkeeper,23,2508,1,51,52
Marco Silvestri,ITA,Udinese,Italian Serie A,GK,Goalkeeper,32,1530,1,50,32
Marco Sportiello,ITA,Milan,"Italian Serie A, UEFA Champions League, UEFA Europa League",GK,Goalkeeper,32,710,1,32,54
Mark Flekken,NED,Brentford,English Premier League,GK,Goalkeeper,30,3285,1,42,66
Mark Travers,IRL,Bournemouth,English Premier League,GK,Goalkeeper,24,360,1,54,38
Marko Dmitrović,SRB,Sevilla,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,31,1530,1,51,48
Marko Marić,CRO,Zrinjski Mostar,UEFA Europa Conference League,GK,Goalkeeper,27,540,1,29,21
Martin Dúbravka,SVK,Newcastle Utd,"English Premier League, UEFA Champions League",GK,Goalkeeper,35,2075,1,60,37
Martin Jedlička,CZE,Viktoria Plzeň,UEFA Europa Conference League,GK,Goalkeeper,26,360,1,93,82
Martin Trnovský,SVK,Slovan Bratislava,UEFA Europa Conference League,GK,Goalkeeper,23,124,1,74,70
Marvin Schwäbe,GER,Köln,German Bundesliga,GK,Goalkeeper,29,3060,1,68,46
Massamba Ndiaye,SEN,Clermont Foot,French Ligue 1,GK,Goalkeeper,22,360,1,84,69
Matej Kovar,CZE,Leverkusen,"German Bundesliga, UEFA Europa League",GK,Goalkeeper,24,1170,1,86,51
Matevž Vidovšek,SVN,Olimpija,UEFA Europa Conference League,GK,Goalkeeper,23,180,1,88,21
Matheus,BRA,Braga,"UEFA Champions League, UEFA Europa League",GK,Goalkeeper,31,720,1,56,51
Mathew Ryan,AUS,AZ Alkmaar,UEFA Europa Conference League,GK,Goalkeeper,31,450,1,17,73
Mathieu Gorgelin,FRA,Le Havre,French Ligue 1,GK,Goalkeeper,33,90,1,80,21
Matt Turner,USA,Nott'ham Forest,English Premier League,GK,Goalkeeper,29,1530,1,30,78
Mattia Perin,ITA,Juventus,Italian Serie A,GK,Goalkeeper,31,225,1,62,22
Matz Sels,BEL,"Nott'ham Forest, Strasbourg","English Premier League, French Ligue 1",GK,Goalkeeper,32,3150,1,21,50
Mert Günok,TUR,Beşiktaş,UEFA Europa Conference League,GK,Goalkeeper,34,270,1,62,74
Michael Zetterer,GER,Werder Bremen,German Bundesliga,GK,Goalkeeper,28,2430,1,78,81
Michele Cerofolini,ITA,Frosinone,Italian Serie A,GK,Goalkeeper,25,675,1,17,14
Michele Di Gregorio,ITA,Monza,Italian Serie A,GK,Goalkeeper,26,2872,1,74,80
Mike Maignan,FRA,Milan,"Italian Serie A, UEFA Champions League, UEFA Europa League",GK,Goalkeeper,28,3609,1,40,69
Milan Borjan,CAN,Slovan Bratislava,UEFA Europa Conference League,GK,Goalkeeper,36,593,1,84,50
Mile Svilar,SRB,Roma,"Italian Serie A, UEFA Europa League",GK,Goalkeeper,24,2610,1,58,45
Moritz Nicolas,GER,Gladbach,German Bundesliga,GK,Goalkeeper,26,2430,1,42,57
Mory Diaw,SEN,Clermont Foot,French Ligue 1,GK,Goalkeeper,30,2700,1,67,69
Mykyta Turbaievskyi,UKR,Zorya Luhansk,UEFA Europa Conference League,GK,Goalkeeper,21,450,1,33,23
Nemanja Belić,SRB,Čukarički,UEFA Europa Conference League,GK,Goalkeeper,36,241,1,28,65
Nenad Filipović,SRB,Čukarički,UEFA Europa Conference League,GK,Goalkeeper,36,209,1,59,60
Neto,BRA,Bournemouth,English Premier League,GK,Goalkeeper,34,2880,1,64,55
Nick Pope,ENG,Newcastle Utd,"English Premier League, UEFA Champions League",GK,Goalkeeper,32,1795,1,80,40
Nicola Bagnolini,ITA,Bologna,Italian Serie A,GK,Goalkeeper,20,5,1,38,65
Nicola Leali,ITA,Genoa,Italian Serie A,GK,Goalkeeper,31,176,1,83,64
Niki Mäenpää,FIN,HJK,UEFA Europa Conference League,GK,Goalkeeper,38,282,1,78,25
Nikita Contini Baranovsky,ITA,Napoli,Italian Serie A,GK,Goalkeeper,27,17,1,30,14
Nikita Haikin,RUS,Bodø/Glimt,UEFA Europa Conference League,GK,Goalkeeper,28,360,1,33,63
Niklas Lomb,GER,Leverkusen,UEFA Europa League,GK,Goalkeeper,30,90,1,21,45
Nikola Simić,SRB,TSC,UEFA Europa League,GK,Goalkeeper,26,90,1,35,43
Nils Jonatan Johansson,SWE,KÍ,UEFA Europa Conference League,GK,Goalkeeper,32,540,1,81,55
Noah Atubolu,GER,Freiburg,"German Bundesliga, UEFA Europa League",GK,Goalkeeper,21,3960,1,43,63
Nordin Jackers,BEL,Club Brugge,UEFA Europa Conference League,GK,Goalkeeper,26,360,1,32,80
Odysseas Vlachodimos,GRE,Nott'ham Forest,English Premier League,GK,Goalkeeper,29,450,1,13,69
Oleksandr Saputin,UKR,Zorya Luhansk,UEFA Europa Conference League,GK,Goalkeeper,20,89,1,37,60
Oliver Baumann,GER,Hoffenheim,German Bundesliga,GK,Goalkeeper,33,3060,1,66,72
Oliver Christensen,DEN,Fiorentina,"Italian Serie A, UEFA Europa Conference League",GK,Goalkeeper,25,720,1,18,56
Oliver Petersen,NOR,Molde,"UEFA Europa Conference League, UEFA Europa League",GK,Goalkeeper,22,770,1,33,28
Olivier Giroud,FRA,Milan,Italian Serie A,GK,Goalkeeper,37,1,1,28,83
Omri Glazer,ISR,Red Star,UEFA Champions League,GK,Goalkeeper,27,540,1,67,55
Orlando Mosquera,PAN,Maccabi Tel Aviv,UEFA Europa Conference League,GK,Goalkeeper,28,360,1,90,61
Pau López,ESP,Marseille,"French Ligue 1, UEFA Europa League",GK,Goalkeeper,29,4108,1,42,34
Paul Nardi,FRA,Gent,UEFA Europa Conference League,GK,Goalkeeper,29,159,1,25,28
Paulo Gazzaniga,ARG,Girona,Spanish La Liga,GK,Goalkeeper,32,3420,1,70,55
Pavao Pervan,AUT,Wolfsburg,German Bundesliga,GK,Goalkeeper,36,810,1,17,56
Pepe Reina,ESP,Villarreal,"Spanish La Liga, UEFA Europa League",GK,Goalkeeper,41,810,1,55,42
Peter Abrahamsson,SWE,Häcken,UEFA Europa League,GK,Goalkeeper,35,540,1,22,53
Peter Vindahl Jensen,DEN,Sparta Prague,UEFA Europa League,GK,Goalkeeper,26,900,1,21,60
Philipp Köhn,SUI,Monaco,French Ligue 1,GK,Goalkeeper,25,1980,1,63,36
Pierluigi Gollini,ITA,Napoli,Italian Serie A,GK,Goalkeeper,28,630,1,67,54
Pietro Terracciano,ITA,Fiorentina,"Italian Serie A, UEFA Europa Conference League",GK,Goalkeeper,34,3780,1,67,64
Predrag Rajković,SRB,Mallorca,Spanish La Liga,GK,Goalkeeper,28,3240,1,54,66
Péter Gulácsi,HUN,RB Leipzig,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,34,1440,1,56,22
Radosław Majecki,POL,Monaco,French Ligue 1,GK,Goalkeeper,24,1080,1,83,38
Raffaele Di Gennaro,ITA,Inter,Italian Serie A,GK,Goalkeeper,30,23,1,53,79
Raúl Fernández,ESP,Granada,Spanish La Liga,GK,Goalkeeper,35,280,1,23,36
Remi Matthews,ENG,Crystal Palace,English Premier League,GK,Goalkeeper,29,4,1,6,18
Robert Sánchez,ESP,Chelsea,English Premier League,GK,Goalkeeper,26,1433,1,56,65
Robin Olsen,SWE,Aston Villa,"English Premier League, UEFA Europa Conference League",GK,Goalkeeper,34,585,1,23,52
Robin Zentner,GER,Mainz 05,German Bundesliga,GK,Goalkeeper,29,2700,1,73,61
Roei Mashpati,ISR,Maccabi Tel Aviv,UEFA Europa Conference League,GK,Goalkeeper,31,360,1,19,28
Rome-Jayden Owusu-Oduro,NED,AZ Alkmaar,UEFA Europa Conference League,GK,Goalkeeper,19,90,1,33,72
Rubén Blanco,ESP,Marseille,"French Ligue 1, UEFA Europa League",GK,Goalkeeper,28,212,1,30,43
Rui Patrício,POR,Roma,Italian Serie A,GK,Goalkeeper,35,2070,1,48,48
Rui Silva,POR,Betis,"Spanish La Liga, UEFA Europa Conference League, UEFA Europa League",GK,Goalkeeper,30,3015,1,65,46
Rémy Descamps,FRA,Nantes,French Ligue 1,GK,Goalkeeper,27,540,1,79,70
Rémy Riou,FRA,Lyon,French Ligue 1,GK,Goalkeeper,36,270,1,30,20
Sam Johnstone,ENG,Crystal Palace,English Premier League,GK,Goalkeeper,30,1796,1,28,42
Samuele Perisan,ITA,Empoli,Italian Serie A,GK,Goalkeeper,26,90,1,10,20
Senne Lammens,BEL,Antwerp,UEFA Champions League,GK,Goalkeeper,21,90,1,50,50
Sergio Herrera,ESP,Osasuna,Spanish La Liga,GK,Goalkeeper,30,2869,1,55,72
Sergio Padt,NED,Ludogorets,UEFA Europa Conference League,GK,Goalkeeper,33,450,1,51,47
Shareef Keouf,ISR,Maccabi Haifa,"UEFA Europa Conference League, UEFA Europa League",GK,Goalkeeper,22,810,1,48,56
Simon Mignolet,BEL,Club Brugge,UEFA Europa Conference League,GK,Goalkeeper,36,720,1,64,67
Simon Sluga,CRO,Ludogorets,UEFA Europa Conference League,GK,Goalkeeper,30,270,1,41,36
Simone Aresti,ITA,Cagliari,Italian Serie A,GK,Goalkeeper,38,1,1,21,18
Simone Perilli,ITA,Hellas Verona,Italian Serie A,GK,Goalkeeper,29,90,1,71,49
Simone Scuffet,ITA,Cagliari,Italian Serie A,GK,Goalkeeper,27,2789,1,37,45
Stefan Ortega,GER,Manchester City,"English Premier League, UEFA Champions League",GK,Goalkeeper,31,905,1,62,68
Stefano Turati,ITA,Frosinone,Italian Serie A,GK,Goalkeeper,22,2745,1,32,28
