Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Offensive Index,Passing Index,Possession Index,Defensive Index
Agustín Canobbio,uy URU,Forward,Ath Paranaense,25,1998,20,14,1215,71,70,73,64
Agustín Cardozo,ar ARG,Midfielder,Tigre,26,1997,24,24,2148,42,45,50,57
Agustín Cayetano,uy URU,Defender,uy Liverpool,24,1999,6,6,518,51,64,56,62
Agustín Fontana,ar ARG,Forward,Sarmiento,27,1996,3,3,223,58,14,12,48
Agustín García Basso,ar ARG,Defender,Racing Club,31,1992,11,10,835,77,53,49,34
Agustín Giay,ar ARG,Defender,Palmeiras,20,2004,20,18,1542,71,61,74,39
Agustín González Pereira,uy URU,Midfielder,uy Liverpool,27,1997,5,1,123,92,59,58,52
Agustín Irazoque,ar ARG,Defender,Barracas Central,24,1999,1,0,6,29,12,9,19
Agustín Juárez,ar ARG,Forward,Newell's OB,18,2005,4,0,51,74,10,24,36
Agustín Lagos,ar ARG,Defender,Atlé Tucumán,22,2001,12,6,554,91,75,74,70
Agustín Marchesín,ar ARG,Goalkeeper,Grêmio,35,1988,36,36,3225,46,47,65,59
Agustín Martegani,ar ARG,Midfielder,Boca Juniors,23,2000,8,4,342,47,37,66,81
Agustín Morales,ar ARG,Forward,Cen. Córdoba–SdE,24,1999,6,0,81,24,26,88,8
Agustín Mulet,ar ARG,Midfielder,Ind. Rivadavia,23,2000,11,3,315,30,27,8,81
Agustín Módica,ar ARG,Forward,Rosario Central,21,2003,14,10,832,70,23,26,49
Agustín Obando,ar ARG,Forward,Banfield,23,2000,6,2,257,35,68,40,89
Agustín Oliveros,uy URU,Defender,Necaxa,24,1998,23,21,1866,36,54,33,41
Agustín Palavecino,ar ARG,Midfielder,River Plate,27,1996,3,0,34,42,86,67,49
Agustín Rodríguez,ar ARG,Forward,Lanús,19,2004,7,3,193,61,40,51,57
Agustín Rogel,uy URU,Defender,Internacional,26,1997,15,13,1055,40,38,26,42
Agustín Rossi,ar ARG,Goalkeeper,Flamengo,28,1995,45,45,4050,56,56,66,68
Agustín Ruberto,ar ARG,Forward,River Plate,18,2006,9,0,178,21,17,26,57
Agustín Sant'Anna,uy URU,Defender,River Plate,26,1997,7,6,524,59,95,90,67
Agustín Sández,py PAR,Defender,Rosario Central,23,2001,23,22,1932,71,55,68,68
Agustín Toledo,ar ARG,Midfielder,Huracán,23,2000,6,2,184,32,16,15,71
Agustín Urzi,ar ARG,Forward,FC Juárez,23,2000,24,9,953,55,63,63,56
Agustín Villalobos,ar ARG,Midfielder,Godoy Cruz,20,2003,2,0,26,44,25,29,51
Agustín Álvarez,uy URU,Forward,Sampdoria,22,2001,14,9,772,43,37,35,44
Ahmad Benali,ly LBY,Midfielder,Bari,31,1992,31,24,2185,52,49,45,71
Ahmed Abdullahi,ng NGA,Forward,Gent,19,2004,1,0,29,32,36,30,10
Ahmetcan Kaplan,tr TUR,Defender,Ajax,20,2003,11,10,944,32,62,54,67
Aidan Dausch,eng ENG,Forward,Coventry City,17,2006,2,0,6,12,12,31,8
Aidan Morris,us USA,Midfielder,Columbus Crew,22,2001,16,15,1274,73,68,69,73
Aidan O'Connor,us USA,Defender,NY Red Bulls,22,2001,2,0,19,35,12,31,38
Aiden O'Neill,au AUS,Midfielder,Standard Liège,25,1998,23,16,1503,59,38,61,65
Aidomo Emakhu,ie IRL,Forward,Millwall,19,2003,21,6,663,52,35,66,59
Aimar Govea,ec ECU,Forward,Swansea City,17,2006,5,0,73,24,63,90,10
Aimé Mabika,zm ZAM,Defender,Toronto FC,25,1998,12,3,464,26,28,36,51
Aitor García,es ESP,Forward,FC Juárez,29,1994,32,30,2353,71,47,75,53
Ajani Fortune,tt TRI,Forward,Atlanta Utd,21,2002,27,13,1307,40,57,38,71
Ajay Matthews,eng ENG,Forward,Middlesbrough,17,2006,2,0,13,22,12,5,10
Ajdin Hrustic,au AUS,Forward,Heracles Almelo,27,1996,14,14,1165,40,67,35,45
Ajibola Alese,eng ENG,Defender,Sunderland,22,2001,8,5,462,49,65,63,66
Akil Watts,us USA,Midfielder,St. Louis,23,2000,17,9,966,32,51,63,71
Akim Djibril,it ITA,Midfielder,Cittadella,17,2006,1,0,18,44,12,19,29
Akin Famewo,eng ENG,Defender,Sheffield Weds,24,1998,35,30,2630,26,35,58,68
Akpa Chukwu Hemsley,be BEL,Forward,Bari,18,2005,2,0,31,70,9,11,31
Alan,br BRA,Midfielder,Moreirense,23,2000,33,29,2454,71,75,73,29
Alan Aguerre,ar ARG,Goalkeeper,Lanús,33,1990,10,10,900,48,50,55,53
Alan Barrionuevo,ar ARG,Defender,Deportivo Riestra,27,1997,25,24,2156,77,42,35,55
Alan Benítez,py PAR,Defender,py Cerro Porteño,30,1994,5,5,449,46,73,54,45
Alan Browne,ie IRL,Midfielder,Preston,28,1995,41,36,3165,71,68,61,66
Alan Cantero,ar ARG,Midfielder,Barracas Central,25,1998,16,10,850,60,35,58,36
Alan Cervantes,mx MEX,Midfielder,Santos,25,1998,34,32,2655,32,40,48,36
Alan Empereur,br BRA,Defender,Cuiabá,29,1994,30,30,2548,35,50,46,36
Alan Franco,ar ARG,Defender,São Paulo,27,1996,35,33,2919,27,49,43,25
Alan Franco,ec ECU,Midfielder,Atlético Mineiro,25,1998,34,29,2593,31,47,34,57
Alan Kardec,br BRA,Forward,Atlético Mineiro,35,1989,20,3,450,25,35,15,66
Alan Lescano,ar ARG,Forward,Arg Juniors,22,2001,25,22,1880,59,71,45,54
Alan Medina,mx MEX,Forward,Mazatlán,25,1997,24,13,1050,29,58,74,59
Alan Medina,uy URU,Forward,León,25,1998,14,10,944,62,75,56,61
Alan Minda,ec ECU,Forward,Cercle Brugge,20,2003,28,18,1509,78,64,65,39
Alan Mozo,mx MEX,Defender,Guadalajara,26,1997,31,29,2663,44,80,84,45
Alan Patrick,br BRA,Forward,Internacional,32,1991,23,20,1777,76,91,61,43
Alan Pulido,mx MEX,Forward,Sporting KC,32,1991,31,22,1953,67,52,38,29
Alan Rodríguez,py PAR,Midfielder,Rosario Central,23,2000,26,23,2005,61,55,66,54
Alan Ruschel,br BRA,Defender,Juventude,34,1989,28,25,2243,68,76,68,50
Alan Saldivia,uy URU,Defender,cl Colo-Colo,21,2002,8,8,675,29,43,61,33
Alan Sosa,ar ARG,Goalkeeper,Tigre,27,1996,3,2,236,42,43,44,51
Alan Soñora,us USA,Forward,Huracán,25,1998,7,4,313,71,75,51,44
Alan Torres,mx MEX,Midfielder,Guadalajara,23,2000,8,1,228,53,56,33,37
Alan Varela,ar ARG,Midfielder,Porto,22,2001,30,28,2225,66,78,49,44
Alan Velasco,ar ARG,Forward,FC Dallas,21,2002,8,5,370,72,40,59,49
Alan Zubiri,mx MEX,Defender,Cruz Azul,22,2001,1,1,90,29,14,19,68
Albert Adomah,gh GHA,Forward,QPR,35,1987,16,2,370,15,43,38,65
Albert Eames,eng ENG,Defender,Watford,17,2005,1,0,1,29,14,9,48
Albert Rusnák,sk SVK,Midfielder,Seattle Sounders,29,1994,32,28,2530,90,89,64,22
Alberto Cerri,it ITA,Forward,Como,27,1996,5,2,176,84,47,35,62
Alberto García Jr.,mx MEX,Forward,Querétaro,29,1993,6,0,20,54,78,88,39
Alberto Herrera,mx MEX,Midfielder,Puebla,22,2001,10,9,741,82,57,45,66
Alberto Ocejo,mx MEX,Forward,Santos,25,1998,12,4,456,22,39,27,55
Alberto Soro,es ESP,Forward,Vizela,24,1999,21,9,903,68,62,51,56
Alberto costa,pt POR,Defender,Vitória,19,2003,1,0,15,29,14,65,3
Albin Ekdal,se SWE,Midfielder,Spezia,34,1989,9,3,332,32,48,51,65
Aldahir Perez,mx MEX,Defender,Querétaro,18,2004,1,0,2,29,27,53,3
Aldair Fuentes,pe PER,Midfielder,pe Alianza Lima,26,1998,3,0,6,58,10,7,50
Aldo Corzo,pe PER,Defender,pe Universitario,34,1989,6,6,495,65,24,31,56
Aldo Cruz,mx MEX,Defender,FC Juárez,25,1997,21,16,1349,74,64,64,24
Aldo Florenzi,it ITA,Forward,Cosenza,21,2002,28,11,1070,29,48,41,57
Aldo López,mx MEX,Midfielder,Santos,23,2000,28,15,1456,49,36,39,54
Aldo Rocha,mx MEX,Midfielder,Atlas,30,1992,29,27,2357,70,52,40,30
Alec Kann,us USA,Goalkeeper,FC Cincinnati,33,1990,3,3,270,42,41,44,32
Alec Smir,us USA,Goalkeeper,Minnesota Utd,24,1999,3,3,270,42,42,44,33
Alec Van Hoorenbeeck,be BEL,Defender,Twente,24,1998,19,3,566,43,44,36,40
Alejandro Andrade,mx MEX,Midfielder,Necaxa,21,2001,20,9,830,71,23,41,71
Alejandro Araque,ve VEN,Goalkeeper,ve Dep Táchira,28,1995,2,2,180,42,43,59,30
Alejandro Bedoya,us USA,Midfielder,Philadelphia Union,36,1987,30,13,1455,79,73,54,59
Alejandro Blanco,es ESP,Midfielder,Reggiana,24,1998,9,1,299,50,40,74,25
Alejandro Bran,cr CRC,Midfielder,Minnesota Utd,22,2001,11,6,430,67,35,39,44
Alejandro Gómez,mx MEX,Defender,Tijuana,21,2002,8,7,595,47,67,55,63
Alejandro Maciel,ar ARG,Defender,Banfield,26,1997,17,15,1371,62,27,32,68
Alejandro Marqués,ve VEN,Forward,Estoril,22,2000,31,13,1361,66,25,15,39
Alejandro Martínez,ar ARG,Forward,Tijuana,26,1997,36,25,2184,58,64,72,47
Alejandro Mayorga,mx MEX,Defender,Necaxa,26,1997,15,10,822,50,58,79,60
Alejandro Rébola,ar ARG,Defender,Belgrano,35,1988,18,17,1453,32,50,31,53
Alejandro Santander,cl CHI,Goalkeeper,cl Cobresal,21,2002,1,1,90,42,52,57,30
Alejandro Silva González,uy URU,Midfielder,py Libertad,34,1989,1,1,90,72,28,74,24
Alejandro Zendejas,us USA,Forward,América,25,1998,30,20,1768,82,83,72,65
Alejo Cruz,uy URU,Forward,Atl Goianiense,23,2000,36,22,2156,45,78,63,69
Alejo Sarco,ar ARG,Forward,Vélez Sarsfield,18,2006,4,0,85,14,11,12,8
Alek Álvarez,mx MEX,Defender,Necaxa,20,2003,1,0,7,54,54,67,51
Aleksandar Busnić,rs SRB,Forward,Vizela,25,1997,19,8,767,19,36,21,79
Aleksandar Radovanović,rs SRB,Defender,Kortrijk,29,1993,11,11,985,32,28,28,86
Aleksei Miranchuk,ru RUS,Forward,Atlanta Utd,28,1995,9,8,748,66,85,64,32
Alemão,br BRA,Defender,Portimonense,20,2002,27,27,2367,68,27,30,64
Alen Halilović,hr CRO,Forward,Fortuna Sittard,27,1996,31,25,2096,54,75,46,42
Alenis Vargas,hn HON,Forward,Sporting KC,20,2003,20,8,633,68,54,72,46
Alerrandro,br BRA,Forward,Vitória,24,2000,34,32,2387,73,43,20,48
Alessandro Arena,it ITA,Forward,Pisa,22,2000,25,18,1534,55,67,66,49
Alessandro Arioli,it ITA,Forward,Cosenza,20,2003,4,2,175,61,16,30,55
Alessandro Bellemo,it ITA,Midfielder,Como,27,1995,36,33,2785,56,41,32,42
Alessandro Bianco,it ITA,Midfielder,Reggiana,20,2002,35,35,3011,70,68,68,44
Alessandro Bianconi,it ITA,Defender,Calcio Lecco 1912,24,1999,23,22,1917,54,18,36,36
Alessandro Biello,ca CAN,Midfielder,CF Montréal,17,2006,2,0,16,45,17,7,65
Alessandro Caporale,it ITA,Defender,Calcio Lecco 1912,27,1995,30,30,2624,66,78,70,42
Alessandro Celli,it ITA,Defender,Ternana,29,1994,16,9,829,75,58,65,45
Alessandro Circati,au AUS,Defender,Parma,19,2003,29,28,2527,53,18,33,43
Alessandro De Vitis,it ITA,Midfielder,Pisa,31,1992,4,1,100,32,41,14,35
Alessandro Fontanarosa,it ITA,Defender,Cosenza,20,2003,21,11,1074,36,45,49,67
Alessandro Gabrielloni,it ITA,Forward,Como,29,1994,37,23,1949,72,59,35,48
Alessandro Mallamo,it ITA,Midfielder,Südtirol,24,1999,10,3,383,40,28,66,61
Alessandro Marcandalli,it ITA,Defender,Reggiana,20,2002,35,35,2913,55,41,39,60
Alessandro Micai,it ITA,Goalkeeper,Cosenza,30,1993,37,37,3296,51,61,68,46
Alessandro Pietrelli,it ITA,Forward,FeralpiSalò,20,2003,15,0,157,85,43,86,94
Alessandro Pilati,it ITA,Defender,FeralpiSalò,23,2000,21,16,1494,31,33,36,60
Alessandro Riccio,it ITA,Defender,Modena,21,2002,24,17,1597,31,36,53,52
Alessandro Salvi,it ITA,Defender,Cittadella,35,1988,29,28,2419,70,70,58,63
Alessandro Schöpf,at AUT,Midfielder,Vancouver W'caps,29,1994,30,23,1938,62,67,73,39
Alessandro Sersanti,it ITA,Midfielder,Calcio Lecco 1912,21,2002,33,25,2256,58,37,32,81
Alessandro Tuia,it ITA,Defender,Cremonese,33,1990,4,1,152,38,68,40,88
Alessio Buttaro,it ITA,Midfielder,Palermo,20,2002,10,4,476,56,47,64,40
Alessio Castro-Montes,be BEL,Defender,Gent,26,1997,25,23,1940,89,88,88,68
Alessio Iovine,it ITA,Defender,Como,32,1991,26,18,1542,53,86,70,49
Alessio Rizza,it ITA,Defender,Cittadella,20,2003,9,7,499,37,67,78,30
Alessio Vita,it ITA,Midfielder,Cittadella,30,1993,35,33,2963,80,75,60,33
Alessio da Cruz,cv CPV,Forward,Fortuna Sittard,26,1997,16,3,415,54,52,45,53
Alex Arce,py PAR,Forward,ec LDU de Quito,28,1995,6,6,510,63,42,29,55
Alex Bangura,sl SLE,Defender,Middlesbrough,24,1999,14,6,585,92,61,95,23
Alex Bono,us USA,Goalkeeper,D.C. United,29,1994,29,29,2610,54,69,56,62
Alex Ferrari,it ITA,Defender,Sampdoria,29,1994,3,3,239,32,30,26,48
Alex Freeman,us USA,Midfielder,Orlando City,19,2004,2,0,10,58,32,38,29
Alex Juárez,ar ARG,Forward,Barracas Central,19,2004,8,2,248,38,49,53,59
Alex Luna,ar ARG,Forward,Independiente,19,2004,16,8,648,49,54,56,66
Alex Matos,eng ENG,Midfielder,Huddersfield,18,2004,19,15,1278,59,28,37,65
Alex McCarthy,eng ENG,Goalkeeper,Southampton,33,1989,5,5,450,42,42,44,41
Alex Mendez,us USA,Forward,Vizela,22,2000,12,3,373,35,85,49,58
Alex Mighten,eng ENG,Midfielder,Kortrijk,21,2002,10,2,244,39,50,80,27
Alex Moreno,co COL,Defender,co Millonarios,22,2002,2,2,180,29,29,33,68
Alex Mowatt,eng ENG,Midfielder,West Brom,28,1995,43,35,3247,57,79,53,52
Alex Muyl,us USA,Forward,Nashville SC,28,1995,34,27,2302,48,54,39,65
Alex Palmer,eng ENG,Goalkeeper,West Brom,26,1996,46,46,4140,55,60,63,46
Alex Pritchard,eng ENG,Forward,Sunderland,30,1993,32,12,1461,47,88,56,45
Alex Rangel,ec ECU,Defender,ec Barcelona,21,2002,3,3,269,34,25,29,62
Alex Roldan,sv SLV,Defender,Seattle Sounders,27,1996,29,27,2284,61,73,80,46
Alex Sandro,br BRA,Defender,Flamengo,33,1991,10,7,645,57,96,90,50
Alex Santana,br BRA,Forward,Ath Paranaense,28,1995,16,6,670,21,37,34,68
Alex Teixeira,br BRA,Forward,Vasco da Gama,34,1990,7,2,238,64,57,58,66
Alex Telles,br BRA,Midfielder,Botafogo (RJ),31,1992,16,13,1031,59,69,63,56
Alex Vigo,ar ARG,Defender,Talleres,24,1999,8,5,461,51,65,64,62
Alexander Alvarado,ec ECU,Midfielder,ec LDU de Quito,24,1999,3,0,33,52,87,99,33
Alexander Aravena,cl CHI,Forward,Grêmio,21,2002,16,11,770,56,59,64,49
Alexander Bah,dk DEN,Defender,Benfica,25,1997,19,18,1517,85,86,79,74
Alexander Barboza,ar ARG,Defender,Botafogo (RJ),28,1995,37,32,2875,59,55,43,60
Alexander Bolaños,ec ECU,Forward,ec Independiente,24,1999,3,0,88,28,21,83,9
Alexander Domínguez,ec ECU,Goalkeeper,ec LDU de Quito,36,1987,6,6,540,51,43,44,31
Alexander Díaz,ar ARG,Forward,Deportivo Riestra,24,2000,15,3,510,65,37,72,74
Alexander Gilbert,ie IRL,Forward,Middlesbrough,21,2001,12,2,233,68,93,64,82
Alexander Jallow,se SWE,Defender,Brescia,25,1998,24,22,1817,81,62,73,36
Alexander Ring,fi FIN,Midfielder,Austin,32,1991,34,29,2596,60,68,47,40
Alexandre Miguel Barros Soares,pt POR,Midfielder,Estoril,32,1991,6,2,249,39,30,41,46
Alexandre Penetra,pt POR,Defender,AZ Alkmaar,21,2001,25,19,1756,33,58,30,34
Alexandre Pinto,pt POR,Defender,Gil Vicente FC,25,1998,14,13,1064,34,61,70,67
Alexandro Bernabei,ar ARG,Defender,Internacional,23,2000,23,23,2063,93,92,84,61
Alexandros Katranis,gr GRE,Defender,Real Salt Lake,25,1998,29,23,1994,92,80,75,39
Alexandru Mățan,ro ROU,Midfielder,Columbus Crew,24,1999,28,17,1441,84,77,86,33
Alexei Dominguez,mx MEX,Forward,Pachuca,18,2005,20,7,800,37,82,81,66
Alexis Canelo,ar ARG,Forward,Tijuana,31,1992,16,5,531,53,57,53,63
Alexis Castro,ar ARG,Midfielder,uy Nacional,29,1994,7,7,507,80,56,57,73
Alexis Cuello,ar ARG,Forward,San Lorenzo,23,2000,31,27,2216,66,24,52,68
Alexis De Sart,be BEL,Midfielder,RWDM,26,1996,7,5,484,42,70,53,58
Alexis Dominguez,ar ARG,Forward,Barracas Central,27,1996,14,7,746,35,34,17,53
Alexis Ferrante,it ITA,Forward,Ternana,28,1995,1,1,45,31,48,15,35
Alexis Flips,fr FRA,Forward,Anderlecht,23,2000,12,5,381,41,74,68,58
Alexis Francisco Peña,mx MEX,Defender,Necaxa,27,1996,34,34,3060,59,27,28,55
Alexis Gutiérrez,mx MEX,Forward,Cruz Azul,23,2000,26,11,1063,19,57,55,43
Alexis Maldonado,ar ARG,Defender,Banfield,26,1997,11,11,958,23,15,19,56
Alexis Manyoma,co COL,Forward,Estudiantes–LP,21,2003,20,13,1088,61,74,80,53
Alexis Segovia,ar ARG,Forward,Cen. Córdoba–SdE,19,2004,11,6,553,22,46,65,30
Alexis Soto,ar ARG,Defender,Defensa y Just,30,1993,21,16,1496,53,89,80,51
Alexis Vega,mx MEX,Forward,Toluca,25,1997,21,15,1361,79,75,62,54
Alexsander,br BRA,Midfielder,Fluminense,20,2003,19,10,1033,43,50,65,49
Aleš Matějů,cz CZE,Defender,Spezia,27,1996,34,33,2846,60,63,61,54
Alfie Devine,eng ENG,Forward,Plymouth Argyle,18,2004,15,9,850,25,54,49,52
Alfie Jones,eng ENG,Defender,Hull City,25,1997,45,45,4050,55,56,39,34
Alfio Oviedo,py PAR,Forward,py Cerro Porteño,28,1995,4,2,222,25,42,42,28
Alfons Sampsted,is ISL,Defender,Twente,25,1998,24,18,1541,42,74,64,50
Alfonso Alvarado,mx MEX,Forward,León,23,2000,26,16,1489,61,40,34,58
Alfonso Blanco Antúnez,mx MEX,Goalkeeper,León,36,1987,2,2,180,57,42,44,30
Alfonso González,mx MEX,Forward,Monterrey,28,1994,20,11,880,75,80,54,76
Alfonso Trezza,uy URU,Forward,Arouca,24,1999,24,8,840,25,44,49,58
Alfredo Donnarumma,it ITA,Forward,Catanzaro,32,1990,20,5,580,60,47,46,45
Alfredo Gutierrez,mx MEX,Defender,Necaxa,20,2003,1,1,82,46,21,9,63
Alfredo Morales,us USA,Midfielder,SJ Earthquakes,33,1990,23,4,649,34,46,44,45
Alfredo Talavera,mx MEX,Goalkeeper,FC Juárez,40,1982,17,17,1469,55,52,57,38
Alfreð Finnbogason,is ISL,Forward,Eupen,34,1989,27,11,1123,41,53,31,32
Alhassan Yusuf,ng NGA,Midfielder,NE Revolution,23,2000,27,16,1541,36,78,72,69
Ali Ahmed,ca CAN,Midfielder,Vancouver W'caps,23,2000,22,15,1350,69,68,92,43
