Player,Nationality,Team,League,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total),Matches,% Saves,% Long Passes,% Crosses Stopped,PSxG/Save
Vitezslav Jaros,CZE,Ajax,UEFA Champions League,GK,Goalkeeper,24,180,74,3,25,85,3,19,27,29,94,51,82,8,7,3,36,25,37,1,5,27,82,20
Wladimiro Falcone,ITA,Lecce,Italian Serie A,GK,Goalkeeper,30,450,82,20,72,85,48,55,76,83,32,23,76,15,28,61,20,58,61,1,36,41,19,75
Wojciech Szczęsny,POL,Barcelona,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,35,180,60,42,62,41,28,19,7,11,55,87,22,71,24,8,36,80,89,1,50,13,59,29
Yann Sommer,SUI,Inter,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,36,450,25,57,25,25,32,87,32,16,65,43,31,34,24,20,55,30,49,1,34,82,69,37
Yehvann Diouf,SEN,Nice,"French Ligue 1, UEFA Europa League",GK,Goalkeeper,25,630,66,30,62,56,26,42,18,10,50,72,17,9,5,53,58,65,71,1,39,71,60,37
Yvon Mvogo,SUI,Lorient,French Ligue 1,GK,Goalkeeper,31,270,37,20,15,61,11,19,52,51,67,67,58,27,40,93,99,61,52,1,8,50,90,32
Zion Suzuki,JPN,Parma,Italian Serie A,GK,Goalkeeper,23,450,54,57,62,41,56,55,80,85,60,43,87,68,75,49,43,75,87,1,64,40,42,47
Álex Remiro,ESP,Real Sociedad,Spanish La Liga,GK,Goalkeeper,30,630,55,38,55,58,40,42,62,34,29,18,22,76,69,29,18,85,86,1,50,89,18,68
Álvaro Vallés,ESP,Betis,Spanish La Liga,GK,Goalkeeper,28,270,57,33,62,20,7,19,12,15,51,62,29,69,45,38,9,71,59,1,57,23,8,11
Ørjan Nyland,NOR,Sevilla,Spanish La Liga,GK,Goalkeeper,35,360,47,29,35,67,35,60,33,44,42,28,51,31,51,44,9,60,61,1,21,22,8,68
Đorđe Petrović,SRB,Bournemouth,English Premier League,GK,Goalkeeper,25,540,40,60,49,39,56,82,52,57,18,62,23,83,81,43,84,71,62,1,60,42,84,59
Łukasz Skorupski,POL,Bologna,"Italian Serie A, UEFA Europa League",GK,Goalkeeper,34,540,32,70,37,20,42,46,70,57,97,71,92,31,34,10,36,38,37,1,46,76,55,23
