Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Defensive Actions Outside Penalty Area,Penalties Winner,Efficiency,Matches,% Saves,% Long Passes,% Crosses Stopped,PSxG/Save
Edoardo Motta,ITA,Goalkeeper,Reggiana,20,2005,9,9,810,35,80,82,29,18,21,39,46,76,21,56,25,69,91,82,47,32,37,35,43,61,50,47,50
Egil Selvik,NOR,Goalkeeper,Watford,28,1997,11,11,945,42,52,53,12,18,21,39,46,60,33,49,59,34,64,69,47,49,37,42,35,50,50,47,50
Enrique Bologna,ARG,Goalkeeper,Defensa y Just,43,1982,29,29,2610,58,47,62,63,47,58,39,46,39,81,47,31,38,69,75,36,36,37,58,3,68,50,36,50
Ethan Horvath,USA,Goalkeeper,Sheffield Weds,30,1995,8,8,719,11,81,72,32,55,65,39,46,79,46,93,64,59,91,86,75,82,37,11,53,24,50,75,50
Etienne Vaessen,SUR,Goalkeeper,Groningen,30,1995,7,7,630,87,8,16,83,18,21,39,46,3,97,95,98,84,32,49,83,98,37,87,55,75,50,83,50
Evan Bush,USA,Goalkeeper,Columbus Crew,39,1986,6,6,540,83,4,6,68,18,21,39,46,7,3,3,74,60,36,3,47,94,37,83,60,43,50,47,50
Evan Louro,USA,Goalkeeper,FC Cincinnati,29,1996,4,4,360,73,72,87,52,18,21,39,46,55,65,64,25,3,98,73,15,87,37,73,69,87,50,15,50
Ezequiel Centurión,ARG,Goalkeeper,Ind. Rivadavia,28,1997,29,29,2610,66,45,64,77,73,73,81,46,31,80,80,25,42,83,91,70,26,77,66,3,77,50,70,50
Ezequiel Unsain,ARG,Goalkeeper,Necaxa,30,1995,15,15,1350,15,49,18,25,81,78,39,96,67,53,49,38,13,89,17,61,69,83,15,20,8,50,61,50
Fabian de Keijzer,NED,Goalkeeper,Heracles Almelo,25,2000,8,8,720,7,95,93,31,18,21,39,46,95,97,97,90,9,43,79,57,50,37,7,50,30,50,57,50
Fabricio Iacovich,ARG,Goalkeeper,Estudiantes–LP,23,2002,1,1,90,98,12,58,98,18,21,39,46,2,2,1,0,55,39,40,5,6,37,98,94,98,50,5,50
Facundo Altamirano,ARG,Goalkeeper,San Lorenzo,29,1996,1,1,90,73,0,0,12,18,21,39,46,16,82,83,15,2,10,40,5,87,37,73,94,0,50,5,50
Facundo Cambeses,ARG,Goalkeeper,Racing Club,28,1997,17,14,1324,88,44,71,93,18,21,39,46,14,66,66,20,29,85,62,32,26,37,88,55,92,50,32,50
Facundo Sanguinetti,ARG,Goalkeeper,Banfield,24,2001,29,29,2610,53,50,50,59,73,67,86,46,42,73,60,13,33,74,59,52,32,83,53,3,48,50,52,50
Federico Del Frate,ITA,Goalkeeper,Virtus Entella,29,1995,1,1,90,15,72,58,12,18,21,39,46,83,2,1,5,98,23,26,75,99,37,15,94,17,50,75,50
