Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Line Index,Passes Index
Ivor Pandur,CRO,Goalkeeper,Hull City,25,2000,12,12,1080,39,68
J.T. Marcinkowski,USA,Goalkeeper,LA Galaxy,28,1997,3,3,270,53,44
Jacob Jackson,USA,Goalkeeper,FC Dallas,25,2000,4,3,342,72,56
Jacob Widell Zetterström,SWE,Goalkeeper,Derby County,27,1998,12,12,1080,55,74
Jakub Stolarczyk,POL,Goalkeeper,Leicester City,24,2000,12,12,1080,71,48
James Beadle,ENG,Goalkeeper,Birmingham City,21,2004,4,4,360,62,52
James Pantemis,CAN,Goalkeeper,Portland Timbers,28,1997,19,19,1710,54,62
Jamie Cumming,ENG,Goalkeeper,Oxford United,26,1999,12,12,1080,53,57
Jandrei,BRA,Goalkeeper,Juventude,32,1993,12,12,1080,33,53
Jari De Busser,BEL,Goalkeeper,Go Ahead Eag,26,1999,10,10,900,49,62
Jasper Schendelaar,NED,Goalkeeper,Zwolle,25,2000,2,2,180,23,72
Javier Burrai,ECU,Goalkeeper,Talleres,35,1990,5,4,405,77,63
Javier Otero,VEN,Goalkeeper,Orlando City,22,2002,2,2,180,64,33
Jayden Hibbert,CAN,Goalkeeper,Atlanta Utd,21,2004,8,8,720,41,43
Jeffrey Gal,USA,Goalkeeper,Chicago Fire,32,1993,7,6,591,38,37
Jeremías Ledesma,ARG,Goalkeeper,River Plate,32,1993,2,2,180,26,51
Jeroen Zoet,NED,Goalkeeper,AZ Alkmaar,34,1991,1,1,90,67,46
Jesse Joronen,FIN,Goalkeeper,Palermo,32,1993,8,8,720,81,67
Jesús Camargo,VEN,Goalkeeper,Dep Táchira,27,1997,6,6,540,39,48
Jesús Rodríguez,MEX,Goalkeeper,Puebla,32,1993,5,5,405,10,52
Jimmy Maurer,USA,Goalkeeper,Houston Dynamo,37,1988,2,1,120,75,49
Joe Lumley,ENG,Goalkeeper,Sheffield Weds,30,1995,2,2,180,48,48
Joe Walsh,ENG,Goalkeeper,QPR,23,2002,4,4,360,14,63
Joe Willis,USA,Goalkeeper,Nashville SC,37,1988,34,34,3060,49,48
Joel Drommel,NED,Goalkeeper,Sparta R'dam,28,1996,10,10,900,29,85
Joel Robles,ESP,Goalkeeper,Estoril,35,1990,9,9,810,33,67
John,BRA,Goalkeeper,Botafogo (RJ),29,1996,25,25,2250,77,49
John McCarthy,USA,Goalkeeper,NY Red Bulls,33,1992,12,12,1080,19,36
John Pulskamp,USA,Goalkeeper,Sporting KC,24,2001,34,34,3060,26,44
Jonathan Bond,ENG,Goalkeeper,Houston Dynamo,32,1993,26,26,2340,30,46
Jonathan Klinsmann,USA,Goalkeeper,Cesena,28,1997,9,9,810,40,32
Jonathan Sirois,CAN,Goalkeeper,CF Montréal,24,2001,23,23,2070,35,53
Jordan Farr,USA,Goalkeeper,D.C. United,31,1994,3,2,248,18,66
Jorge Broun,ARG,Goalkeeper,Rosario Central,39,1986,26,26,2339,77,51
Jorge Carranza,ARG,Goalkeeper,Aldosivi,44,1981,25,25,2250,50,52
Josef Bursik,ENG,Goalkeeper,Portsmouth,25,2000,6,6,540,55,84
Joshua Griffiths,ENG,Goalkeeper,West Brom,24,2001,12,12,1080,51,53
Josue Reinatti,ARG,Goalkeeper,Newell's OB,22,2003,2,2,180,38,55
José Antonio Rodríguez,MEX,Goalkeeper,Tijuana,33,1992,15,14,1339,55,69
José Contreras Verna,VEN,Goalkeeper,Barcelona,31,1994,5,5,396,79,33
José Corona,MEX,Goalkeeper,Tijuana,44,1981,1,1,11,55,10
José Rangel Aguilar,MEX,Goalkeeper,Guadalajara,25,2000,15,15,1350,47,38
José Santiago Hernández,MEX,Goalkeeper,Querétaro,28,1997,5,5,450,21,36
João Gonçalves,POR,Goalkeeper,AVS Futebol,24,2000,1,1,90,20,42
João Ricardo Riedi,BRA,Goalkeeper,Fortaleza,37,1988,20,20,1800,70,53
João Valido,POR,Goalkeeper,Arouca,25,2000,9,9,810,17,57
João Virgínia,POR,Goalkeeper,Sporting CP,26,1999,2,2,180,78,36
Juan Castillo,COL,Goalkeeper,Vitória,22,2003,5,5,450,61,37
Juan Cozzani,ARG,Goalkeeper,Platense,27,1998,21,21,1890,77,44
Juan Espínola,PAR,Goalkeeper,Newell's OB,30,1994,20,20,1800,36,60
Juan González,URU,Goalkeeper,Atlé Tucumán,32,1993,6,6,540,80,56
Juan Zozaya,ARG,Goalkeeper,Cen. Córdoba–SdE,24,2001,2,2,180,30,23
Julio José González,MEX,Goalkeeper,Puebla,34,1991,11,10,945,17,52
Kaique,BRA,Goalkeeper,Nacional,22,2003,3,3,270,59,75
Kayne van Oevelen,NED,Goalkeeper,Volendam,22,2003,10,10,900,45,72
Kevin Mier,COL,Goalkeeper,Cruz Azul,25,2000,14,14,1260,53,42
Keylor Navas,CRC,Goalkeeper,UNAM,38,1986,27,27,2430,70,48
Kim Joonhong,KOR,Goalkeeper,D.C. United,22,2003,8,8,720,19,67
Kjell Scherpen,NED,Goalkeeper,Union SG,25,2000,9,9,810,81,37
Kostas Lamprou,GRE,Goalkeeper,NAC Breda,34,1991,1,1,90,10,73
Kristijan Kahlina,CRO,Goalkeeper,Charlotte,33,1992,32,32,2880,56,46
Lars Unnerstall,GER,Goalkeeper,Twente,35,1990,10,10,900,23,50
Lautaro Morales,ARG,Goalkeeper,Lanús,25,1999,2,1,135,14,28
Lawrence Vigouroux,CHI,Goalkeeper,Swansea City,31,1993,12,12,1080,70,63
Lazar Carević,MNE,Goalkeeper,Famalicão,26,1999,9,9,810,85,39
Leandro Brey,ARG,Goalkeeper,Boca Juniors,23,2002,4,3,271,76,35
Leandro Chichizola,ARG,Goalkeeper,Modena,35,1990,9,9,810,77,72
Leo Kokubo,JPN,Goalkeeper,Sint-Truiden,24,2001,12,12,1080,56,49
Leonardo Linck,BRA,Goalkeeper,Botafogo (RJ),24,2001,11,10,946,44,32
Lorenzo Palmisani,ITA,Goalkeeper,Frosinone,21,2004,9,9,810,78,73
Lucas Acosta,ARG,Goalkeeper,Sarmiento,30,1995,29,29,2610,68,50
Lucas Arcanjo,BRA,Goalkeeper,Vitória,27,1998,29,29,2545,49,44
Lucas Bruera,ARG,Goalkeeper,Carabobo,28,1997,6,6,540,25,17
Lucas França,BRA,Goalkeeper,Nacional,29,1996,6,6,540,34,53
Lucas Verza,PAR,Goalkeeper,Olimpia,24,2001,1,1,90,75,53
Lucão,BRA,Goalkeeper,RB Bragantino,24,2001,4,4,360,33,37
Luis Barraza,USA,Goalkeeper,D.C. United,28,1996,24,24,2090,40,70
Luis Cárdenas,MEX,Goalkeeper,Monterrey,32,1993,2,2,180,33,52
Luis Ingolotti,ARG,Goalkeeper,Gimnasia–LP,25,2000,3,3,270,11,39
Luis Manuel García,MEX,Goalkeeper,Toluca,32,1992,7,6,543,53,40
Luis Mejía,PAN,Goalkeeper,Nacional,34,1991,6,6,540,40,16
Luis Ángel Malagón,MEX,Goalkeeper,América,28,1997,13,13,1170,49,37
Luka Gavran,CAN,Goalkeeper,Toronto FC,25,2000,3,3,270,57,43
Lukáš Horníček,CZE,Goalkeeper,Braga,23,2002,9,9,810,65,46
Léo Aragão,BRA,Goalkeeper,Cruzeiro,23,2002,3,2,244,80,33
Léo Jardim,BRA,Goalkeeper,Vasco da Gama,30,1995,29,29,2605,54,32
Maarten Paes,IDN,Goalkeeper,FC Dallas,27,1998,22,22,1980,26,61
Magrão,BRA,Goalkeeper,Fortaleza,25,2000,3,3,270,42,30
Manuel Roffo,ARG,Goalkeeper,Instituto,25,2000,29,29,2610,62,52
Manuel Vicentini,ARG,Goalkeeper,Belgrano,35,1990,5,5,450,62,50
Marcelo Lomba,BRA,Goalkeeper,Palmeiras,38,1986,2,2,180,66,57
Marco Bleve,ITA,Goalkeeper,Carrarese,30,1995,9,9,810,50,63
Marco Festa,ITA,Goalkeeper,Mantova,33,1992,9,9,810,37,42
Marcos Felipe,BRA,Goalkeeper,Bahia,29,1996,15,14,1332,64,58
Marcos Ignacio Ledesma,ARG,Goalkeeper,Barracas Central,29,1996,28,28,2520,66,58
Marcos Peano,ARG,Goalkeeper,La Louvière,27,1998,12,12,1080,85,72
