Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Defensive Actions Outside Penalty Area,Penalties Winner,Efficiency,Matches
C.J. dos Santos,USA,Goalkeeper,San Diego FC,25,2000,30,30,2700,38,125,87,10,6,5,1,0,39.2,36,107,887,137,130,273,18,46,1,-38.0,1
Caio Secco,BRA,Goalkeeper,Moreirense,34,1990,7,7,630,8,27,19,2,3,3,0,0,7.9,18,77,164,30,55,104,10,4,0,-8.0,1
Calvin Raatsie,NED,Goalkeeper,Excelsior,23,2002,2,2,180,6,16,10,0,0,0,0,0,5.3,13,38,110,8,11,24,2,9,0,-6.0,1
Camilo Vargas,COL,Goalkeeper,Atlas,36,1989,13,13,1170,28,69,39,1,6,3,2,1,22.9,50,167,356,40,112,225,4,7,3,-28.0,1
Carl Rushworth,ENG,Goalkeeper,Coventry City,24,2001,12,12,1080,9,39,30,6,2,2,0,0,12.1,78,258,388,36,87,152,8,21,0,-9.0,1
Carlos Acevedo,MEX,Goalkeeper,Santos,29,1996,15,15,1350,24,85,59,4,2,0,2,0,23.1,78,231,373,57,166,272,10,14,2,-24.0,1
Carlos Coronel,PAR,Goalkeeper,NY Red Bulls,28,1996,31,31,2790,42,140,99,10,3,2,1,0,47.8,94,376,837,152,173,363,24,58,1,-42.0,1
Carlos Lampe,BOL,Goalkeeper,Bolívar,38,1987,1,1,90,0,3,3,1,0,0,0,0,0.6,1,2,48,8,5,5,0,3,0,0.0,1
Carlos Miguel,BRA,Goalkeeper,Palmeiras,27,1998,3,3,270,6,14,9,1,2,2,0,0,3.1,11,29,51,7,12,17,3,1,0,-6.0,2
Carlos Moreno,MEX,Goalkeeper,Pachuca,27,1998,15,15,1350,19,54,36,4,3,3,0,0,13.6,92,217,493,96,98,184,17,35,0,-19.0,1
Caíque França,BRA,Goalkeeper,Sport Recife,30,1995,12,12,1080,20,59,40,2,4,3,0,1,17.7,44,106,223,52,98,164,10,11,1,-20.0,1
Cesar Ramos,MEX,Goalkeeper,Atlas,25,2000,1,1,90,2,4,2,0,0,0,0,0,1.8,6,19,19,1,11,12,1,0,0,-2.0,1
Cezary Miszta,POL,Goalkeeper,Rio Ave,23,2001,9,9,810,14,52,38,2,0,0,0,0,16.0,50,149,250,45,94,200,4,6,0,-14.0,1
Charles,BRA,Goalkeeper,Vitória,31,1994,4,4,360,8,21,14,0,0,0,0,0,6.5,12,48,120,12,25,35,2,3,0,-8.0,1
Chris Brady,USA,Goalkeeper,Chicago Fire,21,2004,28,28,2465,51,140,89,5,9,6,2,1,50.4,59,178,731,127,141,340,22,29,3,-51.0,1
Christian Walton,ENG,Goalkeeper,Ipswich Town,29,1995,2,1,157,3,9,6,1,0,0,0,0,3.1,2,15,54,10,8,21,5,3,0,-3.0,1
Cleiton Schwengber,BRA,Goalkeeper,RB Bragantino,28,1997,26,26,2340,38,120,83,6,1,1,0,0,32.1,77,206,618,153,170,453,24,18,0,-38.0,1
Colin Coosemans,BEL,Goalkeeper,Anderlecht,33,1992,12,12,1080,12,40,28,5,1,1,0,0,15.3,55,145,353,47,35,172,10,12,0,-12.0,1
Cássio,BRA,Goalkeeper,Cruzeiro,38,1987,28,28,2456,20,104,83,12,1,0,1,0,24.7,76,220,384,86,210,426,9,19,1,-20.0,1
Daniel,BRA,Goalkeeper,SJ Earthquakes,31,1994,29,29,2495,50,146,98,3,1,1,0,0,50.7,100,312,701,121,163,343,18,44,0,-50.0,1
Daniel Azevedo,POR,Goalkeeper,Casa Pia,27,1998,3,2,218,7,14,7,0,1,1,0,0,6.6,14,38,90,11,13,34,0,8,0,-7.0,1
Daniel Bielica,POL,Goalkeeper,NAC Breda,26,1999,9,9,810,16,54,38,0,2,2,0,0,16.2,69,165,267,32,57,106,2,19,0,-16.0,1
Daniel Figueira,POR,Goalkeeper,Gil Vicente FC,27,1998,1,0,31,0,5,5,1,0,0,0,0,0.7,3,17,10,0,7,18,0,0,0,0.0,1
Daniel Fuzato,BRA,Goalkeeper,Vasco da Gama,28,1997,2,1,92,4,6,2,0,0,0,0,0,2.3,5,15,41,0,11,21,0,0,0,-4.0,1
Daniel Iversen,DEN,Goalkeeper,Preston,28,1997,12,12,1080,12,36,25,4,0,0,0,0,11.0,75,270,407,51,108,171,13,27,0,-12.0,1
Danny Ward,WAL,Goalkeeper,Wrexham,32,1993,4,4,359,7,22,15,0,0,0,0,0,7.7,30,87,78,10,45,78,8,2,0,-7.0,1
David Bingham,USA,Goalkeeper,Charlotte,36,1989,2,2,180,2,11,9,1,0,0,0,0,2.4,3,18,48,8,14,37,4,1,0,-2.0,1
David Ochoa,USA,Goalkeeper,LAFC,24,2001,1,1,90,1,1,0,0,0,0,0,0,0.9,0,1,18,7,5,13,0,0,0,-1.0,1
