Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Defensive Actions Outside Penalty Area
Christian Walton,ENG,Goalkeeper,Ipswich Town,29,1995,2,1,157,3,9,6,1,0,0,0,0,3.1,2,15,54,10,8,21,5,3
Danny Ward,WAL,Goalkeeper,Wrexham,32,1993,4,4,359,7,22,15,0,0,0,0,0,7.7,30,87,78,10,45,78,8,2
Jacob Widell Zetterström,SWE,Goalkeeper,Derby County,27,1998,12,12,1080,16,59,43,3,2,2,0,0,18.3,96,250,352,49,70,220,9,4
Marius Adamonis,LTU,Goalkeeper,Südtirol,28,1997,7,7,630,10,25,15,0,1,1,0,0,9.0,46,127,97,14,61,95,10,4
Francesco Bardi,ITA,Goalkeeper,Palermo,33,1992,1,1,90,1,3,2,0,0,0,0,0,0.2,2,6,16,4,3,17,0,0
Marco Bleve,ITA,Goalkeeper,Carrarese,30,1995,9,9,810,11,29,19,4,0,0,0,0,8.5,56,128,296,24,43,126,8,7
Michele Cerofolini,ITA,Goalkeeper,Bari,26,1999,9,9,810,15,52,37,1,2,2,0,0,15.9,30,92,286,41,35,143,4,7
Leandro Chichizola,ARG,Goalkeeper,Modena,35,1990,9,9,810,5,22,17,4,1,1,0,0,6.6,84,187,323,29,42,93,8,3
Simone Colombi,ITA,Goalkeeper,Virtus Entella,34,1991,8,8,720,10,30,20,1,3,3,0,0,9.2,28,73,168,16,53,142,7,7
Alessandro Confente,ITA,Goalkeeper,Juve Stabia,27,1998,9,9,810,10,28,18,3,2,2,0,0,10.1,39,110,299,28,46,137,10,7
Gaëtan Coucke,BEL,Goalkeeper,Sampdoria,26,1998,2,2,180,3,5,2,0,0,0,0,0,3.0,8,21,29,5,16,21,0,0
Federico Del Frate,ITA,Goalkeeper,Virtus Entella,29,1995,1,1,90,2,5,3,0,0,0,0,0,1.8,1,1,15,7,5,12,1,4
Sebastiano Desplanches,ITA,Goalkeeper,Pescara,22,2003,9,9,810,17,51,34,1,4,4,0,0,20.1,28,98,278,54,31,145,7,16
Marco Festa,ITA,Goalkeeper,Mantova,33,1992,9,9,810,15,39,26,1,1,0,0,1,13.8,21,52,280,38,41,125,6,4
Andrea Fulignati,ITA,Goalkeeper,Empoli,30,1994,9,9,810,16,47,31,0,3,3,0,0,15.7,45,133,312,28,30,133,5,4
Simone Ghidotti,ITA,Goalkeeper,Sampdoria,25,2000,7,7,630,11,28,17,1,1,1,0,0,10.3,38,109,166,20,45,84,2,4
Antony Iannarilli,ITA,Goalkeeper,Avellino,34,1990,9,9,810,15,41,26,2,1,1,0,0,12.4,43,141,231,22,62,187,9,2
Jesse Joronen,FIN,Goalkeeper,Palermo,32,1993,8,8,720,4,25,22,4,1,0,1,0,6.5,53,138,216,31,51,108,2,4
Abu Kamara,ITA,Goalkeeper,Padova,28,1997,9,9,810,11,36,24,3,2,1,1,0,12.5,38,133,230,29,62,163,14,6
Jonathan Klinsmann,USA,Goalkeeper,Cesena,28,1997,9,9,810,11,26,15,1,1,1,0,0,9.8,28,131,196,28,66,132,6,1
Diego Mascardi,ITA,Goalkeeper,Spezia,19,2006,5,5,450,8,19,11,1,2,2,0,0,7.8,33,91,164,14,35,54,5,4
Edoardo Motta,ITA,Goalkeeper,Reggiana,20,2005,9,9,810,14,48,34,1,0,0,0,0,15.3,27,121,185,40,88,154,6,5
Lorenzo Palmisani,ITA,Goalkeeper,Frosinone,21,2004,9,9,810,9,45,35,3,4,1,1,2,13.1,46,178,299,58,44,155,14,11
Mirko Pigliacelli,ITA,Goalkeeper,Catanzaro,32,1993,9,9,810,9,28,19,3,1,1,0,0,11.2,38,115,300,31,52,121,1,11
Giacomo Poluzzi,ITA,Goalkeeper,Südtirol,37,1988,2,2,180,2,9,7,0,0,0,0,0,3.1,13,34,33,0,12,27,2,3
Mouhamadou Sarr,SEN,Goalkeeper,Spezia,28,1997,4,4,360,5,14,9,1,0,0,0,0,4.3,16,54,108,21,14,75,9,1
Filip Stankovic,SRB,Goalkeeper,Venezia,23,2002,9,9,810,9,37,28,4,0,0,0,0,10.5,48,124,401,45,25,135,7,10
Demba Thiam,SEN,Goalkeeper,Monza,27,1998,9,9,810,7,28,20,3,1,0,1,0,8.5,49,126,293,36,33,106,13,21
Luis Barraza,USA,Goalkeeper,D.C. United,28,1996,24,24,2090,39,118,80,3,3,2,0,1,35.3,137,406,646,105,166,305,18,22
