Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Defensive Actions Outside Penalty Area
Randall Rodríguez,URU,Goalkeeper,Vélez Sarsfield,21,2003,1,1,90,4,8,4,0,1,1,0,0,3.1,4,16,23,5,7,10,1,0
Manuel Roffo,ARG,Goalkeeper,Instituto,25,2000,29,29,2610,32,110,78,12,2,2,0,0,31.5,153,395,605,109,197,421,32,14
Sergio Romero,ARG,Goalkeeper,Arg Juniors,38,1987,1,1,90,1,3,2,0,0,0,0,0,1.1,4,11,20,5,3,5,0,0
Facundo Sanguinetti,ARG,Goalkeeper,Banfield,24,2001,29,29,2610,37,123,84,8,6,4,2,0,35.9,159,406,511,97,229,420,20,16
Gonzalo Siri Payer,ARG,Goalkeeper,Arg Juniors,22,2003,1,0,45,1,2,1,0,0,0,0,0,0.3,2,4,7,1,8,6,0,0
Matías Tagliamonte,ARG,Goalkeeper,Unión,27,1998,15,15,1350,14,45,30,6,2,0,2,0,14.0,79,230,225,46,121,210,14,8
Manuel Vicentini,ARG,Goalkeeper,Belgrano,35,1990,5,5,450,5,18,12,2,1,0,1,0,8.8,24,93,113,18,41,107,3,14
Axel Werner,ARG,Goalkeeper,Rosario Central,29,1996,4,3,271,0,5,5,3,0,0,0,0,1.6,13,38,50,13,27,42,2,1
Felipe Zenobio,ARG,Goalkeeper,Tigre,25,2000,29,29,2610,23,94,71,11,3,2,0,1,26.7,120,346,509,97,186,442,29,11
Juan Zozaya,ARG,Goalkeeper,Cen. Córdoba–SdE,24,2001,2,2,180,3,8,5,0,0,0,0,0,3.9,6,14,28,6,12,29,0,0
Andrew,BRA,Goalkeeper,Gil Vicente FC,24,2001,9,9,775,4,25,20,6,2,1,1,0,6.6,42,125,246,37,68,110,10,14
Daniel Azevedo,POR,Goalkeeper,Casa Pia,27,1998,3,2,218,7,14,7,0,1,1,0,0,6.6,14,38,90,11,13,34,0,8
Gabriel Batista,BRA,Goalkeeper,Santa Clara,27,1998,9,9,810,10,33,22,3,1,0,1,0,10.4,41,123,199,44,69,121,8,3
Simão Bertelli,BRA,Goalkeeper,AVS Futebol,32,1993,8,8,720,20,39,19,0,2,2,0,0,16.0,42,110,204,28,67,113,4,12
Lazar Carević,MNE,Goalkeeper,Famalicão,26,1999,9,9,810,4,33,29,6,1,1,0,0,7.6,22,89,257,35,47,125,5,11
Juan Castillo,COL,Goalkeeper,Vitória,22,2003,5,5,450,6,24,18,1,1,1,0,0,6.0,21,52,101,13,26,67,3,8
Charles,BRA,Goalkeeper,Vitória,31,1994,4,4,360,8,21,14,0,0,0,0,0,6.5,12,48,120,12,25,35,2,3
Diogo Costa,POR,Goalkeeper,Porto,26,1999,8,8,720,1,13,13,7,0,0,0,0,2.6,44,95,303,21,41,93,2,18
André Ferreira,POR,Goalkeeper,Moreirense,29,1996,1,1,90,3,13,10,0,2,2,0,0,4.9,4,20,37,5,6,16,0,0
Daniel Figueira,POR,Goalkeeper,Gil Vicente FC,27,1998,1,0,31,0,5,5,1,0,0,0,0,0.7,3,17,10,0,7,18,0,0
Bernardo Fontes,BRA,Goalkeeper,Tondela,23,2002,9,9,810,17,57,41,1,2,2,0,0,19.3,39,112,241,38,51,133,3,14
Lucas França,BRA,Goalkeeper,Nacional,29,1996,6,6,540,10,28,18,1,1,1,0,0,8.3,40,115,121,17,45,81,3,10
André Gomes,POR,Goalkeeper,Alverca,21,2004,8,8,720,14,37,22,2,4,2,1,1,12.8,23,106,143,26,52,144,9,1
João Gonçalves,POR,Goalkeeper,AVS Futebol,24,2000,1,1,90,2,5,3,0,1,1,0,0,2.8,4,16,18,4,12,18,0,1
Lukáš Horníček,CZE,Goalkeeper,Braga,23,2002,9,9,810,8,27,18,3,2,1,1,0,9.6,21,81,319,40,45,82,5,33
Kaique,BRA,Goalkeeper,Nacional,22,2003,3,3,270,3,8,5,1,1,1,0,0,2.4,21,74,90,14,25,52,5,6
Matheus Mendes,BRA,Goalkeeper,Alverca,26,1999,1,1,90,2,2,0,0,0,0,0,0,1.3,2,7,26,2,4,8,0,2
Cezary Miszta,POL,Goalkeeper,Rio Ave,23,2001,9,9,810,14,52,38,2,0,0,0,0,16.0,50,149,250,45,94,200,4,6
Renan Ribeiro,BRA,Goalkeeper,Estrela,35,1990,9,9,810,10,36,25,3,3,2,1,0,11.2,36,129,263,47,66,129,10,7
Joel Robles,ESP,Goalkeeper,Estoril,35,1990,9,9,810,14,35,21,0,4,4,0,0,15.7,65,182,199,41,94,144,6,27
Caio Secco,BRA,Goalkeeper,Moreirense,34,1990,7,7,630,8,27,19,2,3,3,0,0,7.9,18,77,164,30,55,104,10,4
Patrick Sequeira,CRC,Goalkeeper,Casa Pia,26,1999,7,7,592,10,28,18,2,1,0,0,1,12.0,25,79,176,28,35,76,2,14
Rui Silva,POR,Goalkeeper,Sporting CP,31,1994,7,7,630,4,20,16,4,1,1,0,0,4.4,8,24,171,34,22,57,4,13
Samuel Soares,POR,Goalkeeper,Benfica,23,2002,2,2,180,1,11,10,1,0,0,0,0,3.1,5,15,40,11,8,31,2,1
Anatolii Trubin,UKR,Goalkeeper,Benfica,24,2001,7,7,630,3,19,16,4,0,0,0,0,4.5,18,62,118,22,53,72,2,5
João Valido,POR,Goalkeeper,Arouca,25,2000,9,9,810,24,48,23,0,6,5,1,0,19.5,32,118,270,58,84,148,5,19
João Virgínia,POR,Goalkeeper,Sporting CP,26,1999,2,2,180,1,4,3,1,0,0,0,0,1.3,3,8,50,9,4,26,3,1
