Game Week,Player,Team,League,Nationality,Age,Minutes,Shots on Target Against,Goals Against,Saves,Save Percentage,Post-Shot Expected Goals (PSxG),Passes Completed (Launched),Passes Attempted (Launched),Pass Completion % (Launched),Passes Attempted (GK),Throws Attempted,Launch % (Passes),Average Pass Length,Goal Kicks Attempted,Launch % (Goal Kicks),Average Goal Kick Length,Crosses Faced,Crosses Stopped,Cross Stop %,Def. Actions Outside Penalty Area,Average Distance of Def. Actions
J2,Jason Steele,Brighton,English Premier League,eng ENG,33-001,90,5.0,1.0,4.0,80.0,1.8,1.0,6.0,16.7,42.0,3.0,14.3,25.3,2.0,0.0,6.0,13.0,1.0,7.7,2.0,13.9
J2,Bernd Leno,Fulham,English Premier League,de GER,31-168,90,8.0,3.0,5.0,75.0,3.4,6.0,19.0,31.6,51.0,4.0,31.4,33.7,4.0,75.0,55.0,11.0,2.0,18.2,1.0,13.0
J2,Mark Flekken,Brentford,English Premier League,nl NED,30-067,90,2.0,0.0,2.0,100.0,0.2,5.0,13.0,38.5,48.0,4.0,22.9,30.0,5.0,40.0,39.8,14.0,0.0,0.0,0.0,9.5
J2,Alisson,Liverpool,English Premier League,br BRA,30-321,90,5.0,1.0,4.0,80.0,1.3,4.0,12.0,33.3,46.0,6.0,15.2,25.2,5.0,100.0,64.2,6.0,1.0,16.7,2.0,22.0
J2,Neto,Bournemouth,English Premier League,br BRA,34-031,90,10.0,3.0,6.0,70.0,3.8,4.0,10.0,40.0,15.0,4.0,33.3,28.0,10.0,50.0,45.5,14.0,1.0,7.1,1.0,9.3
J2,Guglielmo Vicario,Tottenham,English Premier League,it ITA,26-316,90,6.0,0.0,6.0,100.0,1.5,2.0,5.0,40.0,41.0,12.0,9.8,21.1,8.0,12.5,19.3,13.0,0.0,0.0,0.0,17.0
J2,André Onana,Manchester Utd,English Premier League,cm CMR,27-139,90,6.0,2.0,5.0,66.7,1.8,2.0,8.0,25.0,31.0,6.0,22.6,33.1,3.0,33.3,32.3,12.0,1.0,8.3,2.0,25.3
J2,Ederson,Manchester City,English Premier League,br BRA,30-002,90,1.0,0.0,1.0,100.0,0.1,7.0,15.0,46.7,46.0,3.0,26.1,31.3,4.0,75.0,55.3,1.0,1.0,100.0,3.0,20.1
J2,Nick Pope,Newcastle Utd,English Premier League,eng ENG,31-122,90,4.0,1.0,3.0,75.0,1.3,2.0,4.0,50.0,21.0,7.0,4.8,22.5,7.0,42.9,36.1,3.0,0.0,0.0,2.0,22.0
J2,Emiliano Martínez,Aston Villa,English Premier League,ar ARG,30-352,90,2.0,0.0,2.0,100.0,0.2,5.0,6.0,83.3,40.0,5.0,7.5,22.7,6.0,50.0,38.8,14.0,3.0,21.4,1.0,10.3
J2,Jordan Pickford,Everton,English Premier League,eng ENG,29-166,90,7.0,4.0,3.0,57.1,3.1,4.0,10.0,40.0,20.0,4.0,30.0,34.3,6.0,66.7,45.5,8.0,0.0,0.0,0.0,
J11,Łukasz Skorupski,Bologna,Italian Serie A,pl POL,32-182,90,1.0,0.0,1.0,100.0,0.0,9.0,12.0,75.0,43.0,6.0,23.3,26.7,5.0,40.0,39.0,16.0,1.0,6.3,0.0,8.0
J11,Ivan Provedel,Lazio,Italian Serie A,it ITA,29-231,90,2.0,1.0,1.0,50.0,0.7,0.0,1.0,0.0,22.0,3.0,4.5,23.4,3.0,0.0,18.0,7.0,0.0,0.0,0.0,13.5
J2,Alphonse Areola,West Ham,English Premier League,fr FRA,30-174,90,4.0,1.0,2.0,75.0,1.5,8.0,20.0,40.0,21.0,7.0,61.9,45.0,10.0,70.0,49.0,23.0,3.0,13.0,0.0,8.3
J2,Robert Sánchez,Chelsea,English Premier League,es ESP,25-275,90,6.0,3.0,3.0,66.7,2.7,1.0,2.0,50.0,22.0,5.0,9.1,22.3,4.0,0.0,19.5,8.0,0.0,0.0,0.0,17.0
J2,Sam Johnstone,Crystal Palace,English Premier League,eng ENG,30-149,90,3.0,1.0,2.0,100.0,1.1,4.0,11.0,36.4,21.0,5.0,38.1,33.4,6.0,50.0,43.7,17.0,3.0,17.6,2.0,12.8
J2,Aaron Ramsdale,Arsenal,English Premier League,eng ENG,25-099,90,2.0,0.0,2.0,100.0,0.2,4.0,13.0,30.8,24.0,5.0,41.7,35.4,3.0,100.0,73.0,15.0,1.0,6.7,3.0,21.4
J3,Robert Sánchez,Chelsea,English Premier League,es ESP,25-280,90,1.0,0.0,1.0,100.0,0.1,5.0,8.0,62.5,31.0,2.0,9.7,24.1,10.0,50.0,35.0,17.0,0.0,0.0,0.0,14.0
J3,Thomas Kaminski,Luton Town,English Premier League,be BEL,30-306,90,8.0,3.0,5.0,62.5,2.7,5.0,20.0,25.0,26.0,4.0,65.4,43.7,8.0,37.5,33.6,11.0,0.0,0.0,1.0,28.0
J3,Neto,Bournemouth,English Premier League,br BRA,34-038,90,6.0,2.0,4.0,66.7,2.8,7.0,18.0,38.9,31.0,4.0,41.9,34.2,9.0,55.6,46.4,5.0,0.0,0.0,0.0,11.5
J3,Guglielmo Vicario,Tottenham,English Premier League,it ITA,26-323,90,3.0,0.0,3.0,100.0,0.3,4.0,13.0,30.8,33.0,4.0,33.3,31.0,4.0,50.0,37.3,16.0,0.0,0.0,0.0,13.0
J3,Jordan Pickford,Everton,English Premier League,eng ENG,29-172,90,2.0,1.0,1.0,50.0,1.1,8.0,19.0,42.1,32.0,3.0,50.0,35.9,7.0,42.9,33.1,11.0,0.0,0.0,4.0,29.3
J3,José Sá,Wolves,English Premier League,pt POR,30-221,90,7.0,0.0,7.0,100.0,1.5,4.0,11.0,36.4,40.0,10.0,25.0,31.8,10.0,10.0,19.1,25.0,5.0,20.0,2.0,11.9
J3,André Onana,Manchester Utd,English Premier League,cm CMR,27-146,90,4.0,2.0,2.0,50.0,2.0,1.0,6.0,16.7,20.0,3.0,25.0,28.9,3.0,33.3,36.3,10.0,0.0,0.0,0.0,
J3,Matt Turner,Nott'ham Forest,English Premier League,us USA,29-063,90,9.0,3.0,6.0,77.8,3.9,11.0,23.0,47.8,30.0,9.0,60.0,39.1,9.0,55.6,43.8,17.0,1.0,5.9,0.0,12.8
J3,Mark Flekken,Brentford,English Premier League,nl NED,30-074,90,5.0,1.0,4.0,80.0,0.6,8.0,10.0,80.0,41.0,5.0,24.4,30.1,7.0,0.0,18.1,14.0,1.0,7.1,0.0,4.0
J3,Sam Johnstone,Crystal Palace,English Premier League,eng ENG,30-154,90,1.0,1.0,0.0,0.0,0.6,4.0,16.0,25.0,17.0,2.0,64.7,40.1,6.0,83.3,58.0,19.0,1.0,5.3,1.0,13.0
J3,Aaron Ramsdale,Arsenal,English Premier League,eng ENG,25-104,90,3.0,2.0,1.0,33.3,0.4,2.0,3.0,66.7,30.0,6.0,6.7,21.1,4.0,25.0,27.5,8.0,0.0,0.0,2.0,23.0
J3,Bernd Leno,Fulham,English Premier League,de GER,31-175,90,10.0,2.0,8.0,90.0,2.0,10.0,19.0,52.6,37.0,7.0,37.8,33.8,6.0,83.3,55.3,27.0,0.0,0.0,1.0,12.5
J3,Bart Verbruggen,Brighton,English Premier League,nl NED,21-008,90,7.0,3.0,4.0,57.1,2.9,1.0,1.0,100.0,26.0,6.0,3.8,19.2,5.0,0.0,15.6,8.0,1.0,12.5,1.0,10.0
J3,Alphonse Areola,West Ham,English Premier League,fr FRA,30-180,90,10.0,1.0,9.0,90.0,1.9,7.0,24.0,29.2,20.0,6.0,70.0,46.9,12.0,83.3,52.3,32.0,1.0,3.1,0.0,4.0
J3,Wes Foderingham,Sheffield Utd,English Premier League,eng ENG,32-225,90,9.0,2.0,7.0,77.8,2.5,12.0,22.0,54.5,21.0,4.0,57.1,38.2,14.0,71.4,50.4,24.0,0.0,0.0,0.0,
J3,Ederson,Manchester City,English Premier League,br BRA,30-010,90,1.0,1.0,0.0,0.0,0.4,2.0,7.0,28.6,27.0,3.0,18.5,28.5,6.0,33.3,39.3,2.0,0.0,0.0,1.0,23.0
J11,Guillermo Ochoa,Salernitana,Italian Serie A,mx MEX,38-114,90,8.0,2.0,6.0,75.0,1.7,3.0,18.0,16.7,35.0,4.0,45.7,34.7,6.0,33.3,32.2,9.0,0.0,0.0,1.0,25.0
J11,Alex Meret,Napoli,Italian Serie A,it ITA,26-227,90,3.0,0.0,3.0,100.0,0.7,1.0,5.0,20.0,18.0,4.0,22.2,30.7,5.0,20.0,21.8,19.0,0.0,0.0,0.0,13.0
J3,James Trafford,Burnley,English Premier League,eng ENG,20-321,90,6.0,3.0,3.0,50.0,3.8,2.0,4.0,50.0,23.0,7.0,17.4,24.4,4.0,0.0,12.3,9.0,0.0,0.0,4.0,35.8
J3,Robin Olsen,Aston Villa,English Premier League,se SWE,33-231,90,2.0,1.0,1.0,50.0,0.5,5.0,12.0,41.7,37.0,3.0,29.7,28.0,2.0,50.0,35.0,11.0,0.0,0.0,1.0,23.0
J3,Nick Pope,Newcastle Utd,English Premier League,eng ENG,31-130,90,4.0,2.0,2.0,50.0,1.8,4.0,10.0,40.0,25.0,7.0,32.0,27.9,6.0,33.3,29.3,13.0,1.0,7.7,10.0,26.8
J3,Alisson,Liverpool,English Premier League,br BRA,30-329,90,8.0,1.0,7.0,87.5,1.3,1.0,14.0,7.1,35.0,6.0,22.9,28.6,13.0,46.2,40.3,11.0,0.0,0.0,0.0,5.0
J4,Thomas Kaminski,Luton Town,English Premier League,be BEL,30-313,90,3.0,2.0,1.0,33.3,1.3,8.0,30.0,26.7,36.0,1.0,77.8,48.7,3.0,66.7,53.3,12.0,1.0,8.3,1.0,18.5
J4,Alphonse Areola,West Ham,English Premier League,fr FRA,30-186,90,1.0,1.0,0.0,0.0,0.8,3.0,11.0,27.3,13.0,5.0,15.4,26.8,11.0,81.8,55.8,26.0,3.0,11.5,1.0,9.6
J4,Wes Foderingham,Sheffield Utd,English Premier League,eng ENG,32-231,90,6.0,2.0,4.0,66.7,2.8,4.0,10.0,40.0,30.0,9.0,26.7,29.6,7.0,28.6,27.9,20.0,1.0,5.0,2.0,24.3
J4,Jordan Pickford,Everton,English Premier League,eng ENG,29-179,90,7.0,2.0,6.0,71.4,1.9,7.0,22.0,31.8,34.0,7.0,58.8,42.7,2.0,100.0,66.0,11.0,2.0,18.2,4.0,21.9
J4,Mark Flekken,Brentford,English Premier League,nl NED,30-081,90,5.0,2.0,3.0,60.0,2.0,11.0,22.0,50.0,48.0,3.0,35.4,30.7,8.0,62.5,47.3,9.0,0.0,0.0,0.0,9.7
J4,Neto,Bournemouth,English Premier League,br BRA,34-045,90,7.0,2.0,5.0,71.4,1.5,9.0,28.0,32.1,20.0,3.0,75.0,50.4,14.0,92.9,59.4,18.0,2.0,11.1,0.0,9.0
J4,Ederson,Manchester City,English Premier League,br BRA,30-016,90,4.0,1.0,3.0,75.0,1.7,3.0,8.0,37.5,41.0,2.0,19.5,28.0,4.0,0.0,23.8,8.0,0.0,0.0,1.0,33.0
J4,Bernd Leno,Fulham,English Premier League,de GER,31-182,90,5.0,5.0,0.0,20.0,3.4,6.0,14.0,42.9,40.0,4.0,35.0,32.6,1.0,0.0,17.0,6.0,0.0,0.0,0.0,10.0
J4,Robert Sánchez,Chelsea,English Premier League,es ESP,25-288,90,3.0,1.0,2.0,66.7,0.9,1.0,2.0,50.0,29.0,8.0,6.9,19.8,4.0,0.0,14.8,2.0,1.0,50.0,2.0,15.0
J4,Matt Turner,Nott'ham Forest,English Premier League,us USA,29-070,90,2.0,0.0,2.0,100.0,0.2,10.0,26.0,38.5,24.0,5.0,54.2,42.1,13.0,100.0,59.4,30.0,2.0,6.7,1.0,10.5
J4,James Trafford,Burnley,English Premier League,eng ENG,20-327,90,11.0,5.0,6.0,54.5,4.5,8.0,24.0,33.3,59.0,12.0,33.9,30.7,7.0,57.1,44.0,6.0,0.0,0.0,3.0,19.8
J4,Guglielmo Vicario,Tottenham,English Premier League,it ITA,26-330,90,4.0,2.0,2.0,50.0,2.3,2.0,13.0,15.4,47.0,4.0,25.5,27.7,6.0,16.7,19.2,8.0,0.0,0.0,1.0,31.0
J4,Bart Verbruggen,Brighton,English Premier League,nl NED,21-015,90,2.0,1.0,1.0,50.0,0.4,4.0,10.0,40.0,58.0,4.0,17.2,27.1,3.0,0.0,7.7,8.0,1.0,12.5,0.0,6.0
J4,Nick Pope,Newcastle Utd,English Premier League,eng ENG,31-136,90,6.0,3.0,3.0,50.0,1.5,2.0,6.0,33.3,24.0,6.0,12.5,27.9,5.0,60.0,47.4,6.0,0.0,0.0,4.0,24.5
J4,Sam Johnstone,Crystal Palace,English Premier League,eng ENG,30-162,90,4.0,2.0,2.0,50.0,0.7,5.0,16.0,31.3,23.0,4.0,39.1,32.6,13.0,53.8,37.5,21.0,1.0,4.8,1.0,15.0
J4,José Sá,Wolves,English Premier League,pt POR,30-229,90,10.0,3.0,7.0,70.0,3.9,1.0,8.0,12.5,29.0,9.0,27.6,29.9,6.0,0.0,17.5,14.0,2.0,14.3,0.0,9.8
J11,Juan Musso,Atalanta,Italian Serie A,ar ARG,29-182,90,4.0,2.0,2.0,75.0,2.1,2.0,8.0,25.0,22.0,8.0,18.2,30.8,6.0,66.7,48.2,9.0,1.0,11.1,0.0,6.0
J11,Yann Sommer,Inter,Italian Serie A,ch SUI,34-322,90,4.0,1.0,3.0,75.0,0.6,6.0,17.0,35.3,28.0,5.0,42.9,38.5,8.0,62.5,51.3,19.0,0.0,0.0,0.0,4.0
J4,Alisson,Liverpool,English Premier League,br BRA,30-336,90,3.0,0.0,3.0,100.0,0.2,3.0,4.0,75.0,29.0,3.0,13.8,21.9,6.0,0.0,22.8,9.0,1.0,11.1,2.0,15.2
J4,Emiliano Martínez,Aston Villa,English Premier League,ar ARG,31-001,90,4.0,3.0,2.0,25.0,1.0,4.0,10.0,40.0,34.0,7.0,23.5,27.9,6.0,33.3,39.3,8.0,1.0,12.5,1.0,14.3
J4,Aaron Ramsdale,Arsenal,English Premier League,eng ENG,25-112,90,2.0,1.0,1.0,50.0,0.6,2.0,5.0,40.0,27.0,6.0,18.5,25.7,0.0,,,2.0,0.0,0.0,0.0,
J4,André Onana,Manchester Utd,English Premier League,cm CMR,27-154,90,5.0,3.0,2.0,40.0,1.6,4.0,11.0,36.4,51.0,1.0,19.6,25.9,2.0,50.0,38.5,20.0,1.0,5.0,0.0,8.0
J5,José Sá,Wolves,English Premier League,pt POR,30-242,90,5.0,3.0,3.0,40.0,2.3,2.0,14.0,14.3,19.0,8.0,42.1,34.4,7.0,85.7,60.0,13.0,3.0,23.1,0.0,6.0
J5,Alisson,Liverpool,English Premier League,br BRA,30-349,90,2.0,1.0,1.0,50.0,0.1,2.0,4.0,50.0,33.0,5.0,9.1,23.9,7.0,14.3,24.9,11.0,0.0,0.0,2.0,25.7
J5,Guglielmo Vicario,Tottenham,English Premier League,it ITA,26-344,90,5.0,1.0,4.0,80.0,1.4,1.0,5.0,20.0,27.0,6.0,18.5,27.1,1.0,0.0,32.0,4.0,1.0,25.0,4.0,25.0
J5,Wes Foderingham,Sheffield Utd,English Premier League,eng ENG,32-245,90,10.0,2.0,8.0,80.0,2.0,19.0,32.0,59.4,35.0,6.0,68.6,44.6,13.0,61.5,45.7,26.0,1.0,3.8,1.0,15.2
J5,Alphonse Areola,West Ham,English Premier League,fr FRA,30-201,90,13.0,3.0,10.0,76.9,4.3,4.0,5.0,80.0,15.0,7.0,20.0,25.2,6.0,33.3,32.7,15.0,0.0,0.0,0.0,2.5
J5,Ederson,Manchester City,English Premier League,br BRA,30-030,90,3.0,1.0,2.0,66.7,1.3,2.0,5.0,40.0,29.0,5.0,17.2,26.3,2.0,0.0,15.0,8.0,0.0,0.0,0.0,11.5
J5,Emiliano Martínez,Aston Villa,English Premier League,ar ARG,31-014,90,3.0,1.0,2.0,66.7,0.7,1.0,4.0,25.0,31.0,8.0,6.5,23.0,6.0,33.3,31.0,10.0,0.0,0.0,3.0,29.7
J5,Sam Johnstone,Crystal Palace,English Premier League,eng ENG,30-175,90,5.0,3.0,2.0,60.0,2.5,6.0,15.0,40.0,20.0,3.0,65.0,47.0,2.0,100.0,68.0,19.0,2.0,10.5,2.0,13.8
J5,Bernd Leno,Fulham,English Premier League,de GER,31-196,90,2.0,0.0,2.0,100.0,0.9,3.0,8.0,37.5,19.0,2.0,15.8,26.6,5.0,100.0,67.4,10.0,0.0,0.0,0.0,
J5,Thomas Kaminski,Luton Town,English Premier League,be BEL,30-328,90,2.0,1.0,1.0,50.0,1.0,5.0,17.0,29.4,19.0,7.0,36.8,34.4,10.0,100.0,66.0,22.0,2.0,9.1,0.0,3.7
J5,André Onana,Manchester Utd,English Premier League,cm CMR,27-167,90,8.0,3.0,5.0,62.5,2.5,1.0,11.0,9.1,38.0,5.0,28.9,29.5,3.0,0.0,18.0,4.0,0.0,0.0,0.0,9.0
J5,Jason Steele,Brighton,English Premier League,eng ENG,33-029,90,4.0,1.0,3.0,75.0,0.7,8.0,12.0,66.7,52.0,2.0,23.1,27.4,3.0,0.0,12.7,15.0,0.0,0.0,3.0,21.8
J5,Nick Pope,Newcastle Utd,English Premier League,eng ENG,31-150,90,2.0,0.0,2.0,100.0,0.6,5.0,13.0,38.5,19.0,6.0,31.6,34.9,9.0,77.8,56.0,9.0,1.0,11.1,1.0,15.3
J5,Mark Flekken,Brentford,English Premier League,nl NED,30-095,90,2.0,1.0,1.0,100.0,1.0,5.0,26.0,19.2,36.0,3.0,55.6,42.9,7.0,85.7,60.3,21.0,0.0,0.0,2.0,9.7
J5,Neto,Bournemouth,English Premier League,br BRA,34-060,90,6.0,0.0,6.0,100.0,1.5,3.0,7.0,42.9,22.0,6.0,27.3,30.0,7.0,14.3,25.3,10.0,1.0,10.0,0.0,4.0
J5,Robert Sánchez,Chelsea,English Premier League,es ESP,25-303,90,4.0,0.0,4.0,100.0,0.9,5.0,9.0,55.6,41.0,9.0,9.8,22.1,12.0,41.7,30.0,11.0,3.0,27.3,4.0,16.9
J11,Mike Maignan,Milan,Italian Serie A,fr FRA,28-124,90,2.0,1.0,1.0,100.0,1.1,2.0,4.0,50.0,25.0,4.0,12.0,26.2,6.0,16.7,34.2,9.0,0.0,0.0,3.0,32.3
J11,Marco Silvestri,Udinese,Italian Serie A,it ITA,32-247,90,4.0,0.0,4.0,100.0,1.1,7.0,14.0,50.0,16.0,4.0,50.0,40.3,7.0,85.7,55.9,27.0,0.0,0.0,0.0,7.0
J5,Jordan Pickford,Everton,English Premier League,eng ENG,29-194,90,4.0,1.0,3.0,75.0,0.8,9.0,32.0,28.1,36.0,3.0,72.2,48.5,9.0,66.7,55.6,14.0,0.0,0.0,0.0,4.0
J5,David Raya,Arsenal,English Premier League,es ESP,28-002,90,1.0,0.0,1.0,100.0,0.1,5.0,7.0,71.4,35.0,7.0,17.1,26.3,4.0,25.0,33.3,4.0,2.0,50.0,3.0,17.7
J5,Matt Turner,Nott'ham Forest,English Premier League,us USA,29-086,90,3.0,1.0,2.0,66.7,0.6,6.0,14.0,42.9,32.0,9.0,34.4,31.5,8.0,37.5,35.8,14.0,2.0,14.3,2.0,16.8
J5,James Trafford,Burnley,English Premier League,eng ENG,20-343,90,4.0,1.0,3.0,75.0,1.0,2.0,8.0,25.0,47.0,2.0,10.6,20.0,6.0,50.0,40.3,15.0,1.0,6.7,2.0,16.0
J6,Thomas Kaminski,Luton Town,English Premier League,be BEL,30-335,90,3.0,1.0,2.0,66.7,0.8,3.0,15.0,20.0,29.0,5.0,48.3,38.1,2.0,50.0,52.5,5.0,0.0,0.0,1.0,24.0
J6,José Sá,Wolves,English Premier League,pt POR,30-249,90,4.0,1.0,3.0,100.0,2.0,6.0,28.0,21.4,30.0,6.0,50.0,44.0,14.0,92.9,64.9,34.0,1.0,2.9,2.0,14.2
J6,Ederson,Manchester City,English Premier League,br BRA,30-037,90,3.0,0.0,3.0,100.0,0.4,7.0,19.0,36.8,30.0,3.0,36.7,37.9,8.0,100.0,71.9,13.0,3.0,23.1,1.0,11.0
J6,Matt Turner,Nott'ham Forest,English Premier League,us USA,29-091,90,4.0,2.0,2.0,50.0,1.0,2.0,5.0,40.0,9.0,2.0,44.4,33.7,3.0,33.3,35.0,7.0,1.0,14.3,0.0,4.0
J6,Sam Johnstone,Crystal Palace,English Premier League,eng ENG,30-182,90,5.0,0.0,5.0,100.0,0.5,4.0,14.0,28.6,26.0,6.0,30.8,33.4,6.0,100.0,62.2,14.0,0.0,0.0,0.0,8.0
J6,Bernd Leno,Fulham,English Premier League,de GER,31-203,90,3.0,0.0,3.0,100.0,0.7,1.0,3.0,33.3,42.0,6.0,7.1,20.4,2.0,0.0,14.5,11.0,1.0,9.1,2.0,15.6
J6,Mark Flekken,Brentford,English Premier League,nl NED,30-102,90,6.0,3.0,3.0,50.0,1.5,0.0,7.0,0.0,49.0,7.0,12.2,25.0,12.0,8.3,18.7,15.0,0.0,0.0,0.0,6.5
J6,Jordan Pickford,Everton,English Premier League,eng ENG,29-200,90,2.0,1.0,1.0,50.0,0.9,7.0,20.0,35.0,31.0,5.0,51.6,39.7,4.0,100.0,63.3,9.0,1.0,11.1,0.0,11.3
J6,James Trafford,Burnley,English Premier League,eng ENG,20-348,90,4.0,1.0,3.0,75.0,0.8,2.0,7.0,28.6,78.0,6.0,9.0,19.1,3.0,0.0,21.7,9.0,1.0,11.1,0.0,7.0
J6,André Onana,Manchester Utd,English Premier League,cm CMR,27-174,90,4.0,0.0,4.0,100.0,0.6,4.0,17.0,23.5,38.0,3.0,39.5,34.5,4.0,50.0,40.5,17.0,1.0,5.9,0.0,3.0
J6,Robert Sánchez,Chelsea,English Premier League,es ESP,25-310,90,7.0,1.0,6.0,85.7,1.7,4.0,8.0,50.0,25.0,7.0,28.0,30.9,4.0,25.0,33.8,16.0,2.0,12.5,5.0,21.0
J6,Emiliano Martínez,Aston Villa,English Premier League,ar ARG,31-022,90,4.0,0.0,4.0,100.0,1.6,5.0,15.0,33.3,45.0,5.0,28.9,28.7,6.0,33.3,32.8,10.0,0.0,0.0,3.0,24.0
J6,David Raya,Arsenal,English Premier League,es ESP,28-009,90,5.0,2.0,3.0,60.0,2.6,6.0,15.0,40.0,35.0,7.0,42.9,35.0,1.0,0.0,18.0,8.0,0.0,0.0,4.0,27.2
J6,Guglielmo Vicario,Tottenham,English Premier League,it ITA,26-352,90,5.0,2.0,4.0,80.0,1.8,3.0,12.0,25.0,39.0,6.0,25.6,28.9,9.0,22.2,23.1,17.0,2.0,11.8,2.0,13.5
J6,Alisson,Liverpool,English Premier League,br BRA,30-357,90,4.0,1.0,3.0,75.0,1.4,2.0,4.0,50.0,36.0,7.0,11.1,23.9,0.0,,,14.0,1.0,7.1,2.0,17.2
J6,Alphonse Areola,West Ham,English Premier League,fr FRA,30-209,90,7.0,3.0,4.0,71.4,3.4,4.0,14.0,28.6,22.0,5.0,40.9,31.0,11.0,45.5,39.1,18.0,0.0,0.0,0.0,9.3
J11,Lorenzo Montipò,Hellas Verona,Italian Serie A,it ITA,27-258,90,6.0,3.0,3.0,50.0,1.3,5.0,6.0,83.3,14.0,5.0,28.6,32.1,5.0,40.0,39.4,11.0,0.0,0.0,0.0,7.7
J11,Michele Di Gregorio,Monza,Italian Serie A,it ITA,26-101,90,5.0,1.0,4.0,80.0,1.3,4.0,10.0,40.0,30.0,11.0,16.7,26.9,11.0,45.5,42.5,18.0,1.0,5.6,0.0,2.0
J6,Bart Verbruggen,Brighton,English Premier League,nl NED,21-037,90,3.0,1.0,2.0,66.7,0.6,4.0,18.0,22.2,52.0,3.0,34.6,34.5,0.0,,,7.0,1.0,14.3,1.0,16.5
J6,Neto,Bournemouth,English Premier League,br BRA,34-067,90,4.0,3.0,2.0,25.0,2.3,4.0,21.0,19.0,24.0,1.0,70.8,45.7,5.0,80.0,52.8,10.0,0.0,0.0,0.0,17.0
