Team,Average Age,Possession,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes Received,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions
Čukarički,25.1,35.3,6,2,3.1,43,17,0,0,72,4,1425,1997,576,701,613,766,183,403,32,116,27,10,155,55,154,96,62,56,35,5,50,108,58,68,71,167,2,2722,423,1071,1152,531,77,2722,64,28,1344,37,21,116,47,1416,21,2,1,72,73,9,0,4,0,271,84,100,16,37,20,0,4,3,1,0,13.1,47,113,114,13,71,99,8,5
Dinamo Zagreb,25.7,54.5,10,15,13.4,123,42,4,4,229,26,4241,5258,1631,1881,1924,2191,537,855,89,301,83,25,387,215,383,161,88,88,58,15,81,159,78,103,89,170,3,6380,648,2043,2955,1447,218,6376,191,88,3570,168,64,171,86,4207,20,0,0,114,136,13,3,4,1,502,134,118,11,26,15,4,4,3,1,0,12.4,51,130,334,38,77,129,15,12
Eint Frankfurt,25.1,61.1,8,14,13.5,125,48,2,2,214,24,3934,4806,1661,1867,1865,2107,325,599,92,299,76,16,383,163,380,131,86,69,39,23,59,120,61,75,94,116,4,5702,471,1652,2804,1282,253,5700,142,65,3478,103,52,127,45,3902,16,2,1,92,60,15,1,0,0,430,126,100,11,29,18,2,0,0,0,0,10.2,11,58,188,25,50,82,3,5
Fenerbahçe,27.5,59.3,10,18,15.4,123,44,2,3,215,30,4790,5850,2048,2314,2188,2504,431,733,91,291,101,25,469,194,463,189,132,87,76,26,97,193,96,113,93,157,6,6921,592,2292,3217,1484,239,6918,194,102,4114,139,54,168,72,4746,18,0,0,131,130,20,2,0,1,518,149,119,15,45,31,3,0,0,0,0,12.0,26,94,276,50,56,111,13,9
Ferencváros,27.4,51.0,8,9,10.1,101,36,1,1,174,15,2800,3664,1114,1318,1293,1572,334,594,72,203,40,15,263,131,260,109,59,52,46,11,45,102,57,94,62,169,2,4589,608,1730,1896,1027,155,4588,145,72,2647,84,44,161,55,2778,18,0,0,133,87,12,1,1,0,403,171,132,8,34,26,1,1,1,0,0,7.8,38,102,214,41,73,110,5,6
Fiorentina,26.6,60.8,13,25,24.1,270,68,3,3,499,42,6182,7629,2280,2657,2872,3309,885,1345,212,537,190,48,674,285,668,191,113,86,72,33,109,188,79,111,85,153,2,8959,636,2096,4187,2755,456,8956,187,86,6033,253,68,200,106,6118,25,0,0,159,178,15,3,1,0,620,289,265,14,34,20,4,1,1,0,0,12.2,56,137,368,48,70,109,12,11
Genk,24.2,51.8,6,8,9.9,76,23,1,2,140,13,2321,2869,884,1010,1128,1282,252,431,63,216,60,11,264,106,262,85,51,44,34,7,40,83,43,63,51,106,3,3560,437,1236,1512,850,138,3558,121,52,1993,58,26,108,46,2296,16,2,0,86,97,9,2,1,0,325,74,97,5,28,23,3,1,1,0,0,7.2,24,88,225,23,36,77,5,6
Gent,26.1,58.8,8,15,15.5,132,42,2,2,229,27,3637,4577,1550,1762,1501,1781,460,751,102,314,104,19,450,172,446,123,72,45,61,17,74,152,78,85,88,81,3,5462,412,1314,2649,1536,277,5460,135,65,3180,134,60,137,65,3613,11,0,0,82,79,8,2,1,0,469,104,85,9,36,26,2,1,0,1,0,8.5,32,72,195,62,46,67,7,3
HJK,27.3,44.8,6,7,5.9,51,21,2,2,94,13,2120,2707,1000,1123,871,1037,187,396,44,130,38,12,171,76,169,87,57,42,30,15,53,104,51,76,66,133,4,3376,498,1344,1308,752,105,3374,96,38,1797,45,24,87,41,2102,8,0,0,67,65,7,1,1,1,283,65,59,17,48,32,0,1,1,0,0,17.6,18,78,156,28,64,103,2,1
KF Ballkani Therandë,27.8,53.7,6,3,4.0,58,15,0,0,104,4,2491,3065,995,1135,1135,1319,320,487,45,164,21,6,199,100,198,128,69,71,51,6,72,125,53,57,55,128,2,3796,442,1392,1771,675,72,3796,113,44,2157,85,17,132,64,2479,14,0,0,58,98,11,0,1,0,349,80,92,7,21,14,2,1,1,0,0,7.0,10,25,124,37,56,99,8,2
KÍ,29.9,39.7,6,5,6.1,44,15,0,0,78,10,1553,2213,539,694,722,882,245,525,33,101,18,12,123,48,122,87,50,47,31,9,41,85,44,62,56,163,2,2904,449,1147,1294,484,86,2904,71,28,1384,41,9,123,21,1537,18,3,3,72,52,6,0,3,0,279,92,103,9,30,21,2,3,3,0,0,11.0,37,118,156,33,64,116,4,4
Legia Warsaw,27.4,46.8,8,11,8.5,83,23,1,1,157,19,2865,3623,1246,1417,1239,1441,310,578,66,255,56,22,307,118,307,99,61,41,41,17,45,103,58,62,56,126,4,4359,426,1316,2003,1077,157,4358,96,50,2488,92,30,133,51,2845,18,0,0,110,88,20,1,0,0,354,116,98,12,30,18,2,0,0,0,0,11.9,26,97,212,22,58,72,2,21
Lille,25.1,62.1,10,17,20.2,136,50,4,4,250,30,5027,5987,2113,2379,2236,2504,523,821,100,440,108,17,546,228,540,143,100,55,66,22,68,141,73,95,78,168,3,7032,533,1771,3437,1906,281,7028,190,91,5305,219,52,165,79,4962,14,0,0,102,129,18,4,0,0,478,110,94,6,32,26,5,0,0,0,0,8.8,27,82,253,39,65,89,11,17
Ludogorets,27.3,50.5,8,10,11.5,112,46,1,2,199,16,3211,3997,1273,1462,1456,1679,388,654,84,245,60,12,299,148,295,135,87,66,58,11,67,145,78,83,68,143,5,4878,516,1707,2133,1074,156,4876,167,93,2745,95,34,142,83,3184,25,0,0,89,96,6,1,1,1,377,93,96,12,32,21,4,1,1,0,0,10.2,36,111,212,33,75,102,3,10
Lugano,25.5,52.7,6,5,7.8,94,22,0,0,169,8,2485,3000,1079,1186,1060,1188,273,457,76,195,52,20,238,125,235,96,56,47,38,11,53,114,61,66,47,87,4,3581,409,1190,1616,804,140,3581,95,52,2285,92,35,79,54,2456,19,1,0,66,77,13,0,2,0,312,60,51,14,34,20,1,2,1,0,1,11.7,21,57,199,22,46,70,3,15
Maccabi Haifa,27.1,37.0,4,6,2.0,22,12,0,0,38,9,1070,1445,482,563,415,516,135,277,18,75,17,3,77,42,76,66,40,40,19,7,25,49,24,61,46,145,0,1971,360,944,780,263,40,1971,77,37,980,20,9,75,26,1062,11,2,2,57,39,10,0,0,1,174,56,62,6,21,16,1,0,0,0,0,5.8,30,80,89,17,49,111,4,3
Maccabi Tel Aviv,27.7,51.0,8,19,10.5,95,43,1,1,157,28,3218,4123,1376,1581,1469,1709,297,602,74,243,46,6,334,158,332,114,63,55,45,14,57,130,73,95,88,179,4,5054,594,1721,2292,1092,156,5053,156,81,2879,102,53,134,58,3186,17,0,0,95,96,18,1,1,0,433,86,98,16,48,32,0,1,1,0,0,16.2,34,130,243,41,67,126,9,7
Molde,27.1,46.5,4,8,4.6,36,15,0,0,65,14,1497,1879,684,780,637,724,117,259,29,83,19,4,112,49,111,57,39,30,21,6,29,60,31,60,32,103,3,2329,267,960,991,401,56,2329,54,27,1320,41,13,76,29,1485,11,0,0,52,43,6,0,1,0,174,43,56,6,14,8,1,1,1,0,0,5.3,11,46,134,16,33,76,5,2
Nordsjælland,24.1,56.7,6,16,12.6,78,35,2,2,131,22,3225,3738,1517,1638,1352,1496,247,418,56,166,45,6,240,91,239,70,39,27,33,10,33,87,54,61,42,79,1,4285,417,1627,1903,786,139,4283,115,55,2615,68,28,74,45,3204,10,0,0,68,75,7,0,1,0,274,54,52,7,28,21,1,1,1,0,0,6.9,8,27,201,32,58,71,4,6
Olimpija,24.5,55.7,6,4,5.1,75,24,0,0,123,6,2348,3056,946,1107,1062,1269,274,505,48,198,16,5,202,111,198,100,58,43,47,10,48,86,38,61,44,94,2,3685,385,1149,1729,844,91,3685,100,54,2327,69,25,120,53,2317,14,0,0,86,63,17,0,3,0,324,55,75,9,28,18,1,3,2,1,0,9.9,6,41,129,37,52,59,5,5
Olympiacos,27.3,45.3,9,19,11.9,120,44,2,2,207,30,3014,4184,1391,1655,1145,1439,382,830,99,291,66,23,356,139,350,157,100,71,68,18,72,156,84,119,109,195,1,5255,545,1476,2466,1376,161,5253,155,77,2507,113,29,143,69,2983,22,1,1,102,97,28,0,3,0,474,204,211,10,40,30,4,3,2,0,1,11.4,56,218,233,30,72,136,16,18
PAOK,28.2,53.9,10,19,16.9,124,44,2,2,228,36,4140,5176,1651,1885,1852,2123,537,916,95,318,76,19,412,184,408,129,84,52,56,21,65,136,71,124,84,166,4,6185,622,1789,2831,1635,233,6183,175,93,3514,154,45,148,67,4087,15,1,0,90,104,19,2,3,0,484,109,133,16,44,27,0,3,2,1,0,15.7,30,112,270,30,79,111,3,12
Servette FC,27.1,47.5,4,1,4.1,65,19,0,0,116,0,1269,1833,499,626,526,685,186,374,48,103,36,6,145,71,144,76,43,32,37,7,40,82,42,41,37,92,1,2346,210,712,1037,632,92,2346,78,43,1135,50,20,80,38,1257,14,0,0,58,50,7,0,0,0,202,103,119,0,14,14,4,0,0,0,0,4.8,41,102,118,14,37,64,2,4
Slovan Bratislava,30.6,43.5,8,9,10.7,103,29,1,2,188,17,2301,3135,1021,1225,859,1070,330,632,82,187,53,15,228,116,225,109,64,61,43,5,61,135,74,88,86,183,2,4041,523,1466,1620,1003,165,4039,134,69,2118,79,29,128,65,2273,21,4,0,88,98,21,2,1,0,400,139,106,12,32,20,1,1,1,0,0,14.4,59,147,175,27,90,126,9,8
Spartak Trnava,26.3,32.3,6,3,3.9,54,18,0,0,88,5,1493,2006,647,756,614,740,190,403,37,112,30,12,143,50,143,96,53,51,38,7,49,117,68,70,71,146,3,2706,391,1005,1172,568,64,2706,99,45,1275,56,6,100,42,1483,14,0,0,81,58,10,0,3,1,265,58,74,15,42,27,0,3,1,1,1,17.3,27,109,88,7,58,90,2,1
Sturm Graz,24.3,42.3,4,6,6.1,64,19,1,1,109,11,1169,1610,514,619,478,593,115,283,46,89,21,8,117,62,114,53,31,22,25,6,29,73,44,68,42,74,2,2106,237,720,875,535,84,2105,63,33,1185,47,16,69,28,1153,3,0,0,48,36,4,1,0,0,200,56,81,5,21,16,1,0,0,0,0,6.9,12,48,88,25,28,52,3,4
Union SG,26.2,49.8,4,5,5.1,46,15,0,0,74,7,1466,1933,681,809,560,680,160,288,35,115,29,2,154,69,153,68,48,33,28,7,41,83,42,42,51,56,0,2420,233,750,1047,648,101,2420,120,57,1184,58,16,76,48,1455,10,1,1,51,45,5,0,1,0,213,55,65,6,13,7,1,1,1,0,0,6.8,19,42,111,5,35,43,2,4
Viktoria Plzeň,26.8,42.4,10,9,12.1,113,29,2,2,179,15,2869,4080,1195,1468,1175,1521,401,841,73,260,63,26,351,128,347,178,107,89,61,28,73,156,83,118,126,264,0,5333,700,1849,2227,1306,211,5331,161,74,2459,99,32,172,81,2827,28,1,0,181,105,10,1,0,0,551,248,205,3,34,31,8,0,0,0,0,7.4,87,216,292,33,95,176,11,12
Zorya Luhansk,23.8,40.0,6,9,7.0,86,37,0,0,147,14,1681,2294,703,826,713,882,235,453,62,139,42,8,179,95,176,74,48,42,25,7,39,82,43,77,104,119,3,3003,416,1158,1223,660,129,3003,88,51,1389,58,28,102,40,1657,16,0,0,56,55,19,0,0,1,347,50,62,11,26,16,2,0,0,0,0,8.5,23,80,132,20,56,70,4,6
Zrinjski Mostar,28.3,35.8,6,6,3.8,34,13,0,0,57,10,1509,2068,589,692,691,827,197,438,23,93,18,9,110,42,108,121,77,81,32,8,65,130,65,68,71,179,0,2744,518,1304,1107,356,49,2744,61,25,1367,31,8,80,36,1499,11,0,0,34,75,20,0,2,1,260,77,84,10,32,23,0,2,2,0,0,8.0,21,118,149,21,63,127,4,3
Antwerp,24.5,43.2,6,6,6.2,55,21,0,1,99,8,2106,2623,860,960,923,1049,267,464,37,145,39,8,188,79,186,99,56,49,38,12,53,118,65,82,46,111,5,3278,494,1266,1360,681,97,3277,105,56,2083,66,18,92,59,2081,15,2,1,58,43,12,0,1,1,283,47,72,17,36,20,0,1,1,0,0,12.4,40,111,230,30,42,68,9,3
Arsenal,25.2,56.5,10,19,13.4,120,42,1,1,217,33,4853,5688,2462,2692,1950,2157,290,532,99,351,83,9,449,196,442,142,77,34,73,35,67,150,83,100,69,127,1,6715,520,1725,3356,1691,269,6714,205,95,4466,143,64,172,99,4800,13,0,0,130,109,15,0,1,0,435,120,96,8,28,20,4,1,1,0,0,7.2,43,109,273,47,63,99,14,16
Atlético Madrid,29.4,49.1,10,20,16.7,136,52,0,1,251,29,5106,6091,2562,2781,1969,2263,437,749,107,355,102,22,413,171,412,142,98,83,39,20,80,175,95,154,85,210,4,7187,685,2364,3224,1642,272,7186,146,67,4057,137,56,127,52,5079,25,1,1,115,85,14,1,0,1,500,86,118,13,49,37,2,0,0,0,0,11.8,34,99,207,46,71,140,11,3
Barcelona,26.5,54.2,10,19,16.9,158,55,0,0,273,34,4822,5686,2078,2305,2195,2449,483,725,117,405,89,13,476,228,472,161,110,61,68,32,76,156,80,118,76,168,5,6761,642,1849,3067,1904,290,6761,241,119,4343,168,74,143,90,4780,30,2,1,104,115,11,0,1,0,464,120,97,14,41,27,2,1,1,0,0,13.6,41,89,302,36,62,109,5,14
Bayern Munich,27.6,54.4,12,21,19.0,166,48,3,3,304,37,6193,7143,2601,2833,2939,3200,561,865,134,456,105,12,559,293,553,195,131,100,71,24,92,212,120,144,107,184,3,8340,795,2787,3726,1916,305,8337,251,147,5035,202,77,167,105,6145,15,1,0,122,121,20,2,3,0,570,110,105,13,40,27,4,3,3,0,0,16.1,47,107,402,48,81,113,4,13
Benfica,26.3,49.0,6,7,7.8,71,27,0,0,124,13,2390,3017,1132,1299,924,1111,232,398,50,184,38,6,210,104,209,129,78,70,46,13,73,145,72,74,52,114,2,3757,435,1236,1657,902,130,3756,128,60,2195,91,25,77,71,2377,9,2,0,49,75,9,0,4,0,340,75,88,11,34,23,0,4,2,0,2,14.6,23,58,140,24,55,72,3,6
Braga,27.7,53.2,6,6,8.3,89,20,0,1,160,11,2848,3371,1315,1434,1168,1289,287,472,71,241,60,21,276,112,273,109,61,52,42,15,56,112,56,65,45,95,1,4021,377,1101,1912,1037,162,4020,103,53,2590,94,24,79,53,2832,10,1,0,62,66,6,1,0,2,279,60,90,12,32,22,0,0,0,0,0,10.6,26,71,173,27,40,82,1,9
Celtic,26.3,47.2,6,5,4.9,45,21,1,1,82,10,2872,3405,1308,1447,1325,1478,197,344,37,159,34,5,225,72,220,86,49,45,31,10,50,107,57,82,45,124,0,4078,524,1633,1776,695,74,4077,117,45,2438,62,10,113,53,2851,16,3,1,51,71,10,1,2,0,269,63,47,15,38,21,0,2,0,2,0,13.3,11,30,192,36,52,84,1,1
Dortmund,27.2,45.5,13,17,17.2,170,61,1,1,302,31,4890,6080,2236,2575,2037,2324,487,829,134,375,85,16,453,245,449,270,156,160,93,17,155,274,119,177,116,295,5,7670,997,2768,3335,1664,285,7669,244,114,4764,157,63,207,109,4837,23,0,0,133,117,21,1,3,1,669,143,119,11,59,48,6,3,2,1,0,17.0,70,154,392,43,120,208,8,1
FC Copenhagen,27.0,38.8,8,10,9.1,82,26,1,2,146,17,2683,3431,1307,1496,1013,1210,258,492,61,182,53,18,202,110,200,150,87,91,36,23,86,166,80,109,74,195,4,4370,591,1784,1628,1005,144,4368,130,64,2316,76,23,120,60,2661,18,2,2,79,52,10,1,1,0,376,97,130,14,44,30,2,1,1,0,0,13.3,44,123,221,41,67,138,6,3
Feyenoord,24.1,54.5,6,8,10.6,90,30,0,1,156,14,3091,3649,1343,1483,1483,1632,209,364,64,239,68,7,310,118,309,99,67,41,39,19,51,92,41,64,50,58,2,4277,359,1326,1963,1023,158,4276,131,77,2743,87,30,96,50,3069,14,0,0,73,48,13,1,2,2,315,44,41,10,21,13,1,2,2,0,0,9.5,7,30,213,21,36,42,1,12
Galatasaray,28.5,53.2,6,10,9.8,90,25,1,2,163,18,2375,3087,1090,1272,983,1194,231,426,71,198,58,19,271,99,271,120,76,57,43,20,64,129,65,69,61,118,5,3787,327,1108,1747,979,140,3785,120,50,2386,97,22,106,43,2357,12,0,0,72,71,13,2,0,0,367,90,108,13,25,12,0,0,0,0,0,11.7,33,71,198,28,43,66,3,30
Inter,29.0,52.5,8,10,16.2,116,34,3,3,203,16,3867,4655,1673,1889,1762,1979,364,581,90,230,76,30,322,147,320,109,61,53,46,10,42,104,62,88,60,170,2,5531,674,2093,2387,1099,176,5528,128,54,2994,111,24,121,56,3837,17,0,0,83,115,15,2,0,0,411,121,97,7,34,27,4,0,0,0,0,9.1,17,57,303,38,54,116,7,6
Lazio,28.8,44.0,8,8,10.6,91,26,2,2,165,14,3593,4273,1739,1920,1510,1698,288,472,70,240,53,11,328,117,326,112,70,43,59,10,50,135,85,96,72,129,0,5037,523,1690,2384,998,131,5035,126,65,2901,105,28,106,42,3570,24,0,0,84,92,10,2,0,0,365,56,59,10,31,21,3,0,0,0,0,11.1,18,45,186,31,58,88,3,7
Lens,27.2,44.2,6,6,6.1,59,15,1,1,109,12,2005,2609,962,1141,768,947,193,346,48,151,41,14,185,93,184,113,76,56,48,9,63,104,41,65,48,115,2,3251,391,1094,1565,622,97,3250,89,32,2163,68,19,76,56,1990,25,1,1,75,83,18,1,2,0,298,82,77,11,32,21,0,2,2,0,0,10.0,40,86,165,27,45,83,7,7
Manchester City,26.1,69.6,10,28,24.6,213,79,3,3,397,53,7330,8040,3775,3994,2958,3152,481,635,162,604,144,18,636,346,627,117,72,38,56,23,59,111,52,65,50,98,3,8916,495,1666,4377,2930,429,8913,218,103,5587,265,103,116,95,7232,10,0,0,74,125,10,3,0,1,431,89,62,13,27,15,1,0,0,0,0,9.8,37,67,381,47,40,61,4,14
Manchester Utd,26.3,46.3,6,12,10.5,70,26,1,1,122,20,2254,2813,1047,1187,927,1073,211,407,49,150,41,8,214,102,213,76,50,39,31,6,32,86,54,83,57,97,5,3444,391,1159,1528,801,126,3443,125,56,2022,74,33,86,49,2224,13,2,1,65,57,7,0,4,0,286,81,52,15,35,19,1,4,2,1,1,12.9,39,94,190,26,39,77,2,2
Milan,26.4,43.7,6,5,9.6,94,27,0,1,175,9,1968,2434,855,965,830,972,231,362,72,155,50,17,204,132,202,106,61,54,37,15,48,91,43,65,42,107,1,3117,357,1019,1355,785,142,3116,141,70,1973,86,29,94,49,1951,17,0,0,71,73,7,0,1,0,267,62,59,8,27,19,2,1,1,0,0,6.9,33,63,142,31,47,70,4,9
Napoli,27.1,53.5,8,10,10.5,108,32,1,1,199,18,3790,4554,1921,2147,1442,1656,329,512,84,236,78,12,352,169,349,120,64,58,52,10,60,129,69,89,75,152,1,5420,572,1619,2569,1280,200,5419,172,79,3171,113,41,104,68,3770,14,0,0,93,97,15,0,0,1,374,118,112,13,45,33,2,0,0,0,0,11.0,22,46,183,38,81,123,3,9
Newcastle Utd,27.6,45.5,6,6,5.9,62,25,0,0,107,10,2020,2544,906,1038,861,1003,214,392,45,142,46,6,232,92,229,100,71,52,35,13,54,110,56,88,37,123,1,3218,356,1020,1419,817,110,3218,110,29,1796,88,13,82,50,2005,11,0,0,66,80,6,0,1,0,291,60,55,7,32,25,1,1,1,0,0,11.1,25,69,113,33,50,79,6,6
Paris S-G,24.5,64.3,12,19,24.3,211,63,3,3,388,31,6727,7782,2906,3223,3070,3362,584,863,171,551,146,20,667,378,664,192,120,93,71,28,96,214,118,114,98,157,7,9093,713,2430,4087,2651,405,9090,311,144,7123,255,133,181,110,6674,30,0,0,134,126,32,1,0,0,613,101,126,15,52,37,3,0,0,0,0,14.8,31,72,274,45,80,108,2,18
Porto,26.4,47.9,8,16,11.4,103,45,1,1,182,25,3051,3771,1287,1470,1303,1473,342,581,76,196,76,17,292,132,287,161,93,86,54,21,60,131,71,81,69,142,4,4678,587,1670,2054,1001,199,4677,158,69,2994,73,33,126,50,3010,15,0,0,94,117,13,1,0,1,381,96,94,9,28,20,2,0,0,0,0,5.9,39,118,313,37,61,86,8,14
PSV Eindhoven,25.6,51.8,8,8,11.0,124,42,2,2,232,15,3151,3937,1407,1592,1292,1489,352,604,103,281,70,20,347,174,343,131,84,58,58,15,63,124,61,99,65,104,1,4861,489,1540,2121,1242,189,4859,179,93,2927,115,57,140,71,3121,13,0,0,86,81,16,2,0,0,437,97,113,13,34,21,1,0,0,0,0,10.9,33,86,205,27,65,89,1,6
RB Leipzig,25.6,46.5,8,14,12.2,124,41,0,0,223,27,3187,3885,1517,1710,1316,1494,277,465,99,192,69,16,231,151,230,154,91,88,47,19,80,177,97,104,75,136,6,4780,602,1834,1972,1022,162,4780,114,61,2924,111,37,107,56,3160,18,0,0,88,98,18,0,0,1,381,70,78,12,30,19,0,0,0,0,0,10.6,26,54,278,26,65,90,0,8
RB Salzburg,22.3,43.0,6,4,7.4,71,22,1,2,125,7,1945,2553,809,955,841,1012,244,444,50,138,42,9,203,116,201,119,72,64,43,12,58,128,70,98,60,135,1,3332,458,1264,1415,704,122,3330,110,52,2177,80,26,86,66,1922,16,0,0,79,54,10,1,2,0,348,81,100,8,33,25,2,2,2,0,0,9.7,33,86,202,20,54,87,3,7
Real Madrid,27.2,53.1,13,26,25.1,212,72,1,2,392,48,7063,7994,3635,3856,2686,2926,546,836,175,548,110,21,560,298,554,199,118,107,68,24,81,175,94,136,95,220,3,9364,899,2711,4451,2288,348,9362,275,135,6485,232,104,146,131,7012,22,0,0,129,133,17,1,3,0,523,140,106,15,63,47,4,3,2,1,0,17.0,40,108,323,70,100,171,15,5
