Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Penalties Winner,Efficiency,% Saves,% Long Passes,% Crosses Stopped
Jak Alnwick,eng ENG,Goalkeeper,Cardiff City,30,1993,24,24,2160,1.38,3.96,2.62,0.29,0.04,0.0,0.0,0.04,1.27,7.04,20.04,29.46,3.08,7.17,13.88,0.42,0.71,0.04,-0.1,66.16,35.13,3.03
Jakub Stolarczyk,pl POL,Goalkeeper,Leicester City,22,2000,2,2,180,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.3,1.0,7.5,36.0,5.0,3.0,15.5,1.0,0.0,0.0,0.3,100.0,13.33,6.45
James Beadle,eng ENG,Goalkeeper,Sheffield Weds,19,2004,19,19,1710,1.26,3.95,2.74,0.42,0.05,0.0,0.0,0.05,1.19,4.84,17.53,31.53,4.11,7.05,13.79,0.74,1.21,0.05,-0.07,69.37,27.61,5.37
James Pantemis,ca CAN,Goalkeeper,Portland Timbers,26,1997,15,14,1301,1.25,4.01,2.77,0.35,0.07,0.0,0.07,0.0,1.39,5.26,15.22,31.06,3.18,6.5,14.67,0.55,1.11,0.07,0.15,69.08,34.56,3.75
Jandrei,br BRA,Goalkeeper,São Paulo,30,1993,13,13,1170,1.23,4.31,3.15,0.31,0.08,0.08,0.0,0.0,0.82,5.46,13.38,32.38,4.62,7.54,15.0,1.08,0.38,0.0,-0.41,73.09,40.81,7.2
Jasper Cillessen,nl NED,Goalkeeper,NEC Nijmegen,34,1989,30,30,2640,1.57,4.94,3.34,0.17,0.2,0.17,0.03,0.0,1.58,5.8,16.77,26.45,4.81,9.38,18.24,0.95,0.78,0.03,0.01,67.61,34.59,5.21
Jasper Schendelaar,nl NED,Goalkeeper,Zwolle,22,2000,32,32,2880,2.0,5.78,3.84,0.16,0.28,0.22,0.06,0.0,1.88,7.75,19.78,34.84,5.72,7.5,17.16,1.03,0.94,0.06,-0.12,66.44,39.18,6.0
Javier Burrai,ec ECU,Goalkeeper,ec Barcelona,33,1990,6,6,540,1.5,3.17,1.67,0.17,0.17,0.17,0.0,0.0,0.83,4.5,10.17,23.0,3.0,9.17,13.5,0.33,0.0,0.0,-0.67,52.68,44.25,2.44
Javier Otero,ve VEN,Goalkeeper,Orlando City,21,2002,1,0,62,4.35,4.35,0.0,0.0,0.0,0.0,0.0,0.0,3.05,4.35,10.16,23.23,5.81,7.26,5.81,1.45,1.45,0.0,-1.31,0.0,42.81,24.96
Jay Gorter,nl NED,Goalkeeper,Ajax,23,2000,8,7,665,2.3,4.74,2.44,0.14,0.14,0.0,0.0,0.14,1.87,4.47,11.77,35.05,5.14,6.09,12.32,0.95,0.95,0.14,-0.43,51.48,37.98,7.71
Jean,br BRA,Goalkeeper,py Cerro Porteño,28,1995,6,6,540,0.83,3.67,2.83,0.33,0.17,0.17,0.0,0.0,1.05,6.83,17.17,18.83,2.33,8.0,12.83,0.67,0.5,0.0,0.22,77.11,39.78,5.22
