Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Defensive Actions Outside Penalty Area,Penalties Winner,Efficiency
Joachim Imbrechts,SWE,Goalkeeper,Union SG,,2001,1,0,21,0,1,1,0,0,0,0,0,0.2,0,1,5,3,0,4,0,0,0,0.2
Joe Walsh,ENG,Goalkeeper,QPR,,2002,1,1,90,1,6,5,0,0,0,0,0,1.9,4,17,44,5,3,23,2,0,0,0.8999999999999999
Joe Willis,USA,Goalkeeper,Nashville SC,,1988,30,29,2626,44,132,91,8,3,2,0,1,39.8,145,371,709,152,223,384,24,22,1,-4.200000000000003
Joel Drommel,NED,Goalkeeper,PSV Eindhoven,,1996,1,1,90,1,5,4,0,0,0,0,0,1.5,4,6,29,7,7,7,0,4,0,0.5
John,BRA,Goalkeeper,br Botafogo (RJ),,1996,44,44,3990,35,148,112,19,7,5,1,1,41.1,165,493,1125,151,309,638,32,51,2,6.1
John McCarthy,USA,Goalkeeper,LA Galaxy,,1992,32,32,2880,48,172,124,6,5,4,1,0,51.7,88,328,707,145,227,478,22,10,1,3.700000000000003
John Pulskamp,USA,Goalkeeper,Sporting KC,,2001,6,6,540,13,23,11,0,0,0,0,0,8.9,17,64,107,20,39,67,1,5,0,-4.1
John Ruddy,ENG,Goalkeeper,Birmingham City,,1986,44,44,3960,62,210,150,11,0,0,0,0,57.1,301,838,1251,259,371,681,79,46,0,-4.899999999999999
Jonathan Sirois,CAN,Goalkeeper,CF Montréal,,2001,33,33,2970,62,172,111,8,4,4,0,0,61.5,74,272,1003,225,258,499,27,45,0,-0.5
Jorge Broun,ARG,Goalkeeper,ar Rosario Central,,1986,30,30,2700,34,121,88,7,3,3,0,0,31.1,139,372,562,120,228,363,20,10,0,-2.8999999999999986
Josh Cohen,USA,Goalkeeper,Atlanta Utd,,1992,3,2,209,5,10,6,0,0,0,0,0,1.5,15,24,74,14,9,25,1,0,0,-3.5
Josue Reinatti,ARG,Goalkeeper,Newell's OB,,2003,3,3,270,2,6,4,1,0,0,0,0,1.7,14,59,67,10,35,45,3,0,0,-0.30000000000000004
José Antonio Rodríguez,MEX,Goalkeeper,Tijuana,,1992,28,28,2475,46,138,92,3,4,2,1,1,46.4,150,342,635,87,193,314,16,23,2,0.3999999999999986
José Corona,MEX,Goalkeeper,Tijuana,,1981,7,6,585,10,33,23,1,1,1,0,0,9.5,35,79,150,26,58,77,2,4,0,-0.5
José Eulogio,MEX,Goalkeeper,Pachuca,,2004,2,2,180,4,8,4,0,0,0,0,0,3.2,4,17,35,10,23,23,1,1,0,-0.7999999999999998
José Rangel Aguilar,MEX,Goalkeeper,Guadalajara,,2000,19,19,1635,18,72,54,6,4,3,0,1,18.9,64,178,435,80,123,224,18,13,1,0.8999999999999986
João Gonçalves,POR,Goalkeeper,Boavista,,2000,34,34,3060,62,172,111,3,6,4,0,2,58.3,138,424,616,148,316,517,21,24,2,-3.700000000000003
