Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Defensive Actions Outside Penalty Area,Penalties Winner,Efficiency
Hobie Verhulst,NED,Goalkeeper,AZ Alkmaar,,1993,1,1,90,4,8,4,0,1,1,0,0,3.5,13,26,37,3,9,12,0,0,0,-0.5
Hugo González Durán,MEX,Goalkeeper,Mazatlán,,1990,29,29,2548,48,143,94,6,5,1,2,2,48.5,178,433,793,147,269,482,31,19,4,0.5
Hugo Lloris,FRA,Goalkeeper,LAFC,,1986,33,33,2970,40,130,92,12,3,1,1,1,38.2,166,436,873,123,223,474,29,26,2,-1.7999999999999972
Hugo Souza,BRA,Goalkeeper,Corinthians,,1999,48,48,4320,76,237,159,11,10,8,2,0,78.6,240,646,990,236,418,762,37,28,2,2.6000000000000014
Héctor Holguín,MEX,Goalkeeper,Santos,,2001,4,2,245,5,16,10,0,1,0,1,0,5.1,16,37,44,8,30,40,1,1,1,0.09999999999999964
Ignacio Arce,ARG,Goalkeeper,Deportivo Riestra,,1992,25,25,2250,25,115,90,12,4,4,0,0,33.3,250,684,641,33,227,569,40,28,0,8.299999999999997
Ignacio Chicco,ARG,Goalkeeper,Belgrano,,1996,8,7,656,8,25,17,2,0,0,0,0,7.0,29,79,191,34,44,113,9,10,0,-1.0
Ignacio De Arruabarrena,URU,Goalkeeper,Arouca,,1997,31,31,2790,45,142,96,4,9,7,1,1,48.0,109,367,945,200,222,446,39,57,2,3.0
Illan Meslier,FRA,Goalkeeper,Leeds United,,2000,44,44,3922,40,121,83,18,1,1,0,0,34.9,98,397,1732,193,160,489,24,50,0,-5.100000000000001
Isaac Boehmer,USA,Goalkeeper,Vancouver W'caps,,2001,1,1,90,2,6,5,0,0,0,0,0,1.6,5,23,27,2,9,22,0,0,0,-0.3999999999999999
Ivan Zlobin,RUS,Goalkeeper,Famalicão,,1997,1,1,90,2,4,2,0,0,0,0,0,1.4,1,2,13,6,3,11,1,0,0,-0.6000000000000001
Ivor Pandur,CRO,Goalkeeper,Fortuna Sittard,,2000,16,16,1440,28,78,51,4,2,2,0,0,25.9,89,247,426,65,125,225,23,13,0,-2.1000000000000014
Jack Bonham,IRL,Goalkeeper,Stoke City,,1993,14,14,1260,19,59,41,5,3,3,0,0,20.5,77,241,423,84,104,239,16,10,0,1.5
Jacob Chapman,AUS,Goalkeeper,Huddersfield,,2000,2,1,139,2,4,1,1,1,0,1,0,1.6,4,29,45,7,15,15,0,2,1,-0.3999999999999999
Jacob Jackson,USA,Goalkeeper,SJ Earthquakes,,2000,3,3,270,9,18,9,0,0,0,0,0,5.2,9,32,70,16,30,41,2,2,0,-3.8
Jak Alnwick,ENG,Goalkeeper,Cardiff City,,1993,24,24,2160,33,95,63,7,1,0,0,1,30.5,169,481,707,74,172,333,10,17,1,-2.5
Jakub Stolarczyk,POL,Goalkeeper,Leicester City,,2000,2,2,180,0,4,4,2,0,0,0,0,0.6,2,15,72,10,6,31,2,0,0,0.6
James Beadle,ENG,Goalkeeper,Sheffield Weds,,2004,19,19,1710,24,75,52,8,1,0,0,1,22.7,92,333,599,78,134,262,14,23,1,-1.3000000000000007
James Pantemis,CAN,Goalkeeper,Portland Timbers,,1997,15,14,1301,18,58,40,5,1,0,1,0,20.1,76,220,449,46,94,212,8,16,1,2.1000000000000014
Jandrei,BRA,Goalkeeper,São Paulo,,1993,13,13,1170,16,56,41,4,1,1,0,0,10.7,71,174,421,60,98,195,14,5,0,-5.300000000000001
Jasper Cillessen,NED,Goalkeeper,NEC Nijmegen,,1989,30,30,2640,46,145,98,5,6,5,1,0,46.2,170,492,776,141,275,535,28,23,1,0.20000000000000284
Jasper Schendelaar,NED,Goalkeeper,Zwolle,,2000,32,32,2880,64,185,123,5,9,7,2,0,60.1,248,633,1115,183,240,549,33,30,2,-3.8999999999999986
Javier Burrai,ECU,Goalkeeper,ec Barcelona,,1990,6,6,540,9,19,10,1,1,1,0,0,5.0,27,61,138,18,55,81,2,0,0,-4.0
Javier Otero,VEN,Goalkeeper,Orlando City,,2002,1,0,62,3,3,0,0,0,0,0,0,2.1,3,7,16,4,5,4,1,1,0,-0.8999999999999999
Jay Gorter,NED,Goalkeeper,Ajax,,2000,8,7,665,17,35,18,1,1,0,0,1,13.8,33,87,259,38,45,91,7,7,1,-3.1999999999999993
Jean,BRA,Goalkeeper,py Cerro Porteño,,1995,6,6,540,5,22,17,2,1,1,0,0,6.3,41,103,113,14,48,77,4,3,0,1.2999999999999998
Jean Butez,FRA,Goalkeeper,Antwerp,,1995,30,30,2700,27,97,71,12,5,5,0,0,28.3,173,459,1276,152,131,340,36,45,0,1.3000000000000007
Jeffrey De Lange,NED,Goalkeeper,Go Ahead Eag,,1998,34,34,3060,46,180,135,11,2,2,0,0,46.2,219,651,1211,127,223,670,17,32,0,0.20000000000000284
Jeremías Ledesma,ARG,Goalkeeper,River Plate,,1993,4,4,360,3,18,15,2,0,0,0,0,3.5,11,26,102,30,26,53,2,3,0,0.5
Jeroen Houwen,NED,Goalkeeper,RKC Waalwijk,,1996,4,3,322,5,19,14,0,1,1,0,0,5.4,23,79,118,23,37,64,0,3,0,0.40000000000000036
Jeroen Zoet,NED,Goalkeeper,Spezia,,1991,25,25,2250,29,100,71,7,4,3,1,0,28.6,127,343,511,90,198,371,21,23,1,-0.3999999999999986
Jerónimo Pourtau,ARG,Goalkeeper,Sarmiento,,2000,3,3,270,4,11,7,0,0,0,0,0,2.2,10,62,43,3,29,41,2,0,0,-1.7999999999999998
Jesse Joronen,FIN,Goalkeeper,Venezia,,1993,29,29,2610,36,107,71,10,4,3,1,0,32.9,102,301,770,149,192,420,13,18,1,-3.1000000000000014
Jesús Camargo,VEN,Goalkeeper,ve Dep Táchira,,1997,4,4,360,6,23,16,0,1,0,1,0,10.5,30,78,86,25,56,86,9,2,1,4.5
Jesús Rodríguez,MEX,Goalkeeper,Puebla,,1993,34,34,3060,68,194,126,3,7,6,1,0,61.3,179,404,970,167,346,541,29,15,1,-6.700000000000003
Jhonatan,BRA,Goalkeeper,Rio Ave,,1991,26,26,2340,30,118,88,9,3,1,1,1,34.1,101,298,724,134,224,440,34,25,2,4.100000000000001
Jimmy Maurer,USA,Goalkeeper,FC Dallas,,1988,4,4,360,4,21,17,2,0,0,0,0,6.6,21,41,151,17,11,56,0,3,0,2.5999999999999996
Jo Coppens,BEL,Goalkeeper,Sint-Truiden,,1990,4,4,360,8,14,6,0,0,0,0,0,5.6,9,37,185,19,14,54,4,3,0,-2.4000000000000004
