Player,Nationality,Team,League,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total),Matches,% Saves,% Long Passes,% Crosses Stopped
Oliver Petersen,NOR,Molde,"UEFA Europa Conference League, UEFA Europa League",GK,Goalkeeper,22,770,4.56,1.75,2.92,1.38,-0.37,0.23,2.69,10.05,27.47,4.44,795.76,7.95,243.67,14.49,0.94,0.94,16.12,1,64.04,26.77,6.49
Olivier Giroud,FRA,Milan,Italian Serie A,GK,Goalkeeper,37,1,0.0,0.0,0.0,0.0,0.0,90.0,90.0,90.0,180.0,0.0,6660.0,0.0,0.0,270.0,0.0,0.0,0.0,1,,100.0,0.0
Omri Glazer,ISR,Red Star,UEFA Champions League,GK,Goalkeeper,27,540,7.5,2.5,5.17,2.53,0.03,0.0,5.0,10.17,20.67,2.67,701.7,8.83,298.17,14.0,0.17,0.83,13.08,1,68.93,49.16,1.21
Orlando Mosquera,PAN,Maccabi Tel Aviv,UEFA Europa Conference League,GK,Goalkeeper,28,360,6.25,1.25,5.0,1.98,0.72,0.0,5.5,17.25,36.5,5.0,1254.78,6.0,213.0,12.75,1.75,1.5,20.08,1,80.0,31.88,13.73
Pau López,ESP,Marseille,"French Ligue 1, UEFA Europa League",GK,Goalkeeper,29,4108,4.07,1.31,2.78,1.18,-0.14,0.22,3.48,11.76,32.99,3.48,1020.19,4.71,199.86,12.2,0.57,0.74,13.51,1,68.3,29.59,4.67
Paul Nardi,FRA,Gent,UEFA Europa Conference League,GK,Goalkeeper,29,159,3.96,1.13,2.83,0.85,-0.28,0.0,3.4,13.58,23.77,4.53,831.79,5.09,220.58,7.36,0.0,0.0,0.0,1,71.46,25.04,0.0
Paulo Gazzaniga,ARG,Girona,Spanish La Liga,GK,Goalkeeper,32,3420,4.42,1.21,3.18,1.34,0.13,0.32,4.08,11.05,30.0,4.68,899.93,6.47,289.96,14.05,1.08,0.87,15.65,1,71.95,36.92,7.69
Pavao Pervan,AUT,Wolfsburg,German Bundesliga,GK,Goalkeeper,36,810,4.0,1.89,2.22,1.27,-0.62,0.22,4.44,11.56,29.22,4.33,959.64,4.11,162.93,14.11,0.11,0.33,6.78,1,55.5,38.41,0.78
Pepe Reina,ESP,Villarreal,"Spanish La Liga, UEFA Europa League",GK,Goalkeeper,41,810,3.89,1.44,2.44,1.38,-0.07,0.22,3.0,9.44,32.33,5.11,943.73,5.22,178.68,14.33,0.56,0.33,7.22,1,62.72,31.78,3.91
Peter Abrahamsson,SWE,Häcken,UEFA Europa League,GK,Goalkeeper,35,540,5.67,2.83,2.83,2.17,-0.67,0.0,3.17,7.0,22.67,5.0,637.18,8.0,175.07,9.17,0.17,1.67,44.78,1,49.91,45.29,1.85
Peter Vindahl Jensen,DEN,Sparta Prague,UEFA Europa League,GK,Goalkeeper,26,900,5.7,2.2,3.5,1.6,-0.6,0.2,5.1,15.6,37.4,5.0,1175.4,7.4,339.88,11.1,0.5,1.3,29.16,1,61.4,32.69,4.5
Philipp Köhn,SUI,Monaco,French Ligue 1,GK,Goalkeeper,25,1980,4.41,1.45,2.95,1.45,0.0,0.23,3.73,11.32,24.36,4.14,781.62,5.91,257.04,12.82,1.0,0.86,13.79,1,66.89,32.95,7.8
Pierluigi Gollini,ITA,Napoli,Italian Serie A,GK,Goalkeeper,28,630,3.43,1.14,2.29,1.16,0.01,0.14,3.86,9.71,30.43,4.0,898.91,7.57,274.93,11.71,0.71,1.29,22.89,1,66.76,39.75,6.06
Pietro Terracciano,ITA,Fiorentina,"Italian Serie A, UEFA Europa Conference League",GK,Goalkeeper,34,3780,3.55,1.07,2.45,1.15,0.08,0.26,4.74,10.86,31.14,3.74,984.66,5.26,197.06,8.81,0.33,0.64,13.85,1,69.01,43.65,3.75
Predrag Rajković,SRB,Mallorca,Spanish La Liga,GK,Goalkeeper,28,3240,3.83,1.19,2.64,1.16,-0.04,0.25,8.94,22.08,26.28,3.25,1174.0,8.33,452.36,13.94,0.92,0.78,15.44,1,68.93,40.49,6.6
Péter Gulácsi,HUN,RB Leipzig,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,34,1440,3.12,0.75,2.44,0.81,0.06,0.31,1.38,5.5,28.31,4.19,704.64,7.44,232.27,12.94,0.44,1.06,20.15,1,78.21,25.09,3.4
Radosław Majecki,POL,Monaco,French Ligue 1,GK,Goalkeeper,24,1080,4.5,0.83,3.75,1.23,0.39,0.58,3.25,10.08,24.67,5.67,790.58,6.67,222.34,13.33,1.08,0.58,7.52,1,83.33,32.24,8.1
Raffaele Di Gennaro,ITA,Inter,Italian Serie A,GK,Goalkeeper,30,23,15.65,0.0,15.65,1.96,1.96,3.91,3.91,7.83,58.7,11.74,1479.13,3.91,39.13,15.65,0.0,0.0,0.0,1,100.0,49.94,0.0
Raúl Fernández,ESP,Granada,Spanish La Liga,GK,Goalkeeper,35,280,5.46,3.54,2.25,2.51,-1.03,0.0,4.5,15.11,27.32,3.21,976.28,5.46,339.11,11.57,1.29,3.54,62.71,1,41.21,29.78,11.15
Remi Matthews,ENG,Crystal Palace,English Premier League,GK,Goalkeeper,29,4,22.5,22.5,0.0,2.25,-20.25,0.0,0.0,112.5,90.0,0.0,4842.0,22.5,1417.5,22.5,22.5,0.0,0.0,1,0.0,0.0,100.0
Robert Sánchez,ESP,Chelsea,English Premier League,GK,Goalkeeper,26,1433,4.9,1.57,3.27,1.53,-0.04,0.19,3.83,9.23,32.41,5.46,910.26,5.72,192.71,12.69,1.19,1.7,29.76,1,66.73,41.5,9.38
Robin Olsen,SWE,Aston Villa,"English Premier League, UEFA Europa Conference League",GK,Goalkeeper,34,585,6.46,2.77,3.54,2.15,-0.62,0.0,3.38,9.69,40.0,4.77,1058.62,6.15,209.06,9.23,0.92,0.15,3.54,1,54.8,34.88,9.97
Robin Zentner,GER,Mainz 05,German Bundesliga,GK,Goalkeeper,29,2700,4.27,1.6,2.7,1.64,0.04,0.23,6.0,17.07,28.73,4.87,1106.12,5.9,273.68,13.1,1.4,1.6,31.28,1,63.23,35.15,10.69
Roei Mashpati,ISR,Maccabi Tel Aviv,UEFA Europa Conference League,GK,Goalkeeper,31,360,5.75,2.75,3.0,2.05,-0.7,0.0,3.0,15.25,26.25,5.25,961.78,8.75,298.85,18.75,0.5,0.25,3.75,1,52.17,19.67,2.67
Rome-Jayden Owusu-Oduro,NED,AZ Alkmaar,UEFA Europa Conference League,GK,Goalkeeper,19,90,5.0,2.0,3.0,1.7,-0.3,0.0,9.0,21.0,34.0,1.0,1268.2,2.0,32.0,6.0,0.0,0.0,0.0,1,60.0,42.86,0.0
Rubén Blanco,ESP,Marseille,"French Ligue 1, UEFA Europa League",GK,Goalkeeper,28,212,3.4,1.27,2.12,0.98,-0.3,0.0,3.4,9.34,31.42,3.4,838.91,5.94,209.8,12.74,1.7,1.27,28.87,1,62.35,36.4,13.34
Rui Patrício,POR,Roma,Italian Serie A,GK,Goalkeeper,35,2070,3.22,1.17,2.13,1.03,-0.15,0.26,3.91,9.17,21.39,3.74,663.07,5.96,207.79,13.43,0.7,0.35,6.87,1,66.15,42.64,5.21
Rui Silva,POR,Betis,"Spanish La Liga, UEFA Europa Conference League, UEFA Europa League",GK,Goalkeeper,30,3015,3.97,1.28,2.72,1.28,0.0,0.3,4.39,12.93,27.22,4.09,897.78,6.87,282.31,12.63,1.04,1.28,26.39,1,68.51,33.95,8.23
Rémy Descamps,FRA,Nantes,French Ligue 1,GK,Goalkeeper,27,540,6.17,1.83,4.33,2.12,0.28,0.17,8.5,20.83,23.5,4.67,946.3,11.83,589.53,19.33,1.33,0.0,0.0,1,70.18,40.81,6.88
Rémy Riou,FRA,Lyon,French Ligue 1,GK,Goalkeeper,36,270,4.67,2.0,2.67,1.57,-0.43,0.33,1.67,8.0,27.0,4.33,703.73,7.67,298.7,10.67,1.0,1.0,13.37,1,57.17,20.88,9.37
Sam Johnstone,ENG,Crystal Palace,English Premier League,GK,Goalkeeper,30,1796,3.36,1.35,2.05,1.0,-0.35,0.3,5.86,17.79,22.7,3.16,934.49,7.07,372.88,16.99,1.2,0.6,9.17,1,61.01,32.94,7.06
Samuele Perisan,ITA,Empoli,Italian Serie A,GK,Goalkeeper,26,90,5.0,2.0,3.0,0.7,-1.3,0.0,1.0,8.0,22.0,8.0,578.6,12.0,355.2,18.0,0.0,1.0,21.0,1,60.0,12.5,0.0
Senne Lammens,BEL,Antwerp,UEFA Champions League,GK,Goalkeeper,21,90,6.0,2.0,4.0,1.9,-0.1,0.0,6.0,33.0,44.0,4.0,1834.8,12.0,681.6,16.0,1.0,0.0,0.0,1,66.67,18.18,6.25
Sergio Herrera,ESP,Osasuna,Spanish La Liga,GK,Goalkeeper,30,2869,4.14,1.47,2.64,1.42,-0.1,0.28,8.85,20.64,30.15,3.14,1219.27,6.96,356.77,14.68,0.91,1.35,28.59,1,63.77,42.88,6.2
Sergio Padt,NED,Ludogorets,UEFA Europa Conference League,GK,Goalkeeper,33,450,4.4,1.8,2.8,1.54,-0.26,0.4,5.2,15.4,28.0,3.4,939.88,10.2,446.88,15.0,0.2,1.6,41.36,1,63.64,33.77,1.33
Shareef Keouf,ISR,Maccabi Haifa,"UEFA Europa Conference League, UEFA Europa League",GK,Goalkeeper,22,810,5.0,1.33,3.67,1.31,-0.02,0.33,6.33,17.78,26.0,3.78,1010.58,9.56,425.41,23.22,0.89,0.67,8.26,1,73.4,35.6,3.83
Simon Mignolet,BEL,Club Brugge,UEFA Europa Conference League,GK,Goalkeeper,36,720,2.38,0.5,1.88,0.62,0.12,0.5,4.75,10.62,32.12,4.0,936.31,5.62,206.45,11.38,1.0,1.38,32.64,1,78.99,44.73,8.79
Simon Sluga,CRO,Ludogorets,UEFA Europa Conference League,GK,Goalkeeper,30,270,3.33,1.0,2.33,0.9,-0.1,0.67,3.33,11.33,25.33,5.33,804.13,6.67,371.33,9.0,0.67,0.67,14.67,1,69.97,29.39,7.44
Simone Aresti,ITA,Cagliari,Italian Serie A,GK,Goalkeeper,38,1,90.0,90.0,0.0,90.0,0.0,0.0,0.0,90.0,90.0,0.0,5760.0,0.0,0.0,270.0,0.0,0.0,0.0,1,0.0,0.0,0.0
Simone Perilli,ITA,Hellas Verona,Italian Serie A,GK,Goalkeeper,29,90,10.0,2.0,8.0,2.7,0.7,0.0,8.0,28.0,32.0,2.0,1584.0,5.0,310.0,5.0,0.0,2.0,36.0,1,80.0,28.57,0.0
Simone Scuffet,ITA,Cagliari,Italian Serie A,GK,Goalkeeper,27,2789,4.16,1.77,2.45,1.46,-0.32,0.1,5.2,14.59,22.07,3.42,819.92,7.84,368.11,15.55,0.71,0.65,10.63,1,58.89,35.64,4.57
Stefan Ortega,GER,Manchester City,"English Premier League, UEFA Champions League",GK,Goalkeeper,31,905,4.08,1.39,2.78,1.33,-0.06,0.4,4.48,10.54,40.38,4.18,1093.48,3.18,129.37,8.25,0.6,2.09,41.74,1,68.14,42.5,7.27
Stefano Turati,ITA,Frosinone,Italian Serie A,GK,Goalkeeper,22,2745,4.98,1.9,3.08,1.57,-0.33,0.13,2.36,10.36,30.13,4.82,879.57,4.72,182.99,13.51,0.59,0.62,12.53,1,61.85,22.78,4.37
Steve Mandanda,FRA,Rennes,"French Ligue 1, UEFA Europa League",GK,Goalkeeper,39,3690,4.24,1.37,2.95,1.21,-0.16,0.22,3.76,11.39,29.51,4.41,913.74,5.56,233.0,12.63,1.0,0.98,19.88,1,69.58,33.01,7.92
Stole Dimitrievski,MKD,Rayo Vallecano,Spanish La Liga,GK,Goalkeeper,30,3330,4.05,1.27,2.81,1.26,-0.01,0.35,4.54,16.16,25.08,4.62,988.7,7.22,349.35,14.3,0.62,1.03,18.17,1,69.38,28.09,4.34
Sven Ulreich,GER,Bayern Munich,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,35,1260,3.07,1.21,1.86,1.23,0.01,0.29,2.79,8.29,33.29,5.07,902.07,4.71,119.16,10.21,0.43,1.29,29.59,1,60.59,33.66,4.21
Thibaut Courtois,BEL,Real Madrid,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,32,422,3.84,0.0,3.84,0.83,0.62,0.85,2.35,5.12,26.87,6.4,706.33,4.27,126.9,13.44,0.64,1.07,17.96,1,100.0,45.9,4.76
Thomas Kaminski,BEL,Luton Town,English Premier League,GK,Goalkeeper,31,3405,5.84,2.25,3.7,2.06,-0.19,0.05,7.16,21.36,29.63,3.96,1171.5,9.01,428.09,14.75,0.42,2.01,49.9,1,63.36,33.52,2.85
Thomas Strakosha,ALB,Brentford,English Premier League,GK,Goalkeeper,28,135,5.33,1.33,4.0,1.0,-0.33,0.67,8.0,20.0,37.33,3.33,1335.0,10.0,398.67,24.67,1.33,0.67,7.8,1,75.05,40.0,5.39
Timon Wellenreuther,GER,Feyenoord,"UEFA Champions League, UEFA Europa League",GK,Goalkeeper,28,360,3.25,1.25,2.0,1.0,-0.25,0.25,3.5,12.0,42.0,6.25,1242.9,4.75,153.48,11.5,0.5,1.75,36.0,1,61.54,29.17,4.35
Tobias Lawal,AUT,LASK,UEFA Europa League,GK,Goalkeeper,23,540,4.67,2.0,2.67,2.02,0.02,0.17,3.67,14.5,22.33,3.0,738.52,10.5,475.77,12.83,0.33,1.5,24.3,1,57.17,25.31,2.57
Tommaso Martinelli,ITA,Fiorentina,Italian Serie A,GK,Goalkeeper,18,90,3.0,2.0,1.0,1.4,-0.6,0.0,4.0,15.0,40.0,3.0,1292.0,9.0,288.0,14.0,0.0,0.0,0.0,1,33.33,26.67,0.0
Tomáš Koubek,CZE,Augsburg,German Bundesliga,GK,Goalkeeper,31,270,8.33,2.67,5.67,2.23,-0.43,0.0,5.33,13.33,24.67,2.0,852.07,8.0,372.57,12.0,0.67,0.67,11.73,1,68.07,39.98,5.58
Unai Marrero,ESP,Real Sociedad,Spanish La Liga,GK,Goalkeeper,22,142,3.17,1.9,1.27,1.84,-0.06,0.0,6.34,15.85,23.45,3.17,867.04,5.07,321.46,17.11,0.63,2.54,56.28,1,40.06,40.0,3.68
Unai Simón,ESP,Athletic Club,Spanish La Liga,GK,Goalkeeper,26,3182,3.45,0.93,2.55,1.07,0.12,0.45,6.22,19.2,27.77,4.07,1074.52,6.79,413.71,12.73,0.88,1.3,26.63,1,73.91,32.4,6.91
Vanja Milinković-Savić,SRB,Torino,Italian Serie A,GK,Goalkeeper,27,3240,3.72,0.86,2.86,0.94,0.08,0.5,7.33,21.75,35.78,4.75,1370.31,6.64,442.11,11.31,1.06,1.03,19.21,1,76.88,33.7,9.37
Vaná,BRA,Aris Limassol FC,UEFA Europa League,GK,Goalkeeper,32,540,6.83,2.17,4.5,2.35,0.18,0.0,3.33,17.0,34.17,7.5,1309.57,5.33,238.55,14.5,1.17,1.17,18.77,1,65.89,19.59,8.07
Veljko Ilic,SRB,TSC,UEFA Europa League,GK,Goalkeeper,20,450,6.2,3.2,3.2,2.4,-0.8,0.0,2.8,9.6,32.8,4.6,935.88,7.4,180.54,17.6,1.0,0.6,15.08,1,51.61,29.17,5.68
Vicente Guaita,ESP,Celta Vigo,Spanish La Liga,GK,Goalkeeper,37,2403,4.49,1.46,3.11,1.49,0.03,0.22,5.13,13.33,22.06,5.02,782.62,7.98,361.63,15.73,0.86,1.01,18.46,1,69.27,38.48,5.47
Viktor Baier,CZE,Viktoria Plzeň,UEFA Europa Conference League,GK,Goalkeeper,18,270,1.67,0.0,1.67,0.17,0.17,1.0,5.0,14.67,27.0,2.67,943.5,5.33,267.07,14.67,1.0,1.33,26.83,1,100.0,34.08,6.82
Vincenzo Fiorillo,ITA,Salernitana,Italian Serie A,GK,Goalkeeper,34,360,6.5,2.0,4.5,1.85,-0.15,0.0,6.75,24.0,18.0,2.25,808.08,13.5,763.2,19.25,1.0,0.25,3.0,1,69.23,28.12,5.19
Vitezslav Jaros,CZE,Sturm Graz,UEFA Europa Conference League,GK,Goalkeeper,22,360,5.25,1.25,4.0,1.72,0.48,0.25,3.0,12.0,23.5,6.25,787.88,5.5,249.65,13.0,0.75,1.0,19.1,1,76.19,25.0,5.77
Vito Mannone,ITA,Lille,"French Ligue 1, UEFA Europa Conference League",GK,Goalkeeper,36,361,3.74,0.75,2.99,1.25,0.5,0.75,2.49,7.98,29.67,3.74,913.11,1.99,78.58,10.22,0.5,1.99,35.4,1,79.95,31.2,4.89
Vladan Kovačević,BIH,Raków,UEFA Europa League,GK,Goalkeeper,25,540,5.83,1.67,4.17,2.12,0.45,0.17,4.17,14.83,30.33,3.5,923.22,10.17,450.93,14.83,0.5,3.0,62.52,1,71.53,28.12,3.37
Walter Benítez,ARG,PSV Eindhoven,UEFA Champions League,GK,Goalkeeper,31,720,4.25,1.62,2.62,1.36,-0.26,0.12,4.12,10.75,27.5,3.38,836.44,6.25,221.08,11.12,0.12,0.75,16.12,1,61.65,38.33,1.08
Wes Foderingham,ENG,Sheffield Utd,English Premier League,GK,Goalkeeper,33,2649,6.93,2.68,4.42,2.4,-0.29,0.03,6.96,21.0,26.6,3.43,1068.84,8.9,464.15,15.9,0.95,1.43,25.16,1,63.78,33.14,5.97
Wladimiro Falcone,ITA,Lecce,Italian Serie A,GK,Goalkeeper,29,3420,4.55,1.42,3.13,1.35,-0.07,0.18,4.0,12.87,23.5,4.18,820.83,6.53,229.62,13.74,0.53,0.53,8.92,1,68.79,31.08,3.86
Wojciech Szczęsny,POL,Juventus,Italian Serie A,GK,Goalkeeper,34,3150,3.09,0.86,2.26,0.82,-0.04,0.43,4.2,9.71,23.66,3.83,776.88,4.97,199.98,15.86,0.74,0.57,8.84,1,73.14,43.25,4.67
Yann Sommer,SUI,Inter,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,35,3690,3.1,0.56,2.51,0.79,0.23,0.56,2.93,6.85,32.05,3.71,833.41,5.85,161.25,12.27,0.59,0.44,7.18,1,80.97,42.77,4.81
Yassine Bounou,MAR,Sevilla,Spanish La Liga,GK,Goalkeeper,32,90,3.0,2.0,1.0,1.1,-0.9,0.0,6.0,16.0,24.0,4.0,866.4,7.0,401.8,9.0,0.0,0.0,0.0,1,33.33,37.5,0.0
Yehvann Diouf,SEN,Reims,French Ligue 1,GK,Goalkeeper,24,3060,4.03,1.38,2.65,1.25,-0.13,0.24,3.65,10.38,33.38,5.26,1005.11,4.62,170.55,15.35,1.12,1.35,22.56,1,65.76,35.16,7.3
Yuri Lodygin,RUS,Panathinaikos,UEFA Europa League,GK,Goalkeeper,33,90,4.0,2.0,2.0,1.7,-0.3,0.0,4.0,11.0,26.0,5.0,1019.2,2.0,62.0,5.0,0.0,3.0,63.0,1,50.0,36.36,0.0
Yvon Mvogo,SUI,Lorient,French Ligue 1,GK,Goalkeeper,29,3060,6.09,1.94,4.18,1.87,-0.07,0.12,4.09,11.12,27.09,4.76,850.09,6.71,260.19,17.38,0.71,0.38,6.26,1,68.64,36.78,4.09
Álex Remiro,ESP,Real Sociedad,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,29,3995,3.49,0.95,2.55,1.04,0.09,0.43,5.34,13.16,29.71,2.68,996.31,4.35,230.62,10.45,0.45,1.35,28.08,1,73.07,40.58,4.31
Álvaro Vallés,ESP,Las Palmas,Spanish La Liga,GK,Goalkeeper,26,3263,4.19,1.21,2.98,1.34,0.12,0.22,3.78,12.33,48.6,5.35,1327.08,4.16,162.79,14.37,0.8,2.65,52.83,1,71.12,30.66,5.57
Ørjan Nyland,NOR,Sevilla,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,33,2340,4.46,1.19,3.31,1.32,0.13,0.23,7.0,18.58,24.88,4.54,967.28,8.46,466.52,14.81,0.77,0.65,12.34,1,74.22,37.67,5.2
Đorđe Petrović,SRB,Chelsea,English Premier League,GK,Goalkeeper,24,1987,4.89,1.72,3.31,1.28,-0.44,0.23,3.03,9.69,29.67,4.39,825.16,6.75,255.32,14.13,0.91,0.91,17.94,1,67.69,31.27,6.44
İrfan Can Eğribayat,TUR,Fenerbahçe,UEFA Europa Conference League,GK,Goalkeeper,25,360,4.0,0.75,3.5,0.7,-0.05,0.25,3.25,7.0,29.75,4.5,791.18,4.5,143.72,11.5,1.75,0.25,2.28,1,87.5,46.43,15.22
Łukasz Fabiański,POL,West Ham,"English Premier League, UEFA Europa League",GK,Goalkeeper,39,1531,5.23,1.59,3.7,1.64,0.05,0.29,5.64,13.17,21.46,4.7,806.79,6.41,259.43,13.23,0.88,0.29,5.33,1,70.75,42.82,6.65
Łukasz Skorupski,POL,Bologna,Italian Serie A,GK,Goalkeeper,33,2880,3.31,0.91,2.41,0.83,-0.08,0.41,3.22,9.28,25.91,4.25,767.29,5.88,227.19,13.5,0.38,0.47,8.94,1,72.81,34.7,2.81
