Player,Nationality,Team,League,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total),Matches,% Saves,% Long Passes,% Crosses Stopped
Diego Mariño,ESP,Almería,Spanish La Liga,GK,Goalkeeper,33,90,4.0,2.0,2.0,2.1,0.1,0.0,1.0,5.0,25.0,6.0,602.5,2.0,33.0,6.0,0.0,2.0,45.4,1,50.0,20.0,0.0
Dimitry Bertaud,COD,Montpellier,French Ligue 1,GK,Goalkeeper,25,360,8.5,2.75,5.75,2.75,0.0,0.0,4.5,15.25,29.5,6.5,1120.25,5.75,244.5,14.0,0.75,0.0,0.0,1,67.65,29.51,5.36
Diogo Costa,POR,Porto,UEFA Champions League,GK,Goalkeeper,24,720,3.5,1.12,2.5,0.71,-0.41,0.25,4.88,14.75,40.25,4.62,1335.42,6.5,273.62,10.75,1.0,1.75,40.0,1,71.43,33.08,9.3
Dmytro Riznyk,UKR,Shakhtar,"UEFA Champions League, UEFA Europa League",GK,Goalkeeper,25,720,6.0,2.12,3.88,1.65,-0.48,0.25,3.62,9.38,28.5,4.12,785.4,5.75,231.4,16.88,1.38,1.5,34.7,1,64.67,38.59,8.18
Dominik Greif,SVK,Mallorca,Spanish La Liga,GK,Goalkeeper,26,90,4.0,0.0,4.0,0.7,0.7,1.0,10.0,18.0,23.0,3.0,966.0,9.0,487.8,12.0,0.0,1.0,23.0,1,100.0,55.56,0.0
Dominik Hładun,POL,Legia Warsaw,UEFA Europa Conference League,GK,Goalkeeper,28,180,3.0,0.5,2.5,1.0,0.5,0.5,5.0,15.0,25.0,2.0,922.7,4.5,251.6,9.5,0.0,2.0,40.6,1,83.33,33.33,0.0
Dominik Kotarski,CRO,PAOK,UEFA Europa Conference League,GK,Goalkeeper,24,900,4.4,1.6,2.7,1.57,-0.03,0.0,3.0,11.2,30.3,3.0,971.17,4.6,200.05,11.1,0.3,1.2,26.03,1,61.36,26.79,2.7
Dominik Livaković,CRO,Fenerbahçe,UEFA Europa Conference League,GK,Goalkeeper,29,540,4.83,2.0,2.83,1.53,-0.47,0.33,2.17,11.0,26.5,5.33,908.35,6.0,191.28,10.83,1.0,1.33,27.0,1,58.59,19.73,9.23
Dominik Takáč,SVK,Spartak Trnava,UEFA Europa Conference League,GK,Goalkeeper,24,540,7.0,2.5,4.5,2.88,0.38,0.0,4.5,18.17,14.67,1.17,721.88,9.67,621.93,15.0,0.33,0.17,2.38,1,64.29,24.77,2.2
Dénes Dibusz,HUN,Ferencváros,UEFA Europa Conference League,GK,Goalkeeper,33,720,4.25,1.0,3.25,0.99,-0.01,0.12,4.75,12.75,29.38,5.12,930.25,6.5,230.61,13.75,0.62,0.75,17.09,1,76.47,37.25,4.51
Ederson,BRA,Manchester City,"English Premier League, UEFA Champions League",GK,Goalkeeper,30,3415,2.5,0.87,1.66,0.86,-0.03,0.29,3.53,7.25,34.81,4.37,931.35,3.61,122.19,7.64,0.76,1.48,31.35,1,66.4,48.69,9.95
Elia Caprile,ITA,Empoli,Italian Serie A,GK,Goalkeeper,22,2070,4.61,1.17,3.39,1.19,0.01,0.22,5.09,15.22,28.57,5.96,1050.77,6.91,311.68,17.0,1.35,0.87,16.64,1,73.54,33.44,7.94
Emil Audero,IDN,Inter,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,27,427,3.37,1.26,2.11,1.12,-0.15,0.42,1.48,5.48,43.63,7.17,1067.94,5.27,143.11,13.07,1.48,0.84,19.94,1,62.61,27.01,11.32
Emiliano Martínez,ARG,Aston Villa,"English Premier League, UEFA Europa Conference League",GK,Goalkeeper,31,3825,3.95,1.36,2.68,1.46,0.09,0.26,3.86,9.95,38.47,4.61,1062.89,4.78,175.54,10.47,1.27,2.02,43.91,1,67.85,38.79,12.13
Enea Koliçi,ALB,KF Ballkani Therandë,UEFA Europa Conference League,GK,Goalkeeper,37,540,3.5,1.17,2.33,1.17,0.0,0.33,1.67,4.17,20.67,6.17,559.17,9.33,221.3,16.5,1.33,0.33,4.42,1,66.57,40.05,8.06
Ersin Destanoğlu,TUR,Beşiktaş,UEFA Europa Conference League,GK,Goalkeeper,22,270,6.67,2.67,4.33,2.3,-0.37,0.33,5.33,14.0,28.0,4.67,1013.6,8.33,352.2,14.67,0.33,1.0,18.2,1,64.92,38.07,2.25
Etrit Berisha,ALB,Empoli,Italian Serie A,GK,Goalkeeper,34,1260,5.29,1.79,3.5,1.47,-0.31,0.29,3.14,13.14,28.57,5.36,941.94,6.43,262.41,16.86,0.79,0.71,13.46,1,66.16,23.9,4.69
Fabian Bredlow,GER,Stuttgart,German Bundesliga,GK,Goalkeeper,29,360,5.5,0.75,4.75,1.23,0.48,0.25,5.5,15.25,42.0,3.75,1301.8,2.75,142.22,13.75,0.25,1.25,29.9,1,86.36,36.07,1.82
Federico Ravaglia,ITA,Bologna,Italian Serie A,GK,Goalkeeper,24,535,3.03,0.5,2.19,0.94,0.44,0.67,2.36,8.24,28.93,3.87,735.53,5.72,234.27,12.28,0.17,0.67,17.07,1,72.28,28.64,1.38
Fernando,ESP,Almería,Spanish La Liga,GK,Goalkeeper,33,360,5.75,2.5,3.25,2.12,-0.38,0.0,5.5,16.75,33.25,7.0,1182.53,6.5,286.3,18.0,1.0,1.75,28.22,1,56.52,32.84,5.56
