Player,Nationality,Team,League,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total),Matches,% Saves,% Long Passes,% Crosses Stopped
Mykyta Turbaievskyi,UKR,Zorya Luhansk,UEFA Europa Conference League,GK,Goalkeeper,21,450,64,17,50,69,13,48,27,47,21,36,24,70,71,33,39,63,78,1,23,13,44
Nemanja Belić,SRB,Čukarički,UEFA Europa Conference League,GK,Goalkeeper,36,241,89,4,64,94,7,14,89,80,12,32,20,94,91,45,79,86,77,1,9,84,79
Nenad Filipović,SRB,Čukarički,UEFA Europa Conference League,GK,Goalkeeper,36,209,75,38,69,79,81,14,94,88,1,2,10,92,93,94,86,6,6,1,27,84,61
Neto,BRA,Bournemouth,English Premier League,GK,Goalkeeper,34,2880,67,38,69,71,62,52,69,67,35,65,52,58,63,43,55,56,54,1,46,47,58
Nick Pope,ENG,Newcastle Utd,"English Premier League, UEFA Champions League",GK,Goalkeeper,32,1795,47,78,64,43,86,70,26,17,3,85,2,60,66,21,49,84,87,1,85,50,65
Nicola Bagnolini,ITA,Bologna,Italian Serie A,GK,Goalkeeper,20,5,98,97,99,1,62,99,98,96,2,2,30,99,98,0,6,6,6,1,98,96,0
Nicola Leali,ITA,Genoa,Italian Serie A,GK,Goalkeeper,31,176,53,79,74,48,89,91,95,93,66,5,93,24,34,54,75,25,25,1,88,62,68
Niki Mäenpää,FIN,HJK,UEFA Europa Conference League,GK,Goalkeeper,38,282,92,16,95,93,87,14,9,31,36,85,31,60,38,66,20,16,15,1,80,5,19
Nikita Contini Baranovsky,ITA,Napoli,Italian Serie A,GK,Goalkeeper,27,17,0,97,2,1,62,97,1,0,1,79,0,27,4,2,6,100,100,1,0,0,6
Nikita Haikin,RUS,Bodø/Glimt,UEFA Europa Conference League,GK,Goalkeeper,28,360,17,90,50,4,39,60,58,35,60,34,58,31,21,84,18,92,90,1,95,85,15
