Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes Received,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Total Aerial Duels,Ball Losses,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels Won,Efficiency,% Aerial Duels,% Passes (Total),% Passes (Short),% Passes (Medium),% Passes (Long),% Tackles/Duels,% Take-Ons
Majeed Ashimeru,gh GHA,Midfielder,Anderlecht,25,1997,6,1,119,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,36.3,45.38,18.91,21.93,12.1,15.88,3.03,5.29,0.0,0.0,0.0,1.51,0.0,0.0,3.03,3.78,1.51,3.78,3.03,0.76,2.27,0.76,1.51,3.78,2.27,0.76,4.54,2.27,0.76,60.5,1.51,17.39,31.76,14.37,0.76,60.5,2.27,0.76,40.84,5.29,0.76,3.03,1.51,32.52,0.0,0.0,0.0,1.51,2.27,0.0,0.0,0.0,0.0,11.34,0.76,0.76,1.51,4.54,8.32,0.76,1.51,4.54,0.0,50.33,79.99,86.23,76.2,57.28,60.05,33.48
Makhtar Gueye,sn SEN,Forward,RWDM,25,1997,27,24,2180,0.33,0.47,2.31,1.24,0.0,0.0,1.4,0.17,12.55,22.54,6.81,10.69,3.88,7.76,0.7,1.36,0.04,0.06,0.66,1.28,0.41,0.0,1.86,0.99,4.58,0.87,0.41,0.29,0.37,0.21,0.37,0.91,0.54,0.29,0.25,0.99,0.0,34.14,1.36,3.72,18.7,12.14,3.76,34.14,2.11,0.78,21.51,0.78,0.54,3.26,1.86,26.46,0.37,0.08,0.08,2.19,0.91,0.87,0.0,0.04,0.0,1.98,6.61,3.8,10.4,5.12,7.43,1.57,4.71,0.78,-0.3,63.56,55.68,63.7,50.0,51.47,43.82,36.97
Malachi Jones,sl SLE,Forward,NYCFC,20,2003,14,4,488,0.18,0.41,3.32,0.92,0.0,0.0,3.14,0.55,17.7,26.0,9.77,13.28,4.98,6.82,2.03,3.87,0.18,0.09,1.11,1.11,0.74,0.37,1.66,4.43,12.17,2.77,1.84,0.37,1.66,0.74,0.74,1.11,0.37,1.48,0.55,1.29,0.0,47.77,1.29,8.11,17.34,23.42,8.3,47.77,7.38,2.4,27.48,2.77,2.77,4.06,2.03,30.98,0.55,0.0,0.0,1.84,3.14,0.74,0.0,0.0,0.0,5.72,1.29,1.11,2.4,6.09,18.26,3.69,12.17,2.58,-0.56,53.75,68.08,73.57,73.02,52.45,66.49,32.52
Malamine Efekele,fr FRA,Forward,Cercle Brugge,19,2004,7,1,184,0.0,0.1,1.47,0.49,0.0,0.0,0.98,0.0,13.21,19.08,6.85,9.29,5.38,8.32,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.49,0.98,6.36,2.93,1.96,1.47,0.98,0.49,0.98,1.96,0.98,1.47,0.0,2.45,0.0,36.2,0.49,7.34,14.67,15.16,6.85,36.2,1.47,0.49,22.5,1.47,0.0,5.38,1.47,17.61,0.49,0.0,0.0,0.49,2.45,0.98,0.0,0.0,0.0,6.36,0.49,3.42,3.91,6.85,7.83,0.98,6.85,2.93,-1.0,12.53,69.23,73.74,64.66,0.0,60.12,33.33
Malcolm Ebiowei,eng ENG,Forward,RWDM,19,2003,4,1,146,0.0,0.06,1.23,0.62,0.0,0.0,1.23,0.62,19.11,28.36,12.95,15.41,4.93,7.4,1.23,4.93,0.62,0.12,1.23,1.85,1.23,0.62,3.08,3.7,9.25,1.85,1.85,0.0,1.85,0.0,0.62,0.62,0.0,0.62,1.23,0.62,0.0,43.15,1.23,7.4,15.41,20.34,0.62,43.15,4.93,1.85,30.21,2.47,0.62,3.7,4.93,25.89,0.62,0.0,0.0,1.23,1.23,0.0,0.0,0.0,0.0,5.55,1.23,1.85,3.08,8.63,16.03,1.85,3.08,2.47,-1.0,39.94,67.38,84.04,66.62,24.95,100.0,37.53
Malcolm Edjouma,fr FRA,Midfielder,Bari,26,1996,22,11,1034,0.17,0.1,1.57,0.35,0.0,0.0,2.0,0.17,21.59,31.51,11.92,16.45,7.31,9.31,1.31,2.7,0.0,0.07,0.87,2.52,0.61,0.17,3.22,0.87,2.79,3.57,2.18,1.74,1.48,0.35,1.83,3.13,1.31,0.87,2.18,1.31,0.0,49.18,2.96,12.01,24.55,13.06,2.87,49.18,3.31,1.57,19.58,0.61,0.17,3.92,1.39,25.94,0.17,0.0,0.0,2.52,1.04,0.09,0.09,0.0,0.0,6.27,2.79,3.39,6.18,5.31,6.88,2.18,3.83,4.0,0.7,45.15,68.52,72.46,78.52,48.52,59.85,47.43
Malcolm Fry,us USA,Forward,NE Revolution,18,2005,2,0,31,0.0,0.0,2.9,0.0,0.0,0.0,2.9,0.0,17.42,26.13,11.61,14.52,5.81,8.71,0.0,0.0,0.0,0.0,0.0,5.81,0.0,0.0,0.0,2.9,20.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.65,0.0,0.0,17.42,23.23,8.71,40.65,5.81,5.81,20.32,2.9,2.9,5.81,2.9,29.03,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,8.71,0.0,0.0,0.0,8.71,23.23,2.9,11.61,0.0,0.0,0.0,66.67,79.96,66.7,0.0,0.0,100.0
Malcom Braida,ar ARG,Defender,San Lorenzo,26,1997,19,18,1660,0.0,0.05,1.19,0.27,0.0,0.0,2.6,0.0,31.39,46.19,16.59,20.87,10.73,15.94,2.55,6.23,0.0,0.12,0.92,3.09,0.65,0.38,4.23,1.73,4.77,3.09,2.01,1.52,1.08,0.49,1.63,2.98,1.36,1.14,1.03,2.28,0.0,59.04,1.84,14.8,27.22,17.73,1.73,59.04,3.14,1.46,27.27,1.57,0.49,1.84,1.19,28.41,0.27,0.0,0.0,1.03,1.73,0.05,0.0,0.05,0.0,5.37,2.33,1.68,4.01,3.04,10.73,2.6,3.25,3.63,-1.0,58.1,67.96,79.49,67.31,40.93,59.97,46.5
Malick Fofana,be BEL,Midfielder,Gent,18,2005,19,12,1146,0.16,0.15,2.12,0.79,0.0,0.0,4.63,0.47,34.32,42.88,16.18,18.46,14.06,17.12,3.06,4.55,0.24,0.27,2.51,1.81,2.04,0.86,3.53,6.75,8.64,1.34,1.02,0.47,0.39,0.47,0.71,1.02,0.31,0.55,0.86,0.71,0.08,54.66,1.02,7.23,21.68,26.47,5.65,54.66,3.93,1.73,39.74,3.38,2.91,1.96,1.02,37.38,0.08,0.0,0.0,0.31,2.2,0.24,0.08,0.0,0.0,4.4,0.24,0.86,1.1,2.98,18.93,5.1,11.47,1.73,0.07,21.82,80.04,87.65,82.13,67.25,73.31,44.02
Malik Pinto,us USA,Forward,FC Cincinnati,21,2002,11,1,157,0.0,0.0,0.57,0.0,0.0,0.0,1.15,0.0,46.43,55.03,21.21,23.5,21.78,23.5,2.87,3.44,0.0,0.06,1.15,3.44,1.15,0.0,5.73,0.57,1.15,6.31,5.73,3.44,2.87,0.0,2.87,4.59,1.72,2.29,0.57,0.57,0.0,69.94,1.72,13.18,47.58,9.75,0.57,69.94,1.72,0.57,39.55,2.87,0.0,1.72,1.72,42.99,0.0,0.0,0.0,2.87,1.72,0.0,0.0,0.0,0.0,12.04,0.57,0.57,1.15,3.44,7.45,1.15,1.72,8.6,0.0,49.57,84.37,90.26,92.68,83.43,78.9,33.14
Malik Tillman,us USA,Forward,PSV Eindhoven,21,2002,28,17,1594,0.51,0.38,2.88,1.52,0.0,0.0,5.76,0.79,34.84,43.08,20.16,22.13,11.69,13.72,1.92,3.39,0.56,0.47,2.82,1.86,2.65,0.17,4.74,3.11,8.47,2.26,1.36,0.96,0.85,0.45,0.9,2.03,1.13,2.15,0.85,0.56,0.0,60.24,1.02,6.72,23.83,30.77,6.89,60.24,4.57,2.15,36.59,2.2,1.41,2.88,2.15,42.35,0.11,0.0,0.0,1.3,2.65,0.0,0.06,0.06,0.0,6.78,0.73,0.45,1.19,5.03,16.32,6.55,11.12,2.26,0.34,61.34,80.87,91.1,85.2,56.64,52.68,47.05
Mallik Wilks,eng ENG,Forward,Sheffield Weds,24,1998,15,1,281,0.0,0.32,3.84,0.96,0.0,0.0,3.52,0.0,10.57,20.5,5.77,8.97,3.52,7.69,0.64,1.6,0.0,0.03,0.96,1.28,1.28,0.64,2.56,3.84,8.97,1.6,0.96,0.64,0.64,0.32,0.64,1.92,1.28,1.28,0.64,0.32,0.0,41.0,0.64,3.84,17.62,20.82,3.84,41.0,4.16,2.24,25.94,2.24,1.6,7.05,3.2,29.15,0.64,0.0,0.0,3.2,1.6,0.96,0.0,0.0,0.0,5.77,2.88,4.16,7.05,10.25,15.37,3.52,7.37,1.6,-1.0,40.85,51.56,64.33,45.77,40.0,45.45,53.85
Malte Amundsen,dk DEN,Defender,Columbus Crew,25,1998,31,26,2295,0.04,0.0,0.12,0.04,0.0,0.0,1.57,0.2,65.53,75.1,28.94,31.22,29.8,32.63,5.8,8.78,0.08,0.06,0.67,7.33,0.75,0.2,5.53,0.94,1.06,1.88,1.06,1.25,0.55,0.08,1.18,1.96,0.78,1.14,1.88,2.47,0.04,84.2,4.78,34.27,42.71,7.96,0.51,84.2,0.59,0.47,48.39,0.98,0.04,0.82,0.24,57.76,0.27,0.0,0.0,0.59,0.59,0.0,0.0,0.0,0.0,5.14,1.41,1.14,2.55,1.06,7.53,1.76,1.49,2.24,inf,55.29,87.26,92.7,91.33,66.06,58.33,79.66
Mamadou Coulibaly,sn SEN,Midfielder,Palermo,24,1999,19,9,749,0.12,0.13,0.84,0.12,0.0,0.0,1.44,0.24,27.28,37.49,13.58,18.02,10.09,12.38,2.16,3.6,0.12,0.05,0.6,3.97,0.12,0.0,5.05,0.6,3.24,2.52,1.8,1.2,1.08,0.24,0.36,1.08,0.72,1.44,1.44,2.16,0.0,51.79,2.28,12.5,31.0,9.25,0.96,51.79,2.28,1.2,25.11,0.48,0.0,3.36,1.32,30.76,0.6,0.0,0.0,1.32,1.56,0.0,0.0,0.0,0.0,7.09,3.85,3.12,6.97,4.69,8.89,1.68,1.08,2.16,-0.08,55.24,72.77,75.36,81.5,60.0,60.0,52.63
Mamadou Sarr,fr FRA,Midfielder,RWDM,17,2005,6,6,540,0.0,0.03,0.83,0.33,0.0,0.0,0.83,0.17,31.5,40.83,8.67,11.33,17.5,20.0,4.33,7.83,0.0,0.05,0.5,2.5,0.17,0.0,3.17,0.5,0.67,2.83,2.17,2.17,0.33,0.33,1.5,2.33,0.83,1.17,0.83,3.17,0.0,55.0,7.5,22.33,27.0,6.83,1.0,55.0,2.17,1.0,35.17,1.33,0.0,1.5,1.17,32.17,0.0,0.0,0.0,0.83,1.0,0.17,0.0,0.0,0.0,5.83,1.83,1.0,2.83,2.67,4.33,1.0,1.17,3.67,-1.0,64.66,77.15,76.52,87.5,55.3,71.12,46.08
Manaf Nurudeen,gh GHA,Goalkeeper,Eupen,24,1999,2,2,180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,52.5,4.0,4.0,15.5,15.5,10.5,31.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.5,56.5,49.0,56.0,0.5,0.0,0.0,56.5,0.0,0.0,30.5,0.0,0.0,0.0,0.0,19.5,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.14,100.0,100.0,33.33,0.0,0.0
Mandela Keita,be BEL,Midfielder,OH Leuven,21,2002,21,18,1548,0.0,0.02,0.7,0.17,0.0,0.0,1.69,0.17,55.29,61.86,22.21,24.83,26.57,28.37,5.23,6.4,0.12,0.03,0.7,5.58,0.17,0.0,5.58,1.34,0.76,2.91,1.63,1.69,1.22,0.0,1.57,2.79,1.22,1.45,1.98,0.93,0.0,74.36,2.91,17.56,49.77,8.14,0.29,74.36,2.38,1.16,54.01,1.86,0.17,1.57,0.99,50.47,0.17,0.06,0.06,1.57,1.69,0.0,0.0,0.06,0.0,7.73,1.05,0.64,1.69,2.56,7.67,1.86,0.64,3.2,-1.0,62.13,89.38,89.45,93.66,81.72,56.14,48.74
Manfred Ugalde,cr CRC,Forward,Twente,21,2002,18,17,1372,0.46,0.52,4.2,1.51,0.0,0.0,3.61,0.59,14.3,21.91,8.0,11.28,4.66,6.63,0.52,1.25,0.39,0.22,1.51,0.98,0.52,0.0,1.97,1.31,5.84,0.92,0.66,0.13,0.39,0.39,0.13,0.79,0.66,0.85,0.07,0.39,0.0,35.42,0.59,1.77,13.32,20.79,6.89,35.42,2.69,1.25,21.38,1.05,0.79,2.62,1.57,26.3,0.2,0.0,0.0,1.51,2.89,0.33,0.0,0.0,0.0,2.62,2.1,3.48,5.58,4.2,9.12,4.2,8.2,0.79,-0.12,37.63,65.27,70.92,70.29,41.6,46.2,46.47
Manoel,br BRA,Defender,Fluminense,33,1990,16,14,1227,0.07,0.02,0.29,0.15,0.0,0.0,0.22,0.0,45.33,50.46,18.41,19.29,22.37,24.35,3.67,5.35,0.0,0.01,0.07,1.61,0.0,0.0,1.76,0.0,0.0,1.03,0.51,0.73,0.22,0.07,0.29,0.81,0.51,1.39,0.59,4.69,0.0,59.85,9.24,30.59,28.09,1.17,0.51,59.85,0.22,0.22,33.59,0.22,0.0,0.59,0.0,40.49,0.29,0.0,0.0,0.81,0.59,0.0,0.0,0.0,0.0,2.79,0.88,1.54,2.42,0.59,1.76,0.22,0.51,0.81,2.5,36.36,89.83,95.44,91.87,68.6,43.48,100.0
Manolo Portanova,it ITA,Midfielder,Reggiana,23,2000,36,30,2458,0.18,0.16,2.23,0.7,0.0,0.0,2.64,0.22,17.36,26.22,10.0,12.34,5.68,8.42,0.92,2.67,0.11,0.14,1.14,1.72,0.66,0.15,2.64,1.79,5.46,2.42,1.43,1.1,1.03,0.29,0.99,2.45,1.46,1.83,0.59,0.99,0.0,40.9,1.43,8.9,16.95,15.71,3.84,40.9,2.86,0.95,21.13,0.88,0.81,2.49,1.76,24.42,0.29,0.0,0.0,1.61,1.57,0.4,0.04,0.0,0.0,4.54,1.14,2.05,3.19,4.25,9.89,2.86,5.46,2.42,0.12,35.74,66.21,81.04,67.46,34.46,49.69,33.22
Mansur,br BRA,Defender,Estrela,30,1993,20,15,1408,0.0,0.03,0.26,0.0,0.0,0.0,1.21,0.06,47.05,58.1,18.15,21.35,22.69,25.12,5.82,9.78,0.06,0.06,0.32,3.26,0.58,0.32,3.71,1.09,0.83,1.73,1.21,1.47,0.26,0.0,0.89,1.15,0.26,1.09,0.83,2.75,0.06,66.54,6.39,32.28,29.21,5.31,1.28,66.54,0.64,0.38,35.67,0.64,0.06,0.45,0.06,42.83,0.38,0.13,0.13,1.21,0.26,0.0,0.0,0.06,0.0,5.88,2.81,2.49,5.31,0.51,5.62,1.28,2.24,2.11,-1.0,52.92,80.98,85.01,90.33,59.51,72.92,59.38
Manu Royo,es ESP,Defender,Almere City,29,1994,12,8,665,0.0,0.01,0.68,0.14,0.0,0.0,1.89,0.0,35.86,55.89,16.92,19.76,13.53,19.35,4.2,13.53,0.0,0.14,1.08,2.71,1.62,1.22,3.79,2.84,5.41,2.17,1.22,0.95,0.81,0.41,1.08,1.76,0.68,1.08,0.54,1.89,0.0,64.56,1.89,12.32,26.53,26.12,1.62,64.56,1.08,0.68,26.93,1.49,0.54,0.68,0.41,33.29,0.27,0.0,0.0,2.3,0.41,0.14,0.0,0.0,0.0,5.28,0.54,0.68,1.22,1.08,12.05,1.89,5.01,2.3,-1.0,44.26,64.16,85.63,69.92,31.04,58.52,62.96
Manuel Agustín Duarte,ar ARG,Forward,Barracas Central,22,2001,13,5,514,0.18,0.16,2.63,0.88,0.0,0.0,3.33,0.53,24.16,33.27,12.26,15.41,8.4,9.98,2.8,5.43,0.18,0.09,1.75,3.5,1.23,0.53,4.2,3.15,5.78,1.23,1.23,0.35,0.88,0.0,0.18,0.7,0.53,0.88,0.35,0.88,0.0,45.88,0.88,5.08,24.16,17.51,1.75,45.88,4.03,1.75,28.37,2.8,0.53,2.8,1.58,32.92,0.35,0.0,0.0,0.7,0.53,0.35,0.0,0.0,0.0,4.9,0.7,2.1,2.8,4.38,13.13,3.85,4.03,1.4,0.12,25.0,72.62,79.56,84.17,51.57,73.06,43.42
Manuel Castro,uy URU,Forward,FC Juárez,27,1995,15,4,643,0.28,0.17,2.38,0.7,0.0,0.0,3.92,0.42,23.09,36.95,12.04,14.42,7.28,12.04,3.08,7.28,0.42,0.27,2.1,1.26,1.12,0.84,1.4,1.96,9.1,0.84,0.7,0.42,0.42,0.0,0.56,1.54,0.98,0.56,0.7,0.98,0.0,47.17,1.4,6.02,15.54,26.31,4.76,47.17,2.1,1.4,26.17,0.98,0.98,1.82,0.56,30.09,0.28,0.0,0.0,1.82,1.54,0.14,0.0,0.0,0.0,4.06,0.98,2.1,3.08,2.38,12.46,4.34,7.7,1.26,0.65,31.82,62.49,83.5,60.47,42.31,52.94,66.67
Manuel De Luca,it ITA,Forward,Sampdoria,25,1998,32,22,1960,0.46,0.53,2.53,1.1,0.09,0.09,2.39,0.46,13.27,20.43,9.23,12.31,2.57,4.55,0.46,0.83,0.23,0.11,0.96,0.64,0.28,0.0,1.01,0.92,7.48,0.83,0.51,0.18,0.46,0.18,0.37,0.78,0.41,0.28,0.0,0.73,0.0,29.89,0.96,2.11,13.22,14.74,4.91,29.8,0.87,0.28,16.62,0.55,0.55,2.11,1.1,24.38,0.09,0.0,0.0,1.52,1.84,0.64,0.0,0.0,0.0,2.02,2.11,4.13,6.24,3.21,9.41,2.85,5.74,0.87,-0.13,33.81,64.95,74.98,56.48,55.42,54.66,32.18
Manuel García,ar ARG,Midfielder,Sarmiento,24,1999,24,21,1752,0.1,0.07,0.87,0.26,0.0,0.0,1.49,0.1,16.44,26.2,8.12,11.1,6.22,8.42,1.64,4.52,0.05,0.02,0.72,2.72,0.26,0.0,3.08,0.36,1.28,2.52,1.44,1.49,0.77,0.26,1.13,2.21,1.08,1.39,0.87,1.28,0.0,36.73,1.95,10.22,19.93,7.19,0.98,36.73,1.18,0.77,13.61,0.51,0.0,1.39,1.49,16.8,0.36,0.0,0.0,2.57,0.26,0.05,0.0,0.05,0.0,5.03,1.44,1.64,3.08,2.88,4.73,1.59,1.23,2.57,0.43,46.75,62.75,73.15,73.87,36.28,54.33,65.25
Manuel Guillén,ar ARG,Forward,Godoy Cruz,22,2001,3,0,28,0.0,0.32,6.43,0.0,0.0,0.0,0.0,0.0,9.64,19.29,6.43,9.64,0.0,0.0,3.21,9.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.86,9.64,9.64,6.43,3.21,0.0,3.21,9.64,6.43,0.0,0.0,3.21,0.0,38.57,0.0,6.43,19.29,12.86,9.64,38.57,0.0,0.0,22.5,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,6.43,3.21,0.0,0.0,0.0,0.0,0.0,0.0,6.43,6.43,0.0,12.86,0.0,9.64,12.86,-1.0,0.0,49.97,66.7,0.0,33.3,66.65,0.0
Manuel Lanzini,ar ARG,Forward,River Plate,30,1993,25,8,994,0.09,0.19,2.26,0.36,0.0,0.0,4.98,0.27,59.49,69.9,33.23,36.58,19.29,22.09,4.35,6.97,0.09,0.22,2.17,7.42,1.45,0.09,8.51,4.07,6.97,1.81,1.0,0.45,0.72,0.63,0.72,1.54,0.81,1.09,0.63,0.72,0.0,83.57,0.54,9.05,43.19,32.69,3.26,83.57,3.89,2.17,53.96,4.62,0.54,2.99,2.35,64.1,0.18,0.0,0.0,1.45,1.63,0.0,0.09,0.0,0.0,6.16,0.81,1.27,2.08,5.34,19.56,5.25,5.34,1.72,-0.53,38.94,85.11,90.84,87.32,62.41,51.34,55.78
Manuel Manu,pt POR,Midfielder,Vitória,22,2001,23,19,1776,0.1,0.07,0.86,0.25,0.0,0.0,0.96,0.05,37.45,46.17,12.11,13.89,20.83,23.87,4.26,7.3,0.0,0.02,0.25,2.94,0.1,0.05,3.55,0.41,0.25,2.53,1.67,1.88,0.61,0.05,1.37,2.53,1.17,1.17,1.11,3.95,0.15,57.26,5.83,26.71,28.89,2.18,0.96,57.26,0.41,0.2,29.49,0.2,0.0,0.51,0.1,33.29,0.25,0.0,0.0,1.37,0.86,0.0,0.0,0.1,0.0,6.44,2.99,1.62,4.61,0.61,4.21,1.01,1.11,3.04,0.43,64.86,81.11,87.19,87.26,58.36,60.08,48.78
Manuel Marras,it ITA,Forward,Cosenza,30,1993,33,28,2182,0.08,0.06,0.99,0.21,0.0,0.0,3.96,0.54,31.26,44.34,16.04,19.63,11.51,14.85,2.43,6.23,0.29,0.18,1.69,2.52,2.1,0.7,4.95,2.43,6.81,2.39,1.69,1.15,1.03,0.21,1.4,3.34,1.94,1.15,0.99,1.4,0.04,56.63,1.86,11.84,24.29,21.41,2.1,56.63,2.43,0.99,28.58,1.98,0.78,1.94,0.7,35.93,0.29,0.04,0.0,1.28,2.02,0.12,0.0,0.04,0.0,5.4,0.33,0.87,1.2,2.64,14.19,4.5,5.69,3.09,0.33,27.5,70.5,81.71,77.51,39.0,53.93,40.74
Manuel Mónaco,ar ARG,Forward,Sarmiento,21,2002,8,2,315,0.0,0.29,1.71,0.57,0.0,0.0,2.0,0.0,16.0,24.57,11.14,12.86,2.86,4.86,1.14,2.29,0.0,0.03,0.57,0.86,1.14,0.29,2.57,1.14,4.0,1.14,0.86,0.57,0.57,0.0,0.86,2.57,1.71,0.86,0.0,0.86,0.0,35.43,1.71,5.14,16.0,14.57,1.14,35.43,2.86,0.86,19.71,1.71,0.29,2.86,0.0,20.0,0.57,0.0,0.0,1.14,1.43,0.0,0.0,0.0,0.0,3.71,0.0,2.29,2.29,2.86,7.71,2.0,2.86,1.71,-1.0,0.0,65.12,86.63,58.85,49.78,46.36,30.07
Manuel Palavecino,ar ARG,Forward,Cen. Córdoba–SdE,21,2003,7,0,126,0.71,0.14,2.14,0.71,0.0,0.0,2.14,0.0,22.86,35.71,11.43,15.0,10.0,13.57,1.43,5.0,0.0,0.07,1.43,2.86,0.71,0.71,4.29,0.71,5.71,2.14,1.43,0.71,0.71,0.71,0.71,1.43,0.71,1.43,0.71,1.43,0.0,51.43,3.57,12.86,27.86,12.14,0.71,51.43,4.29,0.71,27.14,2.14,0.0,2.86,1.43,32.14,1.43,0.0,0.0,3.57,0.0,0.0,0.0,0.0,0.0,3.57,2.86,2.86,5.71,4.29,10.71,2.14,2.14,2.14,4.07,50.09,64.02,76.2,73.69,28.6,59.94,16.55
Manuel Panaro Miramon,ar ARG,Forward,Gimnasia–LP,21,2002,5,2,245,0.0,0.04,1.1,0.37,0.0,0.0,0.73,0.0,13.22,23.14,9.18,14.33,2.57,4.04,0.73,2.2,0.0,0.04,0.37,1.47,0.0,0.0,0.73,1.47,8.82,0.73,0.37,0.0,0.0,0.73,0.0,0.0,0.0,0.73,0.0,0.0,0.0,33.06,0.37,2.2,9.18,22.04,4.78,33.06,4.78,2.57,19.47,1.47,0.37,3.67,2.57,24.24,0.73,0.0,0.0,1.84,1.84,0.37,0.0,0.0,0.0,3.31,1.1,1.84,2.94,6.24,11.02,0.73,5.14,0.37,-1.0,37.41,57.13,64.06,63.61,33.18,50.68,53.77
Manuel Roffo,ar ARG,Goalkeeper,Instituto,23,2000,27,27,2430,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,18.74,27.44,2.15,2.19,9.3,9.3,7.26,15.85,0.0,0.0,0.07,1.19,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.04,29.22,21.78,29.0,0.26,0.0,0.0,29.22,0.0,0.0,16.33,0.0,0.0,0.0,0.0,10.85,0.04,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.7,0.48,0.04,0.52,0.0,0.0,0.22,0.04,0.0,0.0,92.31,68.29,98.17,100.0,45.8,0.0,0.0
Manuel Sulbarán,ve VEN,Midfielder,ve Caracas,20,2003,2,2,129,0.0,0.0,0.7,0.7,0.0,0.0,3.49,0.0,18.14,25.12,10.47,11.16,5.58,6.98,0.7,2.79,0.0,0.0,2.09,1.4,0.0,0.0,2.79,1.4,3.49,4.88,2.09,2.79,0.7,1.4,2.09,2.79,0.7,1.4,0.7,0.0,0.0,41.16,0.0,6.98,16.74,18.14,1.4,41.16,5.58,2.79,27.91,2.09,0.7,1.4,2.79,27.21,0.0,0.0,0.0,4.19,2.09,0.0,0.0,0.0,0.0,6.98,0.0,2.79,2.79,4.19,7.67,3.49,2.09,4.19,0.0,0.0,72.21,93.82,79.94,25.09,54.5,50.0
Manuel Tucker,ar ARG,Midfielder,Platense,19,2004,1,0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.62,62.31,27.69,27.69,6.92,20.77,0.0,13.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.92,6.92,6.92,6.92,0.0,0.0,6.92,6.92,6.92,0.0,6.92,0.0,0.0,0.0,69.23,0.0,6.92,13.85,48.46,0.0,69.23,0.0,0.0,27.69,0.0,0.0,0.0,6.92,41.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.92,0.0,6.92,6.92,6.92,13.85,0.0,0.0,13.85,0.0,0.0,55.56,100.0,33.32,0.0,100.0,0.0
Maracás,br BRA,Defender,Moreirense,29,1994,29,29,2561,0.11,0.06,0.35,0.18,0.0,0.0,0.35,0.07,45.4,53.38,12.26,13.6,27.94,29.63,4.96,9.07,0.0,0.0,0.07,1.48,0.04,0.0,1.86,0.11,0.0,1.55,1.23,1.23,0.28,0.04,0.84,1.19,0.35,1.19,0.77,5.27,0.0,63.43,10.09,39.54,23.12,0.84,0.63,63.43,0.18,0.14,33.88,0.14,0.04,0.39,0.11,42.91,0.21,0.04,0.04,1.02,0.39,0.04,0.04,0.0,0.0,4.04,2.25,1.48,3.73,0.49,1.97,0.42,0.7,2.07,0.83,60.32,85.05,90.15,94.3,54.69,75.55,77.78
Marc Albrighton,eng ENG,Forward,Leicester City,33,1989,12,0,129,0.0,0.0,0.7,0.0,0.0,0.0,6.98,0.0,44.65,71.86,23.02,27.21,13.26,22.33,6.98,19.53,0.0,0.42,4.88,5.58,4.19,2.09,5.58,4.19,13.95,3.49,2.79,0.7,2.09,0.7,2.09,3.49,1.4,1.4,1.4,2.09,0.0,85.81,1.4,10.47,30.0,46.74,3.49,85.81,2.79,0.7,53.72,1.4,0.0,3.49,1.4,58.6,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,6.98,0.7,0.0,0.7,4.88,23.72,6.98,9.77,4.88,0.0,100.0,62.13,84.6,59.38,35.74,69.91,25.09
