Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes Received,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Total Aerial Duels,Ball Losses,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels Won,Efficiency,% Aerial Duels,% Passes (Total),% Passes (Short),% Passes (Medium),% Passes (Long),% Tackles/Duels,% Take-Ons
Christian McFarlane,eng ENG,Midfielder,NYCFC,17,2007,8,4,364,0.0,0.02,0.49,0.25,0.0,0.0,2.47,0.25,30.66,38.08,17.31,20.03,11.62,13.6,0.25,0.99,0.0,0.12,1.98,1.24,1.24,0.49,1.24,1.24,7.91,2.72,2.47,0.99,1.24,0.49,1.48,2.72,1.24,1.24,1.24,1.98,0.0,45.99,3.21,10.38,18.3,17.55,0.49,45.99,0.99,0.25,18.54,0.74,0.0,0.25,0.74,25.22,0.0,0.0,0.0,0.99,0.74,0.25,0.0,0.0,0.0,1.98,0.0,0.99,0.99,0.99,10.38,2.72,2.23,3.96,-1.0,0.0,80.51,86.42,85.44,25.25,72.61,25.25
Christian Oliva,uy URU,Midfielder,FC Juárez,27,1996,15,9,844,0.0,0.03,1.07,0.53,0.0,0.0,3.41,0.53,40.84,49.16,16.74,18.45,16.32,19.19,6.93,10.02,0.21,0.12,2.13,3.63,1.17,0.11,5.01,0.75,0.85,2.24,1.28,0.75,1.39,0.11,1.39,2.67,1.28,0.75,0.75,1.49,0.0,58.44,1.39,13.97,35.94,9.81,0.53,58.44,0.85,0.64,31.56,0.53,0.0,1.49,0.11,33.16,0.21,0.0,0.0,0.32,0.75,0.0,0.0,0.0,0.0,5.97,0.96,1.81,2.77,1.6,6.61,3.95,1.81,2.67,-1.0,34.66,83.08,90.73,85.04,69.16,54.38,75.29
Christian Ordoñez,ar ARG,Midfielder,Vélez Sarsfield,19,2004,26,25,2008,0.0,0.05,0.72,0.04,0.0,0.0,2.33,0.22,25.19,32.45,13.49,15.6,9.32,11.43,1.48,2.29,0.13,0.09,0.94,2.96,0.67,0.13,3.72,1.43,3.32,2.38,1.34,1.21,0.81,0.36,0.85,2.02,1.17,1.93,0.76,1.34,0.04,45.58,1.3,7.98,25.59,12.64,1.21,45.58,2.11,1.03,21.74,0.76,0.13,2.24,1.39,25.68,0.13,0.04,0.0,1.39,0.99,0.0,0.0,0.0,0.0,5.15,1.21,1.66,2.87,3.63,8.47,2.55,2.15,2.2,-1.0,42.16,77.63,86.47,81.54,64.63,49.77,48.82
Christian Ramirez,us USA,Forward,Columbus Crew,32,1991,25,16,1429,0.5,0.46,2.77,1.32,0.0,0.0,2.96,0.57,25.0,31.81,13.67,16.44,8.69,10.52,1.45,2.52,0.19,0.16,1.7,2.83,1.2,0.31,4.35,0.69,5.23,0.13,0.06,0.06,0.0,0.06,0.06,0.13,0.06,0.13,0.06,0.88,0.0,38.36,0.76,3.59,19.97,14.86,3.9,38.36,0.19,0.0,21.35,0.57,0.19,1.13,0.69,31.49,0.0,0.0,0.0,0.38,0.76,0.38,0.0,0.0,0.0,2.27,0.69,0.5,1.2,1.83,10.27,3.53,5.61,0.13,0.09,57.5,78.59,83.15,82.6,57.54,46.15,0.0
Christian Rivera,co COL,Midfielder,Tijuana,27,1996,32,32,2819,0.22,0.18,0.86,0.22,0.19,0.19,2.11,0.16,49.45,56.86,14.85,16.89,26.56,28.57,7.66,9.9,0.03,0.04,0.77,6.42,0.42,0.0,7.66,1.12,0.61,4.37,2.91,1.63,2.55,0.19,1.5,2.91,1.4,1.05,1.34,1.05,0.0,68.03,2.27,14.81,49.01,5.33,0.64,67.84,1.18,0.73,34.61,0.89,0.03,1.25,0.7,37.19,0.35,0.03,0.0,2.23,1.4,0.0,0.0,0.03,0.0,9.23,1.63,1.34,2.97,1.95,9.39,2.27,1.09,4.41,0.22,54.88,86.97,87.92,92.96,77.37,60.58,61.86
Christian Tabó,uy URU,Forward,Cruz Azul,29,1993,18,6,498,0.0,0.13,1.63,0.54,0.0,0.0,3.07,0.0,21.87,30.54,11.75,15.0,6.51,8.31,2.17,3.8,0.0,0.09,1.27,0.9,0.72,0.0,2.17,2.53,6.87,1.45,1.08,0.54,0.36,0.54,0.36,1.27,0.9,1.08,0.72,0.72,0.0,42.65,0.9,7.05,18.8,17.71,4.34,42.65,3.8,1.63,23.67,1.08,1.08,1.99,0.9,26.02,0.36,0.0,0.0,1.81,2.35,0.54,0.0,0.0,0.0,4.7,1.45,4.34,5.78,2.89,11.57,3.07,6.14,1.45,-1.0,25.09,71.61,78.33,78.34,57.11,52.94,42.89
Christian Walton,eng ENG,Goalkeeper,Ipswich Town,27,1995,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,180.0,90.0,90.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,90.0,180.0,0.0,0.0,0.0,180.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,0.0,0.0,0.0,0.0
Christofer Gonzáles,pe PER,Forward,pe Universitario,31,1992,3,1,91,0.0,0.0,1.98,0.99,0.0,0.0,0.99,0.0,33.63,41.54,19.78,21.76,12.86,12.86,0.0,4.95,0.0,0.1,0.99,0.99,0.0,0.0,0.99,0.99,3.96,0.0,0.0,0.0,0.0,0.0,0.0,1.98,1.98,1.98,0.0,0.0,0.0,53.41,0.0,5.93,29.67,17.8,3.96,53.41,2.97,1.98,33.63,0.0,0.0,2.97,4.95,43.52,1.98,0.99,0.99,4.95,3.96,0.99,0.0,0.0,0.0,3.96,0.99,1.98,2.97,7.91,5.93,0.99,3.96,0.0,0.0,33.33,80.96,90.9,100.0,0.0,0.0,66.67
Christopher Attys,ht HAI,Midfielder,FeralpiSalò,22,2001,3,0,19,0.0,0.0,4.74,0.0,0.0,0.0,4.74,0.0,37.89,37.89,33.16,33.16,4.74,4.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.47,4.74,4.74,0.0,4.74,0.0,0.0,0.0,0.0,4.74,0.0,0.0,0.0,61.58,0.0,9.47,28.42,23.68,4.74,61.58,9.47,4.74,28.42,0.0,0.0,4.74,0.0,33.16,4.74,0.0,0.0,14.21,0.0,0.0,0.0,0.0,0.0,0.0,4.74,0.0,4.74,4.74,9.47,4.74,4.74,4.74,0.0,100.0,100.0,100.0,100.0,0.0,100.0,50.05
Christopher Bonsu-Baah,gh GHA,Forward,Genk,18,2004,27,14,1190,0.08,0.16,2.57,0.98,0.0,0.0,5.29,0.15,25.79,36.76,13.31,17.85,9.23,12.33,1.51,2.87,0.08,0.2,2.5,1.36,1.74,0.15,3.55,3.93,13.61,2.57,1.74,0.61,1.36,0.61,1.06,1.97,0.91,1.13,0.53,0.45,0.0,52.94,1.06,5.52,17.02,31.54,5.6,52.94,5.75,3.1,39.93,2.34,2.34,3.4,1.44,38.27,0.38,0.23,0.08,2.57,3.33,0.23,0.15,0.0,0.0,4.99,1.13,1.36,2.5,4.84,21.1,5.45,9.83,2.8,-0.5,45.2,70.16,74.57,74.86,52.61,61.67,53.91
Christopher Donovan,us USA,Forward,Philadelphia Union,23,2000,18,4,379,0.24,0.28,2.14,0.24,0.0,0.0,2.85,0.24,17.34,29.21,11.64,16.39,4.27,7.84,0.47,0.95,0.0,0.19,2.14,1.42,0.24,0.0,2.14,1.9,7.36,1.9,1.19,0.47,0.71,0.71,0.95,1.42,0.47,1.42,0.47,0.24,0.0,41.79,0.24,2.85,19.47,20.18,6.17,41.79,2.14,0.95,19.95,1.66,1.19,2.14,1.9,30.87,0.0,0.0,0.0,1.19,0.71,0.71,0.0,0.0,0.0,3.56,6.65,5.94,12.59,4.04,11.4,3.09,7.6,2.14,-0.14,52.82,59.36,71.02,54.46,49.47,64.46,44.39
Christopher Mamengi,nl NED,Forward,Almere City,22,2001,9,0,71,0.0,0.0,1.27,0.0,0.0,0.0,2.54,0.0,27.89,35.49,11.41,13.94,13.94,15.21,2.54,5.07,0.0,0.0,0.0,2.54,0.0,0.0,3.8,1.27,0.0,5.07,2.54,5.07,0.0,0.0,1.27,2.54,1.27,5.07,5.07,7.61,0.0,65.92,12.68,32.96,16.48,17.75,0.0,65.92,1.27,0.0,19.01,0.0,0.0,0.0,0.0,21.55,0.0,0.0,0.0,0.0,1.27,0.0,0.0,0.0,0.0,3.8,2.54,6.34,8.87,0.0,5.07,2.54,0.0,3.8,0.0,28.64,78.59,81.85,91.65,50.1,50.07,0.0
Christopher McVey,se SWE,Defender,D.C. United,26,1997,27,26,2145,0.04,0.05,0.34,0.17,0.0,0.0,0.67,0.04,35.87,44.31,12.0,13.8,18.55,21.19,4.66,7.55,0.0,0.03,0.17,2.98,0.08,0.04,3.1,0.67,0.67,1.34,0.76,0.76,0.5,0.08,0.8,1.43,0.63,1.51,1.55,3.15,0.0,53.83,4.53,23.58,27.73,3.19,0.84,53.83,0.21,0.21,28.91,0.46,0.0,0.55,0.04,29.33,0.21,0.0,0.0,2.01,0.46,0.08,0.0,0.04,0.0,5.54,1.55,1.64,3.19,0.59,4.45,0.71,0.97,1.55,-0.2,48.59,80.95,86.96,87.54,61.72,56.32,100.0
