Player,Team,League,Position,General Position,Nationality,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total)
Michele Di Gregorio,Juventus,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,ITA,28,810,36.0,12.0,24.0,11.5,-0.5,3,29.0,72,247.0,36.0,7413.1,31.0,1253.1,112,7.0,3.0,56.8
Mike Maignan,Milan,Italian Serie A,GK,Goalkeeper,FRA,30,505,16.0,4.0,12.0,6.7,2.7,2,15.0,49,184.0,27.0,5778.0,21.0,798.9,91,9.0,1.0,8.0
Mike Penders,Strasbourg,"French Ligue 1, UEFA Europa Conference League",GK,Goalkeeper,BEL,20,810,37.0,12.0,25.0,11.3,-0.7,3,26.0,70,370.0,26.0,9291.9,22.0,923.2,123,10.0,7.0,92.0
Mile Svilar,Roma,"Italian Serie A, UEFA Europa League",GK,Goalkeeper,SRB,26,900,29.0,7.0,22.0,8.1,1.1,4,46.0,153,349.0,58.0,11752.2,73.0,3360.0,107,8.0,8.0,140.0
Mio Backhaus,Werder Bremen,German Bundesliga,GK,Goalkeeper,GER,21,450,27.0,12.0,16.0,9.8,-2.2,1,10.0,27,159.0,28.0,4208.9,21.0,749.7,86,8.0,5.0,70.9
Mirko Salvi,Basel,UEFA Europa League,GK,Goalkeeper,SUI,31,90,5.0,2.0,3.0,1.7,-0.3,0,1.0,3,20.0,4.0,572.0,2.0,66.0,13,0.0,2.0,63.0
Miłosz Piekutowski,Jagiellonia,UEFA Europa Conference League,GK,Goalkeeper,POL,19,90,6.0,1.0,5.0,2.3,1.3,0,6.0,16,34.0,1.0,1064.2,5.0,265.0,24,2.0,0.0,0.0
Moritz Nicolas,Gladbach,German Bundesliga,GK,Goalkeeper,GER,27,630,34.0,15.0,19.0,12.0,-3.0,2,19.0,51,195.0,29.0,5151.4,21.0,763.2,81,5.0,11.0,223.8
Mory Diaw,Le Havre,French Ligue 1,GK,Goalkeeper,SEN,32,720,33.0,16.0,17.0,11.3,-4.7,1,38.0,104,255.0,41.0,7904.2,55.0,2171.1,118,16.0,11.0,161.4
Nauzet García,Red Imps,UEFA Europa Conference League,GK,Goalkeeper,ESP,31,90,10.0,5.0,5.0,4.1,-0.9,0,5.0,14,29.0,2.0,1070.1,4.0,140.0,17,1.0,2.0,29.6
Neofytos Michael,Pafos FC,UEFA Champions League,GK,Goalkeeper,CYP,31,270,20.0,5.0,15.0,5.8,0.8,2,9.0,59,93.0,16.0,3302.1,34.0,1932.6,69,1.0,3.0,51.0
Nick Pope,Newcastle Utd,"English Premier League, UEFA Champions League",GK,Goalkeeper,ENG,33,990,42.0,9.0,33.0,9.8,0.8,7,29.0,122,244.0,82.0,7985.3,70.0,3551.9,129,20.0,29.0,584.6
Nicola Leali,Genoa,Italian Serie A,GK,Goalkeeper,ITA,32,630,23.0,9.0,14.0,8.1,-0.9,2,25.0,89,165.0,15.0,5963.3,29.0,1282.9,74,1.0,8.0,174.0
Nikita Haikin,Bodø/Glimt,UEFA Champions League,GK,Goalkeeper,RUS,30,270,24.0,7.0,18.0,9.8,2.8,0,9.0,36,93.0,12.0,3057.0,9.0,455.1,60,4.0,0.0,0.0
Niklas Hedl,Rapid Wien,UEFA Europa Conference League,GK,Goalkeeper,AUT,24,180,14.0,7.0,6.0,5.9,-1.1,0,9.0,24,32.0,5.0,1195.7,14.0,797.2,21,1.0,4.0,78.8
Nikola Vasilj,St. Pauli,German Bundesliga,GK,Goalkeeper,BIH,29,630,36.0,12.0,22.0,12.7,0.7,1,17.0,64,267.0,27.0,7565.5,6.0,152.0,47,6.0,8.0,126.8
Noah Atubolu,Freiburg,"German Bundesliga, UEFA Europa League",GK,Goalkeeper,GER,23,900,39.0,13.0,25.0,12.6,-0.4,3,80.0,228,413.0,26.0,15557.3,54.0,3221.6,133,6.0,11.0,226.3
Nordin Jackers,Club Brugge,UEFA Champions League,GK,Goalkeeper,BEL,28,252,17.0,7.0,10.0,4.6,-2.4,0,20.0,61,125.0,15.0,4754.9,5.0,267.1,43,3.0,3.0,48.9
Obed Nkambadio,Paris FC,French Ligue 1,GK,Goalkeeper,FRA,22,630,30.0,13.0,16.0,11.2,-1.8,1,23.0,77,247.0,28.0,7303.7,50.0,1579.8,101,2.0,7.0,114.8
