Player,Nationality,Team,League,Position,General Position,Age,Minutes,Matches,Shouting Index,Creation Index,Passing Index,Possession Index,Defense Index,Global Index
Adrian Skogmar,SWE,Malmö,UEFA Europa League,CM,Midfielder,19,263,1,36,45,52,63,48,50
Adrian Svanbäck,FIN,Häcken,UEFA Europa Conference League,RW,Forward,21,203,1,28,45,53,43,76,43
Adrian Zeljković,SVN,Viktoria Plzeň,UEFA Europa League,CM,Midfielder,23,69,1,40,32,42,27,67,46
Adrian Șut,ROU,FCSB,UEFA Europa League,DM,Midfielder,26,90,1,43,32,52,43,30,39
Adriano,BRA,Raków,UEFA Europa Conference League,LM,Midfielder,23,188,1,30,73,42,69,50,53
Adrien Rabiot,FRA,"Marseille, Milan","French Ligue 1, Italian Serie A",CM,Midfielder,30,450,1,34,72,61,67,37,52
Adrien Tameze,CMR,Torino,Italian Serie A,CB,Defender,31,450,1,44,41,50,40,51,47
Adrien Thomasson,FRA,Lens,French Ligue 1,CM,Midfielder,31,1073,1,49,78,57,44,68,60
Adrien Truffert,FRA,Bournemouth,English Premier League,LB,Defender,23,962,1,37,70,61,73,64,62
Adrià Altimira,ESP,Villarreal,Spanish La Liga,RB,Defender,24,9,1,44,21,72,65,61,59
Adrià Pedrosa,ESP,"Elche, Sevilla",Spanish La Liga,LB,Defender,27,423,1,91,76,57,55,57,62
Adrián Liso,ESP,Getafe,Spanish La Liga,AM,Forward,20,759,1,69,31,29,28,55,43
Adrián de la Fuente,ESP,Levante,Spanish La Liga,CB,Defender,26,772,1,44,57,41,34,44,42
Afimico Pululu,NAN,Jagiellonia,UEFA Europa Conference League,AM,Forward,26,256,1,34,46,27,50,30,39
Afonso Bastardo,POR,Lyon,French Ligue 1,LW,Forward,20,25,1,34,19,40,86,83,43
Afonso Moreira,POR,Lyon,"French Ligue 1, UEFA Europa League",LW,Forward,20,402,1,85,79,47,77,74,74
Agon Sadiku,FIN,KuPS,UEFA Europa Conference League,AM,Forward,22,27,1,22,31,18,48,13,28
Ahmed Kutucu,TUR,Galatasaray,UEFA Champions League,RW,Forward,25,24,1,47,16,65,59,33,42
Ahmed Touba,ALG,Panathinaikos,UEFA Europa League,CB,Defender,27,360,1,45,42,65,69,48,55
Aihen Muñoz,ESP,Real Sociedad,Spanish La Liga,LB,Defender,28,389,1,33,55,53,44,61,52
Aiman Dardari,LUX,Augsburg,German Bundesliga,AM,Forward,20,21,1,34,20,44,24,29,30
Aimar Oroz,ESP,Osasuna,Spanish La Liga,AM,Forward,23,371,1,28,51,71,75,74,53
Aimé Steven Nsimba Labe,FRA,CS U Craiova,UEFA Europa Conference League,AM,Forward,29,115,1,39,37,29,53,29,39
Ainsley Maitland-Niles,ENG,Lyon,"French Ligue 1, UEFA Europa League",RB,Defender,28,1269,1,50,73,50,61,61,58
Aitor Paredes,ESP,Athletic Club,"Spanish La Liga, UEFA Champions League",CB,Defender,25,910,1,56,47,61,52,59,57
Aitor Ruibal,ESP,Betis,"Spanish La Liga, UEFA Europa League",RB,Forward,29,561,1,39,49,62,48,78,50
Akor Adams,NGA,Sevilla,Spanish La Liga,AM,Forward,25,491,1,57,44,27,27,44,42
Alaa Ghram,TUN,Shakhtar,UEFA Europa Conference League,CB,Defender,24,181,1,50,59,72,92,33,57
Aladji Bamba,FRA,Monaco,"French Ligue 1, UEFA Champions League",CM,Midfielder,19,176,1,40,31,62,57,81,60
Alan Matturro,URU,Levante,Spanish La Liga,LB,Defender,21,14,1,44,21,34,32,49,40
Alan Varela,ARG,Porto,UEFA Europa League,CM,Midfielder,24,122,1,58,41,32,37,77,53
Alan Virginius,FRA,Young Boys,UEFA Europa League,LM,Midfielder,22,45,1,40,30,14,6,18,19
Alasana Yirajang,GAM,Slovan Bratislava,UEFA Europa Conference League,RB,Defender,20,106,1,44,50,15,46,13,27
Alban Ajdini,KVX,Lausanne-Sport,UEFA Europa Conference League,AM,Forward,26,81,1,36,34,55,50,47,42
Albert Dabiqaj,KVX,KF Drita,UEFA Europa Conference League,AM,Midfielder,29,270,1,90,53,36,21,50,47
Albert Grønbaek,DEN,Genoa,Italian Serie A,CM,Forward,24,65,1,34,58,67,52,64,52
Albert Guðmundsson,ISL,Fiorentina,"Italian Serie A, UEFA Europa Conference League",AM,Forward,28,597,1,62,52,52,33,35,51
Albert Sambi Lokonga,BEL,Hamburger SV,German Bundesliga,CM,Midfielder,26,409,1,90,72,64,35,46,57
Alberto Grassi,ITA,Cremonese,Italian Serie A,CM,Midfielder,30,366,1,40,31,37,34,56,42
Alberto Moleiro,ESP,Villarreal,"Spanish La Liga, UEFA Champions League",LM,Midfielder,22,788,1,91,85,44,52,28,52
Alberto Moreno,ESP,Como,Italian Serie A,LB,Defender,33,157,1,64,45,51,62,15,40
Alberto Reina,ESP,Oviedo,Spanish La Liga,DM,Midfielder,28,621,1,75,47,53,39,38,47
Alberto costa,POR,Porto,UEFA Europa League,RB,Defender,22,143,1,44,76,40,70,75,63
Albian Ajeti,SUI,Basel,UEFA Europa League,AM,Forward,28,231,1,63,22,19,23,37,35
Albian Hajdari,SUI,Hoffenheim,German Bundesliga,CB,Defender,22,585,1,55,55,51,52,73,61
Albion Rrahmani,KVX,Sparta Prague,UEFA Europa Conference League,LW,Forward,25,81,1,25,54,66,79,78,53
Aleix Febas,ESP,Elche,Spanish La Liga,CM,Midfielder,29,1080,1,39,59,74,84,44,59
Aleix García,ESP,Leverkusen,"German Bundesliga, UEFA Champions League",CM,Midfielder,28,1105,1,73,61,79,75,35,60
Alejandro Balde,ESP,Barcelona,"Spanish La Liga, UEFA Champions League",LB,Defender,22,768,1,36,92,62,78,40,55
Alejandro Francés,ESP,Girona,Spanish La Liga,CB,Defender,23,259,1,60,72,62,55,50,56
Alejandro Garnacho,ARG,Chelsea,"English Premier League, UEFA Champions League",LW,Forward,21,471,1,81,67,51,88,59,72
Alejandro Jiménez,ESP,Milan,Italian Serie A,LB,Defender,20,45,1,44,81,68,79,12,45
Alejandro Pozo Pozo,ESP,Jagiellonia,UEFA Europa Conference League,RW,Forward,26,202,1,36,18,58,51,64,39
Alejandro Rego,ESP,Athletic Club,"Spanish La Liga, UEFA Champions League",DM,Midfielder,22,371,1,77,55,49,42,68,58
Alejo Sarco,ARG,Leverkusen,German Bundesliga,AM,Forward,19,35,1,25,56,54,26,23,39
Aleksa Terzić,SRB,RB Salzburg,UEFA Europa League,LB,Defender,26,261,1,96,72,50,67,49,61
Aleksandar Katai,SRB,Red Star,UEFA Europa League,AM,Forward,34,17,1,34,31,60,51,27,40
Aleksandar Pavlovic,GER,Bayern Munich,"German Bundesliga, UEFA Champions League",DM,Midfielder,21,713,1,74,47,72,75,42,60
Aleksandar Pešić,SRB,Ferencváros,UEFA Europa League,AM,Forward,33,86,1,91,54,45,32,29,58
Aleksandar Stanković,SRB,Club Brugge,UEFA Champions League,DM,Midfielder,20,360,1,36,41,38,28,46,39
Aleksandr Golovin,RUS,Monaco,"French Ligue 1, UEFA Champions League",CM,Midfielder,29,571,1,85,71,49,66,71,67
Aleksandr Shirobokov,KAZ,Qaırat Almaty,UEFA Champions League,CB,Defender,22,90,1,44,38,36,18,68,46
Aleksandër Trumci,ALB,Shkëndija 79,UEFA Europa Conference League,RB,Defender,24,360,1,50,41,39,38,35,39
Alen Grgić,CRO,FC Noah,UEFA Europa Conference League,LM,Midfielder,31,72,1,32,43,15,50,31,33
Alen Mustafić,BIH,Slovan Bratislava,UEFA Europa Conference League,AM,Forward,26,25,1,34,52,81,70,56,55
Alessandro Bastoni,ITA,Inter,"Italian Serie A, UEFA Champions League",CB,Defender,26,1101,1,84,80,80,86,55,72
Alessandro Bianco,ITA,PAOK,UEFA Europa League,DM,Midfielder,23,199,1,82,29,43,19,64,49
Alessandro Buongiorno,ITA,Napoli,"Italian Serie A, UEFA Champions League",CB,Defender,26,836,1,33,47,57,54,52,51
Alessandro Circati,AUS,Parma,Italian Serie A,CB,Defender,22,850,1,76,31,39,22,52,45
Alessandro Deiola,ITA,Cagliari,Italian Serie A,CM,Midfielder,30,434,1,40,32,29,15,57,37
Alessandro Di Pardo,ITA,Cagliari,Italian Serie A,WB,Midfielder,26,53,1,26,21,28,18,47,31
Alessandro Marcandalli,ITA,Genoa,Italian Serie A,CB,Defender,23,337,1,43,28,22,18,21,24
Alessandro Vogliacco,ITA,PAOK,UEFA Europa League,CB,Defender,27,163,1,31,28,65,55,33,43
Alessandro Zanoli,ITA,Udinese,Italian Serie A,WB,Midfielder,25,536,1,40,61,34,54,46,46
Alessio Castro-Montes,BEL,Köln,German Bundesliga,LB,Defender,28,38,1,44,64,83,80,72,72
Alessio Romagnoli,ITA,Lazio,Italian Serie A,CB,Defender,30,749,1,46,30,39,27,44,39
Alessio Zerbin,ITA,Cremonese,Italian Serie A,WB,Midfielder,26,520,1,37,51,35,47,52,45
Alex Baena,ESP,Atlético Madrid,"Spanish La Liga, UEFA Champions League",LM,Midfielder,24,444,1,84,79,70,79,34,63
Alex Douglas,SWE,Lech Poznań,UEFA Europa Conference League,CB,Defender,24,90,1,44,32,28,28,33,32
Alex Iwobi,NGA,Fulham,English Premier League,LW,Forward,29,899,1,55,64,80,81,56,67
Alex Král,CZE,Union Berlin,German Bundesliga,CM,Midfielder,27,157,1,44,38,38,23,62,44
Alex Scott,ENG,Bournemouth,English Premier League,DM,Midfielder,22,727,1,78,56,45,67,64,62
Alex Sola,ESP,Getafe,Spanish La Liga,AM,Forward,26,13,1,34,16,16,37,13,25
Alex Tóth,HUN,Ferencváros,UEFA Europa League,CM,Midfielder,20,218,1,45,63,58,52,57,55
Alexander Isak,SWE,Liverpool,"English Premier League, UEFA Champions League",AM,Forward,26,383,1,35,50,40,23,39,38
Alexander Jensen,DEN,Aberdeen,UEFA Europa Conference League,LB,Defender,24,165,1,44,40,16,34,31,31
Alexander Prass,AUT,Hoffenheim,German Bundesliga,LW,Forward,24,247,1,40,40,61,62,71,49
Alexander Røssing-Lelesiit,NOR,Hamburger SV,German Bundesliga,LW,Forward,18,195,1,41,45,27,45,58,41
Alexander Sørloth,NOR,Atlético Madrid,"Spanish La Liga, UEFA Champions League",AM,Forward,29,622,1,61,45,37,33,35,46
Alexandr Mrynskiy,KAZ,Qaırat Almaty,UEFA Champions League,RW,Forward,21,350,1,31,31,42,50,60,38
Alexandre Alemão,BRA,Rayo Vallecano,"Spanish La Liga, UEFA Europa Conference League",AM,Forward,27,574,1,50,36,29,13,37,35
Alexandre Penetra,POR,AZ Alkmaar,UEFA Europa Conference League,CB,Defender,24,91,1,44,43,70,53,24,43
Alexandru Cicâldău,ROU,CS U Craiova,UEFA Europa Conference League,CM,Midfielder,28,206,1,41,68,53,33,38,44
Alexandru Crețu,ROU,CS U Craiova,UEFA Europa Conference League,CM,Midfielder,33,59,1,40,27,27,12,84,45
Alexandru Pantea,ROU,FCSB,UEFA Europa League,RB,Defender,22,270,1,40,54,51,29,46,43
Alexis Claude-Maurice,FRA,Augsburg,German Bundesliga,AM,Forward,27,434,1,42,47,61,64,43,51
Alexis Mac Allister,ARG,Liverpool,"English Premier League, UEFA Champions League",DM,Midfielder,26,790,1,65,60,61,65,47,58
Alexis Saelemaekers,BEL,Milan,Italian Serie A,WB,Midfielder,26,949,1,80,81,51,79,55,66
Alexis Sánchez,CHI,Sevilla,Spanish La Liga,AM,Forward,36,393,1,64,53,67,44,69,58
Alexis Vossah,FRA,Toulouse,French Ligue 1,CM,Midfielder,17,164,1,95,50,34,29,60,52
Alexsandro Ribeiro,BRA,Lille,French Ligue 1,CB,Defender,26,314,1,51,50,43,54,75,60
Alfie Dorrington,ENG,Aberdeen,UEFA Europa Conference League,CB,Defender,20,149,1,44,30,19,12,71,42
Alfon,ESP,Sevilla,Spanish La Liga,LW,Forward,26,202,1,83,53,53,61,48,63
Alfonso Espino,URU,Rayo Vallecano,"Spanish La Liga, UEFA Europa Conference League",LB,Defender,33,457,1,92,92,64,82,69,75
Alfonso Pedraza,ESP,Villarreal,"Spanish La Liga, UEFA Champions League",LB,Defender,29,615,1,44,84,38,68,53,54
Ali Abdi,TUN,Nice,"French Ligue 1, UEFA Europa League",WB,Midfielder,31,430,1,30,46,32,32,59,43
Ali Coote,SCO,Shelbourne FC,UEFA Europa Conference League,CM,Midfielder,27,89,1,28,64,46,43,42,44
Ali Dembélé,FRA,Torino,Italian Serie A,WB,Midfielder,21,13,1,28,31,33,28,23,28
Ali Houary,MAR,Elche,Spanish La Liga,CM,Midfielder,20,123,1,33,27,35,53,56,44
Alidu Seidu,GHA,Rennes,French Ligue 1,CB,Defender,25,435,1,47,71,78,82,76,73
Alieu Fadera,GAM,Sassuolo,Italian Serie A,LW,Forward,24,337,1,59,66,44,64,78,60
Alieu Njie,SWE,Torino,Italian Serie A,AM,Forward,20,3,1,34,32,16,64,13,34
Alimami Gory,MLI,Paris FC,French Ligue 1,LW,Forward,29,110,1,80,29,31,53,53,50
Alimani Gory,MLI,Paris FC,French Ligue 1,AM,Forward,28,57,1,34,20,30,29,48,29
Aliou Thiaré,SEN,Dynamo Kyiv,UEFA Europa Conference League,CB,Defender,21,270,1,44,38,68,57,74,63
Alisson Santos,BRA,Sporting CP,UEFA Champions League,LW,Forward,23,74,1,93,56,48,89,74,72
Alistair Johnston,CAN,Celtic,UEFA Europa League,RB,Defender,27,25,1,44,34,59,82,13,42
Aljoscha Kemlein,GER,Union Berlin,German Bundesliga,CM,Midfielder,21,371,1,29,52,58,40,70,54
Allan Nyom,CMR,Getafe,Spanish La Liga,AM,Forward,37,15,1,34,16,36,25,41,28
Almir Ajzeraj,KVX,KF Drita,UEFA Europa Conference League,AM,Forward,28,203,1,75,62,59,39,53,61
Almoatasem Al Musrati,LBY,Hellas Verona,Italian Serie A,CM,Midfielder,29,56,1,40,36,55,38,54,47
Alonzo Engwanda,BEL,Utrecht,UEFA Europa League,CM,Midfielder,22,329,1,40,19,24,6,60,34
Alpha Amadou Touré,SEN,Metz,French Ligue 1,LB,Defender,19,82,1,44,66,57,72,68,63
Alpha Diounkou,SEN,AC Omonia,UEFA Europa Conference League,RB,Defender,24,102,1,44,85,55,63,38,50
Alpha Touré,SEN,Metz,French Ligue 1,CM,Midfielder,19,539,1,41,38,36,46,60,47
Alvyn Sanches,SUI,Young Boys,UEFA Europa League,CM,Midfielder,22,65,1,31,43,51,50,30,40
Alyaksandr Martynovich,BLR,Qaırat Almaty,UEFA Champions League,CB,Defender,38,270,1,44,51,80,77,68,68
Amad Diallo,CIV,Manchester Utd,English Premier League,WB,Midfielder,23,754,1,55,84,53,72,51,61
Amadou Onana,BEL,Aston Villa,"English Premier League, UEFA Europa League",DM,Midfielder,24,624,1,76,47,54,50,66,59
Amady Camara,MLI,Nantes,French Ligue 1,RW,Forward,20,139,1,28,41,39,66,68,43
Amar Dedić,BIH,Benfica,UEFA Champions League,RB,Defender,23,264,1,48,57,43,73,62,58
Amar Memić,BIH,Viktoria Plzeň,UEFA Europa League,RM,Midfielder,24,331,1,39,63,42,48,41,45
Ameen Al-Dakhil,BEL,Stuttgart,German Bundesliga,CB,Defender,23,129,1,30,56,82,65,36,52
Amer Gojak,BIH,Rijeka,UEFA Europa Conference League,RM,Midfielder,28,30,1,40,46,39,46,74,53
Amin Sarr,SWE,Hellas Verona,Italian Serie A,AM,Forward,24,293,1,33,42,58,53,64,45
Amine Adli,MAR,Bournemouth,English Premier League,AM,Forward,25,218,1,40,55,58,79,89,57
Amine El Ouazzani,MAR,Braga,UEFA Europa League,AM,Forward,24,197,1,30,22,32,15,44,26
Amine Gouiri,ALG,Marseille,"French Ligue 1, UEFA Champions League",AM,Forward,25,392,1,46,70,59,54,40,56
Amine Khammas,MAR,AC Omonia,UEFA Europa Conference League,LB,Defender,26,90,1,44,49,40,36,42,41
Amir Rrahmani,KVX,Napoli,"Italian Serie A, UEFA Champions League",CB,Defender,31,450,1,32,47,77,58,49,54
Amor Layouni,TUN,Häcken,UEFA Europa Conference League,LW,Forward,33,104,1,34,46,33,74,49,45
Amos Pieper,GER,Werder Bremen,German Bundesliga,CB,Defender,27,360,1,46,51,65,56,70,62
Anan Khalaili,ISR,Union SG,UEFA Champions League,WB,Midfielder,21,341,1,31,50,41,35,88,55
Anass Salah-Eddine,NED,PSV Eindhoven,UEFA Champions League,LB,Defender,23,284,1,48,66,59,45,40,48
Anass Zaroury,MAR,Panathinaikos,UEFA Europa League,LW,Forward,24,271,1,88,56,68,81,37,71
Anastasios Bakasetas,GRE,Panathinaikos,UEFA Europa League,AM,Forward,32,159,1,45,60,79,58,84,60
Anastasios Chatzigiovannis,GRE,AC Omonia,UEFA Europa Conference League,LW,Forward,28,115,1,24,58,55,56,61,47
Anastasios Douvikas,GRE,Como,Italian Serie A,AM,Forward,26,459,1,76,48,43,29,55,52
Ander Barrenetxea,ESP,Real Sociedad,Spanish La Liga,LM,Midfielder,23,833,1,60,92,52,76,33,57
Ander Guevara,ESP,Alavés,Spanish La Liga,CM,Midfielder,28,239,1,80,44,55,42,56,55
Anders Christiansen,DEN,Malmö,UEFA Europa League,AM,Forward,35,85,1,46,30,70,58,42,47
Anders Klynge,DEN,Bodø/Glimt,UEFA Champions League,CB,Defender,25,4,1,44,21,52,59,5,31
Anderson,BRA,Pafos FC,UEFA Champions League,AM,Forward,27,76,1,31,30,37,44,35,34
Andoni Gorosabel,ESP,Athletic Club,"Spanish La Liga, UEFA Champions League",RB,Defender,29,498,1,47,71,64,66,43,54
Andraž Šporar,SVN,Slovan Bratislava,UEFA Europa Conference League,AM,Forward,31,173,1,34,59,49,18,35,41
Andre Annous,ENG,Arsenal,UEFA Champions League,AM,Forward,17,10,1,34,16,30,52,33,31
Andre-Frank Zambo Anguissa,CMR,Napoli,"Italian Serie A, UEFA Champions League",CM,Midfielder,29,1273,1,85,72,48,54,56,60
Andrea Belotti,ITA,Cagliari,Italian Serie A,AM,Forward,31,189,1,80,35,33,25,36,46
Andrea Cambiaso,ITA,Juventus,"Italian Serie A, UEFA Champions League",WB,Midfielder,25,1094,1,61,68,62,83,46,62
Andrea Ghion,ITA,Sassuolo,Italian Serie A,LW,Forward,25,10,1,34,16,17,8,48,22
Andrea Pinamonti,ITA,Sassuolo,Italian Serie A,AM,Forward,26,918,1,77,33,27,13,36,42
Andreas Christensen,DEN,Barcelona,"Spanish La Liga, UEFA Champions League",CB,Defender,29,348,1,50,29,71,72,41,54
Andreas Cornelius,DEN,FC Copenhagen,UEFA Champions League,AM,Forward,32,19,1,34,55,21,23,57,37
Andreas Hanche-Olsen,NOR,Mainz 05,"German Bundesliga, UEFA Europa Conference League",CB,Defender,28,681,1,47,38,44,33,47,43
Andreas Helmersen,NOR,Bodø/Glimt,UEFA Champions League,AM,Forward,27,68,1,81,67,44,32,60,60
Andreas Hountondji,BEN,St. Pauli,German Bundesliga,AM,Forward,23,474,1,79,41,33,37,36,50
Andreas Schjelderup,NOR,Benfica,UEFA Champions League,LW,Forward,21,105,1,30,69,84,95,48,64
Andreas Skov Olsen,DEN,Wolfsburg,German Bundesliga,RW,Forward,25,362,1,65,51,58,53,49,57
Andrei Ratiu,ROU,Rayo Vallecano,"Spanish La Liga, UEFA Europa Conference League",RB,Defender,27,1126,1,53,80,61,79,60,64
Andrej Bačanin,SRB,Basel,UEFA Europa League,AM,Forward,18,25,1,34,38,85,51,88,50
Andrej Ilic,SRB,Union Berlin,German Bundesliga,AM,Forward,25,743,1,25,57,37,16,39,36
Andrej Kotnik,SVN,NK Celje,UEFA Europa Conference League,AM,Forward,30,17,1,34,23,50,75,46,42
Andrej Kramarić,CRO,Hoffenheim,German Bundesliga,AM,Forward,34,600,1,74,76,78,69,43,73
Andrej Đurić,MNE,Malmö,UEFA Europa League,CB,Defender,22,166,1,30,35,51,44,42,42
Andres Dumitrescu,ROU,Sigma Olomouc,UEFA Europa Conference League,LB,Defender,24,9,1,44,21,14,21,11,19
Andrew Omobamidele,IRL,Strasbourg,"French Ligue 1, UEFA Europa Conference League",CB,Defender,23,468,1,31,29,43,48,39,40
Andrew Robertson,SCO,Liverpool,"English Premier League, UEFA Champions League",LB,Defender,31,557,1,87,86,79,78,58,72
Andrey Santos,BRA,Chelsea,"English Premier League, UEFA Champions League",DM,Midfielder,21,347,1,34,63,69,67,58,59
