Player,Nationality,Team,League,Position,General Position,Age,Minutes,Matches,Offensive Index,Passing Index,Possession Index,Defensive Index
Albert Guðmundsson,ISL,Fiorentina,"Italian Serie A, UEFA Europa Conference League",AM,Forward,27,1733,1,70,56,53,35
Albert Sambi Lokonga,BEL,Sevilla,Spanish La Liga,DM,Midfielder,25,1471,1,39,56,44,48
Albert Vallci,AUT,St. Gallen,UEFA Europa Conference League,CB,Defender,29,425,1,51,33,36,49
Alberto Cerri,ITA,Como,Italian Serie A,AM,Forward,28,87,1,26,13,32,45
Alberto Dossena,ITA,Como,Italian Serie A,CB,Defender,26,1825,1,35,42,24,62
Alberto Grassi,ITA,Empoli,Italian Serie A,CM,Midfielder,30,2203,1,46,29,25,46
Alberto Manzoni,ITA,Atalanta,Italian Serie A,CM,Midfielder,19,6,1,33,18,6,37
Alberto Marí,ESP,Valencia,Spanish La Liga,AM,Forward,23,7,1,43,24,44,8
Alberto Moleiro,ESP,Las Palmas,Spanish La Liga,LW,Forward,21,2714,1,60,61,71,45
Alberto Moreno,ESP,Como,Italian Serie A,LB,Defender,32,1727,1,57,70,65,27
Alberto Risco,ESP,Getafe,Spanish La Liga,AM,Midfielder,19,69,1,54,68,90,65
Alberto costa,POR,"Juventus, Vitória","Italian Serie A, UEFA Europa Conference League",RB,Defender,21,717,1,82,63,86,67
Albian Hajdari,SUI,Lugano,UEFA Europa Conference League,CB,Defender,21,629,1,80,39,38,59
Albion Rrahmani,KVX,Sparta Prague,UEFA Champions League,AM,Forward,24,325,1,55,34,24,46
Alec Van Hoorenbeeck,BEL,Twente,UEFA Europa League,CB,Defender,26,231,1,31,21,16,38
Aleix García,ESP,Leverkusen,"German Bundesliga, UEFA Champions League",CM,Midfielder,27,1819,1,83,83,60,31
Alejandro Balde,ESP,Barcelona,"Spanish La Liga, UEFA Champions League",LB,Defender,21,3087,1,51,78,93,36
Alejandro Blanco,ESP,Olimpija,UEFA Europa Conference League,RM,Midfielder,26,418,1,70,45,72,31
