Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Line Index,Passes Index
Demba Thiam,SEN,Goalkeeper,Juve Stabia,0.0,1998,38,38,3420,72,62
Diant Ramaj,GER,Goalkeeper,Ajax,0.0,2001,1,1,90,69,25
Diego Enriquez,PER,Goalkeeper,pe Sporting Cristal,23.0,2002,6,6,540,19,30
Diego Matías Rodríguez,ARG,Goalkeeper,Arg Juniors,36.0,1989,19,19,1710,66,63
Diogo Costa,POR,Goalkeeper,Porto,0.0,1999,32,32,2880,61,65
Drake Callender,USA,Goalkeeper,Inter Miami,27.0,1997,3,2,185,28,71
Earl Edwards Jr.,USA,Goalkeeper,SJ Earthquakes,33.0,1992,6,4,475,15,54
Edoardo Motta,ITA,Goalkeeper,Reggiana,0.0,2005,2,2,180,24,57
Eduardo García,MEX,Goalkeeper,Guadalajara,0.0,2002,2,2,180,25,51
Egil Selvik,NOR,Goalkeeper,Watford,0.0,1997,16,16,1440,77,54
Elhan Kastrati,ALB,Goalkeeper,Cittadella,0.0,1997,29,29,2565,46,25
Emil Audero,IDN,Goalkeeper,Palermo,0.0,1997,14,14,1260,64,73
Enrique Bologna,ARG,Goalkeeper,Defensa y Just,43.0,1982,19,19,1710,66,70
Esteban Andrada,ARG,Goalkeeper,Monterrey,0.0,1991,24,24,2160,51,73
Ethan Horvath,USA,Goalkeeper,Cardiff City,0.0,1995,17,17,1530,20,33
Etienne Vaessen,SUR,Goalkeeper,Groningen,0.0,1995,32,32,2880,56,68
Evan Bush,USA,Goalkeeper,Columbus Crew,39.0,1986,5,5,450,46,28
Ezequiel Centurión,ARG,Goalkeeper,Ind. Rivadavia,28.0,1997,19,19,1710,63,50
Ezequiel Unsain,ARG,Goalkeeper,Necaxa,0.0,1995,34,34,3060,42,60
Fabian de Keijzer,NED,Goalkeeper,Heracles Almelo,0.0,2000,34,34,3060,31,67
Facundo Cambeses,ARG,Goalkeeper,Racing Club,28.0,1997,7,5,513,27,36
Facundo Sanguinetti,ARG,Goalkeeper,Banfield,24.0,2001,19,19,1710,57,48
Federico Lanzillota,ARG,Goalkeeper,bo Bolívar,32.0,1992,3,3,270,22,40
Felipe Zenobio,ARG,Goalkeeper,Tigre,25.0,2000,19,19,1710,75,40
Fernando Miguel,BRA,Goalkeeper,Ceará,40.0,1985,8,7,657,78,48
Fernando Muslera,URU,Goalkeeper,Estudiantes–LP,39.0,1986,3,3,270,87,75
Fernando Tapia,MEX,Goalkeeper,UANL,0.0,2001,3,3,270,80,48
Fernando de Paul,CHI,Goalkeeper,cl Colo-Colo,34.0,1991,1,1,90,70,52
Francesco Bardi,ITA,Goalkeeper,Reggiana,0.0,1992,36,36,3240,33,31
Francesco Corriere,ITA,Goalkeeper,Salernitana,0.0,2006,1,0,47,10,76
Francisco Meixedo,POR,Goalkeeper,Estrela,0.0,2001,1,0,45,76,87
Franco Armani,ARG,Goalkeeper,ar River Plate,38.0,1986,25,25,2250,59,41
Franco Israel,URU,Goalkeeper,Sporting CP,0.0,2000,11,11,990,29,30
Franco Petroli,ARG,Goalkeeper,Godoy Cruz,27.0,1998,19,19,1710,63,76
Freddie Woodman,ENG,Goalkeeper,Preston,0.0,1997,37,37,3329,40,85
Fábio,BRA,Goalkeeper,Fluminense,44.0,1980,15,15,1350,40,22
Gabriel,BRA,Goalkeeper,Sport Recife,32.0,1992,4,4,360,11,37
Gabriel Arias,CHI,Goalkeeper,ar Racing Club,37.0,1987,20,20,1734,63,37
Gabriel Batista,BRA,Goalkeeper,Santa Clara,0.0,1998,34,34,3060,48,42
Gabriel Brazão,BRA,Goalkeeper,Santos,24.0,2000,16,16,1440,54,32
Gabriel Castellón,CHI,Goalkeeper,cl U de Chile,31.0,1993,6,6,540,52,36
Gabriel Delfim,BRA,Goalkeeper,Atlético Mineiro,23.0,2002,1,1,90,22,26
Gastón Olveira,URU,Goalkeeper,py Olimpia,32.0,1993,3,3,270,20,44
Gatito Fernández,PAR,Goalkeeper,py Cerro Porteño,37.0,1988,3,3,270,55,47
Gavin Bazunu,IRL,Goalkeeper,Standard Liège,0.0,2002,6,6,540,34,48
George Evans,ENG,Goalkeeper,Millwall,0.0,2005,4,4,360,20,60
George Long,ENG,Goalkeeper,Norwich City,0.0,1993,9,8,765,21,40
Giacomo Drago,ITA,Goalkeeper,Südtirol,0.0,2001,5,5,450,30,39
Giacomo Poluzzi,ITA,Goalkeeper,Südtirol,0.0,1988,18,18,1620,32,70
Giacomo Satalino,ITA,Goalkeeper,Sassuolo,0.0,1999,10,10,900,66,48
Gil Alcalá,MEX,Goalkeeper,UNAM,0.0,1992,4,4,360,46,77
