Player,Nation,General Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Offensive Index,Passing Index,Possession Index,Defensive Index
Santiago Moyano,ARG,Midfielder,Cen. Córdoba–SdE,27.0,1997,16,15,1305,43,48,67,71
Santiago Muñóz,MEX,Forward,Santos,22.0,2002,38,15,1568,52,48,34,40
Santiago Naveda,MEX,Midfielder,Santos,0.0,2001,13,12,949,28,35,27,56
Santiago Núñez,ARG,Defender,Santos,25.0,2000,31,29,2598,41,23,28,70
Santiago Ormeño,PER,Forward,Puebla,0.0,1994,9,5,482,52,43,23,35
Santiago Quiros,ARG,Defender,Racing Club,22.0,2003,10,7,620,32,33,44,29
Santiago Rodriguez,ARG,Forward,Arg Juniors,27.0,1997,13,3,364,36,52,50,69
Santiago Rodríguez,URU,Forward,Botafogo (RJ),25.0,2000,12,3,374,39,56,63,78
Santiago Salle,ARG,Forward,Independiente,21.0,2004,6,3,321,67,63,70,70
Santiago Segovia,ARG,Midfielder,Rosario Central,18.0,2007,5,3,209,49,72,73,52
Santiago Simón,ARG,Midfielder,River Plate,23.0,2002,14,6,597,45,63,83,62
Santiago Solari,ARG,Forward,Racing Club,27.0,1998,20,10,953,76,59,75,39
Santiago Sosa,ARG,Midfielder,Racing Club,26.0,1999,20,20,1693,62,43,28,85
Santiago Sosa,ARG,Midfielder,Defensa y Just,20.0,2005,3,0,51,42,20,13,50
Santiago Toloza,ARG,Forward,Platense,22.0,2002,4,0,53,48,75,69,12
Santiago Trigos,MEX,Midfielder,UNAM,0.0,2002,20,7,764,64,64,42,67
Santiago Villarreal,ARG,Forward,Gimnasia–LP,19.0,2005,4,0,58,55,76,80,50
Santino Andino,ARG,Forward,Godoy Cruz,19.0,2005,14,10,880,57,39,73,71
Saná Fernandes,POR,Forward,NAC Breda,0.0,2006,15,4,497,67,50,82,63
Sasha Marcich,ARG,Defender,Lanús,27.0,1998,19,18,1634,49,78,72,69
Sayfallah Ltaief,TUN,Forward,Twente,0.0,2000,30,11,1202,61,74,95,49
Saïd Bakari,COM,Defender,Sparta R'dam,0.0,1994,26,24,2144,71,63,77,61
Saúl Salcedo,PAR,Defender,Newell's OB,27.0,1997,13,11,931,39,42,50,66
Saúl Zamora,MEX,Defender,Guadalajara,0.0,2003,1,0,9,29,16,9,4
Scott Twine,ENG,Forward,Bristol City,0.0,1999,35,26,2119,59,78,35,61
Sean Johnson,USA,Goalkeeper,Toronto FC,36.0,1989,24,24,2160,45,40,54,71
Sean McLoughlin,IRL,Defender,Hull City,0.0,1996,37,37,3213,47,62,57,44
Sean Nealis,USA,Defender,NY Red Bulls,28.0,1997,19,17,1528,29,41,33,62
Sean Steur,NED,Midfielder,Ajax,0.0,2008,1,0,8,28,10,7,11
Sean Zawadzki,USA,Midfielder,Columbus Crew,25.0,2000,22,22,1980,56,49,29,54
Sebastian Berhalter,USA,Midfielder,Vancouver W'caps,24.0,2001,19,16,1456,82,91,60,63
Sebastian Breza,CAN,Goalkeeper,CF Montréal,27.0,1998,3,3,270,40,44,45,51
Sebastian Kowalczyk,POL,Forward,Houston Dynamo,26.0,1998,22,14,1325,48,55,58,54
Sebastian Lletget,USA,Midfielder,FC Dallas,32.0,1992,14,13,1001,61,55,38,26
Sebastian Santos,MEX,Defender,León,0.0,2003,20,19,1553,44,54,71,72
Sebastiano Desplanches,ITA,Goalkeeper,Palermo,0.0,2003,21,20,1854,56,44,57,46
Sebastiano Musu,ITA,Forward,NYCFC,24.0,2000,1,0,14,49,50,64,31
Sebastien De Maio,FRA,Defender,Mantova,0.0,1987,14,8,919,37,46,23,32
Sebastien Ibeagha,USA,Defender,FC Dallas,33.0,1992,23,22,2019,44,34,14,36
Sebastien Salles-Lamonge,FRA,Forward,Atlético,0.0,1996,34,31,2582,70,83,55,37
Sebastián Boselli,URU,Defender,Estudiantes–LP,21.0,2003,15,13,1212,27,34,39,66
Sebastián Britos,URU,Goalkeeper,pe Universitario,37.0,1988,6,6,540,40,46,45,42
Sebastián Coates,URU,Defender,uy Nacional,34.0,1990,5,5,397,68,28,32,70
Sebastián Cristóforo,URU,Forward,Cen. Córdoba–SdE,31.0,1993,12,3,344,19,59,24,86
Sebastián Cáceres,URU,Defender,América,0.0,1999,13,11,822,30,30,22,80
Sebastián Driussi,ARG,Forward,River Plate,29.0,1996,19,15,1125,66,63,50,50
Sebastián Ferreira,PAR,Forward,Rosario Central,27.0,1998,8,4,308,52,11,21,50
Sebastián Fierro,MEX,Midfielder,León,0.0,2001,8,2,193,30,19,13,43
Sebastián González,ARG,Forward,San Martín de San Juan,33.0,1992,11,6,602,59,77,35,61
Sebastián Hernández,MEX,Forward,Querétaro,0.0,2004,13,7,585,20,34,24,82
Sebastián Jaurena,ARG,Midfielder,San Martín de San Juan,26.0,1999,16,12,970,42,50,53,60
Sebastián Jurado,MEX,Goalkeeper,FC Juárez,0.0,1997,21,21,1890,46,65,55,52
Sebastián Martínez,MEX,Forward,Atlético,0.0,2003,1,0,2,24,23,5,8
Sebastián Medina,ARG,Forward,Tigre,25.0,2000,17,8,776,49,63,37,80
Sebastián Meza,ARG,Goalkeeper,Huracán,25.0,2000,3,3,270,40,40,45,49
Sebastián Olmedo,PAR,Defender,Puebla,0.0,2001,9,7,558,38,21,22,31
Sebastián Palacios,ARG,Forward,Talleres,33.0,1992,14,5,468,50,68,76,40
Sebastián Prieto,ARG,Defender,Arg Juniors,32.0,1993,16,14,1227,90,80,89,59
Sebastián Pérez Bouquet,MEX,Forward,FC Juárez,0.0,2003,4,0,34,57,95,68,25
Sebastián Pérez Cardona,COL,Midfielder,Boavista,0.0,1993,29,24,2024,59,47,25,60
Sebastián Valdez,ARG,Defender,Independiente,29.0,1995,16,13,1290,27,40,56,57
Sebastián Vegas,CHI,Defender,Monterrey,28.0,1996,16,13,1169,34,64,43,58
Sebastián Venegas,MEX,Midfielder,UNAM,0.0,2005,1,0,45,32,14,24,60
Sebastián Villa,COL,Forward,Ind. Rivadavia,29.0,1996,19,19,1701,69,82,87,32
Sebastián Viveros,COL,Midfielder,bo San Antonio Bulo Bulo,28.0,1997,6,6,412,58,23,36,67
Seiya Maikuma,JPN,Defender,AZ Alkmaar,0.0,1997,26,21,1909,54,78,72,74
Sem Scheperman,NED,Midfielder,Heracles Almelo,0.0,2002,23,17,1639,43,37,27,88
