Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Lorient,French Ligue 1,J2,51%,444 of 525 — 85%,7 of 22 — 32%,1 of 1 — 100%
Rennes,French Ligue 1,J2,49%,85% — 429 of 503,25% — 1 of 4,42% — 3 of 7
Strasbourg,French Ligue 1,J2,49%,418 of 496 — 84%,4 of 15 — 27%,2 of 2 — 100%
Nantes,French Ligue 1,J2,51%,82% — 426 of 519,22% — 2 of 9,75% — 3 of 4
Le Havre,French Ligue 1,J2,58%,476 of 591 — 81%,6 of 18 — 33%,1 of 2 — 50%
Lens,French Ligue 1,J2,42%,84% — 360 of 430,40% — 2 of 5,83% — 5 of 6
Toulouse,French Ligue 1,J2,48%,336 of 422 — 80%,3 of 6 — 50%,2 of 2 — 100%
Brest,French Ligue 1,J2,52%,81% — 375 of 463,13% — 2 of 16,33% — 1 of 3
Lille,French Ligue 1,J2,50%,368 of 467 — 79%,1 of 17 — 6%,1 of 1 — 100%
Monaco,French Ligue 1,J2,50%,78% — 363 of 467,17% — 1 of 6,0% — 0 of 1
Roma,Italian Serie A,J1,51%,358 of 444 — 81%,4 of 14 — 29%,2 of 2 — 100%
Bologna,Italian Serie A,J1,49%,76% — 329 of 434,20% — 2 of 10,75% — 3 of 4
Cagliari,Italian Serie A,J1,45%,317 of 393 — 81%,5 of 14 — 36%,0 of 1 — 0%
Fiorentina,Italian Serie A,J1,55%,82% — 387 of 473,25% — 1 of 4,80% — 4 of 5
Como,Italian Serie A,J1,63%,511 of 575 — 89%,6 of 19 — 32%,1 of 1 — 100%
Lazio,Italian Serie A,J1,38%,83% — 288 of 345,20% — 1 of 5,66% — 4 of 6
Bayern Munich,German Bundesliga,J1,63%,621 of 691 — 90%,9 of 19 — 47%,1 of 1 — 100%
RB Leipzig,German Bundesliga,J1,37%,81% — 329 of 406,8% — 1 of 12,33% — 3 of 9
Eint Frankfurt,German Bundesliga,J1,53%,432 of 520 — 83%,5 of 18 — 28%,4 of 5 — 80%
Werder Bremen,German Bundesliga,J1,47%,81% — 376 of 466,50% — 5 of 10,20% — 1 of 5
Freiburg,German Bundesliga,J1,61%,399 of 514 — 78%,3 of 15 — 20%,2 of 5 — 40%
Augsburg,German Bundesliga,J1,39%,68% — 227 of 334,36% — 5 of 14,100% — 3 of 3
Union Berlin,German Bundesliga,J1,25%,140 of 230 — 61%,2 of 8 — 25%,5 of 6 — 83%
Stuttgart,German Bundesliga,J1,75%,85% — 575 of 675,29% — 6 of 21,0% — 0 of 2
Heidenheim,German Bundesliga,J1,49%,344 of 431 — 80%,2 of 7 — 29%,2 of 4 — 50%
Wolfsburg,German Bundesliga,J1,51%,79% — 355 of 450,29% — 4 of 14,50% — 1 of 2
Leverkusen,German Bundesliga,J1,60%,518 of 618 — 84%,2 of 7 — 29%,3 of 5 — 60%
Hoffenheim,German Bundesliga,J1,40%,80% — 335 of 419,50% — 5 of 10,50% — 1 of 2
St. Pauli,German Bundesliga,J1,51%,425 of 540 — 79%,6 of 10 — 60%,3 of 6 — 50%
Dortmund,German Bundesliga,J1,49%,85% — 439 of 514,86% — 6 of 7,66% — 4 of 6
Mainz 05,German Bundesliga,J1,51%,337 of 460 — 73%,2 of 19 — 11%,1 of 2 — 50%
Köln,German Bundesliga,J1,49%,80% — 348 of 437,17% — 2 of 12,100% — 2 of 2
Gladbach,German Bundesliga,J1,61%,512 of 606 — 84%,4 of 17 — 24%,1 of 1 — 100%
Hamburger SV,German Bundesliga,J1,39%,78% — 306 of 394,14% — 1 of 7,100% — 4 of 4
