Team,Average Age,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes Received,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Total Aerial Duels,Ball Losses,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels won,Penaltys Winner,Possession,Efficiency,% Aerial Duels,% Passes (Total),% Passes (Short),% Passes (Medium),% Passes (Long),% Tackles/Duels,% Take-Ons,Efficiency GK,% Saves,% Long Passes GK,% Crosses Stopped
Atalanta,27.7,48,95.83,91.96,89.88,81.85,58.04,83.04,89.29,95.83,85.12,85.71,86.9,86.31,84.52,86.9,62.5,29.76,90.48,82.74,93.45,97.02,94.05,97.62,94.05,8.04,10.71,6.25,44.94,40.18,19.64,17.86,81.55,14.29,19.64,5.95,75.6,84.52,9.52,14.88,78.57,94.64,91.67,84.52,66.67,59.52,89.88,98.21,92.86,46.43,35.71,85.12,78.27,75.89,54.76,63.1,23.21,52.68,83.63,87.2,44.64,79.17,72.62,64.29,92.86,12.5,28.27,95.83,13.39,26.49,24.4,43.75,6.55,35.71,36.31,35.71,73.81,19.64,4.17,11.01,83.63,58.33,35.71,97.02,91.07,94.64,12.5,21.13,84.52,80.36,92.86,80.95,76.79,74.4,87.8,58.93,41.67,61.61,88.39,45.54,34.82
Athletic Club,26.9,52,60.12,58.63,63.99,45.83,35.12,54.76,66.07,62.8,47.02,48.21,38.69,36.31,64.29,63.69,58.93,64.29,69.05,80.95,51.79,83.33,80.36,74.4,80.36,22.62,23.51,7.74,73.51,43.15,34.52,35.12,61.31,11.9,54.76,38.69,59.82,47.02,3.57,4.76,69.05,72.02,53.57,47.02,89.29,82.74,41.67,67.86,70.24,24.4,8.93,47.02,70.83,47.32,41.96,19.94,26.49,66.07,63.1,48.81,58.63,85.12,56.25,41.07,97.92,2.68,4.76,92.86,51.79,55.95,69.05,43.75,2.98,57.14,51.19,18.45,33.63,12.5,13.1,66.67,69.64,59.52,13.69,79.76,66.67,57.14,27.98,64.58,51.79,58.04,39.88,45.83,35.42,51.79,44.35,41.07,32.44,67.86,64.88,60.12,86.9
Atlético Madrid,28.5,48,88.39,80.36,51.79,73.81,58.04,54.76,56.85,91.67,89.29,89.88,92.86,94.05,70.83,69.64,63.69,31.55,57.44,73.21,83.93,82.74,74.4,86.9,74.4,48.21,51.19,63.1,41.37,43.15,67.26,62.5,38.99,16.07,15.48,24.4,33.93,88.1,23.81,72.02,86.31,81.55,63.69,88.1,43.45,39.29,91.67,90.48,61.01,66.67,89.88,89.29,63.99,60.12,79.46,73.51,45.54,42.56,35.71,27.38,44.64,48.21,20.83,84.52,96.73,7.74,18.45,92.86,73.21,84.52,24.4,88.69,1.19,14.88,10.12,1.79,86.31,67.86,34.82,66.67,26.79,14.29,83.93,76.79,63.69,69.64,60.12,45.54,66.67,89.29,55.95,81.55,80.65,67.86,85.12,56.85,41.07,24.4,91.37,74.4,75.6
Augsburg,26.8,34,30.95,22.62,43.45,27.38,22.92,16.96,45.83,35.12,31.55,32.74,32.14,33.33,36.31,34.52,58.33,58.33,44.64,43.45,48.81,67.26,48.21,21.43,48.21,2.98,9.82,5.06,27.08,24.7,12.5,5.36,96.43,73.81,80.36,81.55,76.79,34.52,48.81,18.45,42.26,54.76,44.64,34.52,36.31,29.46,34.52,38.1,16.07,7.74,51.49,32.74,37.5,25.3,29.76,85.71,47.62,44.64,29.17,48.81,33.04,51.79,81.55,32.74,44.35,52.68,57.14,80.06,51.79,66.67,24.4,43.75,53.27,88.39,78.87,56.55,25.0,86.31,84.82,23.51,73.51,75.6,15.77,42.26,42.26,44.05,9.52,21.13,25.3,55.36,76.79,27.98,20.83,40.48,51.49,93.45,16.96,52.08,55.36,75.6,12.5
Auxerre,25.9,34,53.57,40.18,34.52,55.95,58.04,54.76,42.26,64.29,24.4,23.81,30.95,29.17,17.26,14.88,64.88,75.6,44.64,23.21,28.57,51.19,33.04,30.95,36.9,83.93,84.52,83.93,60.42,82.14,80.95,77.98,31.85,60.71,85.12,76.19,70.24,25.0,55.95,52.38,25.6,23.21,29.46,25.0,72.62,54.17,32.14,34.52,47.62,79.76,14.88,23.81,58.63,35.12,47.62,47.62,39.29,78.57,63.1,21.73,17.56,63.99,33.04,62.5,44.35,73.21,80.65,69.35,78.87,81.25,77.68,43.75,73.21,92.26,94.64,53.57,91.07,48.81,86.31,63.99,70.54,35.12,44.05,35.12,44.64,31.55,83.93,74.4,16.07,89.29,48.21,29.76,36.31,33.93,38.69,67.26,20.83,83.33,70.83,38.69,41.67
Barcelona,25.1,52,100.0,98.81,95.83,97.62,85.71,83.04,96.43,100.0,98.21,98.21,96.43,97.02,98.21,98.81,82.74,29.17,94.64,99.4,95.83,41.07,98.81,95.83,98.81,10.12,18.45,2.38,57.14,86.31,17.86,21.43,71.43,15.48,1.79,2.98,83.04,98.21,8.33,10.71,98.21,98.21,95.24,98.21,98.21,99.4,97.02,94.05,91.07,54.46,58.33,98.21,94.64,47.32,54.76,94.64,71.13,66.07,92.26,48.81,58.63,61.31,12.5,94.05,80.06,5.36,4.17,83.93,51.79,66.67,24.4,43.75,11.01,1.19,0.6,67.56,76.79,7.14,7.74,17.86,100.0,7.14,55.65,98.21,97.62,95.83,17.26,21.13,99.4,86.31,69.64,97.02,96.43,94.05,98.21,56.85,91.67,34.52,25.6,30.36,47.02
Bayern Munich,27.7,48,99.4,99.4,99.4,99.4,97.02,94.94,99.4,99.4,100.0,100.0,100.0,100.0,99.4,99.4,92.26,52.38,99.4,100.0,100.0,60.71,100.0,98.81,100.0,17.86,16.96,1.19,61.61,95.54,32.74,22.62,78.57,19.64,13.69,1.19,25.6,100.0,4.76,9.52,100.0,99.4,100.0,100.0,96.43,96.43,100.0,98.81,97.02,61.01,64.29,100.0,95.54,81.85,79.46,98.21,16.96,58.93,92.26,87.2,80.65,92.26,36.9,89.88,90.77,0.6,0.6,95.83,13.39,20.83,24.4,88.69,1.79,39.29,19.05,89.88,26.79,1.19,0.6,2.38,97.02,19.05,64.29,100.0,100.0,100.0,22.62,45.54,100.0,80.36,95.24,98.21,98.51,97.62,99.4,63.1,86.9,13.39,8.33,90.48,10.12
Başakşehir,28.4,6,65.18,75.0,68.45,69.35,82.74,66.67,61.31,44.94,54.76,57.14,45.83,47.62,54.17,51.19,89.29,88.1,69.05,25.6,61.01,80.36,44.94,55.06,42.56,46.13,32.74,40.77,43.15,75.0,6.55,4.76,92.86,71.73,89.29,60.12,89.88,63.69,37.8,36.9,79.76,48.21,67.86,63.69,66.67,51.49,58.93,66.37,62.5,19.05,54.76,54.17,4.76,91.96,79.46,61.31,91.07,69.64,9.23,95.83,80.65,77.38,80.65,27.98,17.56,90.48,88.69,3.87,4.76,7.74,24.4,43.75,92.26,59.82,75.89,68.45,7.14,36.9,28.57,75.6,92.56,77.38,27.38,44.64,58.63,67.56,14.88,21.13,76.79,44.64,65.77,44.05,16.07,66.67,72.62,30.36,27.38,78.57,44.35,23.21,83.33
Benfica,25.8,12,80.36,95.83,79.17,86.61,99.11,96.73,79.17,81.55,39.29,38.69,44.64,45.83,33.93,30.36,78.57,58.93,75.0,46.43,66.67,61.9,39.29,66.07,39.29,97.02,86.31,97.92,87.2,51.19,95.24,98.21,2.68,75.6,94.64,44.64,56.85,41.07,58.63,71.43,36.9,39.29,72.02,40.48,31.85,23.81,63.69,54.46,67.26,48.21,27.08,39.29,32.14,60.12,79.46,71.73,2.98,1.19,98.51,40.77,80.65,77.98,70.24,71.43,34.52,70.54,70.83,83.93,59.82,74.7,24.4,43.75,14.88,1.79,11.61,6.55,97.02,50.89,58.33,30.65,24.11,54.76,33.33,44.05,79.76,70.83,94.35,21.13,27.38,21.13,94.64,44.64,33.33,43.15,77.98,7.14,20.24,1.79,53.57,1.79,19.94
Betis,27.4,53,61.61,70.24,87.5,80.36,68.45,76.19,86.9,68.75,73.81,69.64,81.55,79.76,57.74,57.14,50.6,33.33,86.31,67.26,71.43,55.36,67.86,71.43,66.07,51.19,54.76,22.02,74.4,72.92,75.6,57.74,56.55,33.93,68.15,48.21,81.25,75.6,17.26,37.5,70.83,83.33,76.19,75.6,82.74,82.14,77.38,82.14,88.1,12.5,25.0,73.81,60.71,42.56,79.46,45.83,90.48,81.55,83.63,76.19,58.63,69.05,36.31,60.71,75.6,8.93,5.95,44.94,24.4,40.48,24.4,43.75,17.26,19.05,27.98,44.64,53.57,17.86,30.36,45.54,66.37,38.69,10.12,66.67,83.93,76.19,64.88,21.13,70.24,47.62,48.81,74.4,84.52,62.5,67.26,77.98,72.02,41.37,31.55,25.0,55.95
Beşiktaş,27.9,8,46.73,75.89,58.93,63.39,58.04,98.21,69.05,54.76,72.62,70.83,70.24,70.83,71.43,70.24,61.31,55.36,59.52,65.77,33.93,2.68,45.83,68.75,47.62,86.61,76.49,91.67,46.43,86.9,85.71,58.93,65.48,87.8,93.75,35.71,50.0,70.83,86.31,86.31,66.07,53.57,41.67,70.83,73.51,93.15,68.45,88.69,53.87,22.92,7.14,72.62,2.08,91.96,79.46,75.89,19.64,89.88,63.1,59.82,80.65,89.29,22.92,86.01,20.24,91.07,93.15,15.77,40.77,55.95,24.4,43.75,92.86,21.73,41.96,40.48,98.81,71.13,45.54,58.63,4.76,15.48,11.9,48.81,67.26,33.93,80.95,21.13,64.29,15.48,70.83,72.02,73.21,69.05,60.71,72.02,98.81,87.8,61.31,7.14,62.5
Bochum,28.0,34,22.32,42.86,62.5,44.94,22.92,25.89,55.95,21.43,13.69,25.0,4.76,5.36,20.83,26.79,86.31,100.0,53.87,30.95,41.07,65.18,35.71,7.74,36.01,62.5,59.52,77.38,32.14,48.51,73.21,58.33,47.92,92.86,43.75,68.45,37.5,26.79,52.38,24.11,31.55,33.93,45.54,26.79,3.57,2.38,17.26,10.12,9.82,30.95,94.64,13.69,52.68,69.35,47.62,12.5,3.57,33.93,41.67,35.12,80.65,52.38,99.4,5.36,17.56,48.51,15.48,20.83,65.48,40.48,77.68,93.75,76.19,100.0,100.0,73.81,6.55,87.5,47.02,17.26,85.71,98.81,66.37,25.6,47.62,40.48,66.67,82.74,34.82,10.71,86.31,4.17,4.76,6.55,32.74,65.48,5.95,20.83,2.98,91.67,13.1
Bodø/Glimt,25.9,16,71.13,65.18,37.5,56.85,58.04,38.99,40.48,76.49,87.5,87.5,86.31,85.71,86.31,83.93,54.46,25.6,47.02,26.79,77.08,4.17,67.26,89.29,67.86,92.86,94.05,95.54,65.77,61.31,83.63,83.63,24.4,83.33,51.49,91.67,88.1,91.67,97.02,97.62,83.33,62.5,86.31,91.67,95.83,94.64,96.43,86.9,88.69,44.94,13.99,87.5,84.52,35.12,10.42,96.73,18.45,37.5,29.17,32.14,33.04,82.14,20.24,83.04,36.31,78.57,86.31,35.12,68.45,55.95,77.68,43.75,78.27,61.9,61.31,95.24,79.17,89.88,95.24,58.63,81.55,15.48,25.0,72.62,45.83,80.95,89.88,74.4,72.02,66.96,51.79,86.9,79.17,88.69,80.36,70.54,84.82,83.33,73.81,57.14,26.19
Bologna,26.0,46,50.0,44.94,67.26,55.06,68.45,54.76,72.02,53.57,61.31,62.5,43.45,43.45,79.17,80.95,95.83,96.43,67.26,77.38,52.38,88.99,60.12,61.9,60.12,37.5,33.93,8.33,75.6,81.55,35.71,28.57,70.24,34.82,6.55,8.93,70.24,58.93,14.29,19.05,69.94,70.24,55.95,58.93,15.77,12.2,67.26,42.56,57.74,25.89,33.33,60.12,65.48,52.98,54.76,10.42,98.81,26.79,70.83,67.26,44.64,35.12,72.02,22.62,78.57,2.68,2.38,74.4,33.33,29.76,69.05,43.75,12.2,46.43,38.69,91.07,62.2,5.36,2.98,46.73,42.86,78.57,23.81,61.9,68.45,57.74,34.82,64.58,91.67,62.5,31.55,57.74,54.46,65.77,80.95,48.81,16.96,34.52,14.29,61.31,92.26
Borac Banja Luka,28.0,10,10.12,6.55,26.79,30.36,46.13,79.46,30.06,12.5,28.57,33.33,20.83,27.38,38.69,45.24,49.4,38.1,7.74,39.88,11.31,75.0,38.69,52.98,33.93,75.6,88.1,34.82,95.54,19.64,85.71,70.83,41.37,89.88,57.74,79.17,91.67,36.9,39.88,30.95,41.67,52.98,17.56,36.9,21.43,20.24,39.88,28.87,22.92,3.27,4.76,30.36,11.61,91.96,79.46,50.3,94.35,58.93,47.32,72.92,80.65,38.69,58.04,25.3,92.86,32.14,47.02,92.86,27.68,7.74,87.5,43.75,51.49,53.27,26.79,4.17,99.4,81.85,57.74,62.2,34.23,69.05,2.38,39.29,27.98,17.26,87.5,85.71,37.5,22.62,23.81,18.45,8.33,10.71,62.5,94.64,22.62,98.81,85.12,97.02,58.93
Bournemouth,25.1,38,65.18,81.85,91.07,82.74,78.87,73.21,90.48,58.93,33.93,34.52,35.12,35.12,30.36,29.17,45.83,77.98,88.1,72.62,69.94,91.37,64.29,83.93,63.69,71.43,57.14,33.93,88.39,76.49,37.8,54.76,30.36,70.24,60.12,69.05,56.85,39.29,17.86,7.74,39.88,79.17,83.93,39.29,63.69,60.12,42.26,76.19,86.31,25.0,38.39,33.93,16.07,60.12,79.46,11.31,35.12,34.82,86.61,67.26,80.65,89.88,75.6,20.24,80.06,51.49,66.07,48.21,33.33,47.32,24.4,43.75,48.51,54.76,44.05,34.23,52.38,43.15,25.0,28.87,88.1,80.95,25.6,67.86,87.5,85.12,46.43,21.13,47.62,30.06,35.12,23.81,28.57,27.98,19.64,9.52,49.7,87.8,86.31,72.02,39.29
Braga,25.9,8,26.79,73.51,66.07,76.49,58.04,38.99,60.71,8.04,75.0,80.95,57.74,61.31,81.55,86.31,94.05,94.05,70.83,67.86,60.12,10.12,65.48,60.12,64.88,95.24,83.33,80.36,93.15,88.39,88.99,86.9,21.43,49.11,81.25,52.08,70.24,82.74,50.3,89.29,81.55,54.17,59.52,82.74,85.12,91.37,80.95,57.14,65.77,54.46,30.95,75.0,40.77,0.89,1.49,58.33,68.75,97.92,9.23,59.82,80.65,80.36,56.25,35.42,44.35,62.2,68.75,55.06,40.77,55.95,24.4,43.75,31.85,25.0,29.76,79.46,25.0,16.37,72.02,41.67,98.81,61.61,37.5,64.29,52.08,56.55,86.31,21.13,65.77,5.06,30.95,52.98,32.14,39.29,76.49,16.07,89.88,18.15,59.52,31.55,27.98
Brentford,25.8,38,83.33,73.51,41.07,72.02,68.45,61.01,44.64,82.44,37.5,37.2,42.26,42.26,36.9,40.48,63.1,72.02,43.45,54.76,66.07,73.21,53.57,50.6,52.38,43.15,41.67,33.33,23.21,90.48,51.79,44.05,64.29,80.36,16.37,72.02,31.85,37.5,98.21,82.74,11.31,58.93,80.95,37.5,42.26,36.01,36.31,28.87,82.44,50.89,72.62,37.5,85.71,78.27,79.46,99.4,5.36,51.49,79.76,91.07,24.4,58.93,87.5,26.19,44.35,79.17,89.58,41.37,9.52,17.86,24.4,43.75,42.56,94.64,90.18,97.62,16.37,84.52,76.49,90.18,42.26,83.93,65.18,50.6,52.08,77.98,43.45,21.13,44.05,80.36,80.95,32.74,30.36,24.4,47.02,58.33,27.98,34.52,90.48,76.19,83.93
Brest,28.0,44,54.76,50.89,54.17,61.01,78.87,79.46,55.36,50.0,41.07,41.67,38.1,36.9,44.05,43.45,91.67,97.62,51.49,45.83,22.02,51.19,27.38,26.19,26.79,82.74,89.88,61.01,78.57,94.64,77.68,81.85,23.21,38.1,71.43,55.36,62.8,41.67,51.19,44.05,48.21,36.9,32.74,41.67,20.24,25.89,30.36,25.6,30.36,55.36,83.93,41.07,56.85,66.07,54.76,35.12,70.24,88.69,53.57,9.23,29.76,64.88,79.17,30.95,21.43,44.64,24.7,64.58,91.37,93.15,51.79,88.69,60.12,95.24,79.76,51.19,52.38,31.85,48.21,79.76,89.29,75.0,76.79,28.57,55.36,28.57,85.71,69.64,39.88,75.6,71.43,39.29,31.55,36.31,65.48,74.4,45.83,10.71,11.9,89.88,79.76
Brighton,24.8,38,81.85,72.32,76.79,77.38,85.12,73.21,76.19,82.44,68.45,67.26,80.95,79.17,58.93,60.12,38.69,23.81,72.02,66.67,69.94,68.45,69.05,94.05,69.05,76.49,75.3,31.85,86.31,90.48,79.76,86.01,14.88,58.63,35.71,17.86,27.98,68.45,67.26,50.0,59.52,80.95,90.48,68.45,93.45,84.52,72.62,89.29,94.05,32.74,43.45,67.86,55.06,60.12,36.01,56.25,43.45,91.07,79.76,21.73,38.39,53.87,60.12,68.15,37.8,20.83,13.69,41.37,78.87,90.77,24.4,43.75,36.9,26.79,31.55,71.73,16.37,22.62,18.45,44.05,75.89,47.02,32.44,75.6,76.79,89.29,78.57,21.13,71.13,77.98,85.71,75.3,81.55,63.1,60.12,36.9,30.36,18.15,17.86,34.52,66.37
