Player,Game Week,Position,General Position,Team,League,Minutes,Rating,Age,Nationality
Aitor Paredes,J18,CB,Defender,Athletic Club,Spanish La Liga,90.0,6.56,24,ESP
Daniel Vivian,J18,CB,Defender,Athletic Club,Spanish La Liga,90.0,6.58,25,ESP
Andoni Gorosabel,J18,RB,Defender,Athletic Club,Spanish La Liga,88.0,6.53,28,ESP
Alejandro Balde,J18,LB,Defender,Barcelona,Spanish La Liga,90.0,7.09,21,ESP
Iñigo Martínez,J18,CB,Defender,Barcelona,Spanish La Liga,90.0,7.02,33,ESP
Pau Cubarsí,J18,CB,Defender,Barcelona,Spanish La Liga,90.0,6.79,17,ESP
Jules Koundé,J18,RB,Defender,Barcelona,Spanish La Liga,90.0,6.78,26,FRA
Nahuel Molina,J18,RB,Defender,Atlético Madrid,Spanish La Liga,29.0,5.97,26,ARG
Javi Galán,J18,LB,Defender,Atlético Madrid,Spanish La Liga,90.0,7.24,30,ESP
Clément Lenglet,J18,CB,Defender,Atlético Madrid,Spanish La Liga,90.0,7.04,29,FRA
José María Giménez,J18,CB,Defender,Atlético Madrid,Spanish La Liga,51.0,6.04,29,URU
Axel Witsel,J18,CB,Defender,Atlético Madrid,Spanish La Liga,39.0,6.19,35,BEL
Marcos Llorente,J18,RB,Defender,Atlético Madrid,Spanish La Liga,72.0,7.03,29,ESP
Luis Rioja,J18,LB,Defender,Valencia,Spanish La Liga,90.0,7.4,31,ESP
Yarek Gasiorowski,J18,CB,Defender,Valencia,Spanish La Liga,90.0,6.57,19,ESP
Cristhian Mosquera,J18,CB,Defender,Valencia,Spanish La Liga,90.0,6.53,20,ESP
Dimitri Foulquier,J18,RB,Defender,Valencia,Spanish La Liga,90.0,6.82,31,FRA
Manu Sánchez,J18,LB,Defender,Alavés,Spanish La Liga,90.0,6.56,24,ESP
Moussa Diarra,J18,CB,Defender,Alavés,Spanish La Liga,90.0,6.05,24,MLI
Abdel Abqar,J18,CB,Defender,Alavés,Spanish La Liga,90.0,6.2,25,MAR
Pica,J18,CB,Defender,Alavés,Spanish La Liga,79.0,6.04,22,ESP
Carlos Vicente,J18,RB,Defender,Alavés,Spanish La Liga,90.0,6.55,25,ESP
Eduardo Camavinga,J18,LB,Defender,Real Madrid,Spanish La Liga,90.0,7.52,22,FRA
Antonio Rüdiger,J18,CB,Defender,Real Madrid,Spanish La Liga,90.0,6.35,31,GER
Aurélien Tchouaméni,J18,CB,Defender,Real Madrid,Spanish La Liga,90.0,6.88,24,FRA
Lucas Vázquez,J18,RB,Defender,Real Madrid,Spanish La Liga,90.0,7.19,33,ESP
Kike Salas,J18,LB,Defender,Sevilla,Spanish La Liga,85.0,6.93,22,ESP
Nemanja Gudelj,J18,CB,Defender,Sevilla,Spanish La Liga,90.0,6.64,33,SRB
Loïc Bade,J18,CB,Defender,Sevilla,Spanish La Liga,90.0,6.2,24,FRA
Carmona,J18,RB,Defender,Sevilla,Spanish La Liga,90.0,7.12,22,ESP
Emil Holm,J16,LB,Defender,Bologna,Italian Serie A,76.0,6.08,24,SWE
Jhon Lucumí,J16,CB,Defender,Bologna,Italian Serie A,90.0,6.53,26,COL
Sam Beukema,J16,CB,Defender,Bologna,Italian Serie A,90.0,6.26,26,NED
Lorenzo De Silvestri,J16,RB,Defender,Bologna,Italian Serie A,81.0,5.74,36,ITA
Robin Gosens,J16,LB,Defender,Fiorentina,Italian Serie A,80.0,6.33,30,GER
Luca Ranieri,J16,CB,Defender,Fiorentina,Italian Serie A,90.0,6.02,25,ITA
Pietro Comuzzo,J16,CB,Defender,Fiorentina,Italian Serie A,90.0,5.56,19,ITA
Dodô,J16,RB,Defender,Fiorentina,Italian Serie A,90.0,6.31,26,BRA
Mika Mármol,J18,LB,Defender,Las Palmas,Spanish La Liga,90.0,6.33,23,ESP
Scott McKenna,J18,CB,Defender,Las Palmas,Spanish La Liga,90.0,6.8,28,SCO
Álex Suárez,J18,CB,Defender,Las Palmas,Spanish La Liga,90.0,6.51,31,ESP
Javier Muñoz,J18,RB,Defender,Las Palmas,Spanish La Liga,90.0,6.74,29,ESP
Brian Oliván,J18,LB,Defender,Espanyol,Spanish La Liga,90.0,6.2,30,ESP
Leandro Cabrera,J18,CB,Defender,Espanyol,Spanish La Liga,90.0,6.53,33,URU
Marash Kumbulla,J18,CB,Defender,Espanyol,Spanish La Liga,90.0,5.85,24,ALB
Omar El Hilali,J18,RB,Defender,Espanyol,Spanish La Liga,90.0,6.87,21,MAR
Javi Hernández,J18,LB,Defender,Leganés,Spanish La Liga,73.0,6.64,26,ESP
Matija Nastasić,J18,CB,Defender,Leganés,Spanish La Liga,51.0,5.93,31,SRB
Valentin Rosier,J18,RB,Defender,Leganés,Spanish La Liga,39.0,5.57,28,FRA
Jorge Sáenz,J18,CB,Defender,Leganés,Spanish La Liga,76.0,5.85,28,ESP
Sergi,J18,CB,Defender,Leganés,Spanish La Liga,90.0,6.64,32,ESP
Adrià Altimira,J18,RB,Defender,Leganés,Spanish La Liga,90.0,6.46,23,ESP
Sergi Cardona,J18,LB,Defender,Villarreal,Spanish La Liga,90.0,6.66,25,ESP
Logan Costa,J18,CB,Defender,Villarreal,Spanish La Liga,45.0,6.37,23,CPV
Pau Navarro,J18,CB,Defender,Villarreal,Spanish La Liga,45.0,6.08,19,ESP
Raúl Albiol,J18,CB,Defender,Villarreal,Spanish La Liga,90.0,6.88,39,ESP
Kiko Femenía,J18,RB,Defender,Villarreal,Spanish La Liga,82.0,6.19,33,ESP
Romain Perraud,J18,LB,Defender,Betis,Spanish La Liga,90.0,6.83,27,FRA
Diego Llorente,J18,CB,Defender,Betis,Spanish La Liga,90.0,6.88,31,ESP
Marc Bartra,J18,CB,Defender,Betis,Spanish La Liga,90.0,6.58,33,ESP
Youssouf Sabaly,J18,RB,Defender,Betis,Spanish La Liga,74.0,6.81,31,SEN
Pep Chavarría,J18,LB,Defender,Rayo Vallecano,Spanish La Liga,90.0,6.81,26,ESP
Florian Lejeune,J18,CB,Defender,Rayo Vallecano,Spanish La Liga,90.0,6.52,33,FRA
Aridane Hernández,J18,CB,Defender,Rayo Vallecano,Spanish La Liga,90.0,6.06,35,ESP
Andrei Ratiu,J18,RB,Defender,Rayo Vallecano,Spanish La Liga,90.0,7.26,26,ROU
Yarek Gasiorowski,J12,LB,Defender,Valencia,Spanish La Liga,87.0,6.74,19,ESP
Cristhian Mosquera,J12,CB,Defender,Valencia,Spanish La Liga,90.0,6.36,20,ESP
César Tárrega,J12,CB,Defender,Valencia,Spanish La Liga,90.0,6.21,22,ESP
Dimitri Foulquier,J12,RB,Defender,Valencia,Spanish La Liga,90.0,7.15,31,FRA
Ferland Mendy,J12,LB,Defender,Real Madrid,Spanish La Liga,67.0,6.64,29,FRA
Eduardo Camavinga,J12,LB,Defender,Real Madrid,Spanish La Liga,23.0,7.14,22,FRA
Antonio Rüdiger,J12,CB,Defender,Real Madrid,Spanish La Liga,90.0,6.37,31,GER
Aurélien Tchouaméni,J12,CB,Defender,Real Madrid,Spanish La Liga,90.0,6.92,24,FRA
Lucas Vázquez,J12,RB,Defender,Real Madrid,Spanish La Liga,90.0,6.96,33,ESP
