Player,Team,League,Position,General Position,Nationality,Age,Rating,Minutes,Matches,Average Rating
Lucas Beltrán,Fiorentina,"Italian Serie A, UEFA Europa Conference League",AM,Forward,ARG,24,280.14,2532,45,6.23
Lucas Beraldo,Paris S-G,"French Ligue 1, UEFA Champions League",CB,Defender,BRA,21,194.86,2153,29,6.72
Lucas Bergvall,Tottenham,"English Premier League, UEFA Europa League",LM,Midfielder,SWE,19,261.76,2000,39,6.71
Lucas Da Cunha,Como,Italian Serie A,DM,Midfielder,FRA,23,236.3,2613,36,6.56
Lucas Digne,Aston Villa,"English Premier League, UEFA Champions League",LB,Defender,FRA,31,280.39,3094,41,6.84
Lucas Gourna-Douath,"RB Salzburg, Roma","Italian Serie A, UEFA Champions League",CM,Midfielder,FRA,21,80.22,529,12,6.68
Lucas Hernández,Paris S-G,"French Ligue 1, UEFA Champions League",LB,Defender,FRA,29,139.63,995,21,6.65
Lucas Hey,Anderlecht,UEFA Europa League,CB,Defender,DEN,21,12.7,155,2,6.35
Lucas Höler,Freiburg,German Bundesliga,AM,Forward,GER,30,197.16,1867,31,6.36
Lucas Lima,Başakşehir,UEFA Europa Conference League,LB,Defender,BRA,33,24.0,285,4,6.0
Lucas Lingman,HJK,UEFA Europa Conference League,CM,Midfielder,FIN,26,24.69,223,4,6.17
Lucas Martínez Quarta,Fiorentina,"Italian Serie A, UEFA Europa Conference League",CB,Defender,ARG,28,85.29,785,13,6.56
Lucas Michal,Monaco,"French Ligue 1, UEFA Champions League",AM,Forward,FRA,19,70.12,156,11,6.37
Lucas Mincarelli,Montpellier,French Ligue 1,CB,Defender,FRA,21,62.14,715,10,6.21
Lucas Ocampos,Sevilla,Spanish La Liga,LW,Forward,ARG,30,13.53,175,2,6.76
Lucas Oliveira Rosa,"Ajax, Valladolid","Spanish La Liga, UEFA Europa League",LB,Defender,BRA,24,161.0,2089,24,6.71
Lucas Paquetá,West Ham,English Premier League,CM,Midfielder,BRA,27,223.11,2380,33,6.76
Lucas Perrin,Cercle Brugge,UEFA Europa Conference League,CB,Defender,FRA,26,11.87,69,2,5.94
Lucas Stassin,Saint-Étienne,French Ligue 1,AM,Forward,BEL,20,173.18,1797,27,6.41
Lucas Torreira,Galatasaray,UEFA Europa League,CM,Midfielder,URU,29,60.13,764,9,6.68
Lucas Torró,Osasuna,Spanish La Liga,CM,Midfielder,ESP,30,230.83,2957,35,6.6
Lucas Tousart,Union Berlin,German Bundesliga,CM,Midfielder,FRA,28,90.08,561,15,6.01
Lucas Vázquez,Real Madrid,"Spanish La Liga, UEFA Champions League",RB,Defender,ESP,33,285.65,2764,42,6.8
Lucien Agoume,Sevilla,Spanish La Liga,DM,Midfielder,FRA,23,236.61,2114,35,6.76
Luck Zogbé,Brest,"French Ligue 1, UEFA Champions League",LB,Defender,CIV,20,90.43,728,14,6.46
Ludovic Ajorque,Brest,"French Ligue 1, UEFA Champions League",AM,Forward,FRA,31,255.37,3135,39,6.55
Ludovic Blas,Rennes,French Ligue 1,AM,Forward,FRA,27,194.69,2293,29,6.71
Ludvig Richtner,Elfsborg,UEFA Europa League,RM,Forward,SWE,19,10.76,23,2,5.38
Ludwig Augustinsson,Anderlecht,UEFA Europa League,LB,Defender,SWE,30,46.21,449,7,6.6
Luis Díaz,Liverpool,"English Premier League, UEFA Champions League",LW,Forward,COL,28,315.94,3030,45,7.02
Luis Enrique Palma,"Celtic, Olympiacos","UEFA Champions League, UEFA Europa League",LW,Forward,HON,25,25.27,120,4,6.32
Luis Guilherme,West Ham,English Premier League,LM,Forward,BRA,19,76.33,150,12,6.36
