Player,Game Week,Position,General Position,Team,League,Minutes,Rating,Age,Nationality
André Onana,J1,GK,Goalkeeper,Manchester Utd,UEFA Europa League,90,6.39,28,CMR
Lars Unnerstall,J1,GK,Goalkeeper,Twente,UEFA Europa League,90,6.55,34,GER
Colin Coosemans,J1,GK,Goalkeeper,Anderlecht,UEFA Europa League,90,6.18,32,BEL
Dénes Dibusz,J1,GK,Goalkeeper,Ferencváros,UEFA Europa League,90,6.53,33,HUN
Marcin Bułka,J1,GK,Goalkeeper,Nice,UEFA Europa League,90,5.58,24,POL
Álex Remiro,J1,GK,Goalkeeper,Real Sociedad,UEFA Europa League,90,7.22,29,ESP
Elías Rafn Ólafsson,J1,GK,Goalkeeper,Midtjylland,UEFA Europa League,90,6.12,24,ISL
Oliver Baumann,J1,GK,Goalkeeper,Hoffenheim,UEFA Europa League,90,7.14,34,GER
Heorhiy Bushchan,J1,GK,Goalkeeper,Dynamo Kyiv,UEFA Europa League,90,6.27,30,UKR
Ivan Provedel,J1,GK,Goalkeeper,Lazio,UEFA Europa League,90,7.62,30,ITA
Günay Güvenç,J1,GK,Goalkeeper,Galatasaray,UEFA Europa League,90,6.84,33,NAN
Dominik Kotarski,J1,GK,Goalkeeper,PAOK,UEFA Europa League,90,6.06,24,CRO
Sergio Padt,J1,GK,Goalkeeper,Ludogorets,UEFA Europa League,90,6.23,34,NED
Antonín Kinský,J1,GK,Goalkeeper,Slavia Prague,UEFA Europa League,90,7.42,21,CZE
Stefano Turati,J20,GK,Goalkeeper,Monza,Italian Serie A,90,6.41,23,ITA
David de Gea,J20,GK,Goalkeeper,Fiorentina,Italian Serie A,90,5.48,34,ESP
Johan Dahlin,J1,GK,Goalkeeper,Malmö,UEFA Europa League,90,5.74,38,SWE
Jack Butland,J1,GK,Goalkeeper,Rangers,UEFA Europa League,90,6.6,31,ENG
Dominik Livaković,J1,GK,Goalkeeper,Fenerbahçe,UEFA Europa League,90,6.56,29,CRO
Anthony Moris,J1,GK,Goalkeeper,Union SG,UEFA Europa League,90,5.76,34,LUX
Matheus,J1,GK,Goalkeeper,Braga,UEFA Europa League,90,6.71,32,BRA
Roei Mashpati,J1,GK,Goalkeeper,Maccabi Tel Aviv,UEFA Europa League,90,6.84,31,ISR
Guglielmo Vicario,J1,GK,Goalkeeper,Tottenham,UEFA Europa League,90,7.52,27,ITA
Mateusz Kochalski,J1,GK,Goalkeeper,Qarabağ,UEFA Europa League,90,5.71,24,POL
Mile Svilar,J1,GK,Goalkeeper,Roma,UEFA Europa League,90,6.51,25,SRB
Julen Agirrezabala,J1,GK,Goalkeeper,Athletic Club,UEFA Europa League,90,5.91,23,ESP
Remko Pasveer,J1,GK,Goalkeeper,Ajax,UEFA Europa League,90,6.62,40,NED
Mert Günok,J1,GK,Goalkeeper,Beşiktaş,UEFA Europa League,90,5.87,35,TUR
Kauã Santos,J1,GK,Goalkeeper,Eint Frankfurt,UEFA Europa League,90,5.33,21,BRA
Martin Jedlička,J1,GK,Goalkeeper,Viktoria Plzeň,UEFA Europa League,90,5.51,26,CZE
Lucas Perri,J1,GK,Goalkeeper,Lyon,UEFA Europa League,90,7.38,26,BRA
Kostas Tzolakis,J1,GK,Goalkeeper,Olympiacos,UEFA Europa League,90,6.11,21,GRE
Stefan Târnovanu,J1,GK,Goalkeeper,FCSB,UEFA Europa League,90,6.93,24,ROU
Fabrice Ondoa,J1,GK,Goalkeeper,FK Rīgas FS,UEFA Europa League,90,5.69,28,CMR
Antonín Kinský,J2,GK,Goalkeeper,Slavia Prague,UEFA Europa League,90,6.05,21,CZE
Remko Pasveer,J2,GK,Goalkeeper,Ajax,UEFA Europa League,90,7.16,40,NED
Jean Butez,J19,GK,Goalkeeper,Como,Italian Serie A,90,6.2,29,FRA
Mike Maignan,J19,GK,Goalkeeper,Milan,Italian Serie A,90,6.15,29,FRA
Dénes Dibusz,J2,GK,Goalkeeper,Ferencváros,UEFA Europa League,90,6.29,33,HUN
Guglielmo Vicario,J2,GK,Goalkeeper,Tottenham,UEFA Europa League,90,6.95,27,ITA
Christos Mandas,J2,GK,Goalkeeper,Lazio,UEFA Europa League,90,6.88,23,GRE
Marcin Bułka,J2,GK,Goalkeeper,Nice,UEFA Europa League,90,5.16,24,POL
Álex Remiro,J2,GK,Goalkeeper,Real Sociedad,UEFA Europa League,90,5.47,29,ESP
Colin Coosemans,J2,GK,Goalkeeper,Anderlecht,UEFA Europa League,90,6.46,32,BEL
Oliver Baumann,J2,GK,Goalkeeper,Hoffenheim,UEFA Europa League,90,6.83,34,GER
Heorhiy Bushchan,J2,GK,Goalkeeper,Dynamo Kyiv,UEFA Europa League,90,5.97,30,UKR
Kostas Tzolakis,J2,GK,Goalkeeper,Olympiacos,UEFA Europa League,90,8.06,21,GRE
Matheus,J2,GK,Goalkeeper,Braga,UEFA Europa League,90,5.62,32,BRA
Roei Mashpati,J2,GK,Goalkeeper,Maccabi Tel Aviv,UEFA Europa League,90,6.68,31,ISR
Elías Rafn Ólafsson,J2,GK,Goalkeeper,Midtjylland,UEFA Europa League,90,7.76,24,ISL
